,Id,title,time,keywords,data source,country,source URL,body,language
126,1.82e+16,,2021-06-05T03:55:06+0000,,Instagram,,https://www.instagram.com/p/CPuWKaYl80i/,"2019, cybernetic loops painted June 2021
#oilpainting #riseofthemachines #softmachine #floods #schoolsoutforsummer",English
18,1.79e+16,,2021-06-04T00:29:25+0000,,Instagram,,https://www.instagram.com/p/CPrZ0_2MsJs/,"The solution to our water problems is more rain- Mark Twain
*
The lakes of Utah are running low, at least things aren’t on fire like last year. 
*
*
#marktwain #quotes #vanlife #globalwarming #vanlife #watershortage #drought #utah #parkcity #naturephotography #hiking #views #naturehike #vanexplorer",English
62,1.79e+16,,2021-06-12T00:03:20+0000,,Instagram,,https://www.instagram.com/p/CP_9M8ZFAVL/,"There is usually water flowing in this river, but alas, there is none. Sadly, California is facing another drought just two years after the last one ended. If there is no water, there is no life. #savewatersavelife 💦

#drought #riverbed #babyitshotoutside #hikingadventures #wanderlust #waterislife #landscape #hike #rocks #view #offthebeatenpath #nature #ilovehiking #outdoors #simplyadventure #heatwave #nowaternolife #raysoflight #socalhiker #optoutside #climatechange #sunnydays #nature #wilderness #wildernessculture #naturelovers #scenery #naturecolors #neverstopexploring #outdoortherapy",English
108,1.79e+16,,2021-06-07T18:53:47+0000,,Instagram,,https://www.instagram.com/p/CP1GmNQjijY/,"Bought the mob in to tag and tail the lambs and check them over we’ve had 46 lambs this year so far 💪

#lambs #merino #merinosheep #sheep #droughtsnfloodingrains #drought #rural #ruralaustralia #ruralphotography #allthingsagriculture #bestpicoftheday #farmingaustralia #farming",English
25,1.79e+16,,2021-06-01T18:24:44+0000,,Instagram,,https://www.instagram.com/p/CPlmgMQBDJW/,"Mattole River Flow Report:

The Mattole River headwaters was measured this morning to be flowing at a rate of 2,500 gallons per minute or 5.57 cubic feet per second. This flow is considered low. All headwaters tributaries are in forbearance, and the projected date for forbearance to begin for mainstem Mattole water users in the headwaters is June 19. This date is subject to change. Please do your part to conserve water by checking for leaks, turning down your pump rate, alternating pumping dates with your neighbors, acquiring more water storage if needed--plus other basic water conservation techniques such as turning off the water while brushing your teeth, etc.

Thank you!
.
.
.
#sanctuaryforest #waterconservation #mattolestreamflow #drought",English
156,1.79e+16,,2021-06-09T20:18:34+0000,,Instagram,,https://www.instagram.com/p/CP6Z3uwDR1O/,"Did you know⁉️ ⁠
⁠
We don’t just tear your house apart when you suffer a loss, we also put it back together. ⁠
⁠
We understand that damage to your home can be very scary and frustrating to deal with. ⁠
⁠
We want to make sure when we leave the property that we no only fixed the issue, but have you back your home the way you love it. ⁠
⁠
#puroclean #purocleanofwestlexington #homerestoration #lex #lexington #lexingtonky #carpetcleaning #cleaning  #restoration #kentucky #safety #protectyourfamily #homerestorationservices #healthyfamily #cleanhome #cleaningtips #cleaninghacks #flooding #waterdamage #firedamage #biohazardcleanup #homecleaningservices  #airductcleaning #keepclean #homerestorations #airquality⁠
#fire #mold #biohazard #firerestoration",English
105,1.79e+16,,2021-06-01T21:25:11+0000,,Instagram,,https://www.instagram.com/p/CPl7J9xFkFP/,"Meteorological Spring (March through May) is in the record books. Here's how we did across the eastern Carolinas:

Nearly record breaking low rainfall totals completely erased our winter rainfall surplus and plunged us into a moderate drought.  This spring's daily high temperatures were warmer than normal, but nighttime lows were cooler than normal in most locations.  Large day-to-night swings in temperature are more common when skies are consistently clear -- one of the major reasons we saw such little rain over the past few months.

#ncwx #scwx #climate #drought #Wilmington #MyrtleBeach",English
75,1.79e+16,,2021-06-01T21:41:03+0000,,Instagram,,https://www.instagram.com/p/CPl8-G-Bt_S/,I got stuck behind this truck going across the pass and started thinking about the fact that water is becoming illegal and the next big black market will be 💧 #BootLegging #Water #California #Drought #illegal #BlackMarket #liquidgold,English
180,1.79e+16,,2021-06-15T16:18:43+0000,,Instagram,,https://www.instagram.com/p/CQJbNlRJNHE/,"this pile is giving an impression how high water was above sea level (NAP) during the floods of 1421 1916 and 1953 
Amsterdam Ordnance Datum or Normaal Amsterdams Peil (NAP)
https://en.wikipedia.org/wiki/Amsterdam_Ordnance_Datum
08JUN2021
#overstroming #floodings #sintelisabethsvloed #zuiderzeevloed #waternoodsramp #amstelpark #amsterdam #springof2021 #summerof2021 #remarkable2021spring #remarkable2021summer #remarkable2021 #heelnederland_fotografeert #heelholland_fotografeert #polderpictures #polderpicture #polderpictureoftheday #polderpicturesoftheday",English
182,1.79e+16,,2021-06-15T22:34:21+0000,,Instagram,,https://www.instagram.com/p/CQKFXuOH3hV/,"Ap game strong 🥶 this is not that . With me You are paying for quality and the best work 🙏🏻

#watches#ap#audemarspiguetroyaloak #bussdown#flooded#vs1#vvs#diamonds#diasdiamondz",English
201,1.79e+16,,2021-06-01T04:04:24+0000,,Instagram,,https://www.instagram.com/p/CPkEBQiFC4v/,"Would you jump😳❓Tag someone who has to see👀

#whitewater #swimmingtime #swimmers #flooding #floods #flooded #cliffjumping #cliffside #cliffdiving #kayakingadventures #kayaklife #waterparks #whitewaterrafting #rafting #waterfallsofinstagram #waterfallphotography #chasingwaterfalls #waterfallwednesday #wildplanet #wildnature #wildworld #wildlifesafari #swimlife #swimcoach #swimmingpools #swimminglessons",English
189,1.79e+16,,2021-06-17T17:17:46+0000,,Instagram,,https://www.instagram.com/p/CQOrjukqppK/,"Day 708: World Day to Combat Desertification and Drought. Global warming doesn't just affect the coldest parts of the planet, but some of the hottest and driest ones as well.
.
Desertification and land degradation, caused primarily from mining, urbanization, and agriculture, are only worsened by global warming. Especially in dryland areas where agriculture or other land uses are hard on the soil, the ground quickly snowballs to a desert-like state. If plants aren't able to keep the soil together, the soil can degrade further, allowing even less plant life to take hold.
.
It's a slippery situation that could end up affecting hundreds of millions of people. Currently, there are 2 billion people that live in dryland areas that could eventually be at risk of being displaced by desertification. But even by the end of this next decade, 50 million people around the world could be displaced by desertification.
.
Just like with the Paris Climate Agreement, the Convention to Combat Desertification involves 122 countries that have committed to keeping soil arable and managing freshwater supplies. One initiative, the Great Green Wall, aims to restore over 380,000 square miles of African soil by 2030. Another initiative in the Gobi Desert includes planting trees in northern China to stop the desert's spread.
.
.
Read more about desertification: https://www.nationalgeographic.com/environment/article/desertification
.
Graphic shows a small house in the desert. The factoid reads: ""50 million people could be displaced by desertification by 2030.""
.
.
#desertification #desert #globalwarming #climatechange #gobidesert #saharandesert #greatgreenwall #greenwall #gogreen #pixelplanet #pixelplanettoday #pixelart #planetfacts",English
33,1.79e+16,,2021-06-19T21:32:06+0000,,Instagram,,https://www.instagram.com/p/CQUSQWGAWzy/,"Photo of the nature of a village in the city of izeh
Beautiful rural nature

Photo: babak javedaneh 📷🤳🏼
#poster #karun #dead #babak_javedaneh #blue #situation #artbabak #instagram #everydayiran #iran #ahvaz #goodmorning #cleaneating #sky #work #children #desertification #baby #who #worldhealthorganization #unicef #nationalgeographic #nature #themountain #izeh
#khuzestan 
#بابک_جاودانه",English
202,1.79e+16,,2021-06-03T11:54:18+0000,,Instagram,,https://www.instagram.com/p/CPqDaWEHb44/,"PITZMAN’S Mustard. My little secret ingredient #timskitchentips #tbt 
.
.
.
.
.
#timheidecker #timanderic #dip #badshrimp #ericwareheim #jash #funeral #pissmustard #goofs #gags #tbt❤️ #tbt🔙📸 #tbthursday #tbtphoto #throwbackthursday #throwback #tbtphoto #zonetheory #zonetheoryplane8 #baha #timandericawesomeshowgreatjob #timandericbedtimestories",English
207,1.78e+16,,2021-06-14T16:12:46+0000,,Instagram,,https://www.instagram.com/p/CQG1vFij3Gr/,"Follow letsknowthis_dailynews for latest news in meme format.

#pmindia #pmmodi #modi #modiji #un #landdegradation #desertification #drought #globalnews #latestnews #dailynews #dailycurrentaffairs #dailynewsupdate",English
79,1.79e+16,,2021-06-01T19:02:00+0000,,Instagram,,https://www.instagram.com/p/CPlqxM6B0NJ/,"Well, it’s official: our county just declared a state of emergency due to drought. I mowed my lawn this morning, and the grass felt crunchy. We’re trying to only water a small portion of it very minimally, but I think we’re going to lose it by the end of summer. It’s hard to move into a new house and want to see things bloom and thrive, only to wonder what’s not going to make it till next year. Pray for rain, people. #montezumacounty #southwestcolorado #drought #stateofemergency",English
0,1.79e+16,,2021-05-30T02:19:44+0000,,Instagram,,https://www.instagram.com/p/CPeuWn6hKxI/,Rain Sweet rain. Thank you Jesus #drought,English
204,1.79e+16,,2021-06-09T13:57:49+0000,,Instagram,,https://www.instagram.com/p/CP5uUQ_oAnH/,"#wednesdaywisdom When everything seems to be going against you, remember that the airplane takes off against the wind, not with it!

#audiology #audiologists #hearing #hearingloss #hearingaids #westvirginia #health #ears #sound #westvirginiamountaineers #parkersburg #midohiovalley #belpre #marietta #304 #ci #cochlearimplant #baha",English
65,1.82e+16,,2021-06-01T21:51:02+0000,,Instagram,,https://www.instagram.com/p/CPl-HQlLrbS/,"""I'm seeing probably the worst combination of conditions in my lifetime,"" said Derrick DeGroot, a county commissioner in southern Oregon's Klamath County. ""We have an enormous fuel load in the forests, and we are looking at a drought unlike we've seen probably in the last 115 years.""

Asked how worried he is about the 2021 fire season, DeGroot said: ""On a scale of 1 to 10, I'm a 12. Nothing looks good.""

📷: Photo by Marcus Kauffman 
🔥: The Jones Fire, Lowell, OR (2017)

Source: (NC), W.-S. J. (2021, May 31). 'Nothing Looks Good': Preparing For Summer Wildfire Season. InsuranceNewsNet. https://insurancenewsnet.com/oarticle/nothing-looks-good-preparing-for-summer-wildfire-season.",English
137,1.79e+16,,2021-06-07T15:17:00+0000,,Instagram,,https://www.instagram.com/p/CP0tyiHreEj/,"There’s a storm brewing🌧🌧 

Happy rainy Monday from the wildfire crew! Everyone be careful in this nasty weather remember the water may be deeper than it looks in these flash floods #turnarounddontdrown #swiftwaterrescue #flashflood",English
69,1.79e+16,,2021-06-12T00:10:46+0000,,Instagram,,https://www.instagram.com/p/CP_-DY9A3Vt/,"Help your plants beat the heat and the drought with a new layer of mulch. Mulch retains water to help your plants stay hydrated and so that you don't have to water them as much. ☀️🌻💦
We have easy ordering with delivery online at www.organicsolutionsinc.net/store
#shopsmall #shoplocal #smallbusinessmatters #supportsmallbusiness #organicmulch #hardwoodmulch #mulch #premiummulch #mulchdelivery #mulchinstallation #wauconda #barrington #arlingtonheights #glencoe #lakeforest #johnsburg #garden #gardening #landscape #curbappeal #beaththeheat #drought #helpyourplants",English
159,1.79e+16,,2021-06-20T02:20:41+0000,,Instagram,,https://www.instagram.com/p/CQUzSAZjoTy/,"Rainy day! 🌧

#flashflood #rain #rainyday #dachshundsofinstagram #raincoat #dograincoat",English
203,1.79e+16,,2021-06-17T02:51:20+0000,,Instagram,,https://www.instagram.com/p/CQNIPIdh1mN/,"supersaucegod_rachi got some WAVES on the way! Make sure y’all follow him and stay tuned! 

#abndgang #tacarachi #floodwarning #makeitcount #abnd #ohio #hiphop #trap #rap #soul #coverart #drip #money #summer #vibes",English
77,1.79e+16,,2021-05-30T01:28:49+0000,,Instagram,,https://www.instagram.com/p/CPeopqJLW_y/,"Day 328|

drought
/drout/
noun
1. a prolonged period of abnormally low rainfall, leading to a shortage of water.

South Florida is in a drought. I’m not sure when it rained last but our ponds are drying up and now have “sandbars” in them. The birds are enjoying the much easier pickings but man can we use some rain.

Good news, rain is in the forecast starting Monday!  Rainy season is here.

#floridadrought #drought #floridaliving #floridabirds #sandhillcrane #alligator #floridawildlife #justthefloridus #sendtherain #wheresallthewater",English
85,1.79e+16,,2021-06-16T13:56:07+0000,,Instagram,,https://www.instagram.com/p/CQLvr_OBYq5/,"Aerial view of Lake Mead. Feeling a bit artsy with this photo...

#airplaneview #airplanewindow #windowseat #desertdweller #desertlandscape #travelusa #weekendaway #drought #fractalimaging #instagramaz #ig_arizona #ig_southwest #westbysouthwest #ig_nevada",English
17,1.79e+16,,2021-06-04T00:37:54+0000,,Instagram,,https://www.instagram.com/p/CPrazLMnNwI/,"From 2012 to 2015 California experienced its driest consecutive four-year stretch since record-keeping began in 1896. Experts are already predicting that the state’s current drought will be even worse. 

What did the state learn from the last drought? How are growers adapting? What does reduced water allocation mean for farm workers? We’re breaking down the basics for you as we grapple with these questions.",English
31,1.79e+16,,2021-06-07T17:35:40+0000,,Instagram,,https://www.instagram.com/p/CP09qHcHfIl/,"The most recent SNOTEL map is looking pretty dry! Here are some drought-mindfulness tips from montanafreshwaterpartners:
​
1) ​Start at home by conserving your water usage... take shorter showers and turn off the tap while brushing your teeth or doing the dishes.  And as much as we like green grass, be aware of how much water is being used outside!
​
​2) If you are looking to get out on the water and fish this summer, enact your own hoot owl... get out early and end early.  Our fisheries will be stressed so be extra kind to the fish and #keepthemwet.
​
​Making small changes can make all the difference for our water systems in Montana!
•
#WatershedStewards #WatershedStewardship #Drought #SNOTEL #ImpactReduction #Missoula #Montana #Summer #MontanaSummer",English
