,category
126,none
18,drought
62,drought
108,none
25,drought
156,none
105,drought
75,drought
180,none
182,none
201,none
189,none
33,drought
202,none
207,none
79,drought
0,drought
204,none
65,drought
137,none
69,drought
159,none
203,none
77,drought
85,drought
17,drought
31,drought
165,none
11,drought
177,none
117,none
112,none
164,none
35,drought
58,drought
53,drought
66,drought
208,none
146,none
191,none
78,drought
64,drought
89,drought
97,drought
122,none
41,drought
88,drought
68,drought
38,drought
49,drought
199,none
145,none
148,none
84,drought
67,drought
19,drought
34,drought
15,drought
46,drought
181,none
16,drought
116,none
43,drought
50,drought
198,none
83,drought
138,none
101,drought
205,none
185,none
8,drought
100,drought
93,drought
167,none
123,none
47,drought
197,none
125,none
72,drought
130,none
44,drought
36,drought
13,drought
104,drought
166,none
144,none
56,drought
70,drought
157,none
45,drought
110,none
173,none
12,drought
80,drought
158,none
107,none
176,none
102,drought
3,drought
210,none
55,drought
114,none
6,drought
120,none
76,drought
196,none
22,drought
132,none
188,none
160,none
32,drought
109,none
133,none
103,drought
73,drought
136,none
61,drought
121,none
212,none
9,drought
186,none
90,drought
115,none
42,drought
149,none
48,drought
131,none
106,drought
200,none
95,drought
28,drought
7,drought
163,none
10,drought
195,none
24,drought
170,none
119,none
30,drought
155,none
39,drought
81,drought
190,none
193,none
57,drought
5,drought
187,none
27,drought
206,none
135,none
142,none
175,none
211,none
128,none
4,drought
124,none
54,drought
152,none
127,none
151,none
161,none
172,none
174,none
99,drought
26,drought
40,drought
183,none
162,none
94,drought
184,none
169,none
