Unnamed: 0,Id,title,time,keywords,data source,country,source URL,body,language
3835,1853845165.0,,2021-04-17 16:23:10+00:00,"['bushfires', 'floods', 'resilience2025', 'earthmonth']",Twitter,,https://twitter.com/minderoo/status/1383372962573651972,"Australia's landscapes need fires to stay healthy, and to support regeneration & new growth 🌱  Increasing severity & frequency of #bushfires and #floods however threatens the delicate balance between positive impact and devastating destruction.   #Resilience2025 #EarthMonth  https://t.co/LTtBpmC1VW['https://pbs.twimg.com/media/EzK6X2mVgAM2dvJ.jpg']",English
3213,2259772729.0,,2021-06-05 22:22:22+00:00,['floods'],Twitter,,https://twitter.com/BruceElke/status/1390348725780848642,@HanmerBrad @VaderstadCanada It is weird seem to be more geese staying local. So little water. Not sure what it means. Has anyone seen Noah? An ark? #floods[],English
2487,21213091.0,,2021-12-05 14:45:00+00:00,,Twitter,USA,,New tech coming soon that aims to predict flood water depth home-by-home https://t.co/0pYlIeFUw5,English
3773,19030368.0,,2021-04-20 04:30:43+00:00,"['floods', 'flooding']",Twitter,,https://twitter.com/CanadianWater/status/1384280833222012931,"“Under One Umbrella is a toolbox of practical solutions that Canadians can put into action—today—to strengthen our resilience to floods,” notes Chantal Guay, CEO of the Standards Council of Canada (SCC).   https://t.co/uJX5qKzjtZ  #floods #flooding @StandardsCanada  https://t.co/8sAlxZjQ6r['https://pbs.twimg.com/media/EzX0FQlVUAQRdpa.jpg']",English
3994,304304435.0,,2021-11-04 13:33:36+00:00,"['floods', 'timorleste', 'reliefpacks', 'standinsolidarity']",Twitter,,https://twitter.com/g7plus/status/1381155961717489665,"As part of our relief activities to help the victims of the recent devastating #floods in #TimorLeste that resulted more than 30 people died & thousands are now in displaced camp, @g7plus secretariat prepares #reliefpacks to distribute among affected families. #standinsolidarity  https://t.co/n2rLCjfy88['https://pbs.twimg.com/media/EyraApdVIAEoIqc.jpg', 'https://pbs.twimg.com/media/EyraApkVoAMCNsD.jpg']",English
3446,1.12e+18,,2021-04-30 03:51:03+00:00,"['flood', 'flooding', 'floods', 'news', 'newsoftheworld', 'newsupdate', 'nachrichten', 'jesus', 'jesuschrist', 'jesussaves', 'jesusofnazareth']",Twitter,,https://twitter.com/GPatron119/status/1387894728465727491,God is Shaking the World !!! Biblical Events !!!  https://t.co/TIYZ8ZShkL via @YouTube  #Flood #flooding #floods #News #NewsoftheWorld #NEWSUPDATE #Nachrichten #Jesus #JesusChrist #JesusSaves #JesusOfNazareth[],English
2633,1.4e+18,,2021-06-02 10:22:04+00:00,,Twitter,Jamaica,,Government and Partners officially launch a joint appeal of US$ 32 million to support flood victims - ETAN  https://t.co/YOBUIeNBkG #TimorLeste,English
3780,296230470.0,,2021-04-19 23:32:32+00:00,"['compensation', 'floods', 'dagestan']",Twitter,,https://twitter.com/CaucasianKnotEn/status/1384205789728952321,"More than 1150 families, whose houses fell into the flooded zone of the Irganai reservoir, failed to receive #compensation for their houses, the Dagestani authorities stated, promising to solve these problems.  #floods #Dagestan  More:  https://t.co/V62B0ozYTD[]",English
3888,3111226033.0,,2021-04-15 09:21:15+00:00,"['floods', 'gpwx']",Twitter,,https://twitter.com/TimMelino/status/1382542008716247040,"Communities threatened by #FLOODS in Texas, Louisiana  https://t.co/NL2Pi8YXqW #GPWX[]",English
3106,1.35e+18,,2021-11-05 12:32:35+00:00,"['floods', 'southpunjab', 'efforts', 'rescue', 'cm', 'shabazsharif', 'nemories', 'women', 'mpa', 'memoriesforlife']",Twitter,,https://twitter.com/Umarfarooq3311/status/1392012242196041729,"fllood effected ryk a lot, Maiza hameed M.P.A done a great job for relife & rehabilition for local community, well done & keep it up #floods #SouthPunjab #efforts to #rescue people in #cm #shabazsharif #nemories being the only #women #mpa I did my very best  #memoriesforlife  https://t.co/tEc2URnFQx['https://pbs.twimg.com/media/E1FrwbCWYAAjxcl.jpg']",English
