,category
446,drought
892,none
602,drought
128,none
5,drought
27,none
318,none
622,drought
315,none
1578,none
1060,drought
731,none
1443,none
282,none
942,drought
192,drought
635,drought
1798,none
61,none
463,drought
891,none
433,drought
507,none
387,drought
155,drought
1637,none
243,none
205,drought
576,drought
734,none
2402,none
1093,drought
638,drought
825,none
490,drought
216,drought
857,none
557,none
178,none
754,none
678,drought
528,drought
1206,none
1555,none
896,none
603,drought
25,none
71,none
637,drought
111,none
18,drought
472,drought
1342,none
629,drought
755,drought
180,none
13,none
320,none
217,drought
960,drought
1804,none
1262,none
148,drought
580,drought
152,none
751,drought
406,drought
1603,none
551,drought
78,none
393,drought
2388,none
579,drought
632,none
951,none
1537,none
14,none
173,drought
158,drought
474,drought
504,drought
2457,none
95,drought
565,drought
950,none
1019,none
459,drought
397,drought
166,drought
480,drought
1467,none
172,none
730,drought
1052,drought
958,none
1909,none
837,none
289,none
924,drought
1009,drought
221,none
8,drought
1890,none
465,drought
620,drought
384,drought
395,drought
566,drought
1566,none
979,none
961,none
1107,drought
693,none
107,none
829,drought
869,drought
1814,none
1401,none
1763,none
975,none
936,drought
885,none
188,drought
469,drought
1415,none
906,none
930,drought
57,none
1858,drought
762,none
1027,drought
416,drought
1127,none
606,none
