,category
1395,flood
42,none
1779,flood
941,none
2048,flood
500,none
1597,none
2117,flood
1071,none
1558,none
2181,flood
670,none
1818,none
320,none
1989,flood
1432,flood
2198,flood
1586,none
1604,none
1497,flood
712,none
2237,flood
2083,none
1494,flood
1530,flood
1909,none
371,none
2213,flood
2353,flood
256,none
994,none
1360,flood
1965,flood
1458,none
2347,flood
483,flood
745,none
2152,none
907,none
876,none
1315,flood
2226,flood
903,none
950,none
673,none
2376,flood
123,none
259,none
2087,flood
1462,none
263,flood
1288,flood
701,none
1277,flood
1374,flood
1022,none
1769,none
117,none
1370,flood
1420,flood
1743,none
966,none
2223,flood
1254,flood
738,none
1481,flood
1214,flood
245,none
1541,flood
2038,none
2258,flood
1847,none
1697,flood
50,none
1075,none
900,none
2153,none
314,flood
1515,flood
2203,flood
2356,flood
1543,none
288,flood
2304,flood
743,none
1627,none
2437,flood
2160,flood
2109,flood
1313,flood
774,none
2420,none
2360,flood
1946,flood
792,none
798,none
686,none
2269,none
2332,flood
2029,flood
623,none
2387,flood
2424,none
1504,flood
2170,flood
1356,flood
2408,flood
1207,flood
160,none
526,none
719,none
1372,flood
828,none
1546,none
1509,flood
1325,flood
334,none
695,none
69,none
1445,none
1354,flood
1787,none
1408,flood
1392,flood
922,none
240,none
1534,flood
1938,none
2214,flood
1463,none
1363,flood
1196,flood
267,none
787,none
