,Id,title,source URL,body,time,keywords,country,data source,language
259,FL-2021-000025-AUS,"Morning mail: NSW floods worsen, Australia exports 'negative climate policy', Trump returns - The Guardian",https://www.theguardian.com/australia-news/2021/mar/22/morning-mail-nsw-floods-worsen-australia-exports-negative-climate-policy-trump-returns,"Good morning, it’s Monday 22 March, and this is Imogen Dewey with the main stories today: extreme rain and floods are still wreaking havoc in New South Wales, the pandemic is surging again in Europe, and Trump might be returning to social media.

Horses and livestock were seen floating along rivers and washing up on beaches yesterday, as the mid-north coast faced a once-in-a-lifetime deluge. Hundreds of houses were damaged and thousands of residents evacuated as several dams spilled over (now the subject of “bitter dispute”). The downpour is expected to head inland today, and premier Gladys Berejiklian has warned thousands more people could be displaced in coming days. The state’s emergency service has said it will be working beyond Easter on the post-flood clean-up effort and restoration of key services; the as-yet-untallied bill looms on the horizon. “It’s devastating,” said one local in Raymond Terrace, north of Newcastle. “I’ve never ever seen anything like this.” Communities along the Hawkesbury River in NSW are bracing for once-in-a-generation flooding that could displace residents and disrupt utilities for months.

As Australia’s miners urge Europe to define nuclear power and fossil fuels with carbon capture as “sustainable”, the Minerals Council of Australia has been accused of trying to export its “negative approach to climate policy”. The Royal Swedish Academy of Science has meanwhile warned that measures for a healthier, more resilient planet – including reducing fossil fuel emissions – are being jeopardised by fake news on social media about climate change and biodiversity loss. In Canada, the main Conservative party has voted not to recognise the climate crisis as real.

As the Therapeutic Goods Administration approves Australian manufacturing of the AstraZeneca vaccine, a senior health official has said Australia will consider shortening the length of hotel quarantine for international arrivals – or shifting towards home quarantine once more people are vaccinated. Britain’s vaccine program is facing a two-month delay in the event of an EU export ban, derailing plans to reopen as its infection rate stalls. Cases are rising again across Europe, with Germany and Belgium poised to tighten their lockdowns and leaders cancelling plans to meet in person.

Australia

The Australian governments’ procurement policies have caused an ‘explosion’ in Indigenous businesses, most of which are majority owned and controlled by Aboriginal people. Photograph: Mike Bowers/The Guardian

Indigenous entrepreneurs are being urged to verify their businesses in order to weed out businesses engaging in “black-cladding” to secure contracts under government procurement policies.

Labor has questioned if Scott Morrison should allow Christian Porter to return “on a full-time salary but doing the part-time work”. Kristina Keneally has drawn the pointed comparison with the government’s advice victims of domestic violence should use their own super to escape dangerous relationships.

The British royal family (and ours, technically) are considering appointing a diversity tsar under new plans to modernise the monarchy. After reviewing policies and procedures, Buckingham Palace has acknowledged that “more needs to be done”.

The world

Recently Donald Trump has released short, combative statements that many observers have likened to his tweets of old. Photograph: John Raoux/AP

Donald Trump will soon use “his own platform” to return to social media, an adviser said on Sunday, months after the former president was banned from Twitter for inciting the US Capitol riot.

After the director of the FBI said the shootings in Atlanta – in which eight people were killed, including six women of Asian descent – did not appear to have been racially motivated, Georgia senator Raphael Warnock said on Sunday: “We all know hate when we see it.”

Joe Biden has joined European leaders in condemning Turkey’s withdrawal from a landmark international accord designed to protect women from violence. The country also faces a currency crisis, after president Recep Tayyip Erdoğan sacked the country’s central bank chief.

Philippine troops have killed a leader of the Abu Sayyaf kidnap-for-ransom group and rescued four Indonesian hostages held since last year, the military said yesterday.

Recommended reads

‘The eshay scourge is pure invention, a way to sell advertising, with no thought given to the context or consequences.’ Composite: MD9

The eshays moral panic shows how lazy the Australian media can be, writes Alex McClintock. “My nerdy 12-year-old self would probably be surprised to learn that he would one day write an article defending his rat-tailed tormentors, but he also had no idea how vapid, unimaginative and spiteful the commercial media of 2021 would be. They drove me to it, dude.”

“It’s recycled but is it recyclable?” I asked my colleague. “No,” she said, “it’ll end up in landfill.” Demand for sustainable activewear is soaring but without technological improvement, marketing appeal will outstrip environmental benefit, writes Lucianne Tonti. “In the meantime, is polyester something we should be wearing at all?”

The Productivity Commission is currently inquiring on the right to repair in Australia, and how easy it is for consumers to get their phone fixed by anyone other than Apple, Samsung or any of the other device manufacturers. So, asks Josh Taylor: if your screen smashes or your phone won’t charge anymore, what options do you have?

Freaks and Geeks launched the careers of Judd Apatow, James Franco and and Busy Philipps. But this late-90s comedy, “criminally axed after just one season”, is so much more than just a springboard for big names, writes Giselle Au-Nhien Nguyen. “Growing up is a lonely business. Films and television shows have unpacked the agony of adolescence for years, but few have captured it as beautifully or authentically.”

Listen

More than 300 Covid vaccine candidates are in development and more than 400m doses have been administered. But those people are overwhelmingly found in just a few of the world’s richest countries. As the Guardian’s international correspondent Michael Safi tells Anushka Asthana on Full Story, this huge economic global divide means some are facing a wait of up to three years, if they can get a jab at all.

Full Story The great global vaccine divide Sorry your browser does not support audio - but you can download here and listen https://audio.guim.co.uk/2020/05/05-61553-gnl.fw.200505.jf.ch7DW.mp3 00:00:00 00:26:48

Full Story is Guardian Australia’s daily news podcast. Subscribe for free on Apple Podcasts, Spotify or any other podcasting app.

Sport

Neither Adelaide nor Sydney, two clubs in varying stages of rebuild, will likely be contending for the 2021 AFL premiership, but their remarkable round-one triumphs “said as much about the teams they defeated as it did of their own states of being”, writes Scott Heinrich. “More to the point, they provided a blueprint going forward that any team worth their salt would be mad to ignore.”

El Salvador’s top surfer, who had been preparing for the sport’s Olympic debut this summer, has been struck and killed by lightning during a training session.

“A competition beset by overthinking has, for years, found itself unable simply to experience. This season is bucking that trend,” writes Jonathan Howcroft. “Liberated by a lack of expectation, sensation has quelled thought and the result is joyous. Approaching the halfway mark, season 2021 seems destined to be ranked among the most entertaining in A-League history.”

Media roundup

Dfat is assisting two Australians detained under house arrest after attempting to leave Myanmar on a relief flight, the ABC reports. The Greens have told the Sydney Morning Herald they’re betting voters will embrace a hung parliament, if it means getting rid of Scott Morrison. There are calls to change visa rules so undocumented workers in Australia don’t miss out on a Covid vaccine – which would also pose a risk to the efficacy of the rollout, reports the Age.

Coming up

Plans for this year’s Anzac Day services will be revealed today.

Tonight, Four Corners investigates the Brittany Higgins story – “who knew what, when”.

And if you’ve read this far …

Think of this as your sign not to give up. Six years after it was illegally bulldozed, a London pub has been rebuilt brick by brick, thanks to a dogged campaign by locals. “People said it was impossible,” said Polly Robertson, a leading member of Rebuild the Carlton Tavern. “Many people said, ‘Polly, it’s not worth it, nothing’s going to happen’. And I just thought, no – I’m not going to let it lie.”

Sign up

If you would like to receive the Guardian Australia morning mail to your email inbox every weekday, sign up here.",2021-03-21 07:00:00+00:00,"['exports', 'worsen', 'mail', 'returns', 'social', 'nsw', 'floods', 'media', 'vaccine', 'morning', 'thought', 'season', 'plans', 'negative', 'trump', 'policy', 'australia', 'writes', 'scott']",Australia,news article,English
35,DR-2014-000109-CHN,"Conference Highlights Food Safety, Sustainable Agriculture - Scoop.co.nz",https://www.scoop.co.nz/stories/SC1408/S00040/conference-highlights-food-safety-sustainable-agriculture.htm,"Conference Highlights Food Safety, Sustainable Agriculture

GE Free New Zealand

In Food And Environment Inc.

15 August, 2014

China Conference Highlights Food Safety and Sustainable Agriculture

The deleterious effects of GE foods and their related pesticides were aired at the Food Safety & Sustainable Agriculture Forum 2014, held in Beijing on July 25-26.

""China is taking a lead in assessing agricultural methods for local and imported foods, and GMOs are under intense scrutiny as to their safety,” said GE Free NZ president Claire Bleakley who attended the forum.

“China with over a billion people is taking safe food production very seriously and cleaning up its supply chain. There is a strong move toward sustainable agro-ecological methods of food production and processing, with significant implications for New Zealand producers and exporters.""

A particular concern for food safety discussed in Beijing is the rising level of pesticides related to GMOs entering the food chain. [1]

The international conference included genetic researchers, university professors, medical doctors, veterinarians, livestock farmers, arable farmers, agricultural consultants, leaders and community groups from China, Taiwan, U.S.A, Russia, U.K., France, Denmark, Germany, Australia, New Zealand, Argentina, Brazil and Peru. [2]

Dr. Vandana Shiva and Dr. Hans Herren talked about examples of existing food production systems for agro-ecological sustainability, with an emphasis on non-pesticide land use methods. The importance for seed diversity and the ability of such systems to provide long-term resilience in times of drought and flood was highlighted.

Agro-ecological methods increase yields and nutrition for those who are living in areas of weather extremes and where food can be scarce. It is also important for farmers to be able to retain sovereignty over their food systems by saving seeds that have acclimatised to specific growing conditions.

Dr. Shiva showed how successfully protecting seed diversity and organic systems provides resilience for farmers and communities. In India, GE crops have been a disaster for farmers especially those who embraced GE cotton in areas reliant on direct rainfall. Crop failure has led to disproportionate levels of farmer suicide.

Pig farmer, Mr. Ib Pedersen, fed his animals GM soy and found that the adverse effects heavily impacted his ability to farm economically. Animal health deteriorated to the extent that the animals were suffering from constant diarrhoea, irritability, and reproductive disorders leading to severe defects, congenital malformations, and death.

Mr. Gloeckner, dairy farmer, who was initially happy to trial GE corn on his stock, was shocked to find his animals died after eating the corn. He had to sell his farm and has been devastated economically and emotionally by this experience. Chinese investigative journalists reported similar stories from farmers in China.

Scientists from France and Australia and the USA reported on their animal research with GE foods with results showing severe gut inflammation, liver and kidney problems and tumour development.

The clinical report by Dr. Vazquez, paediatrician from Argentina, was chilling; his practice has seen a tripling in cancer rates, deformities, abortions and children born with tumours, Downs syndrome, and Spina bifida, all in areas where herbicide-tolerant GE crops are grown.

Zen Honeycutt, Moms across America, tested the levels of RoundUp residues (RoundUp’s active ingredient Glyphosate is a registered antibiotic), in the urine of mothers and children. She spoke of concern for the health of children and adults because of constant exposure to the antibiotic properties of RoundUp herbicides in GE food.

Dr. Stephanie Seneff presented her research into the link between glyphosate and autism, as well as increases in allergies, gut disorders and mineral deficiencies. [3]

“This growing body of scientific evidence of harm is shocking. The very seeds that have sustained people's health for millennia are now, because of GE foods, causing a lifetime of deformities and chronic disease,"" said Claire Bleakley.

“The deleterious effects of GE DNA may be worse than a nuclear catastrophe due to the long term persistence of the engineered genes in the environment causing intergenerational adverse effects on complex living systems.""

Evidence discussed at the conference constitutes a direct warning for New Zealand.

The government, agricultural producers and exporters must heed the rising rejection of GE foods in markets such as China, and support New Zealand’s current GE-Free status by investing in agro-ecological, sustainable methods that support a safe food system.

ENDS

© Scoop Media

",2014-08-15 07:00:00+00:00,"['systems', 'agriculture', 'highlights', 'effects', 'safety', 'ge', 'foods', 'conference', 'farmers', 'sustainable', 'methods', 'food']",China,news article,English
968,FL-2019-000084-IND,Monsoon floods kill dozens and displace millions in India - BBC News,https://www.bbc.com/news/world-asia-india-49028155,"Rescue and relief efforts are under way - but they have been slowed by the remoteness of many of the flooded villages. Rains have also continued, making it that much harder to get supplies in.",2019-07-18 07:00:00+00:00,"['making', 'relief', 'displace', 'rescue', 'supplies', 'slowed', 'remoteness', 'floods', 'way', 'villages', 'dozens', 'rains', 'millions', 'harder', 'kill', 'india', 'monsoon']",India,news article,English
11,DR-2014-000109-CHN,Even Keurig is raising prices due to sky-high coffee costs - Quartz,https://qz.com/249473/even-keurig-is-raising-prices-due-to-sky-high-coffee-costs/,"Following in the footsteps of Starbucks and Maxwell House, single-serve coffee giant Keurig Green Mountain is set to raise prices by up to 9% on all of its products, including its hugely popular K-Cup portion packs. The company had been comparatively slow to raise prices, possibly because the margins on K-cups are so high that they could absorb coffee price increases for a time.

The gross margin on K-Cups can approach 50% in some cases, huge for any industry, let alone food retail.

The increase will go into effect November 3rd. Behind the jump is a massive increase in the price of green coffee, which is up more than 50% over the past year, after a drought and disastrous harvest in Brazil. The prices have soared, stayed high:

no-caption

The price increase comes ahead of the company’s rollout of its new Keurig 2.0 machine, which will come with the ability to detect knockoff unlicensed pods, and to brew carafes of coffee instead of just a cup.

In its most recent earnings call, the company said it had locked in its coffee supply through 2015. But the pressure to make up those coffee costs, as well as increases in the prices of packaging materials, energy, and transportation—and to follow the lead of competitors—was apparently too much.",2014-08-14 07:00:00+00:00,"['increase', 'costs', 'green', 'skyhigh', 'raise', 'company', 'keurig', 'coffee', 'price', 'kcups', 'increases', 'prices', 'raising']",China,news article,English
1215,FL-2021-000030-IDN,"Indonesian flash flooding kills 41 people while a child, two, dies from landslide in severe weather event - 7NEWS.com.au",https://7news.com.au/weather/severe-weather/deadly-floods-landslides-in-indonesia-c-2513084,"Flash floods unleashed by torrential rains have killed 41 people on the Indonesian island of Flores, the disaster management agency BNPB says, and at least three more were reported killed in neighbouring East Timor.

At least 49 families were hit on Flores, in the east of Indonesia’s sprawling archipelago, Raditya Jati, a BNPB spokesman said in a statement on Sunday.

“Dozens of houses were buried in mud in Lamanele village... residents’ houses washed away by the flood,” Raditya said, referring to the eastern part of Flores.

On Adonara island to the east of Flores, a bridge collapsed and rescuers were battling heavy rain, strong wind and waves, he added.

In neighbouring East Timor, a two-year-old child was among at least three people killed in a landslide on the outskirts of the capital, Dili, a Reuters witness said, although there was no official toll of casualties or deaths.

Landslides and flash floods have killed a number of people in Indonesia. Credit: AP

“Heavy rains and overflowing water have drowned people’s homes and have also claimed the lives of several victims,” East Timor deputy prime minister Jose Reis said in a statement.

“There are roads that have collapsed, trees have fallen, and made it difficult to access some areas,” he said, calling the incident the worst in East Timor in 40 years.

Power supplies were cut and the presidential palace was flooded as heavy rain and strong winds have lashed Dili since late on Saturday.

People inspect damaged buildings at a village hit by flash flood in East Flores, Indonesia, Sunday, April 4, 2021. Credit: Ola Adonara / AP

Civil protection officials in East Timor could not immediately be reached for comment. Social media posts showed collapsed buildings and vehicles submerged by flash floods.

Indonesia’s weather agency said a tropical cyclone was approaching the Savu Straits between the southern part of Nusa Tenggara province and East Timor’s north coast, warning that it could bring yet more rain, waves and winds.",2021-04-04 07:00:00+00:00,"['rain', 'flores', 'waves', 'timor', 'flash', 'flooding', 'kills', 'winds', 'east', 'indonesian', 'weather', 'village', 'severe', 'dies', 'landslide', 'killed', 'collapsed', 'event', 'child']",India,news article,English
976,FL-2019-000084-IND,"Akshay Kumar on donating Rs 2 cr towards Assam floods: ‘God has given me a lot of money, kahaan leke jaane hain paise’ - Hindustan Times",https://www.hindustantimes.com/bollywood/akshay-kumar-on-donating-rs-2-cr-towards-assam-floods-god-has-given-me-a-lot-of-money-kahaan-leke-jaane-hain-paise/story-j7wWNNgWtNsxhfGmcTjfsI.html,"This monsoon, the ravaging flood situation in Assam wreaked havoc with over 90 human lives lost and hundreds of animals killed in the famed Kaziranga National Park. Calling it a “heart-breaking” situation, actor Akshay Kumar was among the first to donate Rs 2 crore for the same. The actor gave a crore each towards the Assam Chief Minister’s Relief Fund, and for the rescue work in Kaziranga National Park.

“Honestly, jab maine paise diye, I didn’t feel good. But I felt really good when I got a call from the Assam Chief Minister (Sarbananda Sonowal), who told me that, ‘aapke donation ke baad, bahut saare aur bhi logon ne donation diya.’ That made me happy. I really feel that our nation is an amazing one. If there’s ever any problem, you just have to start something and then there’s a ripple effect. You know, when I worked on ‘Bharat Ke Veer’ app, you can’t imagine how many people made donations. India is a large-hearted nation. We just need a little push,” says the actor.

Recently, an Assamese singer, Bornalee Deuri thanked Akshay on the Kapil Sharma Show for his donation. Says Akshay: “One of the images that really affected me was of a mother holding her baby on her shoulders and wading through the flood waters. There was no expression of sadness or stress on her face. And that’s a dangerous sign. What all she must have gone through that she forgot all her sorrows. When I come across such photos, I am like, ‘it can happen to my wife or my daughter.’ Aisi photos bahut choobhtin hai. That’s why I did what I did,” he says.

Animals’ plight, too, has “moved” Akshay. “I also saw some images of animals like rhinoceros, who were drowning, dying and screaming. We should all come together during such times – regardless of whether you can donate Rs 2 or 5 lakhs. That’s how a country is made. And humanity is all about that. I admit that God has given me a lot of money, so I give away without thinking twice. Kahaan leke jaane hai paise,” he wraps up.

Work-wise, Akshay – whose latest film, Mission Mangal has crossed Rs 100 crore mark In India today – has an envious line-up ahead – Housefull 4, Good News, Sooryavanshi, Laxmmi Bomb and Bachchan Pandey followed by Prithviraj Chauhan. “See, agar yeh films chal gayi toh [line-up] accha hai. Otherwise, koi kucch nahi kar sakta with any sort of line-up of films. You know, a great man had once said, ‘you will keep going up and down, and down and up in life.’ So, it’s all good, as long as I enjoy the journey,” says the actor.

Follow @htshowbiz for more

ott:10",2019-08-19 07:00:00+00:00,"['really', 'donation', 'hai', 'money', 'jaane', 'kahaan', 'lineup', 'crore', 'kumar', 'rs', 'good', 'hain', 'thats', 'paise', 'akshay', 'assam', 'lot', 'god', 'leke']",India,news article,English
923,FL-2018-000134-IND,Kerala Flood: Life comes to a standstill in Kerala due to incessant rains - The New Indian Express,https://www.newindianexpress.com/galleries/nation/2018/aug/11/kerala-flood-life-comes-to-a-stand-still-in-kerala-due-to-incessant-rains-101707.html,"Migrant worker Anburasen a native of Udumalpettu in Tamil Nadu shifting his belongings from his rented house at Eloor as water levels rose from the overflowing Periyar in the area. Nearly 11 Tamil families have shifted to the relief camp opened at Pathalam High School. (Photo |Albin Mathew/EPS)

3 / 10",2018-08-11 07:00:00+00:00,"['rose', 'kerala', 'water', 'rented', 'relief', 'flood', 'comes', 'standstill', 'incessant', 'tamil', 'worker', 'rains', 'shifting', 'shifted', 'udumalpettu', 'school', 'life']",India,news article,English
1325,FL-2020-000207-NGA,This image of a flooded road in Nigeria has been circulating online since 2019 - AFP Factcheck,https://factcheck.afp.com/image-flooded-road-nigeria-has-been-circulating-online-2019,"This image of a flooded road in Nigeria has been circulating online since 2019

Copyright AFP 2017-2021. All rights reserved.

An image of trucks and cars on a flooded road has been shared in multiple social media posts claiming to show a submerged highway in Nigerias southern Ogun state following a recent heavy downpour. This is partly false; while the location is correct, the photo has been circulating since at least 2019.

The image appears in numerous Facebook posts, including this one published on March 24, 2021, with more than 500 shares.

Sango Ota bridge, I understand this was yesterday o (sic), reads the Facebook post published on a page called Lady K ifeoluwa show. It has a history of calling for the secession of the Yoruba nation from Nigeria.

Screenshot taken on March 29, 2021, showing the misleading Facebook post

Sango Ota is a town in Nigerias southwestern Ogun state and is home to the countrys former president, Olusegun Obasanjo. The majority of inhabitants in the region are Yorubas, a large ethnic group in the west African country.

The rest of the post, translated from Yoruba into English, pleads for the intervention of state officials and then declares end Nigeria now.

The photo it refers to shows submerged vehicles on a flooded road, and features alongside an almost identical claim in this Facebook post with more than 800 shares, as well as on Twitter.

However, the image has been circulating online for more than a year.

Old photo

Using the social media monitoring tool CrowdTangle, AFP Fact Check traced earlier versions of the claim to Facebook accounts here and here on March 22, 2021.

It was reposted on Facebook the next day by Joe Igbokwe, the special adviser to the Lagos state governor for drainage and water resources.

Sango Bridge after yesterday's rain, this is sign of what the people of that area should be expecting this year except the drainages are cleared. Please tell Ogun State to consult me (sic), reads Igbokwes Facebook post.

Screenshot taken on March 29, 2021, showing the misleading claim on Joe Igbokwes page

AFP Fact Check has previously debunked misleading information shared on Igbokwes account.

In this case, AFP Fact Check confirmed that it actually rained in Sango Ota on March 22, 2021, according to the World Weather Online site.

World Weather Online screenshot taken on March 29, 2021

Furthermore, an AFP journalist in Nigeria confirmed that the photo was indeed taken in the town.

However, the viral image is not evidence of any recent rainfall or flooding.

A Google reverse image search led to this Facebook post and the same picture from September 7, 2019, captioned ""Yesterday Rain @ Sango"". Five days later, global humanitarian organisation ReliefWeb reported that heavy rainfall in the preceding weeks had caused flooding in some parts of the country.

Flooding has long been an issue in the town. In 2011, residents called on the government to construct drainage to prevent an environmental disaster. Sango Otas roads were among those in Ogun and neighbouring Lagos state highlighted by Nigerian daily newspaper The Punch in 2019 during heavy rains.",2021-03-30 07:00:00+00:00,"['circulating', 'taken', 'facebook', 'ogun', 'image', 'flooded', '2019', '2021', 'nigeria', 'online', 'road', 'state', 'sango', 'post', 'afp']",Nigeria,news article,English
1581,http://floodlist.com/africa/kenya-floods-may-2021,Wildlife conservationists rescue 8 stranded giraffes from flooded island in Kenya - WFLA,https://www.wfla.com/news/international/wildlife-conservationists-rescue-8-stranded-giraffes-from-flooded-island-in-kenya/,"(NBC) â?? A group of wildlife experts has started the process to rescue eight giraffes stranded on an island in western Kenya.

Rothschild giraffes are endangered animals and this group was placed in an area near the lake 10 years ago.

The area was a peninsula then but has recently become an island due to unexpected high water levels.

Two giraffes, including the groupâ??s only female, were rescued Sunday.

The rescues were a delicate operation with each animal being tranquilized, blindfolded, and led to a barge that will ferry the animal to its new 4,400-acre refuge.

The remaining six giraffes will be moved from the island in the next month or so.

Three groups took part in the rescue, the Kenyan Wildlife Service, the Northern Rangelands Trust and Save the Giraffes Now.

There are fewer than 3,000 Rothschildâ??s giraffes left in Africa. Only about 800 in Kenya.",2020-12-06 08:00:00+00:00,"['animal', 'group', 'groups', 'western', 'conservationists', 'area', 'island', 'rescue', 'stranded', 'water', 'kenya', 'flooded', 'giraffes', 'wildlife']",Kenya,news article,English
721,Drought Sri Lanka,Allegations of War Crimes in Sri Lanka Shake Indian Government - New York Times,https://india.blogs.nytimes.com/2013/03/19/allegations-of-war-crimes-in-sri-lanka-shake-indian-government/,"Photo

NEW DELHI– The Congress Party faced a new crisis on Tuesday after a southern political party threatened to withdraw from the governing coalition if India did not join an international push to investigate alleged war crimes in Sri Lanka.

The possible pullout would leave the beleaguered United Progressive Alliance still in control of the Indian government, but it marks the latest case of arm-twisting by fractious government allies ahead of national elections scheduled for next year.

The Dravida Munnetra Kazhagam, or D.M.K., the opposition party in the state of Tamil Nadu, withdrew five ministers from the governing coalition in order to pressure the government to adopt a resolution in Parliament declaring that genocide and war crimes have been committed against Tamils by the Sri Lankan army and administration. But the party has yet to make the withdrawal official by sending a letter to the president announcing the party’s resignation.

This week, the United Nations Human Rights Council, which includes India, is expected to vote on a United States-backed resolution that urges Sri Lanka to deliver on promises to investigate allegations of a mass slaughter of Tamil civilians as the country’s civil war ended in 2009 and also cites reports about possible continued atrocities. The D.M.K. has called for the United Nations resolution to explicitly accuse Sri Lanka of genocide.

Political parties in Tamil Nadu have often voiced their concerns about the welfare of the Tamil minority in Sri Lanka, the island nation off the south Indian coast, where Tamil rebels, known as the Liberation Tigers of Tamil Eelam, or L.T.T.E, fought to gain autonomy for the Tamil regions of the country.

The D.M.K. said it wanted an independent international body to investigate what it describes as a genocide committed by the Sri Lankan government during the country’s bloody 26-year civil war, The Hindu newspaper reported, citing a statement in Tamil by the party’s chief, Muthuvel Karunanidhi. Human rights activists say that more than 40,000 Tamils died during the war.

Palaniappan Chidambaram, India’s finance minister and a senior leader of the Congress-ruled governing coalition, said the D.M.K.’s absence would not cause the government to collapse.

“The government is absolutely stable and enjoys a majority in the Lok Sabha,” he said, referring to the lower house of Parliament. Mr. Chidambaram, who is from Tamil Nadu, was also one of three senior Congress leaders who visited the D.M.K. chief on Monday, hoping to resolve the issue.

“This is not a crisis,” he emphasized as he addressed reporters Tuesday morning.

The D.M.K. said it was withdrawing 18 legislators from the coalition in the Lower House of Parliament, but the Congress Party, which leads the United Progressive Alliance, looks unlikely to be toppled. That’s because in order for the government to fall, a “no-confidence” vote would need to pass the lower house with a simple majority. Of the lower house’s 540 seats, the Congress Party controls the lion’s share with 203 seats and has enough additional support from outside parties, including 43 seats from two political parties in the state of Uttar Pradesh alone, to defeat any such vote.

Mr. Chidambaram said that the president of the Congress Party, Sonia Gandhi, and Prime Minister Manmohan Singh have been briefed about the D.M.K.’s demands and that all political parties are already being consulted on a possible Parliament resolution on the issue.

“We’re examining the text of the final draft that came up before us last night,” Mr. Chidambaram said, but he added that he was not aware of what stand each political party would take on the issue.

Photo

“We are fully committed to the cause of the Lankan Tamils and an impartial inquiry should happen into the allegations of atrocities against them,” Mrs. Gandhi said Tuesday, according to the Press Trust of India. Mrs. Gandhi’s husband, former Prime Minister Rajiv Gandhi, was killed in 1991 by a female suicide bomber believed to be associated with the L.T.T.E. in Sri Lanka.

Mr. Karunanidhi said the D.M.K. would reconsider the pullout if its demands are met, a position Mr. Chidambaram said Congress members have noted.

The D.M.K. is the second major political ally to threaten to yank its support from the governing coalition. In September, the All India Trinamool Congress, which governs the state of West Bengal, pulled out of the alliance, protesting a package of fuel price increases and pro-business economic changes.

Analysts say that the current standoff maybe just politics as usual as the D.M.K. struggles to draw attention to the plight of Tamils in Sri Lanka, a deeply emotional issue in the Indian state of Tamil Nadu. Over the past week, thousands of students across Tamil Nadu, including in Coimbatore, Tirunelveli and Salem, have fasted , picketed and boycotted classes as they demand an independent investigation into the Sri Lankan government’s treatment of Tamils.

Indian police has issued arrest warrants for hundreds of university students in Chennai who were demonstrating against the Sri Lankan treatment of Tamils.

The recent upheaval in Tamil Nadu has been sparked by the recent release of disturbing photographs of the body of the former Tamil rebel leader’s 12-year old son, who appeared to have been shot at close range in the chest, and a report on the continued abuse of Tamils in Sri Lanka. Many of the 72 million citizens of Tamil Nadu relate to and support Sri Lankan Tamils, with whom they share a common language.

On Tuesday, Parliament was disrupted over the issue, which has drawn heated debate on the House floor in recent days.",2013-03-19 07:00:00+00:00,"['tamil', 'lankan', 'united', 'crimes', 'lanka', 'shake', 'sri', 'allegations', 'dmk', 'political', 'party', 'nadu', 'war', 'tamils', 'congress', 'indian']",Sri Lanka,news article,English
