,conversation_id,created_at,date,time,timezone,user_id,username,name,tweet,Manual Labels,Auto Label,language,urls,Unnamed: 13,photos,hashtags,link
9501,1.32e+18,2020-11-07 02:43:29 India Standard Time,07-11-2020,2:43:29,530,1.3e+18,tetovaonline,Tetova Online,Flooding in Valencia and Alicante #Inundaciones #Floods #Valencia #Alicante  https://t.co/0tJFHbz316 via @YouTube   #Inundaciones #Floods #Valencia  #Alicante #Spain,flood,,en,['https://youtu.be/TXHeMm1j18o'],,[],"['inundaciones', 'floods', 'valencia', 'alicante', 'inundaciones', 'floods', 'valencia', 'alicante', 'spain']",https://twitter.com/TetovaOnline/status/1324822234423316482
9502,1.32e+18,2020-11-07 02:30:06 India Standard Time,07-11-2020,2:30:06,530,7.27e+17,bagaluesunab,Caribbean disaster,Remains of Hurricane #Eta dumped more torrential rain across large parts of Central America on Friday after days of devastating #floods and landslides that killed dozens of people  https://t.co/MiAjkHsRKv,flood,,en,['https://tmsnrt.rs/3p439Qa'],,[],"['eta', 'floods']",https://twitter.com/BagalueSunab/status/1324818867819085826
9503,1.32e+18,2020-11-07 02:13:50 India Standard Time,07-11-2020,2:13:50,530,89711639.0,trf_climate,TRF Climate,Remains of Hurricane #Eta dumped more torrential rain across large parts of Central America on Friday after days of devastating #floods and landslides that killed dozens of people  https://t.co/6DSRVNdD2E,flood,,en,['https://tmsnrt.rs/3p439Qa'],,[],"['eta', 'floods']",https://twitter.com/TRF_Climate/status/1324814772056051714
9504,1.32e+18,2020-11-07 01:38:24 India Standard Time,07-11-2020,1:38:24,530,2903859174.0,californiadds,California DDS,"A #disaster could happen at any moment like #wildfires, #earthquakes &amp; #floods. When we all do our part, we keep more people safe!   1⃣ Get Official Alerts  2⃣ Make A Plan 3⃣ Pack A Go-Bag  4⃣ Build A Stay Box 5⃣ Help Friends and Neighbors   For more info:  https://t.co/PsO1GjVcDI  https://t.co/Vrk1IqcL1d",none,,en,['http://bit.ly/3afRp5U'],,['https://pbs.twimg.com/media/EmKn5-NVoAAvWCi.jpg'],"['disaster', 'wildfires', 'earthquakes', 'floods']",https://twitter.com/CaliforniaDDS/status/1324805857868046336
9505,1.32e+18,2020-11-07 00:54:05 India Standard Time,07-11-2020,0:54:05,530,1.16e+18,watchourcity,WatchOurCity.com,(AP News) Eta back to sea as Central America tallies damages and dead  https://t.co/5veNVItFjk #AccidentsAndDisasters #Caribbean #CentralAmerica #DiseasesAndConditions #EnvironmentAndNature #Floods #ForeignAid,none,,en,['https://watchourcity.com/ap-news/eta-back-to-sea-as-central-america-tallies-damages-and-dead/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter'],,[],"['accidentsanddisasters', 'caribbean', 'centralamerica', 'diseasesandconditions', 'environmentandnature', 'floods', 'foreignaid']",https://twitter.com/WatchOurCity/status/1324794704932835328
9506,1.32e+18,2020-11-07 00:45:03 India Standard Time,07-11-2020,0:45:03,530,9.87e+17,tedstromwealth,Tedstrom Wealth Advisors,"You may not be able to stop #floods from wreaking havoc, but #insurance can manage some of the financial loss.  https://t.co/V1fUccmfZa",none,,en,['https://myf.mg/byVM'],,[],"['floods', 'insurance']",https://twitter.com/TedstromWealth/status/1324792431846502400
9507,1.32e+18,2020-11-07 00:34:41 India Standard Time,07-11-2020,0:34:41,530,66000964.0,ertsar,ERT SEARCH & RESCUE,"ETA EMERGENCY: Right now, the rescue and evacuation of the people in the sector ""La Lima, Cortés"" continues, (due to the floods left by the #TropicalEta Depression)   #Floods #Rescue #FloodResponse",flood,,en,[],,[],"['tropicaleta', 'floods', 'rescue', 'floodresponse']",https://twitter.com/ERTSAR/status/1324789822586822659
9508,1.32e+18,2020-11-06 23:17:06 India Standard Time,06-11-2020,23:17:06,530,7.79e+17,arcatierraint,ONG Arca Tierra NGO,#RainWaterCollector  #NGO #ArcaTierra proposes its model of #rain water collector connected to #underground aquifers of the city to avoid #floods and shortages  We presented it at the international congress of #water   See how to build #sustainablecities  https://t.co/gu6dTBChwJ  https://t.co/jmw6SsADJE,none,,en,['https://ongarcatierra.wixsite.com/inicio/curso-3-purificar-aire-agua-oceanos'],,['https://pbs.twimg.com/media/EmKHj8kXgAEannt.jpg'],"['rainwatercollector', 'ngo', 'arcatierra', 'rain', 'underground', 'floods', 'water', 'sustainablecities']",https://twitter.com/arcatierraint/status/1324770294964342786
9509,1.32e+18,2020-11-06 22:31:18 India Standard Time,06-11-2020,22:31:18,530,4778325732.0,hyderabadmpost,Hyderabadmorningpost-City News,"Listen to Mr. Nagaraj Bakka, Swachh Bharat Abhiyan, #Malkajgiri of how they Collected Rs.7000-8000 from each house in January &amp; after 2 months another 5000 from each house.  He says: during the recent #floods #HyderabadFloods, the water entered the houses to a level of 6-7 fee...  https://t.co/J0sfpoeuZj",none,,en,[],,['https://pbs.twimg.com/media/EmJ9FAEVcAA1pz-.jpg'],"['malkajgiri', 'floods', 'hyderabadfloods']",https://twitter.com/Hyderabadmpost/status/1324758769465614337
9510,1.32e+18,2020-11-06 22:13:27 India Standard Time,06-11-2020,22:13:27,530,145243831.0,unosat,UNOSAT,"#Floods in the #Philippines  In Albay &amp; Camarines Sur Provinces, as of 6 Nov.: 🔹~120km² of lands appear to be flooded (📉-120km² since 1st Nov.) 🔹~ 80,000 people are potentially exposed  ➡️ https://t.co/QCdJuJw9wb  #Goni #RollyPH  https://t.co/j7YfmEvnKy",flood,,en,['https://unitar.org/maps/map/3170'],,['https://pbs.twimg.com/media/EmJ4z7FXIAAfm-f.jpg'],"['floods', 'philippines', 'goni', 'rollyph']",https://twitter.com/UNOSAT/status/1324754278272163840
9511,1.32e+18,2020-11-06 21:41:27 India Standard Time,06-11-2020,21:41:27,530,1.23e+18,yash030697,Yash,#dogs  #Floods   Help stray animals too 👇👇  https://t.co/lKAEnqeW6t,none,,en,['https://youtu.be/Z4OoNn1yf6k'],,[],"['dogs', 'floods']",https://twitter.com/yash030697/status/1324746226684755969
9512,1.32e+18,2020-11-06 21:36:08 India Standard Time,06-11-2020,21:36:08,530,8.33e+17,minerva_datalab,Minerva's Data Lab,honduras_flooding_eta_nov3.ipynb - Colaboratory #sentinel for #floods  https://t.co/uvoOtWs9bG,flood,,en,['https://colab.research.google.com/drive/1wP0PBLVlKQ_BnCr8pcNOHpZv1TEAPk1y?usp=sharing'],,[],"['sentinel', 'floods']",https://twitter.com/Minerva_DataLab/status/1324744887661678596
9513,1.32e+18,2020-11-06 21:33:09 India Standard Time,06-11-2020,21:33:09,530,380816669.0,alcisgeo,AlcisGeo,"Extensive #deforestation in #Afghanistan has had multiple social, environmental and economic implications for millions of Afghans, including increasing vulnerability to various natural disasters such as #floods, avalanches and landslides. #EnvConflictDay  https://t.co/iauYr7aBOk",none,,en,[],,['https://pbs.twimg.com/media/EmJvxhLX0AsUTzU.jpg'],"['deforestation', 'afghanistan', 'floods', 'envconflictday']",https://twitter.com/AlcisGeo/status/1324744138579972096
9514,1.32e+18,2020-11-06 21:26:51 India Standard Time,06-11-2020,21:26:51,530,4427415808.0,dada_bze,Dada 🇧🇿,God help us all.... #Eta #Belize #Floods  https://t.co/NymHVyNGxs,flood,,en,[],,"['https://pbs.twimg.com/media/EmJuUSDWoAAH1BS.jpg', 'https://pbs.twimg.com/media/EmJuUgQXEAA-ssa.jpg', 'https://pbs.twimg.com/media/EmJuUrUXEAE0e-w.jpg', 'https://pbs.twimg.com/media/EmJuUznXYAs5AW9.jpg']","['eta', 'belize', 'floods']",https://twitter.com/dada_bze/status/1324742552793305089
9515,1.32e+18,2020-11-06 21:24:25 India Standard Time,06-11-2020,21:24:25,530,574347534.0,rpallanuk,Richard Allan,Global #climate &amp; health hazards @PHE_uk bulletin: #HurricaneEta impacts central America; #TyphoonGoni hits Philippines; flash #floods in Singapore + Thailand &amp; damaging hail in Australia  https://t.co/zcla4J2p8P  https://t.co/1Q68DJSF88,flood,,en,['http://www.met.reading.ac.uk/~sgs02rpa/extreme.html#201106'],,"['https://pbs.twimg.com/media/EmJqkSkW0AA5WBX.jpg', 'https://pbs.twimg.com/media/EmJqkSiXEAEPb6Z.jpg', 'https://pbs.twimg.com/media/EmJrtuCXIAILR59.jpg']","['climate', 'hurricaneeta', 'typhoongoni', 'floods']",https://twitter.com/rpallanuk/status/1324741939892203522
9516,1.32e+18,2020-11-06 21:22:33 India Standard Time,06-11-2020,21:22:33,530,96718576.0,theglobalherald,The Global Herald,Contemporary Drivers of #Conflict and Insecurity - #UN ... -  https://t.co/6dnFVGxZ6b - #Banks #Change #Climate #ClimateChange #Competition #COVID19 #Development #Emergency #Floods #Inequality #Pandemic #PrimeMinister #Resources #Risk #Saint #Security #UnitedNations #Weather,none,,en,['https://theglobalherald.com/news/contemporary-drivers-of-conflict-and-insecurity-un-deputy-secretary-general/'],,[],"['conflict', 'un', 'banks', 'change', 'climate', 'climatechange', 'competition', 'covid19', 'development', 'emergency', 'floods', 'inequality', 'pandemic', 'primeminister', 'resources', 'risk', 'saint', 'security', 'unitednations', 'weather']",https://twitter.com/TheGlobalHerald/status/1324741469618479104
9517,1.32e+18,2020-11-06 21:20:54 India Standard Time,06-11-2020,21:20:54,530,1227019398.0,signalert,SIGNALERT,"#floods and #tsunamis are cause of very heavy #pollutions of ground water and soils by spreading and mixing all pollutants sources ripped out from their original places, including, cars, trucks, boats, planes, tanks, also by breaking pipes.  https://t.co/yc3XBUOjmr",none,,en,['https://www.linkedin.com/posts/undrr_tsunamis-are-rare-events-but-there-have-at-activity-6730407158669746177-B1Zl'],,[],"['floods', 'tsunamis', 'pollutions']",https://twitter.com/Signalert/status/1324741053111509001
9518,1.32e+18,2020-11-06 21:10:17 India Standard Time,06-11-2020,21:10:17,530,1945979065.0,oneindiabengali,Oneindia Bengali,"ফের বন্যার ভ্রুকুটি তামিলনাড়ুতে, ত্রাণকার্যের জন্য যুদ্ধকালীন তৎপরতায় চলছে আগাম প্রস্তুতির কাজ #TamilNadu #flood #Floods    https://t.co/deuq8gQDKQ",,,bn,['https://bit.ly/32k5FrK'],,[],"['tamilnadu', 'flood', 'floods']",https://twitter.com/OneindiaBengali/status/1324738381398487041
9519,1.32e+18,2020-11-06 20:29:37 India Standard Time,06-11-2020,20:29:37,530,472375710.0,lennayuso,Lenn ✨🌻💎,Aerial shots of #sanignacio #Cayo #Belize as #floods keep getting worse and #Eta is close to Belize. #EtaBelize #flooding #rain  https://t.co/jiGZFLFvhw,flood,,en,[],,"['https://pbs.twimg.com/media/EmJhNs2XYAEsAfG.jpg', 'https://pbs.twimg.com/media/EmJhN9eXEAE_M-3.jpg', 'https://pbs.twimg.com/media/EmJhOyrXEAA2Fpj.jpg']","['sanignacio', 'cayo', 'belize', 'floods', 'eta', 'etabelize', 'flooding', 'rain']",https://twitter.com/LennAyuso/status/1324728150065106944
9520,1.32e+18,2020-11-06 20:00:12 India Standard Time,06-11-2020,20:00:12,530,3030504268.0,rgs_ibghe,RGS-IBG Higher Ed,"“Extreme events like #bushfires and #floods are rarely related in a simple way to general trends in #climate” – Keith Richards (@CamUniGeography) for #TheGJ, now #openaccess and in Early View  https://t.co/eAt4BHAZaj  https://t.co/NnAVxihVEX",none,,en,['http://orlo.uk/uo9Ov'],,['https://pbs.twimg.com/media/EmJaf1HXIAExYpE.png'],"['bushfires', 'floods', 'climate', 'thegj', 'openaccess']",https://twitter.com/RGS_IBGhe/status/1324720745499549699
9521,1.32e+18,2020-11-06 19:49:50 India Standard Time,06-11-2020,19:49:50,530,1416535898.0,bobghosn,Bob Ghosn,"Are you still watching @cnn? In #DRCongo the #RedCross volunteers distributed shrlter kits and other essential items to communities affected by #Floods in #Sake  At moments of need, @crrdc1 volunteers are always here to help. We @IFRC_DREF are happy to support thanks to @eu_echo  https://t.co/DXiGhXNhvq",flood,,en,[],,"['https://pbs.twimg.com/media/EmJYGN8XgAAlwZe.jpg', 'https://pbs.twimg.com/media/EmJYGz4X0AAYH_A.jpg', 'https://pbs.twimg.com/media/EmJYHYAXIAItO-4.jpg', 'https://pbs.twimg.com/media/EmJYHjiXIAImjiD.jpg']","['drcongo', 'redcross', 'floods', 'sake']",https://twitter.com/BobGhosn/status/1324718135052820480
9522,1.32e+18,2020-11-06 19:24:29 India Standard Time,06-11-2020,19:24:29,530,2430905582.0,redcrescent,Türk Kızılay International,"We are with you, rain or shine. 🇸🇩🇹🇷  After the #floods in #Sudan destroyed their homes, we supported families living in tents with food parcels📦 .  https://t.co/vlNBMnTTSt",flood,,en,[],,"['https://pbs.twimg.com/media/EmJSURHXEAEtuqj.jpg', 'https://pbs.twimg.com/media/EmJSURsX0AE7P-R.jpg', 'https://pbs.twimg.com/media/EmJSURUWMAAZ3Vq.jpg', 'https://pbs.twimg.com/media/EmJSURfWoAELtcr.jpg']","['floods', 'sudan']",https://twitter.com/RedCrescent/status/1324711756690792452
9523,1.32e+18,2020-11-06 19:20:10 India Standard Time,06-11-2020,19:20:10,530,370100339.0,janebrook76,Jane Brook,Fog and floods. Atmospheric and magical #york #floods #fog #beautiful @itvweather @bbcweather @Hudsonweather  https://t.co/7L1Rhx4cGo,none,,en,[],,"['https://pbs.twimg.com/media/EmJRUM1WMAELIR_.jpg', 'https://pbs.twimg.com/media/EmJRUM2WoAAYPgi.jpg', 'https://pbs.twimg.com/media/EmJRUNaW0AIyrxD.jpg']","['york', 'floods', 'fog', 'beautiful']",https://twitter.com/janebrook76/status/1324710669820825600
