Id,title,time,keywords,data source,category,country,country from cleaned body,source URL,body,Cleaned_body,language
1.79e+16,,2021-06-14T07:15:38+0000,,Instagram,flood,"Guwahati,IN","Guwahati,IN",https://www.instagram.com/p/CQF4POHHE0X/,"Parts of Hatigaon and several other areas in Guwahati get waterlogged after incessant rain in the city on Monday.
#TheAssamTribune #FlashFlood","Parts of Hatigaon and several other areas in Guwahati get waterlogged after incessant rain in the city on Monday.
 TheAssamTribune  FlashFlood",English
1.82e+16,,2021-06-17T09:51:21+0000,,Instagram,flood,"Federal Democratic Republic of Nepal,NP","Federal Democratic Republic of Nepal,NP",https://www.instagram.com/p/CQN4eGenxyf/,"Flash floods in Nepal, caused likely by a glacial outburst in a high lying area bordering Tibet, have created chaos and wreaked havoc in Sindhupalchok taking at least seven lives so far, while 20 people have been reported missing. Three Indians and three Chinese nationals are among 20 missing people in Sindhupalchok flash floods, District Administration Office of Sindhupalchok said.
Source: Ground News
.
.
#nepal #india #flood #flashflood #naturaldisaster #nepalflashflood #glacier #breakingnews #news #mediabiaschart #paradigm","Flash floods in Nepal, caused likely by a glacial outburst in a high lying area bordering Tibet, have created chaos and wreaked havoc in Sindhupalchok taking at least seven lives so far, while 20 people have been reported missing. Three Indians and three Chinese nationals are among 20 missing people in Sindhupalchok flash floods, District Administration Office of Sindhupalchok said.
Source: Ground News
.
.
 nepal  india  flood  flashflood  naturaldisaster  nepalflashflood  glacier  breakingnews  news  mediabiaschart  paradigm",English
1.79e+16,,2021-06-17T05:35:00+0000,,Instagram,flood,"Federal Democratic Republic of Nepal,NP","Federal Democratic Republic of Nepal,NP",https://www.instagram.com/p/CQNbFW1Fz7q/,"Nepal: Flash floods wreak havoc in Sindhupalchok. As per officials, about 200 houses in Melamchi town have been partially or completely damaged. 

(Video: ANI)
. 
. 
#Nepal #Sindhupalchok ##flashflood #flood #RisingIndore","Nepal: Flash floods wreak havoc in Sindhupalchok. As per officials, about 200 houses in Melamchi town have been partially or completely damaged. 

(Video: ANI)
. 
. 
 Nepal  Sindhupalchok   flashflood  flood  RisingIndore",English
1.8e+16,,2021-06-17T05:12:43+0000,,Instagram,flood,"Federal Democratic Republic of Nepal,NP","Federal Democratic Republic of Nepal,NP",https://www.instagram.com/p/CQNYjqqrlWH/,"Nepal: Flash floods wreak havoc in Sindhupalchok. As per officials, about 200 houses in Melamchi town have been partially or completely damaged. 

(Video: ANI)

#Nepal #Sindhupalchok ##flashflood #flood","Nepal: Flash floods wreak havoc in Sindhupalchok. As per officials, about 200 houses in Melamchi town have been partially or completely damaged. 

(Video: ANI)

 Nepal  Sindhupalchok   flashflood  flood",English
1.79e+16,,2021-06-16T20:36:14+0000,,Instagram,flood,"Kingdom of Bhutan,BT","Kingdom of Bhutan,BT",https://www.instagram.com/p/CQMdeeprXYZ/,"Flash floods triggered by heavy monsoon rains have killed 10 people and injured five in Bhutan while leaving at least three dead and seven missing in Nepal. Resident's near the Melamchi river have moved to higher grounds while army helicopters rescue people trapped in marooned houses.

#flashflood #monsoon #climate #bhutan #nepal #flooding #rescue","Flash floods triggered by heavy monsoon rains have killed 10 people and injured five in Bhutan while leaving at least three dead and seven missing in Nepal. Resident's near the Melamchi river have moved to higher grounds while army helicopters rescue people trapped in marooned houses.

 flashflood  monsoon  climate  bhutan  nepal  flooding  rescue",English
1.8e+16,,2021-06-19T23:58:17+0000,,Instagram,flood,"Colorado,US","Colorado,US",https://www.instagram.com/p/CQUiaiiH3f-/,"The definition of a flash flood here in Colorado 
Water pours down the usually dry arroyo after a fast and pounding rain storm #colorado #june #weather #flashflood #rain #arroyo #custercountycolorado","The definition of a flash flood here in Colorado 
Water pours down the usually dry arroyo after a fast and pounding rain storm  colorado  june  weather  flashflood  rain  arroyo  custercountycolorado",English
1.82e+16,,2021-06-01T21:51:02+0000,,Instagram,drought,"Oregon,US","Oregon,US",https://www.instagram.com/p/CPl-HQlLrbS/,"""I'm seeing probably the worst combination of conditions in my lifetime,"" said Derrick DeGroot, a county commissioner in southern Oregon's Klamath County. ""We have an enormous fuel load in the forests, and we are looking at a drought unlike we've seen probably in the last 115 years.""

Asked how worried he is about the 2021 fire season, DeGroot said: ""On a scale of 1 to 10, I'm a 12. Nothing looks good.""

📷: Photo by Marcus Kauffman 
🔥: The Jones Fire, Lowell, OR (2017)

Source: (NC), W.-S. J. (2021, May 31). 'Nothing Looks Good': Preparing For Summer Wildfire Season. InsuranceNewsNet. https://insurancenewsnet.com/oarticle/nothing-looks-good-preparing-for-summer-wildfire-season.","""I'm seeing probably the worst combination of conditions in my lifetime,"" said Derrick DeGroot, a county commissioner in southern Oregon's Klamath County. ""We have an enormous fuel load in the forests, and we are looking at a drought unlike we've seen probably in the last 115 years.""

Asked how worried he is about the 2021 fire season, DeGroot said: ""On a scale of 1 to 10, I'm a 12. Nothing looks good.""

📷: Photo by Marcus Kauffman 
🔥: The Jones Fire, Lowell, OR (2017)

Source: (NC), W.-S. J. (2021, May 31). 'Nothing Looks Good': Preparing For Summer Wildfire Season. InsuranceNewsNet. https://insurancenewsnet.com/oarticle/nothing-looks-good-preparing-for-summer-wildfire-season.",English
1.79e+16,,2021-06-01T21:41:03+0000,,Instagram,drought,Not Identified,"California,US",https://www.instagram.com/p/CPl8-G-Bt_S/,I got stuck behind this truck going across the pass and started thinking about the fact that water is becoming illegal and the next big black market will be 💧 #BootLegging #Water #California #Drought #illegal #BlackMarket #liquidgold,I got stuck behind this truck going across the pass and started thinking about the fact that water is becoming illegal and the next big black market will be 💧  BootLegging  Water  California  Drought  illegal  BlackMarket  liquidgold,English
1.82e+16,,2021-06-04T00:40:23+0000,,Instagram,drought,"St George,AU","St George,AU",https://www.instagram.com/p/CPrbFT6HkX8/,"The last three years, Southwest Utah hasn’t had a monsoon season. If you’re unfamiliar, the Southwest US typically experiences monsoons in July and August. These are big thunder storms that build during summer heat and deposit LOTS of moisture in a short amount of time. The storms are powerful and fierce. Slot canyons and washes fill and flash flood. The last few seasons summers have gotten hotter and we legitimately haven’t had a monsoon season in years. Last summer we had a grand total of one thunderstorm in St George proper. And in tandem with this we see more frequent and more severe wildfires. Last summer there were at least five significant fires that were very real threats to residential areas in our town. This spring there have been a number of major fires IN town already. So this is all to say this is probably going to keep trending this way and climate change is real. Fight me.
.

#optoutside #exploremore #wildernessculture #chaseyourgoat #goatworthy #adventureawaits #adventureculture #getoutstayout #parttimedirtbag #instagood #outdoorwomen #forceofnature #protectpubliclands #beautahful #utahrocks #protectwildutah #igersstg #utahunique #climatechangeisreal #climatechange #drought #monsoon #monsoonseason #desertmonsoon","The last three years, Southwest Utah hasn’t had a monsoon season. If you’re unfamiliar, the Southwest US typically experiences monsoons in July and August. These are big thunder storms that build during summer heat and deposit LOTS of moisture in a short amount of time. The storms are powerful and fierce. Slot canyons and washes fill and flash flood. The last few seasons summers have gotten hotter and we legitimately haven’t had a monsoon season in years. Last summer we had a grand total of one thunderstorm in St George proper. And in tandem with this we see more frequent and more severe wildfires. Last summer there were at least five significant fires that were very real threats to residential areas in our town. This spring there have been a number of major fires IN town already. So this is all to say this is probably going to keep trending this way and climate change is real. Fight me.
.

 optoutside  exploremore  wildernessculture  chaseyourgoat  goatworthy  adventureawaits  adventureculture  getoutstayout  parttimedirtbag  instagood  outdoorwomen  forceofnature  protectpubliclands  beautahful  utahrocks  protectwildutah  igersstg  utahunique  climatechangeisreal  climatechange  drought  monsoon  monsoonseason  desertmonsoon",English
1.79e+16,,2021-06-04T00:37:54+0000,,Instagram,drought,"California,US","California,US",https://www.instagram.com/p/CPrazLMnNwI/,"From 2012 to 2015 California experienced its driest consecutive four-year stretch since record-keeping began in 1896. Experts are already predicting that the state’s current drought will be even worse. 

What did the state learn from the last drought? How are growers adapting? What does reduced water allocation mean for farm workers? We’re breaking down the basics for you as we grapple with these questions.","From 2012 to 2015 California experienced its driest consecutive four-year stretch since record-keeping began in 1896. Experts are already predicting that the state’s current drought will be even worse. 

What did the state learn from the last drought? How are growers adapting? What does reduced water allocation mean for farm workers? We’re breaking down the basics for you as we grapple with these questions.",English
