,Id,title,time,keywords,data source,category,country,source URL,body,language
2496,1.40E+18,,2021-06-04 03:02:21+00:00,,Twitter,flood,Jamaica,,"IDM camp located at Ingyinyan tonwship, Kachin state has been facing with drinking water shortage as heavy rain led a flood there. Access to safe water resources has become one important factor in every IDM. #June4Coup  #WhatsHappeningInMyanmar  https://t.co/ujY4y7ebJG",English
3872,1.33E+18,,2021-04-16 03:33:56+00:00,"['colombia', 'elcarmendebolivar', 'floods', 'rains', 'flooding', 'disaster', 'floodcolombia', 'storm', 'weather', 'flashfloods']",Twitter,flood,,https://twitter.com/UnbelievableEv1/status/1382816988024733696,"Heavy rains and floods registered in the municipality of El Carmen Bolivar, Colombia  https://t.co/emNocI6ikr  #colombia #elcarmendebolivar #floods #rains #flooding #disaster #floodcolombia #storm #weather #flashfloods  https://t.co/WN9ZfIFBVT[]",English
3679,64643056,,2021-04-22 01:00:00+00:00,"['surigae', 'philippines', 'floods']",Twitter,flood,,https://twitter.com/RT_com/status/1384952578849624069,Typhoon #Surigae leaves the #Philippines in #floods  Follow us on Telegram  https://t.co/a7xmeYo3u6  https://t.co/ViojfSKprQ[],English
2490,1.34E+18,,2021-12-05 14:22:00+00:00,,Twitter,flood,USA,,"ILX issues Flood Warning valid at May 12, 4:00 PM CDT for Illinois River near Havana [IL] until further notice https://t.co/U4eL5zP0US https://t.co/MMO9THgJfU",English
3704,3301926908,,2021-04-21 11:06:53+00:00,['floods'],Twitter,flood,,https://twitter.com/gridpointwx/status/1384742919672848389,Louisiana begins cleanup after #FLOODS destroy tens of thousands of homes  https://t.co/wf1sl7lXg8[],English
3826,3111226033,,2021-04-18 06:36:18+00:00,"['floods', 'gpwx']",Twitter,flood,,https://twitter.com/TimMelino/status/1383587657532395523,Texas braces for record-breaking #FLOODS  https://t.co/v0aIovwLc4 #GPWX[],English
3322,1.33E+18,,2021-04-05 05:45:46+00:00,"['iran', 'floods', 'disaster', 'flooding', 'storm', 'rain']",Twitter,flood,,https://twitter.com/UnbelievableEv1/status/1389373150014623746,Sudden rains hit Iran Causing heavy Flooding  https://t.co/wiXXS5suQE  #Iran #floods #disaster #flooding #storm #rain  https://t.co/JCOyHJTtgP[],English
4065,3111226033,,2021-08-04 18:21:22+00:00,"['floods', 'gpwx']",Twitter,flood,,https://twitter.com/TimMelino/status/1380141216654897154,Search continues after major #FLOODS in Utah  https://t.co/mDPQbyiDIO #GPWX[],English
3813,7.58E+17,,2021-04-19 03:15:18+00:00,"['flooding', 'floods']",Twitter,flood,,https://twitter.com/JustCanadianGal/status/1383899464604131340,"Heavy rain triggers flooding across Singapore, Environment News & Top Stories - The Straits Times  #flooding bad this year  #floods  how high in Singapore  up to the knees? Thighs?   https://t.co/ciBecwSt8D[]",English
3453,865004888,,2021-04-29 22:37:17+00:00,"['ksa', 'ksatweather', 'makkah', 'floods']",Twitter,flood,,https://twitter.com/sajjadrana74/status/1387815764242149379,"#KSA #KSATweather  #Makkah #floods with heavy rains,   https://t.co/wTgwu545k7[]",English
2566,1.40E+18,,2021-06-03 06:42:43+00:00,,Twitter,flood,Jamaica,,"Breaking News: WATCH: Rainwater busts through day care door, floods playroom  https://t.co/X5GSpWT9NJ",English
3252,1.01E+18,,2021-05-05 21:31:14+00:00,"['plague', 'floods', 'pandemic', 'ai']",Twitter,flood,,https://twitter.com/pm_pillai/status/1389973470004449282,"I just realised what I have been through since my childhood, are you the same? #plague #floods (not normal flood, but the entire city under water) #pandemic  In future #AI (😋)[]",English
3736,1.20E+18,,2021-04-21 02:39:00+00:00,"['nc', 'floods', 'ncga', 'mitigation']",Twitter,flood,,https://twitter.com/sci_tri/status/1384615103845175297,"""In the past several years #NC has spent billions recovering and rebuilding from #floods–the costliest type of natural disaster. What will #NCGA legislate this session for #mitigation?  https://t.co/nrWaHEtDq8[]",English
4100,1.40E+18,,2021-06-05 18:00:20+00:00,"['analytics', 'googleads', 'facebookads']",Twitter,drought,Australia,https://twitter.com/datos_digital/status/1401297864836386818,The Drought Is Making the Klamath River’s Baby Salmon Sick : #analytics #googleads #facebookads  https://t.co/MZcrPpbIJI[],English
4121,1.40E+18,,2021-06-04 21:14:50+00:00,[],Twitter,drought,Australia,https://twitter.com/RobertM96197408/status/1400984422912987139,"Setting fire to rainforests has been a method farmers have been using to clear land in Brazil for decades, but now because of drought conditions that have been affecting Brazil, they are burning hotter, longer and faster, Allen said.[]",English
4128,1.40E+18,,2021-06-04 01:03:33+00:00,"['farmers', 'riverina', 'rice', 'mouseplague']",Twitter,drought,Australia,https://twitter.com/to_the_source/status/1400679597033758720,"After years of drought, #farmers in the #Riverina region were hoping to enjoy a bumper #rice harvest this year. But the #mouseplague is threatening to destroy their hard work.   https://t.co/y7BVeW1a0h[]",English
4136,1.40E+18,,2021-06-03 05:17:39+00:00,[],Twitter,drought,Australia,https://twitter.com/davestewart3/status/1400381153467539457,"I hope Australia doesn't have an extreme climatic event like this 39 year drought, no industrial revolution in those day's.[]",English
4183,1.40E+18,,2021-05-31 06:05:09+00:00,"['electronics', 'components', 'processors', 'informationtechnology', 'manufacturing', 'factorys']",Twitter,drought,Australia,https://twitter.com/MsCRus2/status/1399305941737119746,How the Taiwan drought means you can’t have a new smart TV #Electronics #components #processors #InformationTechnology #manufacturing #factorys  https://t.co/pmSWWN0bIX[],English
4143,1.40E+18,,2021-06-02 21:22:36+00:00,[],Twitter,drought,Australia,https://twitter.com/corruptagenda/status/1400261603057049601,"@davidbewart The National party are only there for mining interests, remember the drought and bushfires and now the trade war with China that they support[]",English
