,Id,title,time,keywords,data source,category,country,source URL,body,language
4221,1.79E+16,,2021-06-17T14:49:15+0000,,Instagram,none,,https://www.instagram.com/p/CQOakCZHpB2/,“Absence the highest form of presence”. #absence #present #silence #listeningtonature #nature #roots #treetrunk #treetrunktable #wabisabi #moonjar #antiques #korean #koreanantiques #asianantiques #joseondynasty #porcelain #moon #purity #contemporaryart #art #belgianart #patrickverlaak #forest #woods #light #alluvione #meditation #interior #interiordesign #ateliertack atelier_tack,English
4222,1.79E+16,,2021-06-01T20:45:52+0000,,Instagram,none,,https://www.instagram.com/p/CPl2p5LBGVa/,"Hearing aid design has come a very long way. With sleek new looks and spiffy new features, stylish hearing aids of all types; in ear hearing aids, BTE hearing aids, RIC hearing aids, are all part of the new wave. 

Gone are the days of bulky and drab hearing aid designs. The new generation of hearing aids provide both cutting edge technology and true style. To see what fit and design work best for you and your lifestyle, please visit HearWV.com today and schedule an appointment with our amazing team. Our trained staff knows how to handle every type of hearing loss and can recommend the right aid for you.

#audiology #audiologists #hearing #hearingloss #hearingaids #westvirginia #health #ears #sound #westvirginiamountaineers #parkersburg #midohiovalley #belpre #marieta #304 #CI #cochlearimplant #baha #ringing #healthcare",English
4223,1.79E+16,,2021-06-01T19:30:47+0000,,Instagram,none,,https://www.instagram.com/p/CPluDpMNFss/,"Happy #PrideMonth from BAHA Irish Whiskey. Be who you want to be. 🏳️‍🌈⠀
⠀
#Pride #LGBTQ #BAHA #IrishWhiskey #PrideMonth",English
4224,1.79E+16,,2021-06-01T19:05:43+0000,,Instagram,none,,https://www.instagram.com/p/CPlrHFjgNKf/,"Figuring out these crazy hands 😆

#babiesofinstagram #babiesofig #microtia #microtiababy #microtiakids #cochlearamericas #cochlear #baha #cochlearbaha #baha5 #boneconduction #hearingaids #hearingaidsarecool",English
4225,1.79E+16,,2021-06-01T18:24:14+0000,,Instagram,none,,https://www.instagram.com/p/CPlmch8HzKT/,"I am THRILLED to share these pictures with you. 🥰

This is Rachel Coleman (st_rachel) the brains behind signing_time . 

On a personal level...I have loved her work since my oldest was tiny (he's 16 now!) 
On a professional level...I appreciate Rachel's dedication to inclusion - this is how you show kids that everyone has a place at the table.

Rachel was kind enough to do a celebrity visit!  The little guy who will get this doll has Hemingway-facial Microsomia, a BAHA hearing aid, and a feeding tube.  He's learning how to sign!
I'm alternating between the cuteness of it all and a bit of jealousy 😆. 
Hop over and give signing_time a like....support the organizations that make inclusion and representation a part of their language. 
#SignLanguage #BabySignLanguage #Representation #Inclusion #InclusiveDesign #BAHA #HearingImpairment #SigningTime #Hopkins #CelebrityVisit",English
4226,1.80E+16,,2021-06-01T16:29:29+0000,,Instagram,none,,https://www.instagram.com/p/CPlZUKzJ2kR/,"Did you know that people with Down syndrome tend to have itty bitty passages in their bodies?

For example, Finn has teeny tiny ear canals, so tiny that no doctor has ever been able to see inside! Because his ear canals are so small, he uses a BAHA (bone-anchored hearing aid) to help the sound travel to his inner ear so he can hear normally.

Finn has teeny tiny tear ducts, so tiny that even after surgery in December, they are still not draining his tears properly. This is why you often see tears in his eyes or running down his cheeks even when he's not crying.

Finny will be getting surgery at the end of July because of these itty bitty passages. He'll be getting stints in his tear ducts to help his eyes drain properly. He'll also have a doctor look into his ears while he's sedated. They'll be checking for fluid and to make sure there is nothing structural obstructing his hearing. We're also hoping to get some scar tissue removed from his g-tube site. Thankfully, Finn does great during surgery and we have no doubt he will again.

[Image description: A toddler boy with tan skin, dark curly hair, and Down syndrome sits on an exam table in a doctor's office. His hands are up in the air excitedly. He is wearing a lime green tie-dye t-shirt, khaki shorts, dark blue tennis shoes, and a blue BAHA.]",English
4227,1.79E+16,,2021-06-01T16:03:37+0000,,Instagram,none,,https://www.instagram.com/p/CPlWWuEHmbI/,"Beautiful Day 25°c. Feels great to be back at the bars cheers 😎🌞🥃
#beautiful #dayout #drinks #drink #sun #sunny #whiskey #hot #deaf #baha #hearingaids #drinking #instagood #insta #instapic #instalike #thefriary #cocktails #beautifulday #chill #chilling #lockdown #peace #peaceful #bracklet #hearing #hearingloss #bar #bars",English
4228,1.79E+16,,2021-06-01T14:44:53+0000,,Instagram,none,,https://www.instagram.com/p/CPlNWCgAZUk/,"FOLLOW OUR PAGE - santal_insta_model 
.
.
Use our hastag - #santalinstamodel
.
.
#adiwasi #traditional #traditionalwear #santalinstamodel #santalpeople #adiwasikora #fashion #tribes #baha #bahafestival #followforfollowback #follow #following #likeforlikes #santaldisom #instagram #instagood #instadaily #picoftheday #proudadiwasi #instagood #positive #vibes
___________________

Thank you for visit our page❤️",English
4229,1.79E+16,,2021-06-01T13:54:59+0000,,Instagram,none,,https://www.instagram.com/p/CPlG8c2j_6E/,"7’10” 2 piece 70/30 split is all done and ready to fish. 
#aubutrods  #fujiguides #fujicomponents #unitedcompositesusa #spinningrod #poppingrod #baha #cuberasnapper #jackcrevalle #roosterfish #wahoo #tunafish #stripedmarlin #whitemarlin",English
4230,1.81E+16,,2021-06-01T13:11:11+0000,,Instagram,none,,https://www.instagram.com/p/CPlCnzNCoy1/,"The Battle Pass is back in the game! Colossal rewards await you: relics, exclusive skins - and, of course, a new legendary hero!
With the Battle Pass, all doors are open for you.
Hurry to the Arena and slay everyone!

#BattleArena #BAHA #BAHAofficial #BAHABattlePass #BattleArenaBattlePass
#BattleArenaHeroesAdventure",English
