,id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,keyword,hashtag,children
0,17879804405354568,"L'#emergenzaumanitaria a seguito dell'#alluvione che ha colpito l'Indonesia e Timor Est continua, nonostante il silenzio generale.
🔸 I missionari canossiani e le suore salesiane che operano nella zona ci raccontano di migliaia di sfollati e famiglie intere senza più nulla e senza un posto dove andare.
‼ Cuore Amico, da parte sua, non è stato a guardare e ha già inviato ai missionari aiuti in emergenza. Vogliamo però continuare anche nei prossimi mesi, quando il clamore della notizia sarà cessato, ma i bisogni di chi ha perso tutto a causa dell'alluvione saranno ancora tanti.
👉 Scopri di più sul nostro sito www.cuoreamico.org o contattaci 📞📧

#indonesia #alluvione #ciclone #sfollati #aiutiumanitari #casedistrutte #senzapiùnulla #emergenzaalluvione #missionario #missionarywork #missionarylife #chiesacattolica #churchlife #solidarieta #noprofit #cooperazione #onlus #solidarietà #cooperation #dona #donazione #charityfundraising #humanitarianday #beneficenza #donations #aiuto #aid #raccoltafondi",0,1,IMAGE,https://scontent.cdninstagram.com/v/t51.2885-15/194337399_2933879753559044_555531073250813827_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=kr6ZCygNYhYAX-8M8_X&_nc_ht=scontent.cdninstagram.com&oh=80e34e6d98a496b55a494f0d9e5ef365&oe=60BAE2CA,https://www.instagram.com/p/CPlQRlBCGY4/,2021-06-01T15:10:29+0000,flood,alluvione,
1,17908305037796837,"Antincendio boschivo santa Maria di Castellabate 
Vorresti diventare un Volontario? 
Contattaci o su instagram per fissare un incontro, oppure ci trovi tutti i martedì e tutti i giovedi dalle 16:00 alle 18:00 presso la sede situata in Via F.Coppola ti aspettiamo 
Cosa aspetti contattaci per saperne di più😉
Il nostro gruppo ha bisogno di nuovi volontari validi. 
Abbiamo bisogno di te 💪

🚨 La protezione civile sei anche 👉 tu 
•
•
follow 🙏 p.c_gruppo_lucano_castellabate 

--------

📌 Antincendio Boschivo 
📌 Soccorso 
📌 Supporto 
📌 Prevenzione 
📌 Superamento dell'emergenza 
📌 Calamità naturali 
📌 Sart 
📌Rischio idreogeologico
📌 Soccorso in ambiente impervio 
📌 Ricerca dispersi 
_____
Per info in direct 👉
Oppure nella sezione contatti del nostro profilo 👉☎️
•
•
•
#protezionecivilecampania #protezionecivilegruppolucanocastellabate #protezionecivileitalia #protezionecivilegruppolucano #emergency #abi #salavataggio #fire #italy #cilento #volontariato #rescue #difesa #istagood #followｍe #instagram #operazionidisoccorso #alluvione #riceradispersi #supportoaglianziani",0,18,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/194656587_324375792751921_5945089887014508546_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=J_JXrVECIqkAX-oeILu&_nc_ht=scontent.cdninstagram.com&oh=07d93ad21681ca1d577915286af89751&oe=60BC33B1,https://www.instagram.com/p/CPlBdbenGyl/,2021-06-01T13:01:02+0000,none,alluvione,
2,18078877057275278,"Ciao! 👋

Oggi vogliamo mostrarvi il nostro primissimo modello! 🏞️

Nato dalla tesi di una studentessa, è stato costruito in poliuretano, colorato e rivestito in superficie con pezzi lego. 🔨🔧

Durante le nostre spiegazioni, i bambini e i ragazzi avevano la possibilità di costruire ponti e case, l’acqua poteva scorrere e si riuscivano a vedere quali parti del terreno venivano allagate. 🏚️🌉

E tu sapresti dire quali sono le zone a rischio alluvionale? 💧🤔

#milego #lego #modelloalluvionale #alluvione #bacino #fiume  #acqua #pericolo #teamstudenteschi #polito #politecnicoditorino

politecnicoditorino
diatipolito",0,29,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/194865372_501542857707188_8182113704445083517_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=wdLnRXi8BdcAX8Kuag3&_nc_ht=scontent.cdninstagram.com&oh=422d8e4e522c12a81958369e4b173e50&oe=60BAC0DE,https://www.instagram.com/p/CPkswvxtbvh/,2021-06-01T10:00:10+0000,none,alluvione,
0,18180491500117174,"Grazie ai tanti FUORISTRADISTI IN EMERGENZA siciliani che si sono messi a disposizione per risolvere la situazione !!!

Come sempre ottimo lavoro !

#fuoristradistiinemergenza #4x4 #offroad #fango #jeepjl #fuoristrada #fuoristradisti #salvataggio #rescue #protezionecivile #lovely #guado #vitara #patrol #landcruiser #defender #pajero #wrangler #jeepjy #cherokee #alluvione #vigilidelfuoco #jimny #classeg #rubicon #terrano #panda4x4 #mudwar",4,464,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPqhXa0sctB/,2021-06-03T16:16:02+0000,none,alluvione,"{'data': [{'id': '17870644610409396'}, {'id': '17934952273544693'}, {'id': '17900262133930637'}, {'id': '18016827967307901'}, {'id': '17904334234869216'}, {'id': '17975834425378160'}, {'id': '18046666750292728'}, {'id': '17916851833738100'}]}"
1,18014021776313726,"Ben prima del Morandi, e di tutti i ponti che sono crollati in questi ultimi anni, la fragilità del nostro territorio si era già rivelata anni fa #storytellingphotography #landscapephotography  #paesaggioriemerso #alluvione #flooding",0,2,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/195813653_1231739577280482_3661226187393986333_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=ZX8XnitIu4cAX9a_8bf&_nc_ht=scontent.cdninstagram.com&oh=7c3084344de90c7c75bb93387c0e5acc&oe=60BEBC95,https://www.instagram.com/p/CPp_l2QhkqV/,2021-06-03T11:20:55+0000,flood,alluvione,
0,17896492634085529,"Benvenuto Marco👏👏👏👏 da oggi i ns clienti di #Lombardia,  #lagodigarda e #trentino avranno un supporto in più. Competenza e  ed empatia per un servizio al #Cliente sempre al 🔝 #welcome #propertyrestoration #alwaysbyyourside #incendio #allagamento #alluvione #insuranceclaims #polygonrecotech #recotechteam💙💚 #ilovemyjob",1,22,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/195982392_1397717553961172_8008525042092141876_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=QtZI6CT0O_kAX8NPbst&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c0f85a7ebeb66d176d77803cd530b9eb&oe=60BF7BBB,https://www.instagram.com/p/CPsnS6-jOBW/,2021-06-04T11:46:20+0000,none,alluvione,
0,18116834302230487,"Eccolo arrivato!
#temporaleestivo #temporale #pioggia #italia #rain #temporale #meteo_limet #meteo #ciociaria #italy #weather #lazio #nuvole #frosinone #sole #maltempo #youmeteo #summer #love #estate #alluvione  #buonpomeriggio #rainyday #instagood #instagram #freddo",0,8,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/197520255_539481794085976_7302023714476101313_n.mp4?_nc_cat=104&vs=17939127910490656_1258824833&_nc_vs=HBksFQAYJEdILXJ4UXRZQkxQa3Bfb0JBTUdPMDJyaC0xVmxia1lMQUFBRhUAAsgBABUAGCRHSGFZM0F0MGxvaUZOVEVPQURLTVNNdFVsYTRNYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbU6Lq%2FlZm%2BPxUCKAJDMywXQC0hysCDEm8YEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=C8OaTjPKebUAX-GfhAq&_nc_ht=video-sea1-1.cdninstagram.com&oh=83def1c9148515a26ad9404648c84363&oe=60C399F1&_nc_rid=d306a64db6,https://www.instagram.com/p/CP0w7yXKw_-/,2021-06-07T15:47:03+0000,none,alluvione,
0,17879375747377294,"È bastato un temporale per far saltare gli argini del ruscelletto, mai e mai pulito o curato dalla nostra giunta.  Nonostante anche le segnalazioni fatte d qualche abitante della strada!
Oggi una nostra vicina si è vista invadere la cucina da una quantità immane d’acqua e tutto questo grazie ad una mancata manutenzione del fosso da parte del Comune di Riano. Alberi caduti in più punti della strada e precedentemente segnalati dai cittadini ovviamente ignorati. Fogne che stanno per saltare! E noi ancora non sappiamo come fa il nostro sindaco a girare a testa alta per strada…!! 
#riano #romanord #temporale #urbanistica #comunediriano #pioggia #fosso #roma #disagio #allagamenti #alluvione",1,6,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/199320411_933096237468933_6634998401768951603_n.mp4?_nc_cat=105&vs=18014066242315057_2886889236&_nc_vs=HBksFQAYJEdGdGo0UXNGamNabHBWQURBRE1QdVlia1B4UmNia1lMQUFBRhUAAsgBABUAGCRHTzVpMkF0VnpsQmNYRklLQUR5WTlBSlYyek5rYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaw85q5oJTKPxUCKAJDMywXQCeIMSbpeNUYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5mZWVkIn0%3D&_nc_ohc=IHc6RL0pUrUAX96RHic&_nc_ht=video-sea1-1.cdninstagram.com&oh=ddb8c1423069926993d7ee099114dc9a&oe=60C6CE03&_nc_rid=fbb4a9e060,https://www.instagram.com/p/CP6DeUdKCOM/,2021-06-09T17:07:41+0000,none,alluvione,
1,17916676960739345,"i Poracci Dei Caraibi🏴‍☠️ 
.
.
.
.
.
.
.
.
#pignetolovers #pignetoroma #pigneto #roma #romatoday #romacapitale #notizie #news #vigilidelfuoco #tg #tg5 #skytg24 #alluvione #alluvioneroma #poliziacapitale #disagio #disagioromano #roma #orrorecapitale #raggi #comunediroma #fresh #meme #jacksparrow #pirati #piratideicaraibi",2,45,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/198735740_123021159904133_2033042292268171575_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=f08Ijc6f1CUAX_ywiJw&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=d51248561b26555bea8f17fe0b1c5448&oe=60C55428,https://www.instagram.com/p/CP5_-l8l9Xd/,2021-06-09T16:32:08+0000,none,alluvione,
2,17862149546531112,Cerco l estate tutto l anno e all improvviso........ È inverno #equestononèniente #pioggia #rain #acquazzone #nubifragio #malestatedovè #mifacciolabarca #alluvione,0,6,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/197996171_1090961794729268_1188410054042839313_n.mp4?_nc_cat=111&vs=17895450761033142_3803384882&_nc_vs=HBksFQAYJEdJc3V6UXMwQlQxV09lQURBQkhwdWM2bEZINFFia1lMQUFBRhUAAsgBABUAGCRHTkFkMlF1M2FIRkpWNVlLQUExWWN4OEVlQkl0YmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaIlo6gyeLhQBUCKAJDMywXQCiZmZmZmZoYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=IkHXj1IC-KQAX91F63P&_nc_ht=video-sea1-1.cdninstagram.com&oh=b6361f5d853c507d96cf45f59b0e543a&oe=60C6DFB4&_nc_rid=be99ae4fab,https://www.instagram.com/p/CP50XiSnmQr/,2021-06-09T14:50:56+0000,none,alluvione,
