Unnamed: 0,Tweet User Id,Tweet Text,Tweet Time,Tweet User Name,Twitter @ Name,Tweet User Location,Tweet Coordinates,Place Info,Language,Cleaned Tweets,category
0,1550621509,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,2021-05-12 23:27:13,Kate Giannini,iahuntress,"Riverside, IA",,Not Specified,en,"['RT', 'katiepeikes', 'Iowa', 'scientists', 'developing', 'tool', 'forecast', 'Missouri', 'River', 'flooding', 'wide', 'could', 'spread', 'across', 'floo']",flood
1,308297667,"RT @SenatorRobHogg: When @CityofCRIowa city council talks about planning and neighborhoods . . . 

&gt;&gt; Violated long-standing land use &amp; flo…",2021-05-12 23:23:50,LusciousPixie,LauriJax,"West Des Moines, IA",,Not Specified,en,"['RT', 'SenatorRobHogg', 'When', 'CityofCRIowa', 'city', 'council', 'talks', 'planning', 'neighborhoods', 'gt', 'gt', 'Violated', 'long', 'standing', 'land', 'use', 'amp', 'flo']",None
2,1379199206771019779,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,2021-05-12 22:45:19,Dave Muhlbauer,DaveMuhlbauer,Iowa,,Not Specified,en,"['RT', 'katiepeikes', 'Iowa', 'scientists', 'developing', 'tool', 'forecast', 'Missouri', 'River', 'flooding', 'wide', 'could', 'spread', 'across', 'floo']",flood
3,22962704,Ames Flood mitigation project dusting off the old flood video from 2010 @WHO13news @WHOWeather @cityofames #2010AmesFlood https://t.co/7tMPFQslHM,2021-05-12 22:39:26,Roger Riley,rogerriley,Somewhere in Iowa USA,,"Ames, IA",en,"['Ames', 'Flood', 'mitigation', 'project', 'dusting', 'old', 'flood', 'video', '2010', 'WHO13news', 'WHOWeather', 'cityofames', '2010AmesFlood', 'https', 'co', '7tMPFQslHM']",flood
4,1343943153427087361,"IWX extends time of Flood Warning for Maumee River near Defiance [OH] till May 13, 12:00 AM EDT https://t.co/So5yk80zjv https://t.co/UVlPYW26C0",2021-05-12 22:07:55,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['IWX', 'extends', 'time', 'Flood', 'Warning', 'Maumee', 'River', 'near', 'Defiance', 'OH', 'May', '13', '12', '00', 'AM', 'EDT', 'https', 'co', 'So5yk80zjv', 'https', 'co', 'UVlPYW26C0']",flood
5,20187715,"Flood control plans are well underway for the northwest neighborhood, including levees, trails, and greenways. You can find more details in the latest issue of Our CR magazine, arriving in your mailbox this week.
View online at https://t.co/19L89Yg1va https://t.co/mqQz5bYF8b",2021-05-12 21:47:24,City of Cedar Rapids,CityofCRiowa,"Cedar Rapids, Iowa",,Not Specified,en,"['Flood', 'control', 'plans', 'well', 'underway', 'northwest', 'neighborhood', 'including', 'levees', 'trails', 'greenways', 'You', 'find', 'details', 'latest', 'issue', 'Our', 'CR', 'magazine', 'arriving', 'mailbox', 'week', 'View', 'online', 'https', 'co', '19L89Yg1va', 'https', 'co', 'mqQz5bYF8b']",flood
6,3293109928,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,2021-05-12 20:10:11,Kate Payne,hellokatepayne,"Iowa City, IA",,Not Specified,en,"['RT', 'katiepeikes', 'Iowa', 'scientists', 'developing', 'tool', 'forecast', 'Missouri', 'River', 'flooding', 'wide', 'could', 'spread', 'across', 'floo']",flood
7,2875820413,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,2021-05-12 19:48:23,Kassidy Arena,KassidyArena,"Iowa, USA",,Not Specified,en,"['RT', 'katiepeikes', 'Iowa', 'scientists', 'developing', 'tool', 'forecast', 'Missouri', 'River', 'flooding', 'wide', 'could', 'spread', 'across', 'floo']",flood
8,1343943153427087361,"CLE continues Flood Warning for Sandusky River at Tiffin [OH] till May 13, 10:40 AM EDT https://t.co/irLMJhSwmr https://t.co/YBmPgp6tqw",2021-05-12 19:33:51,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'continues', 'Flood', 'Warning', 'Sandusky', 'River', 'Tiffin', 'OH', 'May', '13', '10', '40', 'AM', 'EDT', 'https', 'co', 'irLMJhSwmr', 'https', 'co', 'YBmPgp6tqw']",flood
9,1343943153427087361,"CLE continues Flood Warning for Sandusky River at Tiffin [OH] till May 13, 10:40 AM EDT https://t.co/irLMJhSwmr https://t.co/YKToKHXP4c",2021-05-12 19:33:50,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'continues', 'Flood', 'Warning', 'Sandusky', 'River', 'Tiffin', 'OH', 'May', '13', '10', '40', 'AM', 'EDT', 'https', 'co', 'irLMJhSwmr', 'https', 'co', 'YKToKHXP4c']",flood
10,1343943153427087361,"CLE continues Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/a61EmddSAt https://t.co/uMfaY4LO5P",2021-05-12 19:33:48,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'continues', 'Flood', 'Warning', 'Killbuck', 'Creek', 'near', 'Killbuck', 'OH', 'May', '15', '8', '00', 'AM', 'EDT', 'https', 'co', 'a61EmddSAt', 'https', 'co', 'uMfaY4LO5P']",flood
11,1343943153427087361,"CLE continues Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/a61EmddSAt https://t.co/idT8iAmaID",2021-05-12 19:33:46,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'continues', 'Flood', 'Warning', 'Killbuck', 'Creek', 'near', 'Killbuck', 'OH', 'May', '15', '8', '00', 'AM', 'EDT', 'https', 'co', 'a61EmddSAt', 'https', 'co', 'idT8iAmaID']",flood
12,1343943153427087361,"CLE extends time of Flood Warning for Scioto River near Prospect [OH] till May 14, 6:30 AM EDT https://t.co/asVPXOPRvf https://t.co/wolFmjcTkZ",2021-05-12 19:33:44,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'extends', 'time', 'Flood', 'Warning', 'Scioto', 'River', 'near', 'Prospect', 'OH', 'May', '14', '6', '30', 'AM', 'EDT', 'https', 'co', 'asVPXOPRvf', 'https', 'co', 'wolFmjcTkZ']",flood
13,1343943153427087361,"CLE extends time of Flood Warning for Scioto River near Prospect [OH] till May 14, 6:30 AM EDT https://t.co/asVPXOPRvf https://t.co/OwpZH2BEw2",2021-05-12 19:33:42,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'extends', 'time', 'Flood', 'Warning', 'Scioto', 'River', 'near', 'Prospect', 'OH', 'May', '14', '6', '30', 'AM', 'EDT', 'https', 'co', 'asVPXOPRvf', 'https', 'co', 'OwpZH2BEw2']",flood
14,18347570,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,2021-05-12 18:00:08,Iowa Public Radio,IowaPublicRadio,"Iowa, USA",,Not Specified,en,"['RT', 'katiepeikes', 'Iowa', 'scientists', 'developing', 'tool', 'forecast', 'Missouri', 'River', 'flooding', 'wide', 'could', 'spread', 'across', 'floo']",flood
15,949118761,"Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floodplain, to better prepare people for floods. @IowaPublicRadio  https://t.co/JS9z168ZPT",2021-05-12 17:45:55,Katie Peikes,katiepeikes,"Ames, Iowa",,Not Specified,en,"['Iowa', 'scientists', 'developing', 'tool', 'forecast', 'Missouri', 'River', 'flooding', 'wide', 'could', 'spread', 'across', 'floodplain', 'better', 'prepare', 'people', 'floods', 'IowaPublicRadio', 'https', 'co', 'JS9z168ZPT']",flood
16,385231250,"RT @SenatorRobHogg: When @CityofCRIowa city council talks about planning and neighborhoods . . . 

&gt;&gt; Violated long-standing land use &amp; flo…",2021-05-12 16:39:43,I'mMe,m3b4ub4m3,,,Not Specified,en,"['RT', 'SenatorRobHogg', 'When', 'CityofCRIowa', 'city', 'council', 'talks', 'planning', 'neighborhoods', 'gt', 'gt', 'Violated', 'long', 'standing', 'land', 'use', 'amp', 'flo']",None
17,2424440299,"When @CityofCRIowa city council talks about planning and neighborhoods . . . 

&gt;&gt; Violated long-standing land use &amp; flood plans to destroy prairie in floodplain for @Cargill rail yard.

&gt;&gt; Sites industrial rail yard in Rompot neighborhood.

Tell them to stop the destruction! https://t.co/JfA1RAJ0TU",2021-05-12 16:36:58,Rob Hogg,SenatorRobHogg,Cedar Rapids,,Not Specified,en,"['When', 'CityofCRIowa', 'city', 'council', 'talks', 'planning', 'neighborhoods', 'gt', 'gt', 'Violated', 'long', 'standing', 'land', 'use', 'amp', 'flood', 'plans', 'destroy', 'prairie', 'floodplain', 'Cargill', 'rail', 'yard', 'gt', 'gt', 'Sites', 'industrial', 'rail', 'yard', 'Rompot', 'neighborhood', 'Tell', 'stop', 'destruction', 'https', 'co', 'JfA1RAJ0TU']",flood
18,1343943153427087361,"CLE extends time of Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/ST6KvbWWf5 https://t.co/CEw5zHKl0z",2021-05-12 16:17:33,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'extends', 'time', 'Flood', 'Warning', 'Killbuck', 'Creek', 'near', 'Killbuck', 'OH', 'May', '15', '8', '00', 'AM', 'EDT', 'https', 'co', 'ST6KvbWWf5', 'https', 'co', 'CEw5zHKl0z']",flood
19,1343943153427087361,"CLE extends time of Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/ST6KvbWWf5 https://t.co/uZtqJPmldv",2021-05-12 16:17:31,WxChicagoland,ChicagolandWx,"Des Moines, Iowa",,Not Specified,en,"['CLE', 'extends', 'time', 'Flood', 'Warning', 'Killbuck', 'Creek', 'near', 'Killbuck', 'OH', 'May', '15', '8', '00', 'AM', 'EDT', 'https', 'co', 'ST6KvbWWf5', 'https', 'co', 'uZtqJPmldv']",flood
