Id,title,time,keywords,data source,category,country,source URL,body,cleaned body,language
1550621509.0,,2021-12-05 23:27:00+00:00,,Twitter,flood,"Riverside, IA",,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,rt iowa scientists are developing a tool to forecast missouri river flooding and how wide it could spread out across the floo…,en
308297667.0,,2021-12-05 23:23:00+00:00,,Twitter,none,"West Des Moines, IA",,"RT @SenatorRobHogg: When @CityofCRIowa city council talks about planning and neighborhoods . . . 

&gt;&gt; Violated long-standing land use &amp; flo…",rt when city council talks about planning and neighborhoods . . . &gt&gt violated long standing land use flo…,en
1.38e+18,,2021-12-05 22:45:00+00:00,,Twitter,flood,Iowa,,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,rt iowa scientists are developing a tool to forecast missouri river flooding and how wide it could spread out across the floo…,en
22962704.0,,2021-12-05 22:39:00+00:00,,Twitter,flood,Somewhere in Iowa USA,,Ames Flood mitigation project dusting off the old flood video from 2010 @WHO13news @WHOWeather @cityofames #2010AmesFlood https://t.co/7tMPFQslHM,ames flood mitigation project dusting off the old flood video from 2010 2010amesflood,en
1.34e+18,,2021-12-05 22:07:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"IWX extends time of Flood Warning for Maumee River near Defiance [OH] till May 13, 12:00 AM EDT https://t.co/So5yk80zjv https://t.co/UVlPYW26C0","iwx extends time of flood warning for maumee river near defiance oh till may 13, 12:00 am edt",en
20187715.0,,2021-12-05 21:47:00+00:00,,Twitter,flood,"Cedar Rapids, Iowa",,"Flood control plans are well underway for the northwest neighborhood, including levees, trails, and greenways. You can find more details in the latest issue of Our CR magazine, arriving in your mailbox this week.
View online at https://t.co/19L89Yg1va https://t.co/mqQz5bYF8b","flood control plans are well underway for the northwest neighborhood, including levees, trails, and greenways. you can find more details in the latest issue of our cr magazine, arriving in your mailbox this week. view online at",en
3293109928.0,,2021-12-05 20:10:00+00:00,,Twitter,flood,"Iowa City, IA",,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,rt iowa scientists are developing a tool to forecast missouri river flooding and how wide it could spread out across the floo…,en
2875820413.0,,2021-12-05 19:48:00+00:00,,Twitter,flood,"Iowa, USA",,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,rt iowa scientists are developing a tool to forecast missouri river flooding and how wide it could spread out across the floo…,en
1.34e+18,,2021-12-05 19:33:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE continues Flood Warning for Sandusky River at Tiffin [OH] till May 13, 10:40 AM EDT https://t.co/irLMJhSwmr https://t.co/YBmPgp6tqw","cle continues flood warning for sandusky river at tiffin oh till may 13, 10:40 am edt",en
1.34e+18,,2021-12-05 19:33:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE continues Flood Warning for Sandusky River at Tiffin [OH] till May 13, 10:40 AM EDT https://t.co/irLMJhSwmr https://t.co/YKToKHXP4c","cle continues flood warning for sandusky river at tiffin oh till may 13, 10:40 am edt",en
1.34e+18,,2021-12-05 19:33:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE continues Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/a61EmddSAt https://t.co/uMfaY4LO5P","cle continues flood warning for killbuck creek near killbuck oh till may 15, 8:00 am edt",en
1.34e+18,,2021-12-05 19:33:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE continues Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/a61EmddSAt https://t.co/idT8iAmaID","cle continues flood warning for killbuck creek near killbuck oh till may 15, 8:00 am edt",en
1.34e+18,,2021-12-05 19:33:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Scioto River near Prospect [OH] till May 14, 6:30 AM EDT https://t.co/asVPXOPRvf https://t.co/wolFmjcTkZ","cle extends time of flood warning for scioto river near prospect oh till may 14, 6:30 am edt",en
1.34e+18,,2021-12-05 19:33:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Scioto River near Prospect [OH] till May 14, 6:30 AM EDT https://t.co/asVPXOPRvf https://t.co/OwpZH2BEw2","cle extends time of flood warning for scioto river near prospect oh till may 14, 6:30 am edt",en
18347570.0,,2021-12-05 18:00:00+00:00,,Twitter,flood,"Iowa, USA",,RT @katiepeikes: Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floo…,rt iowa scientists are developing a tool to forecast missouri river flooding and how wide it could spread out across the floo…,en
949118761.0,,2021-12-05 17:45:00+00:00,,Twitter,flood,"Ames, Iowa",,"Iowa scientists are developing a tool to forecast Missouri River flooding and how wide it could spread out across the floodplain, to better prepare people for floods. @IowaPublicRadio  https://t.co/JS9z168ZPT","iowa scientists are developing a tool to forecast missouri river flooding and how wide it could spread out across the floodplain, to better prepare people for floods.",en
385231250.0,,2021-12-05 16:39:00+00:00,,Twitter,none,,,"RT @SenatorRobHogg: When @CityofCRIowa city council talks about planning and neighborhoods . . . 

&gt;&gt; Violated long-standing land use &amp; flo…",rt when city council talks about planning and neighborhoods . . . &gt&gt violated long standing land use flo…,en
2424440299.0,,2021-12-05 16:36:00+00:00,,Twitter,flood,Cedar Rapids,,"When @CityofCRIowa city council talks about planning and neighborhoods . . . 

&gt;&gt; Violated long-standing land use &amp; flood plans to destroy prairie in floodplain for @Cargill rail yard.

&gt;&gt; Sites industrial rail yard in Rompot neighborhood.

Tell them to stop the destruction! https://t.co/JfA1RAJ0TU",when city council talks about planning and neighborhoods . . . &gt&gt violated long standing land use flood plans to destroy prairie in floodplain for rail yard. &gt&gt sites industrial rail yard in rompot neighborhood. tell them to stop the destruction!,en
1.34e+18,,2021-12-05 16:17:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/ST6KvbWWf5 https://t.co/CEw5zHKl0z","cle extends time of flood warning for killbuck creek near killbuck oh till may 15, 8:00 am edt",en
1.34e+18,,2021-12-05 16:17:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Killbuck Creek near Killbuck [OH] till May 15, 8:00 AM EDT https://t.co/ST6KvbWWf5 https://t.co/uZtqJPmldv","cle extends time of flood warning for killbuck creek near killbuck oh till may 15, 8:00 am edt",en
1.34e+18,,2021-12-05 16:17:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Sandusky River at Tiffin [OH] till May 13, 10:40 AM EDT https://t.co/C0psvXHemP https://t.co/hg0p1Lb0Q0","cle extends time of flood warning for sandusky river at tiffin oh till may 13, 10:40 am edt",en
1.34e+18,,2021-12-05 16:17:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Sandusky River at Tiffin [OH] till May 13, 10:40 AM EDT https://t.co/C0psvXHemP https://t.co/5m2xlqeYWh","cle extends time of flood warning for sandusky river at tiffin oh till may 13, 10:40 am edt",en
1.34e+18,,2021-12-05 16:17:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Scioto River near Prospect [OH] till May 13, 11:00 PM EDT https://t.co/0rfQ36IOol https://t.co/JxFTPkRS4r","cle extends time of flood warning for scioto river near prospect oh till may 13, 11:00 pm edt",en
1.34e+18,,2021-12-05 16:17:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"CLE extends time of Flood Warning for Scioto River near Prospect [OH] till May 13, 11:00 PM EDT https://t.co/0rfQ36IOol https://t.co/sLhIh5Kc0C","cle extends time of flood warning for scioto river near prospect oh till may 13, 11:00 pm edt",en
8.11e+17,,2021-12-05 15:19:00+00:00,,Twitter,flood,"Des Moines, IA",,"@NatalieHopkin2 @Claire11601244 @Claribelle13 @melindatamplin @Melchell2 @twig1946 @nick19754 @jodrwho @Jul56com @elder_bryna @samlizbro @marti_mart11 @elibisme @scorelog @cadams050419661 @juleslh87 @460264 @taffgall @xpinkpixiedollx @Ceridwyn2 @mrslevisentme So nice to be reminded that I can eat all the spiders I want. Have a great hump day sweetie xxx 
SSAW Take care xxx❤️
Spider webs in during flood times. https://t.co/Q4wHrt5meh",so nice to be reminded that i can eat all the spiders i want. have a great hump day sweetie xxx ssaw take care xxx spider webs in during flood times.,en
1.34e+18,,2021-12-05 14:57:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"IWX extends time of Flood Warning for Wabash River near Bluffton [IN] till May 13, 4:40 PM EDT https://t.co/F604C99efu https://t.co/F9o06ZTV3I","iwx extends time of flood warning for wabash river near bluffton in till may 13, 4:40 pm edt",en
1.34e+18,,2021-12-05 14:57:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"IWX extends time of Flood Warning for Wabash River near Linn Grove [IN] till May 13, 6:48 AM EDT https://t.co/5DU0LWeKar https://t.co/QPUeNZcK1v","iwx extends time of flood warning for wabash river near linn grove in till may 13, 6:48 am edt",en
21213091.0,,2021-12-05 14:45:00+00:00,,Twitter,flood,"Atlantic, IA",,New tech coming soon that aims to predict flood water depth home-by-home https://t.co/0pYlIeFUw5,new tech coming soon that aims to predict flood water depth home by home,en
1.34e+18,,2021-12-05 14:30:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"LOT extends time of Flood Advisory for Illinois River at La Salle [IL] till May 13, 1:00 AM CDT https://t.co/81o30jm8xe https://t.co/ULR7u0og6Q","lot extends time of flood advisory for illinois river at la salle il till may 13, 1:00 am cdt",en
1.34e+18,,2021-12-05 14:30:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"LOT extends time of Flood Advisory for Illinois River at La Salle [IL] till May 13, 1:00 AM CDT https://t.co/81o30jm8xe https://t.co/5OfJ44khUk","lot extends time of flood advisory for illinois river at la salle il till may 13, 1:00 am cdt",en
1.34e+18,,2021-12-05 14:22:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"ILX issues Flood Warning valid at May 12, 4:00 PM CDT for Illinois River near Havana [IL] until further notice https://t.co/U4eL5zP0US https://t.co/MMO9THgJfU","ilx issues flood warning valid at may 12, 4:00 pm cdt for illinois river near havana il until further notice",en
1.34e+18,,2021-12-05 12:59:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"LOT extends time of Flood Advisory for Iroquois River near Foresman [IN] till May 13, 1:00 PM CDT https://t.co/mhGsT7sxMp https://t.co/609q2EGKD7","lot extends time of flood advisory for iroquois river near foresman in till may 13, 1:00 pm cdt",en
1.34e+18,,2021-12-05 12:08:00+00:00,,Twitter,flood,"Des Moines, Iowa",,ILN cancels Flood Warning for Scioto River at Circleville [OH] https://t.co/WdBTBT2d4j https://t.co/L7fO49uzph,iln cancels flood warning for scioto river at circleville oh,en
1.34e+18,,2021-12-05 10:46:00+00:00,,Twitter,flood,"Des Moines, Iowa",,"ILN extends time of Flood Warning for Scioto River at Circleville [OH] till May 12, 1:00 PM EDT https://t.co/khKIQE1Hrj https://t.co/rKxUSaq7ir","iln extends time of flood warning for scioto river at circleville oh till may 12, 1:00 pm edt",en
1.4e+18,,2021-06-04 03:21:05+00:00,,Twitter,flood,Jamaica,,"IDM camp located at Ingyinyan tonwship, Kachin state has been facing with drinking water shortage as heavy rain led a flood there. Access to safe water resources has become one important factor in every IDM. #June4Coup  #WhatsHappeningInMyanmar  https://t.co/NeNXfTRVk3","idm camp located at ingyinyan tonwship, kachin state has been facing with drinking water shortage as heavy rain led a flood there. access to safe water resources has become one important factor in every idm. june4coup whatshappeninginmyanmar",en
1.4e+18,,2021-06-04 03:15:33+00:00,,Twitter,none,Jamaica,,FLOOD MY FCKING CITY. ESPANA.,flood my fcking city. espana.,en
1.4e+18,,2021-06-04 03:02:21+00:00,,Twitter,flood,Jamaica,,"IDM camp located at Ingyinyan tonwship, Kachin state has been facing with drinking water shortage as heavy rain led a flood there. Access to safe water resources has become one important factor in every IDM. #June4Coup  #WhatsHappeningInMyanmar  https://t.co/ujY4y7ebJG","idm camp located at ingyinyan tonwship, kachin state has been facing with drinking water shortage as heavy rain led a flood there. access to safe water resources has become one important factor in every idm. june4coup whatshappeninginmyanmar",en
1.4e+18,,2021-06-04 02:33:59+00:00,,Twitter,none,Jamaica,,"@NextGennerMaki @SCWBossHS Just basically that, letting yourself feel but making sure she's taken care of. Her final wishes and whatnot. Above all else, and take this from an expert on this, do not hold it in. I did that when my gram died and holy hell talk about flood gates.","just basically that, letting yourself feel but making sure she is taken care of. her final wishes and whatnot. above all else, and take this from an expert on this, do not hold it in. i did that when my gram died and holy hell talk about flood gates.",en
1.4e+18,,2021-06-04 02:11:12+00:00,,Twitter,none,Jamaica,,and floods by lucky daye was one. so i listened to it faithfully.,and floods by lucky daye was one. so i listened to it faithfully.,en
1.4e+18,,2021-06-04 02:09:00+00:00,,Twitter,none,Jamaica,,"@spwells It may be surprising but the tsunami risk in the British Isles is not insignificant.  Recent geologic studies indicate that the Great Bristol Flood of 1607 that killed 2,000 people was in fact a tsunami.  https://t.co/d8eCyHB2if  https://t.co/oRNU2EO34o","it may be surprising but the tsunami risk in the british isles is not insignificant. recent geologic studies indicate that the great bristol flood of 1607 that killed 2,000 people was in fact a tsunami.",en
1.4e+18,,2021-06-04 01:31:54+00:00,,Twitter,none,Jamaica,,Justice has been served 💯 grog flood is now in an alternate universe where he the actor himself has not been the receiving end of death!  https://t.co/Ii3VhDyMrt,justice has been served grog flood is now in an alternate universe where he the actor himself has not been the receiving end of death!,en
1.4e+18,,2021-06-03 23:32:36+00:00,,Twitter,none,Jamaica,,"@thomas_lord @Donald_Booker Well, exactly. The ideas flow around, and not everything if that period was done in England at once... without Venitian VC loans to Spaniards, the flood of wealth doesn't show up in western Europe, so there's no book manufacturing, and so no enlightenment, and so on.","well, exactly. the ideas flow around, and not everything if that period was done in england at once. without venitian vc loans to spaniards, the flood of wealth does not show up in western europe, so there is no book manufacturing, and so no enlightenment, and so on.",en
1.4e+18,,2021-06-03 23:01:00+00:00,,Twitter,none,Jamaica,,@raquelaxo Your DMs about to flood now,your dms about to flood now,en
1.4e+18,,2021-06-03 22:39:48+00:00,,Twitter,none,Jamaica,,Let’s flood @AMCTheatres this weekend!!  #AMCSTRONG #AMCARMY #AMC,let us flood this weekend! amcstrong amcarmy amc,en
1.4e+18,,2021-06-03 22:23:56+00:00,,Twitter,none,Jamaica,,Want to buy ankle jeans but I can’t let go of the trauma of being in a flood,want to buy ankle jeans but i cannot let go of the trauma of being in a flood,en
1.4e+18,,2021-06-03 22:15:22+00:00,,Twitter,none,Jamaica,,"The oldest human skeleton found thus far is about 300,000 years old.  But Noah’s flood happened around 12,000 years ago   Adam - religiously, the “first human” was 4 generations before Noah  Huge piece of human history is missing  Either scientists are wrong or religion is wrong","the oldest human skeleton found thus far is about 300,000 years old. but noah’s flood happened around 12,000 years ago adam religiously, the “first human” was 4 generations before noah huge piece of human history is missing either scientists are wrong or religion is wrong",en
1.4e+18,,2021-06-03 21:50:28+00:00,,Twitter,none,Jamaica,,"@JosephineChoi I’m a patience person and I respect people who respect me🖤 and thank you LOL, I try not to go crazy bcz Ik I flood people tls and annoy them with it😅","I am a patience person and i respect people who respect me and thank you lol, i try not to go crazy bcz ik i flood people tls and annoy them with it",en
1.4e+18,,2021-06-03 21:48:00+00:00,,Twitter,none,Jamaica,,"@maddow Could you make available an easy one- or two-click way for viewers to send Rachel’s opener in video and TRANSCRIPT form out? A flood of these to @POTUS @VP @SpeakerPelosi @SenSchumer and our own sens and reps, govs and other officials could get a reaction.","could you make available an easy one or two click way for viewers to send rachel’s opener in video and transcript form out? a flood of these to and our own sens and reps, govs and other officials could get a reaction.",en
1.4e+18,,2021-06-03 21:38:14+00:00,,Twitter,none,Jamaica,,i only call her bestie to hide the fact i want to flood her womb with my semen — Well that’s what bestie means  https://t.co/q3OPeD4nWp,i only call her bestie to hide the fact i want to flood her womb with my semen — well that is what bestie means,en
1.4e+18,,2021-06-03 21:29:05+00:00,,Twitter,none,Jamaica,,"@DocCoyle I'm not scared of Chinese technology.  They built a massive damn that was constructed so poorly that they first declared it could withstand the worst flood in 10,000 years.  They've now walked that back to 100 years because it's about to go.  If it does Krom help us all.","I am not scared of chinese technology. they built a massive damn that was constructed so poorly that they first declared it could withstand the worst flood in 10,000 years. they have now walked that back to 100 years because it is about to go. if it does krom help us all.",en
1.4e+18,,2021-06-03 20:01:29+00:00,,Twitter,flood,Jamaica,,How’s is it a flood in my crib and I live on the top floor 🤔,how is is it a flood in my crib and i live on the top floor,en
1.4e+18,,2021-06-03 19:26:26+00:00,,Twitter,none,Jamaica,,Urge Congress to Invest in Science &amp; Prepare for Worsening Floods  https://t.co/9Oap0Tq721,urge congress to invest in science prepare for worsening floods,en
