,Unnamed: 0,language,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,urls,photos,hashtags,link,retweet,quote_url,video,Cleaned Tweets,Cleaned Tweets Further,Location Name,category
0,0,en,1.3924e+18,1.3924e+18,2021-05-12 14:01:43 India Standard Time,12-05-2021,14:01:43,530,892995073.0,ifrcafrica,IFRC Africa,,"Across Africa, at any given time, Red Cross and Red Crescent National Societies are responding to #floods or cyclones with lifesaving actions.  Learn more:  https://t.co/iLiQpJQbOi.  https://t.co/6vhltAOkdE",['http://bit.ly/2RNeRSU'],['https://pbs.twimg.com/media/E1LJvvxWEAIRV86.jpg'],['floods'],https://twitter.com/IFRCAfrica/status/1392397059723075585,False,,1,"across africa, at any given time, red cross and red crescent national societies are responding to floods or cyclones with lifesaving actions. learn more:",across africa  at any given time  red cross and red crescent national societies are responding to floods or cyclones with lifesaving actions  learn more ,[],flood
1,1,en,1.3924e+18,1.3924e+18,2021-05-12 13:55:41 India Standard Time,12-05-2021,13:55:41,530,9.08595e+17,wanjohikinguru,Wanjohi King'uru,,Poor drainage in Transami means we have to endure flooding when there is rain in Nairobi. We need to redo the drainage networks in the city. #Nairobi #Floods  https://t.co/FfwBfro0KO,[],[],"['nairobi', 'floods']",https://twitter.com/WanjohiKinguru/status/1392395543557640193,False,,1,poor drainage in transami means we have to endure flooding when there is rain in nairobi. we need to redo the drainage networks in the city. nairobi floods,poor drainage in transami means we have to endure flooding when there is rain in nairobi  we need to redo the drainage networks in the city  nairobi floods,[],flood
2,2,en,1.39239e+18,1.39239e+18,2021-05-12 13:35:46 India Standard Time,12-05-2021,13:35:46,530,16043037.0,ncedigital,New Civil Engineer,,Daily brief:  🌥️ Queen's Speech intensifies #HS2 anxiety  https://t.co/Oqapyv1m9s  🌥️ @networkrail station competition winner revealed  https://t.co/Px3PLn9huQ  🌥️ Flood Action Plan launched  https://t.co/qIWqDlDQQn  #Engineering #CivilEngineering #Rail #Stations #Floods  https://t.co/mQWXqpiq2C,"['https://buff.ly/3eDdK1i', 'https://buff.ly/33yJChj', 'https://buff.ly/3y5cBqY']","['https://pbs.twimg.com/media/E1LDz05XIAAptuR.jpg', 'https://pbs.twimg.com/media/E1LDzz6XIAEDFbb.jpg', 'https://pbs.twimg.com/media/E1LDz1EWYAMXDx3.jpg']","['hs2', 'engineering', 'civilengineering', 'rail', 'stations', 'floods']",https://twitter.com/ncedigital/status/1392390532316504066,False,,1,daily brief: 🌥️ queen's speech intensifies hs2 anxiety 🌥️ station competition winner revealed 🌥️ flood action plan launched engineering civilengineering rail stations floods,daily brief     queen s speech intensifies hs2 anxiety    station competition winner revealed    flood action plan launched engineering civilengineering rail stations floods,[],none
3,3,en,1.39239e+18,1.39239e+18,2021-05-12 13:34:05 India Standard Time,12-05-2021,13:34:05,530,2985110557.0,malurussally,Sally Forsstrom,,#climate change impacts here already with #drought the #bushfires from August 2019 - March 2020 then #floods we need a plan for #NetZeroEmissions,[],[],"['climate', 'drought', 'bushfires', 'floods', 'netzeroemissions']",https://twitter.com/MalurusSally/status/1392390106120601600,False,https://twitter.com/shoebridgemlc/status/1392263915506069504,0,climate change impacts here already with drought the bushfires from august 2019 - march 2020 then floods we need a plan for netzeroemissions,climate change impacts here already with drought the bushfires from august 2019   march 2020 then floods we need a plan for netzeroemissions,[],flood_drought
4,4,en,1.39239e+18,1.39239e+18,2021-05-12 13:29:27 India Standard Time,12-05-2021,13:29:27,530,8.56593e+17,infonile,InfoNile,,"🧵: This is Thirst in a River Basin, an interactive  #InfoMap 🌍that pinpoints the areas most vulnerable to changing #rainfall and runoff patterns - factors that contribute to #droughts and #floods - and those already facing 💧 #water scarcity in the Nile.  https://t.co/gOZUu08Gxa  https://t.co/uaDstL349p",['https://maps.infonile.org/covid-water-scarcity/'],['https://pbs.twimg.com/media/E1LCXHmXoAM1J_9.jpg'],"['infomap', 'rainfall', 'droughts', 'floods', 'water']",https://twitter.com/infoNILE/status/1392388939156271105,False,,1,"🧵: this is thirst in a river basin, an interactive infomap 🌍that pinpoints the areas most vulnerable to changing rainfall and runoff patterns - factors that contribute to droughts and floods - and those already facing 💧 water scarcity in the nile.",   this is thirst in a river basin  an interactive infomap  that pinpoints the areas most vulnerable to changing rainfall and runoff patterns   factors that contribute to droughts and floods   and those already facing   water scarcity in the nile ,[],flood_drought
5,5,en,1.39236e+18,1.39236e+18,2021-05-12 11:27:07 India Standard Time,12-05-2021,11:27:07,530,1.30911e+18,antoinewalter7,(don't) Waste Water,,"What if we could avoid Fatbergs, #Sewer Blockages, and #Floods? That's what Brian Moloney shares us in this week's #Podcast. 🎧 Fatbergs Right Ahead? Not if you Harvest the Right Data! ▶ Listen to the full episode on your favorite Podcatcher, or on  https://t.co/PaCpbIkwNx  https://t.co/NuVfDwoiTD",['https://dww.show'],['https://pbs.twimg.com/media/E1KmXPYWQAMD_EN.jpg'],"['sewer', 'floods', 'podcast']",https://twitter.com/AntoineWalter7/status/1392358155607232513,False,,1,"what if we could avoid fatbergs, sewer blockages, and floods? that is what brian moloney shares us in this week's podcast. 🎧 fatbergs right ahead? not if you harvest the right data! ▶ listen to the full episode on your favorite podcatcher, or on",what if we could avoid fatbergs  sewer blockages  and floods  that is what brian moloney shares us in this week s podcast    fatbergs right ahead  not if you harvest the right data    listen to the full episode on your favorite podcatcher  or on,[],flood
6,6,en,1.39236e+18,1.39236e+18,2021-05-12 11:22:00 India Standard Time,12-05-2021,11:22:00,530,1.10737e+18,xy5z89,Xy5Z89🇩🇪🇪🇺,,"#UPDATE 🇺🇳#UN #Somalia #Geneva #FLOODS Map by @CopernicusEMS  On Tuesday, UN humanitarians said that torrential rains in parts of Somalia caused flash floods, killing at least 25 people just two weeks after the country was declared drought-stricken.  https://t.co/lZH0rKlCaE",[],['https://pbs.twimg.com/media/E1KlMVhXIAAGc15.jpg'],"['update', 'un', 'somalia', 'geneva', 'floods']",https://twitter.com/Xy5Z89/status/1392356869029642243,False,https://twitter.com/Xy5Z89/status/1391095906766921732,1,"update 🇺🇳un somalia geneva floods map by on tuesday, un humanitarians said that torrential rains in parts of somalia caused flash floods, killing at least 25 people just two weeks after the country was declared drought-stricken.",update   un somalia geneva floods map by on tuesday  un humanitarians said that torrential rains in parts of somalia caused flash floods  killing at least 25 people just two weeks after the country was declared drought stricken ,[],flood
7,7,en,1.39235e+18,1.39235e+18,2021-05-12 10:57:37 India Standard Time,12-05-2021,10:57:37,530,219038377.0,darleneosicotte,Darlene O-Sicotte,,@redcrosscanada help !!! @amnesty @HRWatchdog #FortSimpson #floods,[],[],"['fortsimpson', 'floods']",https://twitter.com/DarleneOSicotte/status/1392350729084362752,False,https://twitter.com/mlala_ms/status/1391972141164163074,0,help !!! fortsimpson floods,help     fortsimpson floods,[],flood
8,8,en,1.39233e+18,1.39233e+18,2021-05-12 09:37:22 India Standard Time,12-05-2021,09:37:22,530,7.38239e+17,_tmys_,#TellMeYourStory,,"Indian and Global #films. How have they depicted #floods and flood #victims? Welcoming Dr. Suchandra Ghatak as a speaker. TMYS Review Sept 2021  Calling for #essays, #stories, #poems on Migration, Resettlement and Displacement of Flood victims.  https://t.co/yEphjmZDgt  https://t.co/QIrjC6B38S",['https://tellmeyourstory.biz/call-for-submissions-September-2021'],['https://pbs.twimg.com/media/E1KMgiPUYAIN-MO.jpg'],"['films', 'floods', 'victims', 'essays', 'stories', 'poems']",https://twitter.com/_TMYS_/status/1392330533997146112,False,,1,"indian and global films. how have they depicted floods and flood victims? welcoming dr. suchandra ghatak as a speaker. tmys review sept 2021 calling for essays, stories, poems on migration, resettlement and displacement of flood victims.",indian and global films  how have they depicted floods and flood victims  welcoming dr  suchandra ghatak as a speaker  tmys review sept 2021 calling for essays  stories  poems on migration  resettlement and displacement of flood victims ,[],flood
9,9,en,1.39232e+18,1.39232e+18,2021-05-12 09:08:18 India Standard Time,12-05-2021,09:08:18,530,2362057418.0,dratchie,Dr Andrew E. Yaw Tchie,,Fangak appeals for humanitarian aid as #floods engulf areas  https://t.co/8qso0r7YwB,['https://eyeradio.org/fangak-appeals-for-humanitarian-aid-as-floods-engulf-areas/'],[],['floods'],https://twitter.com/DrATchie/status/1392323220972396549,False,,0,fangak appeals for humanitarian aid as floods engulf areas,fangak appeals for humanitarian aid as floods engulf areas,[],flood
