event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,category
DR-2021-000054-SOM,"Somalia: Drought Emergency 2021 - Emergency Plan of Action (EPoA), DREF Operation n° MDRS0011 - Somalia - ReliefWeb",https://reliefweb.int/report/somalia/somalia-drought-emergency-2021-emergency-plan-action-epoa-dref-operation-n-mdrs0011,"DR-2021-000054-SOM

A. Situation analysis

Description of the Disaster

01 May 2021: The Government of Somalia declared a National Emergency due to the Drought situation and called for support in responding to the humanitarian crisis. According to UNOCHA Somalia situational Update of April 26th 2021 and the IFRC Regional Information Bulletin (RIB), the already dire humanitarian situation in Somalia has been deteriorating since the failed Deyr short rains late 2020, especially in the eight targeted districts in the table below:

This affected crop production, pasture regeneration and failed to sufficiently replenish water sources for communities in the eight (8) targeted districts.

The earliest onset of the prolonged Jilaal dry season in late 2020 depleted the little pasture and water sources available for the very vulnerable households in these districts. The late onset of the insufficient and poorly distributed Guu long rains 2021 is projected to be inadequate till June, unlikely to sufficiently replenish water sources and regenerate pasture. The back-to-back poor performance of the Deyr and Guu with a harsh Jilaal in-between eroded the resilience of the targeted communities.

Access to clean water is compromised with the cost of water spiking by 60% in these districts and vulnerable households having to travel long distances in search of water. Vulnerable households have resorted to negative coping strategies. Poor hygiene practices are on the rise putting the health and nutrition of vulnerable <5-year-olds and pregnant women at increased risk. Herders are resorting to hand-feeding their livestock with locally produced cereals. This has caused cereal prices to increase by at least 30% and livestock disease are being reported.

The map below courtesy of FAO and SWALIM shows the targeted districts within the larger IPC-4 zone. For related IPC classification see https://fews.net/east-africa/somalia

Summary of the current response

Overview of Host National Society Response Action

In response to the emerging drought as a result of failed Deyr (short rains) season September-December 2020, SRCS convened a Partners call in December 2020. The objective was to flag the imminent drought and collectively agree on the next steps moving forward. Two key resolutions reached were: 1) SRCS participates in the planned Government-led interagency drought rapid assessment, and 2) SRCS closely monitors the situation and share periodic updates with partners. SRCS convened a second follow up Partners call in early February 2021 during which the Drought rapid assessment findings for Somaliland were shared and discussed.

The meeting resolved that SRCS focuses and prioritizes areas / sectors of intervention, develops a Preparedness for Effective Response (PER) Plan and shares with members. SRCS further prepared and submitted a proposal to the Somalia Humanitarian Fund (SHF) for consideration. This operational plan is therefore prepared based on the conclusion and sector-specific recommendations of the assessment. Furthermore, the plan is triggered by the Government’s Declaration of a National Drought Emergency on the 01 of May. The eight (8) targeted districts are pockets inside the larger Puntland and Somaliland regions, some already classified to be in IPC-4.

Based on the above, this DREF Operation will initially focus on 1) Livelihood and Basic needs support through Unconditional Mobile Cash Transfer to meet basic needs of households and, 2) Health / Nutrition through additional Emergency Mobile Health Clinics (EMHCs). Subsequent action will depend on the evolution of the drought emergency.","Sat, 15 May 2021 06:12:50 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1567019-MDRSO011do.png?itok=ORVaA4Ys,"['epoa', 'water', 'households', 'n', 'mdrs0011', 'action', 'situation', 'emergency', 'plan', 'drought', 'operation', 'targeted', 'vulnerable', 'districts', 'dref', 'srcs', 'somalia']",drought
DR-2021-000054-SOM,"'If the camel is fine, our life is fine.' But Somali camel herding is in jeopardy. - National Geographic",https://www.nationalgeographic.com/culture/article/somali-camel-herding-in-jeopardy-if-camel-is-fine-our-life-is-fine,"Baruud, a five-month-old camel, tugs at Cadar Maxamed’s hijab in Xijiinle, a village on the northern coast of Somaliland. Baruud, which means tough in Somali, was given the name after his mother survived a devastating drought while she was pregnant with him. Millions of Somalia’s camels and other livestock died in successive drought years that began in 2015.","Wed, 19 May 2021 07:00:00 GMT",https://i.natgeofe.com/n/0b7bac72-2f34-4a65-a06f-7204fd499c8b/somali-camel-culture-12_16x9.jpg?w=1200,"['herding', 'baruud', 'tugs', 'village', 'tough', 'somaliland', 'life', 'fine', 'somali', 'survived', 'camel', 'jeopardy', 'drought', 'somalias', 'xijiinle', 'successive']",drought
DR-2021-000054-SOM,"Somalia Emergency Response and Preparedness Plan 2021 - Conflict, Floods, Drought (April 2021) - Somalia - ReliefWeb",https://reliefweb.int/report/somalia/somalia-emergency-response-and-preparedness-plan-2021-conflict-floods-drought-april,"Strategic Summary

Cyclical patterns of erratic weather conditions, climatic causes of displacement, political instability and a rise in conflict — including due to the highly contentious election process and disputes over natural resources (land, water, pasture) — have deepened Somalia’s protection crisis.

Water challenges in Somalia oscillate between water shortages and drought-like conditions, and flash floods and river breakages. As communities struggle to cope with the impact of COVID-19 and the desert locust infestation in a context of protracted armed conflict, insecurity and political instability, pre-drought conditions seen across various parts of the country add an additional layer of complexity, further driving communities to adopt negative coping mechanisms.

In the first quarter of 2021, more than 34 districts in Somalia were already facing devastating water shortages, over 95,000 Somalis were displaced by droughtlike conditions since December 2020, and at least 3.4 million people were projected to be affected by drought or drought-like conditions by year end, of whom around 380,000 are expected to be displaced due to droughtlike conditions and dry season.

The poor weather patterns are expected to continue due to La Niña conditions and a second consecutive season of below-average rainfall with below-average Gu rainfall season forecast from April to June. The impact of drought and livelihoods situation will be exacerbated by the continuation of the desert locust infestation which is forecast to continue spreading following reports of newly formed immature swarms breeding in the northern parts of the country. Progressively, widespread food security Crisis (IPC Phase 3) outcomes are expected through September 2021.

Efforts therefore need to be bolstered to provide communities access to sustainable and climate-resilient water services. This means investing in short, medium and long-term solutions that withstand climate shocks. To address the immediate lifesaving needs of affected populations, urgent and collective action is required to mitigate the worse impacts of the various shocks. Complementary to the 2021 Humanitarian Response Plan, the Emergency Response and Preparedness (ERP) outlines detailed State-level response and preparedness contingency plans to operationalize and optimize the speed and volume of critical assistance delivered immediately after the trigger of an identified slow-onset or sudden-onset humanitarian of three key shocks: drought, conflict and flooding at both the State and Federal level.","Mon, 17 May 2021 07:00:00 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1567107-Somalia_ERP_2021.png?itok=K6CalS4a,"['droughtlike', 'conflict', 'floods', 'water', 'weather', 'response', 'conditions', 'plan', 'emergency', 'drought', 'shocks', 'preparedness', 'expected', 'communities', '2021', 'somalia']",drought
DR-2021-000054-SOM,"Somalia Humanitarian Bulletin, April 2021 - Somalia - ReliefWeb",https://reliefweb.int/report/somalia/somalia-humanitarian-bulletin-april-2021,"HIGHLIGHTS

• On 25 April, the Federal Government of Somalia in consultation with the United Nations declared a drought. More than 80 per cent of the country is experiencing moderate to severe drought conditions. On 26 April, a High-Level Roundtable on the situation was co-hosted by the EU and OCHA.

• COVID-19 continues to impact Somalia. As of 29 April, more than 121,700 people in Somalia had received their first doses of the Oxford Astra-Zeneca vaccine that was rolled out on 16 March, but the uptake remains low.

• Air access to Berdale has been restored with the first flight since May 2020 landing on 25 April, carrying shelter and non-food items for displaced families. The resumption of flights will enable humanitarian relief supplies, and travel for humanitarians and commercial travelers.

• Displacement due to conflict and violence has escalated in Somalia with over 250,000 people recently displaced in Banadir, Berdale and Baadweyn. These include nearly 200,000 people who have been displaced around Mogadishu since 15 April.

KEY FIGURES

5.9M People in need of humanitarian assistance

2.9M People displaced by conflict and natural disasters across the country

116K People displaced by water shortages since October 2020

1.6M People currently experiencing acute food insecurity.

13.9K Cases of COVID19 reported since March 2020

121.7K Covid-19 vaccines administered

SITUATION OVERVIEW

80 per cent of Somalia facing moderate to severe drought conditions

The Federal Government of Somalia in consultation with the United Nations declared a drought on 25 April. More than 80 per cent of the country is currently experiencing moderate to severe drought conditions. Key factors include below average October to December 2020 Deyr rains, followed by a harsh and warmer than normal January to March Jilaal season and a delayed and poor start of the current April to June Gu season. The worst affected areas include parts of Somaliland and Puntland, central regions and Gedo region. Between October 2020 and March, over 116,000 people were displaced by severe water shortages and drought conditions between October 2020 and March 2021.

“We are at the brink of a human catastrophe amidst an already dire humanitarian situation,” said the Humanitarian Coordinator, Adam Abdelmoula in a 25 April joint statement with the Federal Government. “The cost of inaction is far too dire and the time to take action is now. Urgent and immediate collective action, including scaling-up of response and funding, is needed now to mitigate a full-scale disaster.”

Somalia is on the front line of climate change and the frequency of climate-related disasters is increasing rapidly. The country has, since 1990, experienced more than 30 climate-related hazards, including 12 droughts and 19 floods – triple the number of climate-related hazards experienced between 1970 and 1990. In 2021, drought conditions are expected to increase displacement and have a lasting negative impact on livelihoods and food security outcomes. At least 3.4 million people are projected to be affected by drought conditions by the end of 2021, of whom around 380,000 are expected to be displaced.","Tue, 11 May 2021 07:00:00 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1566474-Somalia_%20Humanitarian%20Bulletin_April%202021_final%201_publication.png?itok=dupSWVNb,"['displaced', '25', 'severe', 'moderate', 'conditions', '2020', 'drought', 'bulletin', 'humanitarian', 'include', '2021', 'somalia']",drought
DR-2021-000054-SOM,Drought-ending floods in parts of Somalia kill at least 25 people: UN - Xinhua | English.news.cn - Xinhua,http://www.xinhuanet.com/english/2021-05/12/c_139939503.htm,"Source: Xinhua| 2021-05-12 03:17:19|Editor: huaxia

Video Player Close

UNITED NATIONS, May 11 (Xinhua) -- Torrential rains in parts of Somalia triggered flash flooding, killing at least 25 people about two weeks after a drought was declared in the country, UN humanitarians said on Tuesday.

The UN Office for the Coordination of Humanitarian Affairs (OCHA) warned the combined effects of drought and flooding may worsen the humanitarian situation in Somalia, where more than 2.7 million people are food insecure.

Seasonal rains started in parts of the country in late April and early May as more than 80 percent of Somalia faced moderate to severe drought conditions, said OCHA.

""At least 25 people have died in various parts of the country due to the floods, among them 9 children who lost their lives after their house flooded in the Banadir region on Friday,"" OCHA said. Belet Weyne in the Hiiran region may see unprecedented levels of flooding in the next 24 to 48 hours. The Juba River burst its banks, it said.

The United Nations and partners have reached at least 353,000 people in drought-affected areas with assistance. Urgent efforts are under way to respond to the flash flooding.

The UN 2021 humanitarian response plan for Somalia seeks 1 billion U.S. dollars to help 4 million people, OCHA said. It is only 19 percent funded.

In 2019, floods killed at least 17 people and displaced more than 370,000 others in Somalia. Enditem","Wed, 12 May 2021 07:00:00 GMT",,"['kill', 'region', 'droughtending', 'floods', 'xinhua', '25', 'rains', 'parts', 'drought', 'ocha', 'humanitarian', 'country', 'flooding', 'somalia']",flood_and_drought
DR-2021-000054-SOM,Somalia Humanitarian Fund: 2021 Dashboard (As of 10 May 2021) - Somalia - ReliefWeb,https://reliefweb.int/report/somalia/somalia-humanitarian-fund-2021-dashboard-10-may-2021,"The Somalia Humanitarian Fund (SHF) issued a call for project proposals to eligible partners under its First Standard Allocation window of 2021. In immediate response to the Government’s appeal to address the devastating drought conditions in Somalia, the Humanitarian Coordinator released all available SHF funds to launch a targeted drought response allocation. This allocation will provide life-saving response in areas experiencing pre-drought conditions including acute water shortages, causing the death of livestock, escalating hunger and extreme difficulty in growing crops. The crisis is exacerbated by protection risks and limited access to health facilities and basic services. The SHF funds also target underserved and hard to access areas through cluster-specific and integrated projects. Prioritized activities will help address food insecurity and acute water shortages through rehabilitation of dams and construction of water harvesting infrastructure, conditional cash transfers to access food, provision of fodder seeds and training on improved fodder production and management. Other project activities also aim to improve health and nutrition outcomes, through delivery of free basic and life-saving health services, training health care staff and provision of curative and preventative nutrition services.

This SHF allocation is complemented by the two CERF allocations that will allow NGOs and UN early action to save lives, alleviate suffering, reduce displacements, and get assistance out before the situation becomes catastrophic. Somalia is facing increasing needs with diminishing resources and the HRP is 19% funded.","Mon, 10 May 2021 07:00:00 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1567410-SHF-2020-dashboard_2020.12.09_IA-10-5-21.png?itok=U8Zu-30v,"['water', 'health', 'response', 'access', 'services', 'allocation', 'shf', 'shortages', 'humanitarian', 'dashboard', 'training', '2021', 'fund', 'somalia']",drought
DR-2021-000054-SOM,"Somalia: Drought, Torrential Rains Devastate Somalia - AllAfrica - Top Africa News",https://allafrica.com/stories/202105130047.html,"Geneva, Switzerland — The United Nations warns Somalia faces a perilous future as drought followed by torrential rains have destroyed this year's planting season.

Somalia is one of the countries in the world most prone to the erratic and calamitous impacts of climate change. It has been hit by a double climate disaster for more than two weeks that is likely to worsen its already acute situation of food insecurity.

The drought, which was declared on April 25 was soon followed by torrential rains that caused flash floods and rivers to overflow. The U.N. organization for the coordination of humanitarian affairs reports the rains came too late for the planting season.

OCHA spokesman Jens Laerke said floods have killed at least 25 people in various parts of the country. The victims include nine children who died when their house flooded in the Benadir region, in the capital, Mogadishu.

""The Juba River has burst its banks, houses have been washed away and livestock have perished. There are also reports of flooding in the north of the country and there are continuous flash flood warnings across Somalia, especially for people living in low lying areas. In flooded areas, local communities are struggling to prevent further flooding by placing sandbags, poles and other materials to reinforce riverbanks,"" he said.

The World Food Program reports 2.7 million Somalis are short of food, with more than half-a-million on the brink of famine. An estimated 300,000 children under age five are malnourished, including 48,000 who are severely malnourished and at high risk of disease and death.

OCHA spokesman Laerke warned the combined impact of drought and floods is likely to worsen this critical situation.

""Both climate shocks cause displacement, jeopardize access to safe water, increase waterborne diseases and impact people's livelihoods. Despite increasing humanitarian needs, the funding forecast for 2021 is the worst in six years. This year's Somalia Humanitarian Response Plan requires $1 billion to assist four million people. As of today, the plan is only 19 percent funded,"" he said.

Laerke said OCHA and partners are using the limited funds at their disposal to step up operations in drought-affected areas and reach at least 353,000 people with aid. Urgent efforts, he adds also are under way to respond to the flash flooding.

The World Food Program reports it has distributed food to more than 20,000 people in Jowhar city, one of the areas hardest hit by flooding in central Somalia.","Tue, 11 May 2021 07:00:00 GMT",https://cdn02.allafrica.com/download/pic/main/main/csiid/00580846:478028c804c495924508c7626cee5466:arc614x376:w1200.jpg,"['areas', 'floods', 'rains', 'world', 'food', 'torrential', 'drought', 'flash', 'reports', 'humanitarian', 'flooding', 'devastate', 'somalia']",flood_and_drought
DR-2021-000054-SOM,"Somalia FSNAU Food Security & Nutrition Quarterly Brief with a Focus on 2020 Jiaal Impact and Gu Season Early Warning, Issued May 17, 2021 - Somalia - ReliefWeb",https://reliefweb.int/report/somalia/somalia-fsnau-food-security-nutrition-quarterly-brief-focus-2020-jiaal-impact-and-0,"Highlights

· Between December 2020 and late April 2021, most parts of Somalia experienced moderate to severe drought as a result of below-average Deyr season rainfall from October to December 2020, warmer-than-normal temperatures during the January to March 2021 Jilaal season and a delayed, poor start and performance of 2021 Gu (March/April to June) season rainfall. Further rainfall is expected through mid-May, covering many parts of the country. However, cumulative rainfall amounts are likely to remain below average in many parts of central and southern Somalia. Moreover continuation of the Gu rains in late May through June is uncertain. Accordingly, the 2021 Gu season cereal production in Somalia is expected to be 20-40 percent below average.

· Pasture, browse and water availability continued to deteriorate/or deplete in most of northern and central Somalia and large parts of southern Somalia. Extreme water shortages, widespread reliance on water trucking, and high water prices have been reported in most pastoral and agro-pastoral livelihood zones since January. Most livestock are concentrated near water points with limited migration options. Cases of abortion and livestock death among small ruminants have occurred due to insufficient feed, water, and drought-induced disease in several regions in northern and central Somalia.

· Due to the extended impact of the drought between late December 2020 and late April 2021, the food security situation in most rural livelihoods of northern and central Somalia has deteriorated. Due to limited herd size, lack of saleable animals, lack of access to milk, increased expenditures and high debt levels, most poor pastoral households in northern and central regions face food consumption gaps and are classified as Crisis (IPC Phase 3) between April and September 2021.

· The food security situation in southern Somalia has also continued to deteriorate since the beginning of 2021, driven by the negative impacts of below average 2020 Deyr season main and off-season harvests, a harsh Jilaal that evolved into drought conditions, the delayed, poor start of 2021 Gu season rainfall, and insecurity on agricultural employment opportunities, crop development, and livestock production. Accordingly, most livelihood zones of southern Somalia are currently classified as Stressed (IPC Phase 2). However, a rising share of poor households in these livelihood zones face food consumption gaps, and several areas are projected to be classified as Crisis (IPC Phase 3) between July and September 2021.

· Most of the IDPs in the main settlements and the urban poor are currently facing food consumption gaps due to limited income-generating activities and rising staple food prices that have reduced household purchasing power. As a result, they have been classified as Crisis (IPC Phase 3) between April and June 2021. Given rising food prices and reduced income and employment opportunities, food security outcomes are likely to remain in Crisis (IPC Phase 3) among IDPs in the main settlements and among poor urban households between July and September 2021.

· Approximately 2.73 million to 2.83 million people across Somalia are expected to face Crisis (IPC Phase 3) or worse outcomes between April and September 2021, reflecting the deteriorating food security situation in the country.

· Food assistance reached an average of 1.6 million people per month between January and April 2021. Humanitarian assistance is preventing further deterioration of food security outcomes at the household level in many areas. However, given the scale of need, current level of food assistance is inadequate to prevent widespread Crisis (IPC Phase 3) outcomes. Given the worsening food security situation across Somalia, assistance must be scaled up and sustained through the end of the year.","Mon, 17 May 2021 19:43:41 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1567214-FSNAU-Quarterly-Brief-May-2021.png?itok=sIlVTW68,"['water', 'season', 'jiaal', 'security', 'ipc', 'food', 'nutrition', 'phase', 'poor', 'warning', 'gu', 'issued', 'impact', 'quarterly', 'crisis', '2021', 'somalia']",drought
DR-2021-000054-SOM,Somalia braces for record levels of displacement as drought takes hold - Norwegian Refugee Council,https://www.nrc.no/news/2021/april/somalia-drought/,"“Once again Somalia is facing the prospect of serious drought. Water and pasture resources are depleting every day and resulting in people abandoning their homes with their livestock to search for better conditions. We are worried that drought coupled with conflict could see record levels of displacement this year,” said Mohamed Abdi, Country Director for the Norwegian Refugee Council (NRC) in Somalia.

According to data from the Protection and Monitoring Returns Network (PRMN), over one million people were displaced by floods, conflict and drought in Somalia last year, the highest figures recorded since 2016. So far, 112,000 have been displaced in the first three months of 2021, of whom 34 per cent were uprooted because of drought.

The last time more than a million people were displaced in Somalia was in 2017, when drought ravaged the country and caused widespread suffering and uncertainty.

“Drought will most likely be the driving factor displacing a large number of Somalis this year due to the poor performance of seasonal rains. Our staff on the ground are reporting that more than 50 districts are currently experiencing moderate to severe drought levels and it is expected to get worse,” Abdi said.

In Somalia, the impact of drought runs parallel with the impact of flooding in other parts of the country.

“It sounds contradictory but simultaneous flooding and drought are a reality in Somalia. Flooding was the main driver of high displacement last year. Some rains have dropped in the past number of days so our teams on the ground are also working towards flooding preparedness and to support those in critical need. We have to prepare for all climate shocks,” Mohamed Abdi explained.

The UN’s 2021 aid appeal for Somalia seeks $1.09 billion to assist four million people in dire need, as a result of widespread insecurity, recurring climate disasters and the indirect economic impact of Covid-19.

“Around 13 per cent of Somalia’s aid appeal has been donated so far, nowhere near enough to sustain the population as it battles drought and multiple other crises. The international community must not turn their back on Somalis, particularly pastoralist communities, who are impacted the most. We must do all we can to prevent another cycle of suffering in Somalia,” Abdi said.

For more information or interviews please contact Catriona Loughran, Global Media Adviser on +47 909 25528 or email media@nrc.no.

Notes to editors:","Wed, 21 Apr 2021 07:00:00 GMT",https://www.nrc.no/image/157507/1I0A8582.jpg?width=1200&height=801,"['hold', 'million', 'displaced', 'somalis', 'widespread', 'displacement', 'braces', 'suffering', 'drought', 'takes', 'impact', 'record', 'levels', 'flooding', 'abdi', 'somalia']",drought
DR-2021-000054-SOM,Somalia: 2021 Gu' Season Floods Update #1 - As of 9 May 2021 - Somalia - ReliefWeb,https://reliefweb.int/report/somalia/somalia-2021-gu-season-floods-update-1-9-may-2021,"Highlights

• Heavy rains have hit various parts of the country triggering flash floods which have killed and displaced people, but a forecast suggests the rains will begin to subside from mid-May.

• Reports indicate that at least 25 people have been killed due to the heavy rains including nine children who died after their house flooded in Banadir on 7 May and four people killed by lightening in Puntland on 5 May.

• An estimated 25,000 people in 15 villages in Jowhar, Middle Shabelle region were affected by riverine flooding has affected, displacing people in eight villages and inundating farms.

Authorities and partners are scaling up responses.

• FAO/SWALIM has warned of the imminent danger of potentially unprecedented flooding expected along the Shabelle river in the coming days and the concern for safety and wellbeing of the people in Belet Weyne and along the river.

• Reports from Jubaland indicate that the Juba river broke its bank in Doolow, reaching 4.70 metres, which is 0.20 metres above the moderate flooding level, flooding three villages.

Situation overview

Heavy Gu season rains have hit various parts of the country over the last week triggering flash floods and inundating vast swathes of land, but the short-term forecast suggests the heavy rainfall will begin to subside from mid-May onward.1 Reports indicate that at least 25 people have been killed due to the heavy rains: nine children in Banadir who died after their house flooded on 7 May; three people killed by lightning in Puntland and one child that fell into a pond of water on 5 May; four children who died in adam full of rainwater in Sool region on 7 May; one person killed by flooding in Buurhakaba, Bay region and seven IDPs who died on 9 May in Garasbaley district, Banadir, following the collapse of their house due to heavy rains. In Middle Shabelle region, riverine flooding has affected an estimated 25,000 people in 15 villages in Jowhar, displacing people in eight villages and inundating farms.

In Somaliland, heavy rains on 30 April flooded the dry river valley in Hargeisa, affecting around 40 houses and washing away seven vehicles. The floods also temporally affected some of the IDPs who are living in sub-standard shelters.

Partners report that the intermittent rains characterized by violent storms left an estimated 359 households (2,154 people) homeless, with some temporarily squatting on private land and others seeking refuge with relatives.2 On 7 May, four children, aged 10 to 13 died in a water dam at Goljano village in Caynabo district, Sool region. On 5 May, the Somaliland meteorological department issued a forecast of heavy rains for next week in Awdal, Waqooyi Galbeed and Sanaag regions and warned people living in low-lying areas to prepare for possible flash floods.

In Puntland, torrential rains and flash floods on 5 May affected the Bossaso-Garowe road. The main bridge was damaged, making it impassable for traders. According to the Puntland Disaster Management Authority and local elders, at least three people were killed by a lightning strike and a child died after falling into a pond of water. Damage to two bridges on Qayaadsame river affected the movement of goods and people from Bossaso. In addition, flash floods washed away over 1,250 heads of livestock and damaged shelters in low lying areas of Ceel Daahir under Bossaso district and Berri Cad under Garowe between 27 April and 5 May.

The flooding in Jowhar occurred due to open breakages along the river. The road between Jowhar and Mahaday through airport road is inaccessible. On 1 May, a breakage along the riverbank at Moyko closed the main road connecting Jowhar to Mogadishu through Balcad. This is the main transportation route for food and other essential commodities.

FAO/SWALIM issued a flood advisory on 8 May indicating that observed levels of the Shabelle River have continued to rise alarmingly in the past two weeks. According to FAO/SWALIM, there is a high flood risk in Belet Weyne in the coming days and in middle and lower reaches due to heavy rains in Hiraan and Middle Shabelle regions.

Heavy rains in South West State on 8 May killed at least one person and 28 livestock in Buurhakaba town. Some 112 houses were either damaged or destroyed and around 615 households (3,690 people) were displaced mainly from lowlying flood-prone areas. The rains have also disrupted transport between main towns in parts of South West State. Low lying sections of Afgooye town have been inundated, affecting around 20 households. The routes to the villages have been cut off by rains and the movement of people and traffic remain restricted. Further reports indicate that around 3,500 people have been displaced by flash floods in Damaley, Balguri and Raqeyke villages of Afgooye town. The flash floods damaged unconfirmed hectares of farmlands with crops.

In Galmudug, several trucks loaded with food commodities got stuck in muddy roads between Cadaado and Cabudwaaq following moderate rains on 2 May. About 100 goats were killed by a thunderstorm in Xanabura rural village, Cabudwaaq district.

Reports from Jubaland indicate that the Juba river broke its bank in Doolow on 9 May, reaching 4.70 metres, which is 0.20 metres above the moderate flooding level, following heavy rains in the Somali region of Ethiopia and the Ethiopian Highlands. Three villages, Warayle, Buula Qalooc and Bara Baraay, were flooded affecting about 35 farms. The Dawa river may also break its banks. The local authority in Doolow has alerted farmers to the situation and water pumps have been relocated from the river.

A neighborhood in Ceelqalaw area in Wadajir district, Banadir, was submerged, forcing about 1,500 people to leave their homes. Two houses collapsed and several others were partially destroyed. The lowland areas and main access roads in Wadijir district are the worst affected. Wadajir district is one of the areas where a large number of families recently relocated due to recent elections-related violence. On 9 May, local sources in Garasbaley district reported that seven IDPs died following the collapse of their house due to heavy rainfall in Al Adale IDP camp. Five other people were severely injured and five houses destroyed.

Somalia is on the front line of climate change and the frequency of climate-related disasters is increasing rapidly. The country has, since 1990, experienced more than 30 climate-related hazards, including 12 droughts and 19 floods – triple the number of climate-related hazards experienced between 1970 and 1990. As of April, more than 80 per cent of the country was experiencing moderate to severe drought conditions following below average October to December 2020 Deyr rains, followed by a harsh and warmer than normal January to March Jilaal season and a delayed and poor start of the current April to June Gu season. Despite the heavy rains that have hit parts of Somalia, the rains have come too late for the planting season; therefore, further exacerbating already significant food security concerns.","Sun, 09 May 2021 07:00:00 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1566270-Gu%202021%20flash%20floods%20update%201%20final%202.png?itok=s52V6HmL,"['killed', 'season', 'floods', 'rains', 'river', 'heavy', 'gu', 'died', 'flash', 'district', 'update', 'flooding', '2021', 'villages', 'somalia']",flood
