,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance,category
0,0,FF-2016-000062-IDN,Deadly flooding wreaks havoc across Indonesia - Deutsche Welle,https://www.dw.com/en/deadly-flooding-wreaks-havoc-across-indonesia/a-19340824,"A deadly mix of flash flooding and landslides in Central Java on Sunday left at least 24 people dead and 26 others missing, Indonesia's disaster agency spokesman Sutopo Purwo Nugroho said.

""Rescue operations are still underway to search for other victims, while dozens of houses are damaged and buried in the landslide and thousands of homes are inundated,"" Nugroho said in a statement.

Torrential rain on Saturday triggered the unexpected flooding across the province, causing deadly landslides. In one instance, a mud avalanche buried five people in their homes as it swept across a village.

In another district, ""a huge landslide struck the cars and people on the street. Nine bodies were retrieved,"" Nugroho added.

The country's disaster mitigation agency sent five emergency rescue teams to assist regional bodies in searching for survivors and evacuating victims.

Authorities erected temporary shelters to house those fleeing the natural disaster.

""Purworejo district is the hardest hit with the most people killed in numerous villages in the district,"" Nugroho said.

The vast tropical archipelago is especially prone to landslides caused by extreme weather.

In 2014, over 70 people went missing after a mudslide buried 105 houses in the village of Jemblung in Central Java.

ls/jlw (AFP, dpa)","Sun, 19 Jun 2016 07:00:00 GMT",https://static.dw.com/image/19340909_6.jpg,"['buried', 'wreaks', 'indonesia', 'landslide', 'disaster', 'havoc', 'landslides', 'district', 'deadly', 'houses', 'nugroho', 'missing', 'flooding', 'homes']", ,flood
1,1,FF-2016-000062-IDN,"Floods force relocation of 2,000 Surakarta residents - National - Jakarta Post",https://www.thejakartapost.com/news/2016/06/20/floods-force-relocation-of-2000-surakarta-residents.html,"Share this article Whatsapp

Facebook

Twitter

Linkedin Ganug Nugroho Adi (The Jakarta Post) Surakarta, Central Java ● Mon, June 20, 2016

Heavy rains that showered Surakarta, Central Java, from Saturday afternoon through to early Sunday have caused floods that are 50 to 100 centimeters deep in several areas across the city. The flooding, to which the overflowing Bengawan Solo River contributed, has inundated hundreds of houses, forcing more than 2,000 people to take refuge elsewhere.

Three districts, namely Jebres, Pasar Kliwon and Serengan, are the most affected by the flooding and within them the hardest hit areas are Pucangsawit, Sewu, Sangkrah, Semanggi, Kedunglumbu, Joyontakan, Gandekan, and Gulon.

The floodwaters reportedly began to inundate residential neighborhoods at around 8 a.m. local time on Saturday, after which the water levels continued to rise until Sunday afternoon, forcing more residents to relocate. Search and Rescue Agency (SAR) teams were dispatched to assist the residents, especially women, children and the elderly, using rubber boats.

“We’re worried that the floodwater will not yet recede tomorrow [Monday] so it would be better for us to relocate,” said Rubiyah, 55, a Joyotakan resident.

Inundated – A number of houses in Semanggi, Pasar Kliwon, Surakarta, Central Java, were flooded on Sunday. Surakarta is one of several regions hampered by landslides and flooding in Central Java. (thejakartapost.com/Ganug Nugroho Adi)

On Sunday evening, hundreds of Joyotakan residents still packed evacuation posts on river dikes and sidewalks and in schoolyards.

Volunteers from the Surakarta Disaster Mitigation Agency (BPBD) and the city’s Indonesian Red Cross (PMI) have set up evacuation tents and dispatched public kitchen vehicles.

“We dispatched the vehicles to several flooded locations. We don’t erect public kitchen tents anymore to serve food to refugees. It’s much more efficient and effective to use public kitchen vehicles to provide the services,” said Surakarta Deputy Mayor Achmad Purnomo when he visited flooded areas in Joyotakan.

PMI Surakarta secretary Sumartono Hadinoto said the humanitarian aid agency had sent food supplies to the flood victims. He said it was predicted the number of evacuees would continue to increase as many residents were still trapped in their houses. The floods also hit Solo Baru, an elite residential neighborhood in Surakarta. (ebf)","Mon, 20 Jun 2016 07:00:00 GMT",https://img.jakpost.net/c/2016/06/19/2016_06_19_6781_1466353840._large.jpg,"['2000', 'java', 'public', 'dispatched', 'residents', 'surakarta', 'force', 'houses', 'relocation', 'kitchen', 'flooded', 'central', 'floods', 'flooding']", ,flood
2,2,FF-2016-000062-IDN,Weather agency warns of heavy rain over weekend - The Jakarta Post - Jakarta Post,https://www.thejakartapost.com/news/2016/06/18/weather-agency-warns-of-heavy-rain-over-weekend.html,"Share this article Whatsapp

Facebook

Twitter

Linkedin News Desk (The Jakarta Post) Jakarta ● Sat, June 18, 2016

The Meteorology, Climatology and Geophysics Agency (BMKG) has warned people to be wary about potential natural disasters as a result of the heavy downpours expected to recur over the weekend.

The BMKG has predicted there will be heavy rain from June 17 to 20 in several areas in Indonesia based on atmospheric indications, Yunus S. Swarinoto, meteorology deputy at the agency said in a press statement on Friday.

There is also potential for thunder storms and high winds during the rain, Yunus said.

""We strongly urge people to be aware of potential flooding, flash floods, landslides and fallen trees,"" he said in the statement.

Areas predicted to have a high intensity of rain include Aceh, North Sumatra, West Sumatra, Riau, Bengkulu, Bangka Belitung, South Sumatra, Lampung, Jakarta, Banten, West Java, Central Java, Yogyakarta, East Java, West Kalimantan, Central Kalimantan, East Kalimantan, North Kalimantan, Maluku and Papua.

The BMKG has also warned sea transportation operators to watch out for heavy rain and heavy swells in the southern part of Sumatra, Java, Bali and East Nusa Tenggara.

People can contact the BMKG on its 24-hour call center 021-6546315/18 to get the latest information on weather forecasts or log on to its official website web.meteo.bmkg.go.id. (rin)","Sat, 18 Jun 2016 07:00:00 GMT",https://img.jakpost.net/c/2016/06/18/2016_06_18_6740_1466219466._large.jpg,"['east', 'rain', 'java', 'sumatra', 'kalimantan', 'bmkg', 'jakarta', 'west', 'potential', 'weekend', 'weather', 'agency', 'warns', 'heavy']", ,flood
3,3,FF-2016-000062-IDN,64 dead in Indonesia landslides as La Nina brings heavy rains - Mongabay.com,https://news.mongabay.com/2016/06/64-dead-in-indonesia-landslides-as-la-nina-brings-heavy-rains/,"Central Java was hit the hardest, with 59 people confirmed dead in the province.

At least five people were killed in the Sangihe Islands in Sulawesi.

An environment ministry adviser is calling for natural resource extraction in Java, the world’s most crowded island, to be reigned in.

Last year, an extended dry season brought on by El Nino set the stage for one of the worst natural disasters Indonesia has seen, the devastating forest and peatland fires that burned an area the size of Macedonia.

This year, an extra-wet dry season brought on by La Nina is bringing calamity in a different form: floods and landslides.

At least 64 people were killed this month in landslides and flash floods and thousands more were displaced, the nation’s disaster management chief, Sutopo Purwo Nugroho, said on Friday.

Central Java caught it the worst, with 59 dead in the province, including 43 casualties in Purworejo district, which has declared a state of emergency.

At least five more died in the Sangihe Islands in North Sulawesi.

Ninety-nine people have been killed by landslides this year, Nugroho said, and more than 2,000 had died or gone missing since 2005.

The landslides, he added, were expected to peak from December to March 2017.

The government has installed Landslide Early Warning Systems in parts of the country, but many of them are not working well, according to Nugroho.

Community and local government preparedness were also low, he said, based on surveys by the Indonesian Institute of Sciences (LIPI) and UNESCO.

He called for the government to raise the National Disaster Mitigation Agency’s budget.

“Ideally, 1% of the budget would be earmarked for dealing with national disasters,” he said. “Now it’s .02-.07%.”

Massive development on Java, the world’s most crowded island, has tended to neglect the environment, according to Soeryo Adiwibowo, a Bogor Agricultural Institute professor and senior Environment and Forestry Ministry advisor.

In the 19th century, Java’s forests spanned 10 million hectares, an area the size of South Korea. By 1989 they covered only 1 million hectares, and in 2005 they spanned 400,000 hectares.

Deforestation creates the condition for landslides because trees hold the soil in place.

“Natural disasters will continue to increase if the carrying capacity of the environment is not taken into account,” Adiwibowo said.

The area around Java’s South Coast Road was shaping up to be a new growth center, he added.

A 2008 study by Adiwibowo and colleagues, which found that Java was being dangerous overexploited, “did not get a good response from the government,” he said.

The professor said the cement industry should not continue in Java and asked the government to issue a negative investment list for the island to clamp down on natural resource extraction.

“China already made a negative investment list, including for the cement industry, so now they’re all flocking to Java.”

Citation:

Lusia Arumingtyas and Indra Nugraha. “Lingkungan Kritis, Bencana di Mana-mana, Berikut Peta Kerawanan.” Mongabay-Indonesia. 24 June 2016.","Mon, 27 Jun 2016 07:00:00 GMT",https://imgs.mongabay.com/wp-content/uploads/sites/20/2016/06/01200736/Sangihe-landslide-248x330.jpg,"['rains', 'indonesia', 'nina', 'java', 'worst', 'landslides', 'killed', 'la', 'area', 'island', 'disasters', 'dead', 'adiwibowo', '64', 'natural', 'brings', 'heavy', 'environment']", ,flood
4,4,FF-2016-000062-IDN,Natural Disasters Have High Negative Impact on Children and Schools in Asia Pacific - The Wire,https://thewire.in/environment/natural-disasters-have-high-negative-impact-on-children-and-schools-in-asia-pacific,"Bangkok: A greater humanitarian focus on schools before, during and after natural disasters will save lives, protect children and benefit communities and countries, Save the Children says in a report due out this week.

The report details the impact on education of earthquakes, floods and storms that struck Nepal, Myanmar, Indonesia, the Philippines and Vanuatu last year.

The disasters range from large humanitarian crises – such as the massive twin quakes in Nepal that killed 8,900 people – to the seasonal floods and storms that batter the Asia-Pacific region.

“The earthquake in Nepal had a huge impact on the country and received international media attention,” said author of the report, Sarah Ireland, by phone from Melbourne.

“Floods in Indonesia happen every year, and we often don’t hear about them,” she added.

Researchers estimate the lives of 200 million children per year will be severely disrupted by disasters in coming decades.

Here are facts and figures from Save the Children’s report.

Indonesia

Between January and August 2015, Indonesia experienced 1,160 disasters, including drought, forest fires, volcanic eruptions, landslides and floods.

Also during that period, there were 373 floods, affecting 607,000 people, according to the UN Office for the Coordination of Humanitarian Affairs.

Rains in January 2015, submerged roads in Jakarta, and more downpours in February caused further flooding, affecting more than 27,000 people.

The floods affected 351 schools in northern Jakarta. Inaccessible and submerged, some were closed for up to two weeks.

Vanuatu

The Pacific island nation of Vanuatu is home to about 250,000 people, with 64% of the population exposed to natural hazards each year, including storms, floods, volcanic eruptions and earthquakes.

Cyclone Pam, a category 5 storm in March 2015, triggered floods that destroyed infrastructure, homes and livelihoods, affecting 80% of Vanuatu’s people and leaving half the population in need of emergency assistance.

More than half of schools were damaged or destroyed, and 34,500 children were affected.

Schools were closed for up to 30 days, and 34 schools were used as evacuation centres.

Nepal

A 7.8 magnitude earthquake on April 25, 2015, followed by a 7.3 magnitude quake on May 12, 2015, killed 8,900 people, destroyed 605,000 homes and damaged 288,000 more.

About 3.2 million children were affected by the quakes, and of those, 870,000 were left without permanent classrooms.

More than 8,200 public primary and secondary schools were damaged in the quakes.

Nearly 52,200 classrooms were damaged or destroyed.

Myanmar

In June 2015, seasonal rains triggered heavy flooding in parts of Myanmar.

At the end of July, Cyclone Komen brought heavy rains and strong winds, resulting in severe, widespread flooding that affected more than nine million people across 12 of the country’s 14 states and regions.

From June to October, the floods displaced about 1.7 million people and damaged 4,116 schools.

About 250,000 children could not attend school because of the floods.

Philippines

In 2015, 14 typhoons and tropical storms hit the Philippines.

Between 2007 and 2011, 10.8 million students in the Philippines were impacted by disasters, and 8,472 schools were used as evacuation centres.

Typhoon Koppu, a category 3 storm in mid-October, hit central Luzon, north of Manila, causing widespread floods and landslides.

The typhoon displaced one million people and damaged 803 schools, which were closed an average of two weeks, while 138 schools were used as evacuation centres.

(Reuters)","Mon, 20 Jun 2016 07:00:00 GMT",https://thewire.in/wp-content/uploads/2016/06/10_31_15_Reuters_CC_asiapacific_disasters_720_479_s_c1_c_c.jpg,"['high', 'negative', 'asia', 'storms', 'children', 'pacific', 'used', '2015', 'impact', 'disasters', 'floods', 'natural', 'million', 'schools', 'damaged', 'save']", ,flood
5,5,FF-2016-000062-IDN,Indonesia's historic shift to an urban economy - Deutsche Welle,https://www.dw.com/en/indonesias-historic-shift-to-an-urban-economy/a-19345723,"Indonesia is experiencing a major and rapid structural change, from a predominantly rural and farm-based economy to an urban services-based economy, concluded a recent World Bank report titled Indonesia's Urban Story.

Cities in Indonesia are expanding at a rate of 4.1 percent per year, the report stated. It also estimated that by 2025, in less than 10 years, about 68 percent of the Southeast Asian nation's population would be living in urban areas.

The country's urbanization is among the fastest in the world, with the size of its urban land increasing by around 1,100 square kilometers between 2000 and 2010 – second only to China.

Urbanization, many economists argue, promotes economic growth and boosts incomes. ""Cities increase formal employment and productivity - these gains can strengthen Indonesia's ability to generate and share prosperity,"" said the WB study.

However, such masses of people moving from villages to cities present not only opportunities but also a multitude of challenges such as growing congestion and worsening pollution levels.

Infrastructure deficit

A deficit in urban infrastructure is constraining Indonesia's cities, the report noted. ""The quality of urban infrastructure is poor in Indonesia, and access to basic services, such as clean water, sanitation, electricity and transportation, has remained generally limited and not well distributed.""

The study revealed that only 48 percent of urban households now have access to safe water, compared to 50 percent over a decade ago. Meanwhile, sewerage coverage exists in just 11 of the nation's 98 cities and only two percent of city dwellers have access to centralized sanitation systems.

Indonesia has a severe infrastructure problem and the cities are already stretched, says Paul Rowland, a Jakarta-based independent political analyst.

""Housing is already at a premium as land prices have skyrocketed in the past decade and government cannot keep up with the demand for housing in what are already some of the world's most densely populated urban areas,"" he told DW.

""Urban sprawl and unregulated development in the suburban areas of Jakarta and Bandung have also resulted in landslides and more downstream flooding,"" Rowland added.

Underinvestment

The country's weak urban infrastructure is an outcome of decades of underinvestment, experts say, stressing that insufficient investments leave many communities vulnerable to poverty.

While Indonesia's economy expanded by an average of 5.8 percent in the mid to late 2000s, its infrastructure stock rose by just three percent. In contrast, China's spending on infrastructure over the past decade amounted to around 10 percent of its economic output.

""The lack of infrastructure capital is clearly a major constraint, especially in large metropolitan cities, which are stagnating while small cities lack in their delivery of basic services,"" says Sumedh Deorukhkar, Asia economist at BBVA Research.

Recognizing the need to respond to the nation's infrastructure deficit, the Indonesian government has ramped up its spending in recent months.

""The government over the past year has announced a spate of measures aimed at enhancing consumer purchasing power as well as boosting investment activity and industrial competitiveness,"" Deorukhkar noted.

Managing the process

But despite the acceleration in infrastructure spending, Indonesia still needs to plan and implement major medium-term urban infrastructure development to cope with the rapid increase in projected urban populations, says Rajiv Biswas, Asia-Pacific Chief Economist at IHS Global Insight.

This will require sustained medium-term infrastructure development for urban water supply and sanitation, affordable housing, power generation, ports, airports and urban public transportation systems, he told DW. ""The development of modern smart city infrastructure and building of advanced urban townships will help to accelerate industrial development and inward foreign investment by multinationals.""

This is particularly important to deal with the challenge of promoting industrialization and creating enough jobs in urban areas to absorb the fast-growing numbers of workers.

If Indonesia is successful in industrializing its economy and boosting industrial output for both the fast-growing domestic consumer market and for exports, this will result in strong migration flows of rural workers into cities, Biswas said. ""Indonesia's future industrialization and urbanization will occur in tandem.""

A failure to effectively plan and manage the process of urbanization would lead to tremendous economic and social troubles, warn experts. The problems include sprawling urban slums, high rates of unemployment, poverty and crime.

Political impact

Besides decrepit infrastructure, issues related to land acquisition, access to formal credit facilities and rigid labor laws also dampen the positive impact generated from urbanization, analyst Deorukhkar said.

Rowland believes increasing urbanization has had an impact on politics in the country's urban areas. He says, in the past few years, voters have elected reformers to head Indonesia's three largest cities and they are making a difference by improving services and beginning to tackle longstanding issues like traffic, flooding and pollution.

""With increasing urbanization, it is to be hoped that the identity and crony politics of the past will begin to lose sway.""","Tue, 21 Jun 2016 07:00:00 GMT",https://static.dw.com/image/19328542_6.jpg,"['areas', 'indonesias', 'urbanization', 'urban', 'indonesia', 'cities', 'economy', 'shift', 'past', 'historic', 'development', 'infrastructure']", ,none
6,6,FF-2016-000062-IDN,Car experiment shows extent of flood danger - ABC Online,https://www.abc.net.au/news/2016-06-18/research-shows-cars-deadly-in-floodwaters/7522798,,"Sat, 18 Jun 2016 07:00:00 GMT",,[], ,none
7,7,FF-2016-000062-IDN,Convection Over Indonesia As Seen From Space - Space Ref,http://spaceref.com/earth/convection-over-indonesia-as-seen-from-space.html,"Composite image of a large area of convection which has persisted over central Australasia since 17 June, bringing localised flooding to some areas of Indonesia.

Infrared data from the geostationary satellites of EUMETSAT, JMA and NOAA overlays a computer-generated model of the Earth, containing NASA's Blue Marble Next Generation imagery.



Copyright: 2016 EUMETSAT Larger image



Please follow SpaceRef on Twitter and Like us on Facebook.","Mon, 27 Jun 2016 07:00:00 GMT",http://images.spaceref.com/logos/apple-touch-icon.png,"['twitter', 'indonesia', 'seen', 'space', 'convection', 'noaa', 'spaceref', 'nasas', 'overlays', 'model', 'persisted', 'eumetsat', 'satellites', 'marble']", ,none
8,8,FF-2016-000062-IDN,Indonesian-made coaches officially used in Bangladesh railway service - ANTARA,https://en.antaranews.com/news/105422/indonesian-made-coaches-officially-used-in-bangladesh-railway-service,"Indonesian-made coaches officially used in Bangladesh railway service

Jakarta (ANTARA News) - The Indonesian-made stainless steel coaches, made by PT INKA, have been officially used by the Bangladeshi state-owned railway enterprise for its newly launched Sonar Bangla Express service.



Senior Manager of Public Relations of PT INKA, M Cholik, said in a statement here on Sunday that the state-owned train manufacturer had a deal with the Bangladesh Railways to supply a total of 150 passengers cars.



""INKA has been producing and will meet the target at the end of 2016,"" Cholik said.



The Indonesian-made coaches are used for Sonar Bangla Express train, which was recently launched on Saturday, serving Dhaka-Citagong route.



Based on the contract, PT INKA will provide 100 units of Meter Gauge (MG) and 50 units of Broad Gauge (BG) coaches.



The MG type coaches have a four-seat arrangement, two on one side of the aisle and two on the other, while the BG coaches have a five- seat arrangement, two on one side of the aisle and three on the other side.



""PT INKA will expand its business to several other countries in Asia and Middle East,"" President Director of PT. INKA, Agus Purnomo, who also attended the launch of the Sonar Bangla Express in Bangladesh, said.



Vietnam, Sri Lanka and Egypt will be the next markets targeted by PT. INKA.","Sun, 26 Jun 2016 07:00:00 GMT",https://cdn.antaranews.com/cache/800x533/2015/11/20151122417.jpg,"['bangladesh', 'service', 'sonar', 'express', 'units', 'pt', 'indonesianmade', 'coaches', 'officially', 'bangla', 'inka', 'railway', 'used']", ,none
9,9,FF-2016-000062-IDN,"Indonesia, South Korea central bank websites hit by cyber attacks; no losses - Reuters",https://www.reuters.com/article/us-asia-banks-cyber-idUSKCN0Z70KI,"JAKARTA (Reuters) - The central banks of Indonesia and South Korea have been hit by cyber attacks on their public websites since activist hacking group Anonymous pledged last month to target banks across the world, senior officials in the two countries told Reuters.

The logo of the Bank of Korea is seen on the top of its building in Seoul, South Korea, March 8, 2016. REUTERS/Kim Hong-Ji/File Photo

In response to the attempted hacks, Bank Indonesia (BI) has blocked 149 regions that don’t usually access its website, including several small African countries, Deputy Governor Ronald Waas said in an interview late on Monday.

He said several central banks were hit by similar attacks and were sharing the IP addresses used by the perpetrators.

Central banks have been on high alert in the wake of revelations that hackers issued fraudulent money transfers to steal $81 million from the Bangladesh central bank in February.

No money was lost in the attacks on Bank Indonesia and the Bank of Korea, which were mainly DDoS (Distributed Denial of Service) attempts, the officials said.

There was no word on who the hackers were.

Waas said the cyber attacks were unsuccessful because of the cooperation between central banks.

“There is regional cooperation between central banks. Those who have gotten hit are sharing their experiences,” he said.

Anonymous, a loosely associated international network of activists and hackers, originated in 2003. It said in a YouTube video posted in early May that it would launch a 30-day campaign to attack central bank sites in what it dubbed as Operation Icarus.

DDoS is its preferred method of attack, disabling websites by flooding them with internet requests, overwhelming the servers temporarily. Sometimes the hackers succeed in gaining access to data, but rarely do they penetrate more critical systems in such attacks.

Bank of Korea officials told Reuters there was at least one DDoS attack on the bank’s website in May. No harm was done, they said.

“In May, we’ve had so many disturbances,” Benny Sadwiko, who is leading Bank Indonesia’s cyber security efforts, told Reuters.

“They are trying to attack the reputation of the banks. So we’re blocking IP addresses from countries that don’t usually access us.”

In just half a day on Monday, Bank Indonesia detected 273 viruses and 67,000 spam emails to its email server and website, officials said.

In early May, Greece’s central bank said that its website became the target of a cyber attack by Anonymous for a few minutes before the bank’s security systems managed to tackle it. The Central Bank of Cyprus has also said its website briefly came under attack in May.","Tue, 21 Jun 2016 07:00:00 GMT",https://static.reuters.com/resources/r/?m=02&d=20160621&t=2&i=1142182052&r=LYNXNPEC5K09P&w=800,"['hit', 'banks', 'indonesia', 'losses', 'attacks', 'website', 'cyber', 'attack', 'websites', 'hackers', 'central', 'bank', 'korea', 'officials', 'south']", ,none
