,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance,category
0,0,FL-2019-000179-CAN,"In Egypt, 8 Dead After Chaotic Day of Heavy Rains, Flooding - VOA News",https://www.voanews.com/middle-east/egypt-8-dead-after-chaotic-day-heavy-rains-flooding,"CAIRO - Heavy rains that pummeled the capital of Cairo and other parts of the country, causing massive traffic jams and flooding many key roads, left at least eight people dead, including four children, authorities said Wednesday.

People captured images of Tuesday's downpours and flooding on their mobile phones, posting images on social media, including scenes of cars submerged by flood waters.

In one dramatic video, a man on a bulldozer pulls the lifeless body of a little girl out of the water in a flooded area in northern Sharqia Province as shouts and screams are heard in the background. Another video shows a policeman, steps away from the presidential palace in Cairo's district of Heliopolis, wading into a flooded street to unclog a sewage drain.

Authorities closed schools and universities in the greater Cairo area Wednesday and companies saw only skeletal staff show up at work. Prime Minister Mustafa Madbouly said school closures were limited to the greater Cairo area, including Giza and Qalioubia, as more rainfall was expected in the next couple of days, according to the country's weather service.

The mayhem raised questions about Cairo's ability to deal with such heavy rains as the city's infrastructure and sewage and drainage systems have suffered from years of poor maintenance.

People took to social media to criticize the government's lack of preparedness. Cairo, a city of some 20 million people, has been left for decades in neglect and decay, particularly its overcrowded neighborhoods.

Hashtags like “(hash)Egypt is sinking” were trending on social media, attracting many videos and pictures of the most affected areas in Cairo and elsewhere.

Five deaths occurred in the Nile Delta provinces of Sharqia, Gharbia and Kafr el-Sheikh, according to the Interior Ministry. Three of the victims, including two children, were electrocuted. The other two victims died falling from the rooftops of their flooded homes.

Local authorities in northern Sinai also reported two deaths. Moataz Taher, head of the el-Hassana municipality, said in a statement that a 47-year-old farmer and his 13-year-old daughter died early Wednesday in the flooding.

In the Mediterranean city of Alexandria, the heavy rain caused a three-story building to collapse Wednesday, killing a 7-year-old child and injuring her 19-year-old brother, according to the city's civil protection authority.

In Cairo, the eastern suburb of Nasr City was hit the hardest, but so was Heliopolis, located near Cairo's international airport. The government said the two suburbs had received at least 650,000 cubic meters cubic feet of precipitation in just 90 minutes on Tuesday, overwhelming the city's sewage and drain systems.

Trucks fanned out across Cairo to drain water from flooded areas. A key highway connecting Cairo to other provinces was closed, the state-run al-Ahram daily reported.

EgyptAir said it had delayed some fights on Tuesday because passengers were stuck on the roads and unable to get to the airport. A part of the old Cairo airport terminal which has been under renovation was also flooded, with footage on social media showing rainwater pouring into the hallway.

The Civil Aviation Ministry said that terminal was only being used by a private carrier for one or two flights a day and shared photos of it after it was cleaned up.","Wed, 23 Oct 2019 07:00:00 GMT",https://im-media.voltron.voanews.com/Drupal/01live-166/2019-10/AP_19296482191882.jpg,"['sewage', 'rains', 'day', 'social', 'dead', 'cairos', 'media', 'including', 'city', 'heavy', 'flooded', 'citys', 'chaotic', 'flooding', 'cairo', 'egypt']", ,flood
1,1,FL-2019-000179-CAN,"Egypt: Death toll from heavy rains, flooding rises - Aljazeera.com",https://www.aljazeera.com/news/2019/10/24/egypt-death-toll-from-heavy-rains-flooding-rises,"Thundery rain flooded the streets of Cairo but for northern Egypt, there is worse to come.

Several people have died since heavy rains and flooding began to paralyse Egypt‘s capital, Cairo, and other cities two days ago.

Al-Watan newspaper reported on Thursday that nine people had been killed in at least four cities, with most of the victims, including children, dying from electrocution by power cables that were submerged by floodwaters.

The Associated Press news agency, meanwhile, put the death toll at 11, citing updated statements released on Thursday by police departments and hospitals in governorates that were most affected by the downpours.

In the capital, the rains and the flooding, which started on Tuesday, also caused enormous traffic jams and prompted authorities to close schools and universities in the Greater Cairo area on Wednesday.

In the Mediterranean city of Alexandria, the heavy rain caused a three-story building to collapse, killing a seven-year-old child and injuring her 19-year-old brother, according to the city’s civil protection authority.

Tuesday’s rainfall in Alexandria was reminiscent of the deadly flooding in 2015, which killed five people and led to the resignation of then-Governor Hani el-Mesery.

Thunderstorms are not unusual at this time of the year, but a persistent circulating storm low is rare.

The forecast for the weekend shows the responsible low-pressure centre deepening a little and generating significant thundery rain. Areas most at risk from flooding and lightning strike include Alexandria, Port Said and the north of the Sinai Peninsula.

There are two large-scale influences on the weather that are currently in phase over eastern Africa: firstly, the waters of the Indian Ocean are warmer than usual off the African coast; and secondly, a wave in the upper atmosphere, known as the Madden-Julian Oscillation (MJO) is encouraging any thunderstorms or areas of low pressure to deepen.

These two have contributed to the recent flooding in Kenya, with the MJO likely to have strengthened the downpours in Egypt.","Thu, 24 Oct 2019 07:00:00 GMT",https://www.aljazeera.com/wp-content/uploads/2019/10/4595380bd47a46afb03bb1a3822006ce_18.jpeg?fit=998%2C562,"['rises', 'low', 'rains', 'alexandria', 'thundery', 'killed', 'toll', 'rain', 'heavy', 'mjo', 'death', 'flooding', 'cairo', 'egypt']", ,flood
2,2,FL-2019-000179-CAN,Rising seas threaten Egypt's fabled port city of Alexandria - Associated Press,https://apnews.com/article/ap-top-news-international-news-rising-sea-levels-climate-change-floods-e4fec321109941798cdbefae310695aa,,"Fri, 30 Aug 2019 07:00:00 GMT",https://storage.googleapis.com/afs-prod/media/b047a9639622418196e54479c6f84f16/3000.jpeg,"['threaten', 'fabled', 'alexandria', 'seas', 'port', 'city', 'rising', 'egypts']", ,none
3,3,FL-2019-000179-CAN,Sirius and the Flooding of the Nile: this week on the Storyteller's Night Sky - Interlochen,https://www.interlochenpublicradio.org/news/2019-08-26/sirius-and-the-flooding-of-the-nile-this-week-on-the-storytellers-night-sky,"Every year in August, the constellation Orion returns to northern hemisphere skies at dawn, bearing with him the brightest star in our sky after the Sun ~ the star Sirius.

Sirius played a significant role in every aspect of Ancient Egypt culture, a role that carried on well into the 20th century, because its heliacal rising in mid-August each year was the signal from the natural world that the mighty river Nile was about to flood. At the heliacal rising of Sirius, people would move off the flood plain to make way for the river, which would rise up to 46 feet in some places!

The ‘heliacal rising’ is the first appearance of a bright star in the morning sky, before sunrise. It’s a word that derives from Helios, the Greek God of the Sun who bore the Sun through the sky in his golden chariot.

The Ancient Egyptian Sun God was Ra, who was credited with the creation of all forms of life.

In Ancient Egyptian culture there were two calendars for measuring the cycle of the year: the solar calendar of Ra; and the calendar used for measuring the return of Sirius. The year itself was divided into three seasons, based on the rhythmic return of Sirius.

There is no appreciable rain fall in Egypt, and this, coupled with population growth and technological advances, eventually led to the building of the Aswan Dam, which opened in 1970, causing the annual flood cycle of the Nile to come to an end.

The Aswan High Dam was opened in 1970, and centuries of Nile River flooding ceased.

Still, Sirius continues to rise, and ceremonies celebrating the annual flood still occur, which is understandable, given that the dam is not quite 50 years old, but the cultural life inspired by the Nile’s annual flooding has existed through all ages of recorded history, and was rooted in the stars.","Mon, 26 Aug 2019 07:00:00 GMT",https://npr.brightspotcdn.com/dims4/default/c4c8b9f/2147483647/strip/true/crop/642x337+0+240/resize/1200x630!/quality/90/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Flegacy%2Fsites%2Fwiaa%2Ffiles%2F201908%2Ffullsizeoutput_4720.jpeg,"['heliacal', 'sirius', 'river', 'annual', 'week', 'storytellers', 'flood', 'rising', 'star', 'night', 'flooding', 'dam', 'sky', 'nile']", ,none
4,4,FL-2019-000179-CAN,On climate change: 11 Egypt's governorates vulnerable to floods - Egypttoday,https://www.egypttoday.com/Article/1/49307/On-climate-change-11-Egypt-s-governorates-vulnerable-to-floods,"Vehicles submerged in the flooded New Cairo streets in which water levels rose over one meter after torrential rain hit hard several parts of Cairo and Giza on Tuesday, April 25, 2018 – Egypt Today

CAIRO – 4 May 2018: As Egypt’s climate changes, heavy rainfall is becoming more and more common, bringing dangerous flash floods. Flash flooding can make the dry ground become saturated in an instant, allowing torrents of water to rush down mountains like a waterslide, wiping away cities.



According to a report issued by the Ministry of Irrigation, 11 governorates in Egypt are potentially vulnerable to flood risks, including Aswan, Luxor, Qena, Asyut, Sohag, Beni Suef, New Valley, and South and North Sinai.



The report also showed that the Red Sea and Suez governorates are included among the risk zones that may be exposed to floods. Even New Cairo, Helwan and Maadi are identified among the risk zones.



The Delta region is also at risk of torrential rain, but not to the level of being flooded. Sewer networks are needed to discharge rainwater, the report explained, adding that some towns are built on areas that are vulnerable to flood because of the limited available space in the Nile Delta governorates.



The report warned citizens not to encroach outfall facilities by building urban buildings without obtaining the appropriate licenses from the state agencies.



Egyptian Meteorological Authority Chairman Ahmed Abdelaal stated that the heavy rains that recently hit Egypt resulted from climate change, which is affecting the whole world.



Rainfall throughout the capital caused some buildings, houses and bridges to collapse; other governorates such as Suez, Ain Sokhna and Ismailia were also affected.



Climate change and its far-reaching impact is currently the subject of numerous discussions worldwide.



Egypt is an ideal example of a developing country that is highly vulnerable to the effects of climate change and faces numerous threats to its economic, social and environmental sustainability, including energy, water and food security.



","Fri, 04 May 2018 07:00:00 GMT",https://www.egypttoday.com/siteimages/larg/46249.jpg,"['torrential', 'change', 'report', 'water', '11', 'risk', 'governorates', 'floods', 'vulnerable', 'climate', 'cairo', 'egypts', 'egypt']", ,flood
5,5,FL-2019-000179-CAN,How Volcanoes Caused Violent Uprisings in Cleopatra's Egypt - National Geographic,https://www.nationalgeographic.com/science/article/volcanoes-Nile-flood-climate-Egypt,"Twenty-three hundred years ago, when Euclid and Archimedes wandered Alexandria, and Cleopatra's family controlled the Egyptian throne, revolts and territorial disputes were common. These uprisings have often been attributed to ethnic tensions over Greek rule—the Ptolemaic dynasty, of which Cleopatra was the last ruler, was of Macedonian origin.

A new study published in the journal Nature Communications by an unusual team of historians, statisticians, and climate scientists suggests another surprising factor may also have played a role in the region's unrest: “hydroclimatic shocks” triggered by faraway volcanic eruptions.

""There's a school of thought that what really drives history are the decision of great leaders—the kings, the emperors, the popes,"" says co-author Francis Ludlow, a climate historian at Trinity College in Dublin, Ireland. ""I think part of what this paper shows is that you can't just brush off influences from the environment.""

Until the late 19th century, when the first dams were built on the Nile River, Egyptian farmers were utterly dependent on the annual monsoon. The heavy summer rains it brought to the Ethiopian highlands would push the Nile over its banks downstream, prepping the land for planting wheat and other crops. The Nile floods are so important they’ve been recorded accurately since 622 AD.

Ludlow and his colleagues have found that massive volcanic eruptions, whose fallout is recorded in ice cores from Greenland and Antarctica, are associated with failures of the Nile floods. The team’s climate modeling indicates that the clouds of sulfurous gases from the eruptions not only cool the Earth, by reflecting sunlight back toward space, but also cause a drop in tropical monsoon rainfall, sometimes for years.

Systematic flood records hadn’t yet begun to be kept in the Ptolemaic period, which extended from 305 B.C. to Cleopatra's death in 30 B.C. But written records make it one of ancient Egypt's most richly documented periods, with the Rosetta Stone detailing priestly proclamations, and lengthy notes on papyrus confirming wars, uprisings, land transfers, and family squabbles.

The unrest reflected in those written records can be linked to the eruptions recorded in the ice cores, the researchers find.

In this region, ""once you go in a few kilometers from the coast, there is no rainfall— you're effectively in Saharan territory,"" Ludlow says. ""When there's not a sufficient flood, you get food insecurity. People start to abandon land. They migrate to urban areas seeking food. That increases tensions, food riots. And all of this you can trace.""

An Eruptive Period

The research was the brainchild of Joe Manning, a Yale University history professor, and Ludlow. Manning, a mountaineer and rock climber, was interested in paleoclimatology and started hosting informal gatherings of historians and climate experts. One evening, after a few glasses of wine, Manning and Ludlow, who was then also at Yale, started talking about volcanoes.

Ludlow opened his computer and showed Manning data from recent ice cores. Those data allow scientists to peg the dates of major eruptions almost to the year, going back 2,300 years.

""I thought, 'some of those spikes look awfully familiar,'"" recalls Manning, the study's lead author and an expert in the Ptolemaic dynasty.

Please be respectful of copyright. Unauthorized use is prohibited.

The planet during the last century has largely escaped significant eruptions. But explosions on the scale of the 1991 Mount Pinatubo disaster—the biggest in modern times—sometimes occurred two or three times a decade during the Ptolemaic period. Manning recognized some of the dates as periods of important uprisings.

After further research, the team showed that internal uprisings repeatedly came in the wake of these eruptions, sometimes peaking the second year. The authors suspect some of the lag time could reflect short-term coping efforts, such as Cleopatra’s release of stored grain after two eruptions in 46 and 44 B.C.

Interestingly, the researchers didn't find any link between eruptions and the start of wars—but they did see a correlation between eruptions and wars ending.

For example, 200 years before Cleopatra's reign, during one of the many Syrian wars between Egypt and the Seleukid Empire, Ptolemy III's army had advanced all the way to Babylon on the Euphrates. Writings from one Roman historian state that Ptolemy was then abruptly called home. Another papyrus claims he returned to quell domestic sedition, which also happened to coincide with two major eruptions.

""This seems to be the only credible explanation for why he would abandon such an incredibly successful military campaign,"" Ludlow says.

The scientists are quick to say they aren't suggesting the actions of an entire Egyptian dynasty were driven even largely by distant volcanoes. But, they argue, it's hard to ignore the likelihood that volcanic eruptions were at least a significant contributing factor.

""When you see a shock to the river—no flooding for two to three years in a row—you suddenly see a lot of responses,"" says Manning. ""Sometimes we think we're seeing fear and panic.""

Says Ludlow, ""We're very conscious that there are indeed other things that drive a complex event like a revolt. But we were able to systematically show that in almost every case—way more than just chance—revolts seemed to follow on the tail of eruptions.""

A Faraway Trigger

Scientists don't know precisely where all the eruptions occurred, whether in Alaska, Russia, the tropics, Iceland or someplace else entirely. The climate models suggest that volcanoes in the far northern hemisphere may have the largest impact on Egypt, because they tend to push the tropical rain belt to the south, reducing rains in the headwaters of the Nile.

Residents of Alexandria would not have known, of course, what was happening, but one ancient text refers to the sun being obscured, the Earth being scorched and a lack of flooding and seeds. ""My reading of that is that it's describing a volcano,"" Manning says, even though ""they don't understand that a volcano is erupting in Alaska and perturbing rainfall in the Ethiopian highlands.""

Repeated failures of the Nile floods may have forced families to sell land, because poor yields left them unable to pay taxes. One revolt, following an eruption in 209 B.C., came amid writings proclaiming that ""most of the farmers were killed and the land has gone dry.""

In fact, by the time of Cleopatra's defeat at the hands of the Roman navy, historical records show that Egypt had been hit by repeated lack of floods and faced ""famine, plague, inflation, administrative corruption, rural depopulation, migration and land abandonment."" While many factors contributed to the Ptolemaic dynasty’s decline, the authors note that Cleopatra’s death came on the heels of the third largest volcanic eruption of the last 2,500 years.

The two centuries that followed—during which the Roman empire rose to its great heights—were a quiet period for the planet’s volcanoes. The most recent century has also been relatively calm. That raises questions about how well a world in which 70 percent of the population still depends on monsoon rains may be prepared for the next major volcanic eruption.

The new research also sheds light on another current debate—about proposals for “geoengineering” solutions to counteract global warming. One such solution would be essentially to mimic volcanic eruptions by shooting aerosols into the sky to block the sun.

The news from the Ptolemaic period suggests that the unintended consequences of that strategy might be severe.","Tue, 17 Oct 2017 07:00:00 GMT",https://i.natgeofe.com/n/0a1b2fee-ee1e-4623-a1de-e86b31ea3c7d/02-volcanoes-NationalGeographic_1317119_16x9.jpg?w=1200,"['ludlow', 'caused', 'manning', 'records', 'eruptions', 'ptolemaic', 'uprisings', 'volcanoes', 'cleopatras', 'land', 'nile', 'violent', 'climate', 'volcanic', 'egypt']", ,none
6,6,FL-2019-000179-CAN,Egypt declares water emergency as precaution - Al-Monitor,https://www.al-monitor.com/originals/2019/08/egypt-water-resources-plan-nile-flood-drop-5--million-bcm.html,"CAIRO — Though water-scarce Egypt is on the verge of flood season, Cairo has declared a state of emergency due to a decline in water flow from last year. Yet water experts say the country is in good enough shape because of its reserves and water conservation measures.

“The job of an irrigation engineer in Egypt has changed,"" Mohammed al-Sibai, spokesman for the Ministry of Water Resources and Irrigation, told Al-Monitor. ""We no longer manage water flooding but manage water scarcity, and make precise plans to deal with it, so as not to harm the main interests and the citizens’ needs.”

The ministry reported July 27 that the total annual Nile River flow dropped 5 billion cubic meters (1.3 trillion gallons, or 6.5 billion cubic yards) from the year before due to decreased floodwaters from the Ethiopian plateau and equatorial lakes.

The government imposed a state of emergency in all governorates to regulate and manage water, especially to meet water needs for drinking and domestic use. ""Egypt's annual water quota … will not be affected by the decline,"" Sibai said. “A state of emergency means keeping all of the Water Ministry’s departments on maximum alert to periodically follow up on the water situation in the main riverbed and all canals and water channels in the governorates.""

Sibai said, “According to the ministry’s Nile Flood Forecasting Center's data on the amount of rainfall on the Ethiopian plateau [and equatorial lakes] during the current rainy season, flood rates are still moderate,” meaning there won't be any extra water to increase the storage level in the Aswan High Dam reservoir.

Floodwaters flow into the Nile and then into the man-made Lake Nasser reservoir, created by the Aswan High Dam in Aswan province. Some of the flow comes from rain in Ethiopia's hills. Another source is water that Sudan discharges from its dams to accommodate the new season's floodwater coming from the Ethiopian plateau.

The annual water flow from the Nile is estimated at an average of 84 billion cubic meters of water. Egypt gets 55.5 billion cubic meters of water a year from this flow, while Sudan receives 18.5 billion cubic meters under the 1959 Nile Waters Agreement. The rest of the river's flow is stored behind the Aswan High Dam and is considered a strategic stock for Egypt in case of water shortage or droughts.

Egypt is diligent about monitoring water availability. “In addition to the declining water flow, Egypt is dealing with a water gap that is widening every year,"" Sibai said. ""Internal needs are now estimated at 114 billion cubic meters annually, while only 59.4 billion cubic meters of running surface water is available.""

Sibai said, “The water deficit will be fixed through water recycling projects, which provide 24 billion cubic meters of water. Egypt is now one of the top countries in terms of water-use efficiency, reaching a rate of 95%, according to international estimates."" Egypt also imports food and industrial products that, if grown or made internally, would require 34 billion cubic meters of water.

Despite the water scarcity in Egypt, ""the water year 2018-2019 has ended well,"" Sibai said. ""The daily challenges and problems that farmers face were dealt with in a number of ways, as endorsed in the 2017-2037 Water Resources Plan between nine ministries."" The plan addresses four areas: developing water resources, improving water quality, making water use more efficient while reducing the amount used, and community awareness.

According to experts in Egyptian water affairs, the decrease in the Nile River's flow from floodwater may not present a major danger at the present time, given Egypt's strategic water reserves in the Aswan Dam, in addition to the absence of serious climatic events such as the drought that hit the Nile basin in the 1980s.

Abbas Sharaqi, a water and geology professor at Cairo University, told Al-Monitor Egypt's current water scarcity is mainly due to its population growth, not the lower water flow from the Ethiopian plateau or equatorial lakes.

“The main rainy season in Ethiopia, which feeds the Nile, is in July, August and September, and the water reaches Egypt three weeks after the rainy season begins. The amount of floodwater can't be judged before the season ends in September,"" Sharaqi said.

""It's not possible to be in real danger, as long as there is a strategic water reservoir in the Aswan Dam, and official figures indicate that the water level there is so far within the safe limits,"" he said. “The most important challenge is to maintain safe [levels] of water in Lake Nasser.”

The decline in the Nile's water flow is a chronic but manageable challenge for the Egyptian government. Ethiopia had delayed filling the estimated 74 billion cubic meters of the Grand Ethiopian Renaissance Dam reservoir due to internal tensions. Prime Minister Hailemariam Desalegn resigned in February 2018; the dam project manager killed himself that July, according to authorities; and dam officials were arrested on corruption charges. Meanwhile, Cairo has yet to reach a clear agreement with Ethiopia to set common rules for filling the dam reservoir and avoiding any harm.

But last month, Egyptian Minister of Water Resources and Irrigation Mohamed Abdel Ati led an official delegation to Sudan and Ethiopia to discuss resuming negotiations and present Ethiopia with Egypt's vision of the rules for filling the Renaissance Dam.

Speaking about the effectiveness of such steps, Sibai said, “Leaderships in Egypt, Ethiopia and Sudan do not trust one another, and we recognize the parties' appreciation of how critical the situation is. The issue is being managed by virtue of agreements and treaties that guarantee no harm is done to any party.”","Wed, 14 Aug 2019 07:00:00 GMT",https://www.al-monitor.com/sites/default/files/styles/social_media_share/public/almpics/2019/08/RTX10BYK.jpg/RTX10BYK.jpg?h=a5ae579a&itok=6Bz5b3n7,"['meters', 'water', 'precaution', 'declares', 'emergency', 'dam', 'cubic', 'flow', 'ethiopia', 'aswan', 'nile', 'billion', 'egypt']", ,flood
7,7,FL-2019-000179-CAN,'Complete standstill': Heavy rain floods Cairo - Middle East Eye,https://www.middleeasteye.net/news/cairo-hit-flooding,,"Wed, 23 Oct 2019 07:00:00 GMT",,[], ,none
8,8,FL-2019-000179-CAN,"In Egypt, A Rising Sea — And Growing Worries About Climate Change's Effects - NPR",https://www.npr.org/sections/parallels/2017/08/13/542645647/in-egypt-a-rising-sea-and-growing-worries-about-climate-changes-effects,"In Egypt, A Rising Sea — And Growing Worries About Climate Change's Effects

Enlarge this image toggle caption Ibrahim Ramadan/Anadolu Agency/Getty Images Ibrahim Ramadan/Anadolu Agency/Getty Images

On Egypt's Mediterranean coast, August should be prime tourist season. But the seaside restaurants in Alexandria are almost empty. Worries over security are keeping a lot of foreign tourists away. But there's a much bigger worry looming: that hotter weather and a disappearing shoreline could make Egypt's prospects even worse.

Scientists generally agree that human-made climate change – the effect of greenhouse gas emissions from things like cars and factories – is making the sea level higher and its waters warmer.

Rising sea levels are affecting the Nile River delta, the triangle where the Nile spreads out and drains into the sea. It's where Egypt grows most of its crops. According to the World Bank, Egypt — with its already high poverty rates and rapidly growing population — is one of the countries that will be most vulnerable to the effects of climate change.

Hazem Adel is already seeing some of those changes firsthand. He sells hats and woven handbags at a stall in front of a wall of concrete barriers on the Alexandria waterfront.

""The water used to flood and cover the people and their cars,"" says Adel. ""That's why the government put up the barriers – to stop the high water so it won't flood the street.""

All along the waterfront, the government has erected barriers to counter increasingly fierce winter storms. There's no beach on this part of the shore. The sand washed away years ago.

Many scientists predict a sea level rise here of more than two feet by the end of the century. Some historic buildings are already crumbling, as salt water seeps into the bricks. Entire neighborhoods could be submerged.

Enlarge this image toggle caption Jane Arraf/NPR Jane Arraf/NPR

For thousands of years, Alexandria's fortunes have risen and fallen with the sea.

Near the concrete boardwalk, guides lead Arab tourists through a fortress built partly on the ruins of one of the wonders of the ancient world – the lighthouse of Alexandria.

For almost 2,000 years, the stone lighthouse was the tallest building in the world. It used mirrors to reflect the sun, and fires at night, to warn sailors away from the rocks. After a series of earthquakes between the tenth and 14th centuries, it tumbled into the water. Over the centuries, the sea swallowed what had been a thriving port and even the outline of the harbor itself.

Fishermen stand on what are believed to be some of the remains of the base of the lighthouse, casting lines into the water from long poles.

Saleh Hilmi, who has been fishing here for 25 years, says the fish now are smaller than before – he throws the ones he catches to stray cats. Because the sea water is warmer, he says, the bigger fish have retreated to cooler, deeper water.

It's a big worry for climate change experts like Mohammad al-Raey from the University of Alexandria, who has been researching the potential effects of warmer temperatures and rising sea levels for decades.

""The sea level rise would affect all coasts and all beaches,"" he says, looking out over the brilliant blue waters of the Mediterranean along Egypt's north coast. ""The models show the Middle East would increase in temperature and decrease in precipitation.""

Most models predict a possible average mean temperature rise of more than three degrees Fahrenheit over parts of Egypt over the next four decades.

Raey says the effects of hotter weather, including reduced rainfall, would cut agricultural productivity by 15 to 20 percent – a huge blow to a country already struggling to feed its people.

Enlarge this image toggle caption Jane Arraf/NPR Jane Arraf/NPR

More than half of Egypt's crops are grown along the Nile delta.

All along the delta, the river banks are eroding. With rising sea levels, sea water is seeping into Nile water used for irrigation.

""The crops die,"" says Youssef Ghazali, who has been farming for 50 years. ""If you water them with salty water, they die immediately. If I had proper water, I could grow rice, clover cotton. I could grow anything.""

Ghazali's arms are crisscrossed with red gashes from cutting thistles. He shows me a patch of bare earth where, two years ago, he was growing rice. Now he says it's too salty to grow anything at all.

Other farmers say they have had to abandon traditional crops like sugarcane because of the salinity of the water.

Ghazali says people here are already struggling with river water polluted by runoff from factories — and now they've been told that human activity is changing the very weather.

""We've heard for a long time that we shouldn't burn wood and straw,"" he says. ""They say because of the smoke from that and smoke from the cars, it affects the temperature.""

Other Egyptians aren't so sure.

Further up the Nile delta, near a fishing village called al-Ma'adiya where the Nile meets the Mediterranean, fisherman say winter storms have been so fierce the past two years, some people here believe God is punishing them.

""Last winter was the worst,"" says Bedair Mohammad. ""The sea swallowed up some of the land and got closer and closer to the village. We're seeing things we never saw before, in a way that could make us believe this is anger from God on the village and its people.""

Mohammad says every year the winds get stronger, the waves get higher and more land disappears. They have to go further and further out to sea to find the same fish they used to catch close to shore.

He points to where the pale blue water of the Mediterranean starts to turn brown a few hundred feet closer to shore. It was bare ground just a few years ago – now it's covered in water. In his grandfather's time, it took more than half an hour to walk from the village to the shore. Now it takes less than 10 minutes.

Ten years ago, these were such rich fishing grounds people referred to this stretch of the coast as ""Kuwait"" — because its villages were so prosperous. Now the fish near the shore are smaller and scarcer. Fishermen need motorboats to get out to deeper water instead of the rowboats they used to use.

Mohammad says last year, the winds were so strong, the third story of his house was knocked down. Boats were tossed up from the water into the road.

""In the winter, the sea attacks us,"" he says. ""We are afraid the village will sink into the sea.""","Sun, 13 Aug 2017 07:00:00 GMT",https://media.npr.org/assets/img/2017/08/10/gettyimages-494227492_wide-b1a349505ab66919213481ac0bc02d31e0040592.jpg?s=1400,"['mediterranean', 'growing', 'water', 'village', 'worries', 'winter', 'jane', 'fish', 'shore', 'used', 'sea', 'climate', 'changes', 'rising', 'nile', 'effects', 'egypt']", ,none
9,9,FL-2019-000179-CAN,Sudanese hope Ethiopian dam ends Blue Nile floods - Phys.Org,https://phys.org/news/2019-11-sudanese-ethiopian-blue-nile.html,"Sudanese farmers like Othman Idris say Ethiopia's construction of a controversial dam on the Blue Nile is a dream come true that would regulate flooding during rainy seasons

The Blue Nile is a renegade river, according to Sudanese farmer Osman Idris, its unpredictable flooding swallows crops and houses as it crashes through Sudan from Ethiopia on its way to Egypt.

""Tonight, the level of water will be low,"" said Idris, a resident of Juref Gharb, a small village on the bank of the Blue Nile outside Khartoum.

""Tomorrow, it will swallow all the houses... It's a renegade river, it rises so fast,"" said the 60-year-old, dressed in a traditional Sudanese robe.

For Idris, Ethiopa's construction of a controversial dam on the Blue Nile is a dream come true, as it promises to regulate the floods that inundate Sudan every rainy season.

This year alone, flash flooding has killed more than 60 and injured dozens in Sudan.

The Blue Nile joins the White Nile in Khartoum and supplies the overwhelming majority of the Nile's water, which runs through Egypt to the Mediterranean Sea.

Construction of the Grand Ethiopian Renaissance Dam began in 2012, but since then Egypt has sounded the alarm that the project would severely reduce its water supplies.

Egypt depends on the Nile for about 90 percent of its irrigation and drinking water, and says it has ""historic rights"" to the river guaranteed by treaties from 1929 and 1959.

It sees the project as an existential threat, fearing Ethiopia's rapid construction of the dam might lead to water and food scarcity for millions of Egyptians.

Construction of the Grand Ethiopian Renaissance Dam began in 2012 but the controversial project has raised concern in Egypt which says it would severely reduce its much-needed water supplies

More cash crops

After several rounds of talks failed to resolve the issue, a new dialogue between Egypt, Ethiopia and Sudan was mediated by the United States in Washington earlier this month.

The three delegations agreed to resolve the dispute by January 15, with ministerial-level talks being held this week in Addis Ababa.

Ethiopia insists the $4 billion hydro-electric barrage is essential for its economic growth given that most of its population still lives without electricity.

And in Sudan, farmers hope the dam will provide predictable flow.

Over the years, farmers like Idris who own farms along the Nile have been forced to change their crops due to flood devastation and tonnes of deposited silt.

Brickmakers fire blocks of mud in riverside kilns, producing smoke harmful to crops.

""I had to shift from cultivating fruits and vegetables to animal feed,"" Idris told AFP.

Being reliant on flooding for irrigation means only one harvest per year and limits the kind of crops that can be grown.

If the river's flow were regulated, more intensive agriculture could be practised, Idris said.

The dam could block unwanted silt which brickmakers in Sudan depend on for their livelihood

""We can plant crops through the year. It will be better for the environment and for marketing our products, which means more income for us,"" Idris said.

Ekram Dagash, a professor at Khartoum's Al-Zaiem Al-Azhari University, agreed that Sudan stands to gain from the dam, which will maintain water levels and block unwanted silt.

""Ethiopia is building the dam for one reason only, to produce electricity and export it, not only to neighbouring countries but to the whole African continent,"" she told AFP.

Worried brickmakers

But one group of Sudanese are concerned about the dam: brickmakers, who depend on the silt for their livelihood.

Dozens of small kilns line the river, providing an income for hundreds of brickmakers like Yakoub Noreen.

""If the dam is built, this won't arrive,"" the 40-year-old said of the silt he was standing in, as he pressed wet clay into a mould.

Nearby, workers stacked bricks into a kiln belching thick smoke. Later they will be sold for 1,500 Sudanese pounds ($32) per 1,000 bricks, Noreen said.

Professor Dagash said workers can be compensated and provided alternative livelihoods if brickworks close, adding that benefits from the dam outweighed such losses.

Vast areas of land would open up for agriculture as well as industrial projects, she said.

""The dam will provide Sudan with low cost electricity... and low cost electricity means more growth,"" she said.

Explore further French companies tapped to study Nile dam project

© 2019 AFP","Sun, 17 Nov 2019 08:00:00 GMT",https://scx2.b-cdn.net/gfx/news/2019/sudanesefarm.jpg,"['water', 'ethiopian', 'blue', 'sudanese', 'river', 'floods', 'idris', 'project', 'ends', 'flooding', 'dam', 'hope', 'nile', 'sudan']", ,flood
