,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance,category
0,0,FL-2020-000164-IND,"India sees above average monsoon rainfall in June, accelerating crop sowing - Reuters",https://www.reuters.com/article/us-india-monsoon-idUSKBN2412NT,"FILE PHOTO: Beachgoers stand on a seaside promenade as clouds gathered over Arabian Sea in Kochi, India, June 1, 2020. REUTERS/Sivaram V/Files

MUMBAI (Reuters) - India saw 18% more rainfall than average in June as the monsoon covered the entire country nearly two weeks earlier than usual, the state-run weather office said on Tuesday.

Monsoons deliver about 70% of India’s annual rainfall and are the lifeblood of its $2.9 trillion economy, spurring farm output and boosting rural spending on items ranging from gold to cars, motorcycles and refrigerators.

Soybean, pulses and cotton-growing regions in central and western India saw 31% more rainfall in June, while rice, coffee, rubber and tea growing southern India saw 8% higher rainfall, the India Meteorological Department (IMD) said.

A good start to the June-September monsoon season has accelerated planting of summer-sown crops, with farmers sowing crops on 31.56 million hectares as of June 26, doubling from 2019, when the monsoon arrived late.

Cotton sowing was up 165%, while rice planting rose by 35% during the period.

India is the world’s biggest exporter of rice and the biggest cotton producer. A rise in rice and cotton production could lead to higher exports of both products.

Oilseed plantings have risen 525% from a year ago, which could help the world’s biggest edible oil importer reduce imports.

India is likely to see above average monsoon rainfall even in July, a crucial month for sowing of summer crops, said an official with IMD, who declined to be named as he was not authorized to speak to media.

IMD said last month that India is likely to see above average monsoon rain for the second straight year in 2020, boosting hopes for higher farm output in an economy reeling under the impact of the coronavirus.","Tue, 30 Jun 2020 07:00:00 GMT",https://static.reuters.com/resources/r/?m=02&d=20200630&t=2&i=1524147235&r=LYNXMPEG5T1OK&w=800,"['rainfall', 'average', 'sees', 'higher', 'crop', 'saw', 'accelerating', 'rice', 'biggest', 'crops', 'sowing', 'india', 'monsoon']", ,flood
1,1,FL-2020-000164-IND,Intense monsoon rain over west and central India during next 5 days: IMD - The Tribune India,https://www.tribuneindia.com/news/nation/intense-monsoon-rain-over-west-and-central-india-during-next-5-days-imd-107206,"Tribune News Service

New Delhi, July 1

The IMD has predicted an intense monsoon rain spell over west and central India during the next 5 days.

Under the influence of high convergence of strong moist westerly/southwesterly winds at lower tropospheric levels from the Arabian Sea very likely along the west coast till July 5 and plains of northwest India and central India from July 3, fairly widespread to widespread rainfall activity with isolated heavy to very heavy falls are very likely along west coast, Gujarat state and interior Maharashtra during the next 5 days, it said.

Isolated heavy to very heavy with extremely heavy rainfall (≥ 20 cm) very likely over Konkan and Goa on July 3 and 4 band over madhya Maharashtra on July 4, it added.

Scattered to fairly widespread rainfall with isolated heavy falls most likely over Madhya Pradesh, Vidarbha, Chhattisgarh and east Uttar Pradesh till tomorrow, which will increase in intensity and distribution thereafter between July 3 and 5, it added.","Wed, 01 Jul 2020 07:00:00 GMT",https://englishtribuneimages.blob.core.windows.net/gallary-content/2020/7/2020_7$largeimg_66573643.jpg,"['rainfall', 'imd', 'till', 'madhya', 'widespread', 'west', 'likely', 'rain', 'intense', 'heavy', 'pradesh', 'maharashtra', 'central', 'india', 'monsoon', 'days']",flood,flood
2,2,FL-2020-000164-IND,Global ripple effect of shifting monsoons - Science Daily,https://www.sciencedaily.com/releases/2020/06/200629124059.htm,"Scientists from the Department of Energy's Oak Ridge National Laboratory and a dozen other international research institutions have produced the most elaborate set of projections to date that illustrates possible futures for major monsoon regions.

Multiple regions around the world plan energy production, agricultural practices and other essential economic endeavors based on the annual arrival of monsoons, which entails a seasonal shift in the direction of winds that provides periods of steady rainfall. However, unchecked greenhouse gas emissions could disrupt these traditionally predictable events.

Using RegCM4, the latest version of a popular regional climate model developed by the International Centre for Theoretical Physics in Italy, the team ran a series of simulations to project and evaluate changes in nine monsoon regions across five continents. The researchers designed the simulations with a tight grid of each region containing spacing of less than 16 miles, which provided a substantial level of detail.

The team, part of a global effort called the Coordinated Regional Downscaling Experiment, or CORDEX, published its findings in Climate Dynamics.

""This is the first time that a regional climate model has been used to provide a global view of changes in monsoons,"" said lead author Moetasim Ashfaq, a climate computational scientist at ORNL. ""It took a great deal of time and effort to compile and analyze such high-profile, high-resolution data, and these detailed simulations would not have been possible without a significant international collaboration.""

ORNL researchers simulated the South Asian monsoon region using resources of the laboratory's Compute and Data Environment for Science and the compute cluster Eos, and the rest of the simulations were conducted at various other computing centers. The team uncovered commonalities in regional monsoon responses to increases in greenhouse gas emissions. These responses included monsoon onset delays, shorter monsoon seasons and more intense seasonal fluctuation.

advertisement

The simulations predicted and compared changes that would occur in different scenarios provided by the Intergovernmental Panel on Climate Change, or IPCC, known as Representation Concentration Pathway, or RCP8.5 and RCP2.6.

RCP8.5 assumes that carbon emissions follow a ""business as usual"" scenario without policy interventions, whereas RCP2.6 is based on much lower increases in emissions with aggressive mitigation policies. Although the monsoon patterns will likely change for both RCPs, the simulations revealed that the amount of change would likely be minimal under RCP2.6 but could be significant under RCP8.5.

""If emissions are reduced based on RCP2.6 out to the year 2100, the simulations show that the long, damaging shifts in monsoon behaviors can mostly be avoided,"" Ashfaq said. ""If you look at the best-case scenario, we do still see changes, but they are insignificantly different from the typical year-to-year variation in regional monsoons that communities are already accustomed to.""

Seasons of change

Seven of the nine monsoon regions showed a gradual delay in monsoon onset with a continuous increase in global emissions, which could create wide-ranging consequences that directly affect approximately two-thirds of the world's population by the end of this century. Unlike the areas that receive relatively even amounts of precipitation in all seasons, heavily populated monsoon regions receive 60% to 70% of their precipitation during the summer monsoon season.

advertisement

""The RCP8.5 simulations reveal robust delays in the start of rainy seasons that ripple through many aspects of everyday life in these regions,"" Ashfaq said. ""For example, a monsoon that usually starts in the first week of June in South Asia and West Africa may be delayed as long as 15 (days) to 20 days or even an entire month over parts of these regions by the end of the 21st century.""

Although the simulations also showed a delay in the end of the rainy season, otherwise known as monsoon demise, this shift was not nearly as dramatic as the delay in monsoon onset, shortening the length of the entire monsoon season. The researchers also discovered that affected monsoon regions are likely to see more precipitation during that period, leading to more intense rains. Conversely, the rest of the year would see longer dry periods.

This increased seasonality could exacerbate the prevalence of floods, droughts, wildfires and other extreme climate events that already pose challenges to these regions. Significant changes in monsoon behavior could contribute to outbreaks of vector-borne diseases, such as cholera, dengue and malaria.

Since agricultural activities in monsoon regions are typically timed to coincide with the periodic onset and demise of the rainy season, these factors could alter the production of rain-dependent crop yields.

""More than half of the world's arabica coffee supply is produced in Brazil, and more than 70% of the cacao used to make chocolate comes from West Africa, whereas more than one-third of rice exports come from India and Pakistan,"" Ashfaq said. ""If regional agriculture is subjected to monsoon onset delays and shorter rainy seasons, production of these types of commodities will be reduced and have a significant impact on the global economy.""

Many countries located in these regions rely on hydropower to generate electricity, including Brazil, which produces 75% of its energy via this method. Shorter monsoon seasons would not provide enough rainfall at the correct time to supply adequate power without overhauling current operations.

A delicate balance

In addition to identifying potential monsoon changes and their implications, the team also investigated the root causes responsible for these shifts.

In the absence of organized weather systems and a sustained moisture supply, the relatively dry pre-monsoon season receives only intermittent and convective rainfall, which is thermally driven. Lands in these regions get warmer every year during the pre-monsoon period, commonly reaching surface temperatures of 120 degrees Fahrenheit. The combination of convective precipitation warming the upper atmosphere and hot surface conditions warming the lower atmosphere causes disparities between warm air over the land and ocean that force the dry season to give way to monsoon rains.

However, the simulations revealed that a continuous increase in global emissions will make the pre-monsoon environment less conducive for convective precipitation, which will delay the warming of upper atmosphere and the transition from the dry to the rainy season. One key factor the researchers determined will decrease convective rainfall during the pre-monsoon period is the formation of a deeper and less saturated boundary layer -- a part of the lower atmosphere where moisture and energy are exchanged between the land and the atmosphere.

""The upward force needed to lift air parcels to their level of free convection increases with the depth of the boundary layer,"" Ashfaq said. ""And the warmer the atmosphere, the more moisture needed for convective instability, which is essential for the development of thunderstorms. Fulfilling the requirement during the pre-monsoon period is challenging because of the limited moisture supply as winds blow away from the land.""

The team will contribute their CORDEX simulations to the regional climate change chapter of the next IPCC assessment.

This research used resources of the Oak Ridge Leadership Computing Facility, a DOE Office of Science User Facility located at ORNL. The team received support from the National Climate Computing Research Center, a collaboration between DOE and the National Oceanic and Atmospheric Administration.","Mon, 29 Jun 2020 07:00:00 GMT",https://www.sciencedaily.com/images/scidaily-icon.png,"['team', 'simulations', 'season', 'effect', 'regions', 'regional', 'shifting', 'ripple', 'changes', 'seasons', 'monsoons', 'emissions', 'monsoon', 'global', 'climate']", none,none
3,3,FL-2020-000164-IND,"Kharif sowing doubles, thanks to above-normal pre-monsoon rains in central India - ThePrint",https://theprint.in/india/kharif-sowing-doubles-thanks-to-above-normal-pre-monsoon-rains-in-central-india/452730/,"Text Size: A- A+

New Delhi: Thanks to above-normal pre-monsoon rainfall in June in many states, the sowing of kharif crops across the country has more than doubled over last year.

According to estimates from the Ministry of Agriculture, the area sown this year is 315.63 lakh hectares (lha), up 104.25 per cent from last year’s 154.53 lha, because more water-intensive crops like cotton and soybean are being sown this time.

According to the Indian Meteorological Department (IMD), the country has received 22 per cent more rainfall than normal between 1 and 26 June — 165.1 mm against 135.66 mm in the corresponding period last year. Rainfall in central India, including Madhya Pradesh, Gujarat, the Marathwada and Vidarbha regions of Maharashtra, Chhattisgarh and Odisha, was 44 per cent higher than last year.

This has resulted in reservoir storage across the country on 25 June standing at 56.72 billion cubic metres (BCM), against 29.16 BCM last year, while in central India, the corresponding figures are 17.21 BCM and 9.10 BCM respectively.

Also read: Tomatoes cost Rs 70/kg from Rs 4/kg a month back due to early monsoon & supply shortage

Water-intensive crops

According to Water Productivity Mapping of Major Indian Crops by NABARD, the five crops grown in India that require the most water are cotton, rice, soybean, sugarcane and wheat. Cotton in India uses the most water — 22,500 litres to produce 1 kg — with the drier regions of Gujarat and Maharashtra being its leading producers. Soybean requires 900 litres of water for 1 kg produce, and is grown primarily in Madhya Pradesh and Maharashtra.

This year, MP received 162.3 mm of rainfall between 1 and 24 June, more than double the normal 77.3 mm, while Maharashtra received 220.4 mm compared to the usual 147.3 mm over the corresponding period. In Gujarat’s case, the corresponding figures were 106.6 mm and 71.7 mm respectively.

This has resulted in MP’s acreage for soybean increasing to 40.28 lha from nil last year, while in Maharashtra, it has shot up to 18.7 lha from last year’s 0.001 lha.

Cotton sowing has also spiked in Maharashtra to 23.772 lha as on 25 June this year from last year’s 0.194 lha, while in Gujarat, the figures are 11.67 lha this year and 5 lha last year.

Other water-intensive crops like paddy and sugarcane have also seen growth — paddy rising to 37.71 lha from 27.93 lha last year, and sugarcane inching up to 49.69 lha from 49.09 lha.

The sowing of pulses is also up to 19.40 from 6.03 lha, with arhar being grown on 9.87 lha (1.83 in 2019), urad on 2.75 lha (90,000 lha in 2019) and moong on 5.30 lha (last year 2.06 lha) of land.

Experts cautious

Bhagwan Meena, the MP-based convener of farmer body Kisan Swaraj Sangathan, told ThePrint: “The rainfall here is more than anything we have witnessed in the last 10 years. Monsoon has arrived 8 days before normal.”

However, Meena added that the rainfall has also caused a series of problems.

“Many farmers have lost their crops due to waterlogging for days in their field. My 20-acre field is still not ready to sow soybean as there has been continuous rain for the last four days in my area,” he said.

Meanwhile, Arabinda K. Padhee, country director of the International Crops Research Institute for the Semi-Arid Tropics, advised caution.

“The sowing of crops, especially the water-intensive ones, might increase with the early rainfall, but the yield and productivity of these crops are really dependent on the rains in July. There is a need to be really careful with the increasing sowing of these crops as both cotton and soybean are commercial crops and their prices depend on the market status, which is really unpredictable these days,” Padhee told ThePrint.

He added: “The sowing of coarse cereals and millets like ragi and jowar should be promoted owing to its nutritional value. The support price of these crops should be raised, as compared to other crops.”

Also read: Locust swarms spare Delhi but threaten Rs 40,000-crore sugarcane economy in UP

Subscribe to our channels on YouTube & Telegram","Thu, 02 Jul 2020 07:00:00 GMT",https://static.theprint.in/wp-content/uploads/2020/07/Cotton.jpg,"['lha', 'water', 'doubles', 'thanks', 'abovenormal', 'sugarcane', 'maharashtra', 'kharif', 'rains', 'central', 'crops', 'sowing', 'mm', 'india', 'rainfall', 'soybean', 'premonsoon']", ,none
4,4,FL-2020-000164-IND,Monsoonal moisture makes its 2020 debut - ABC 4,https://www.abc4.com/weather/monsoonal-moisture-makes-its-2020-debut/,"SALT LAKE CITY, Utah (ABC4 News) – Utah is closing in on the Independence Day holiday and weekend, and ironically, on par with 2020, as many of us head to the outdoors, a subtle monsoon push will move into the state.

This monsoonal moisture arrives most clearly on Friday and Saturday and will impact eastern, central and southern Utah. Weather models bring in the threat of thunderstorms south of Provo and Evanston, Wyoming for the weekend.

This initial push will increase mid level moisture, but what does that even mean? Well, the translation means we could see dry thunderstorms pop up with a lack of rain, but plenty of lightning and gusty winds. An elevated risk for fire danger will be around for the Fourth of July, and it’s noteworthy for any of us packing up the family for a camping trip to the Uintas or any mountainous area in central, eastern and southern Utah.

Elevated fire risk holds with breezy conditions into Thursday. Dry conditions, some wind & heat is bad news for any fire start. @abc4utah #utwx pic.twitter.com/dLO5tuu0Sd — Alana Brophy (@AlanaBrophyNews) July 2, 2020

Related Content Utah’s 4th of July fireworks planned during 2020 pandemic

Keeping those eyes to the skies is critical over the holiday weekend, but it’s a great habit to get into because the start of the monsoon season in Utah indicates the start of several Utah weather phenomena. To understand what that means, we back it up a little and breakdown exactly how the monsoon season happens in the Beehive State.

The word “monsoon” actually means the seasonal reversal of winds. The seasonal change occurs in upper level winds from the polar westerlies to tropical easterlies and includes a switch from dry west winds high up in the atmosphere to moist winds from the east or southeast. Rain actually starts to the south of us over southern Mexico, when heavy rainfall starts in May and June. Rain quickly spreads north along the western slopes of the Sierra Madre Occidental mountain range, and starts to move north. Typically, the monsoon season begins in the Southwestern United States in early July and can hold on until mid to late September.

WATCH: Weak cold front grazes Northern UT (which is why those SW winds were cranking today) and we see the #utwx models pick up the first subtle push of monsoon 💧 into UT. Monsoon season is here! Be ready for t-storms, dry lightning at time & flash flooding thru Sept. @abc4utah pic.twitter.com/reQAub0uYC — Alana Brophy (@AlanaBrophyNews) July 2, 2020

For Utah, we have a couple of key players when it comes to the monsoon, that includes the “Four Corners High” and our sources of tropical moisture. We have two different sources of tropical moisture with the Gulf of Mexico and the Gulf of California. The Four Corners High sets up near southeastern Utah and has a clockwise flow, which helps draw moist, humid air into Utah. We get thunderstorm development when hot, unstable air rises and with plenty of mid and low level moisture present during monsoon season, we can tap into heavy rain, numerous thunderstorms and frequently trigger severe storms and flash flooding. Utah has plenty of steep terrain and slick rock, and flash flooding can tear through slot canyons and popular landscapes throughout the state. For a visual of how this happens, you can watch the video.

It’s the time of year when Utahns flock to the outdoors, so you always want to know when we get a surge of monsoonal moisture. This weekend from Thursday through Saturday, we get some mid-level moisture and not so much low level moisture, so we can often see dry thunderstorms as a result. Be careful in the outdoors and stay with Pinpoint Weather Team for changing conditions and Utah’s Most Accurate Forecast.","Wed, 01 Jul 2020 07:00:00 GMT",https://www.abc4.com/wp-content/uploads/sites/4/2020/07/C20C622FFC6A4D66BE63370963D54039.jpg?w=1280,"['makes', '2020', 'utah', 'season', 'winds', 'rain', 'dry', 'monsoon', 'thunderstorms', 'weekend', 'debut', 'monsoonal', 'level', 'moisture']", ,none
5,5,FL-2020-000164-IND,"South, central Mumbai record over 100 mm rainfall in 24 hours; suburbs get light rain - Hindustan Times",https://www.hindustantimes.com/india-news/south-central-mumbai-record-over-100-mm-rainfall-in-24-hours-suburbs-get-light-rain/story-36AK8Hgh7do8PabARgIDaL.html,"Several areas in south and central Mumbai recorded over 100 millimetres (mm) of rainfall on Monday night after a torrential downpour that lasted for over an hour.

However, suburban Mumbai received significantly less rainfall.

The Colaba-based Regional Meteorological Centre in south Mumbai recorded 101 mm of rainfall in 24 hours, starting from 8:30 am on Monday.

While the corresponding figure for the suburbs, recorded by the Santacruz-based centre, is 11.2 mm.

Location-wise rainfall in Mumbai over the last 24 hours showed Cuffe Parade received 128.7 mm of rains, followed by Worli (114.7 mm), Nariman Point (105 mm), Dadar (105.9 mm) and Byculla (99 mm).

While major areas in the suburbs recorded up to 40 mm of rains over the past 24 hours.

“Intense rains were received in localised places in Mumbai on Monday night, followed by intermittent light to moderate showers in the south-central parts of the city. However, the suburbs received less rainfall because there was no monsoon cloud bands over the region,” said KS Hosalikar, deputy director-general, western region, India Meteorological Department (IMD).

South Mumbai has reduced its rain deficit for June because of the torrential downpour over the past 24 hours and the tally stands at 524.5 mm, which is 16.4 mm short of the long-period average (LPA), the average of rainfall received in the area over a 50-year period between 1961 and 2010.

So far, Mumbai’s suburbs have recorded 395 mm of rains in June, which is 98.1 mm short of the LPA and the lowest for the month in the past five years.

IMD authorities said that the suburbs are likely to end June with a 22% of rain deficiency.

Though the city woke up to light showers on Tuesday morning, the rains stopped in a while because of a partly cloudy sky.

The weather bureau has issued a yellow alert – be aware for moderate or intermittent rains – for the day.

IMD authorities classify light rain between 2.5 and 7.5 mm; moderate rain (7.6-35.5 mm); heavy rain (35.6-64.4 mm); and extremely heavy rain (64.5 - 124.4 mm).","Tue, 30 Jun 2020 07:00:00 GMT",https://images.hindustantimes.com/rf/image_size_960x540/HT/p2/2020/06/30/Pictures/weather-rain-in-mumbai_7bd4edda-ba95-11ea-a2a7-d359f39d1b90.jpg,"['suburbs', 'south', 'rain', 'mumbai', 'hours', 'rains', 'central', 'mm', 'light', 'record', 'recorded', 'rainfall', 'past', '24', 'received']", ,flood
6,6,FL-2020-000164-IND,Millions at risk in Bangladesh as monsoon floods add to coronavirus worries - Reuters India,https://www.reuters.com/article/bangladesh-floods-idINKBN242606,"DHAKA (Reuters) - Hundreds of thousands of people in Bangladesh have been marooned and thousands of hectares of farmland submerged, officials said on Wednesday, as floods triggered by monsoon rains ravage the country already grappling with the coronavirus.

Officials said the flooding in Bangladesh was made worse by heavy rains in the neighbouring Indian state of Assam. Millions have been forced to flee their homes in Assam after the Brahmaputra river that flows from Tibet into India and then into Bangladesh burst its banks in Assam over the weekend here, inundating more than 2,000 villages.

“Rainfalls and runoff from northern India have caused some of the rivers across Bangladesh to rise over 70 cm (30 inches) above dangerous levels,” said Jyoti Prasad Ghosh, an official at the Bangladesh Water Development Board. “The floods could worsen further in the coming days if rains continue in Assam.”

One disaster management official in Bangladesh who declined to be named said the crisis was expected to worsen in the coming days and more than 200,000 people marooned are at risk.

“The disaster is worsening by the hour, with several hundred thousands already severely affected by the floods, worsening the COVID pandemic and crisis in the country,” said Antony Balmain, a spokesman for the International Federation of Red Cross and Red Crescent Societies.

Bangladesh had 149,258 confirmed coronavirus cases as of Wednesday, with 1,888 deaths.

The floods threaten about 4.1 million people, Balmain said. “Around 16,500 people most at risk are being assisted immediately with evacuation, and while thousands more will be helped in the coming days.”

The double whammy is pushing many to the brink.

In Bangladesh’s northern district of Jamalpur, farmer Mohammad Manik had been earning a living selling vegetables. He said he had to stop that due to the coronavirus lockdown.

“Now all my vegetables are under the floodwater.” Manik told Reuters. “I don’t know how to survive anymore. It’s one disaster after another.”","Wed, 01 Jul 2020 07:00:00 GMT",https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,"['disaster', 'bangladesh', 'coming', 'coronavirus', 'add', 'thousands', 'floods', 'rains', 'risk', 'assam', 'worsen', 'vegetables', 'millions', 'worsening', 'worries', 'monsoon']", ,flood
7,7,FL-2020-000164-IND,Floods in India's Assam force a million from their homes - Reuters,https://www.reuters.com/article/us-india-floods-idUSKBN2400W0,"GUWAHATI, India (Reuters) - Heavy flooding triggered by monsoon rains has forced more than a million people to flee their homes in the northeast Indian state of Assam, authorities said on Monday, warning that the crisis was becoming more critical by the hour.

The Brahmaputra River, one of the largest rivers in the world which flows from Tibet into India and then into Bangladesh, burst its banks in Assam over the weekend, inundating more than 2,000 villages, and it was still raining on Monday.

“Two people have died in separate incidents of drowning in the past 24 hours and more than one million people have been affected, with the flood situation turning critical by the hour,” a state government flood bulletin said.

Torrential rain hit at least 23 of Assam’s 33 districts and the federal water resources body said water levels in the Brahmaputra were expected to rise, with more rain forecast over the next three days.

“The flood situation remains extremely grave with several embankments breached,” Assam Water Resources Minister Keshab Mahanta told Reuters.

Most of the Kaziranga National Park, home to the rare one-horned rhino, was under water, authorities said.

Assam, famous for its tea plantations, is hit by seasonal flooding each year, forcing state and federal governments to spend millions of rupees on flood control.

Paramilitary personnel were deployed across the state for rescue operations and to ensure people maintain social distance in makeshift shelter camps to prevent the spread of the coronavirus, authorities said.

Assam has so far reported 7,492 coronavirus infections and 11 deaths.","Mon, 29 Jun 2020 07:00:00 GMT",https://static.reuters.com/resources/r/?m=02&d=20200629&t=2&i=1523961237&r=LYNXMPEG5S0OU&w=800,"['water', 'flood', 'force', 'state', 'saidassam', 'resources', 'rain', 'indias', 'floods', 'million', 'assam', 'authorities', 'homes', 'situation']", ,flood
8,8,FL-2020-000164-IND,"Extremely Heavy Rainfall and Thunderstorms Likely Over Coastal Karnataka, Goa | The Weather Channel - Articles from The Weather Channel | weather.com - The Weather Channel",https://weather.com/en-IN/india/news/news/2020-06-30-extremely-heavy-rainfall-thunderstorms-likely-coastal-karnataka-goa,"Here's our latest weather update for India:

5-Day Nationwide Weather Forecast

The Southwest Monsoon has set all across India. Total precipitation for July is predicted to be wetter than normal across the western half of India, while drier than normal across the eastern half.

Moisture-laden air from the Bay of Bengal continues to blow into Northeastern India, resulting in unstable weather conditions widely over the region. These conditions will remain during the forecast period.

A cyclonic circulation over Uttar Pradesh is expected to maintain its position and trigger thunderstorm activities widely over Central and adjoining Eastern India during the said period.

Konkan coast and Malabar coast will likely receive incessant rainfall due to onshore winds.

Some rainfall can be extremely heavy, with one-day totals of over 200 mm possible in localised areas. Daily downpours may result in slippery roads, flooding, and road closures. The affected areas would be Northeastern India (Arunachal Pradesh, Assam, and Meghalaya), Central India (eastern Uttar Pradesh, Madhya Pradesh, and Uttarakhand), Eastern India (Bihar and Sub-Himalayan region including West Bengal), along with Konkan, Malabar coast and inland Maharashtra.

Maximum temperatures will be 2°C to 8°C lower than average across Ganga plains during this forecast period.

A fresh Cyclonic Circulation might become noticeable off the coast of Odisha beyond Saturday, and could pose a weekend concern to coastal Odisha and coastal West Bengal.

2-Day Regional Forecast

Tuesday

Heavy to very heavy rain with some extremely heavy falls and thunderstorms are predicted over Madhya Pradesh, coastal Gujarat, coastal Maharashtra, Coastal Karnataka, and Goa.

Heavy rain and thunderstorms are on the cards for eastern Uttar Pradesh, Maharashtra, Karnataka, Kerala, Telangana, Andhra Pradesh, Tamil Nadu, Andaman and Nicobar Islands, Arunachal Pradesh, Assam, and Meghalaya.

Scattered rain and thunderstorms are likely over Uttarakhand, Gujarat, Nagaland, Manipur, Mizoram, Tripura, Uttar Pradesh, Bihar, Jharkhand, Chhattisgarh, Odisha, West Bengal, Sikkim, and Lakshadweep.

Advertisement Isolated rain and thunderstorms are possible in Jammu & Kashmir, Punjab, Haryana, Rajasthan, and Himachal Pradesh. Isolated rain/snow and thunderstorms are also predicted over Ladakh.

Maximum temperature of 40°C or more is likely in Punjab, Haryana, Rajasthan, and Gujarat.

Wednesday

Heavy to very heavy rain with some extremely heavy falls and thunderstorms are forecast over Arunachal Pradesh, Sub-Himalayan region, West Bengal, Assam, Meghalaya, Goa, and coastal Karnataka.

Heavy rain and thunderstorms are likely over Madhya Pradesh, Maharashtra, Sikkim, and Karnataka.

Scattered rain and thunderstorms are on the cards for Nagaland, Manipur, Mizoram, Tripura, Uttarakhand, Uttar Pradesh, Chhattisgarh Gujarat, Gangetic-West Bengal, Bihar, Jharkhand, Odisha, Kerala, Telangana, Andhra Pradesh, Tamil Nadu, Andaman & Nicobar Islands, and Lakshadweep.

Isolated rain and thunderstorms are possible in Jammu & Kashmir, Punjab, Haryana, Himachal Pradesh, and Rajasthan.

Isolated rain/snow and thunderstorms are also likely in Ladakh.

Maximum temperature of 40°C or more is likely in Punjab, Haryana, Rajasthan, and Gujarat.

**

For weather, COVID-19, & air quality updates on the go, download The Weather Channel App (on Android and iOS store). It's free!","Mon, 29 Jun 2020 07:00:00 GMT",https://s.w-x.co/in-Tuesday30.jpg,"['uttar', 'likely', 'rain', 'karnataka', 'heavy', 'coastal', 'pradesh', 'weather', 'eastern', 'goa', 'thunderstorms', 'extremely', 'india', 'rainfall']", ,none
9,9,FL-2020-000164-IND,Monsoon season is coming: How could that impact you? - KOAA.com Colorado Springs and Pueblo News,https://www.koaa.com/news/covering-colorado/monsoon-season-is-coming-how-will-that-affect-you,"If you're new to Colorado, you might start to hear the term ""monsoon"" thrown around.

What is a monsoon?

Lars Leber Photography

When people think of a monsoon, they usually mistake it with a typhoon or some other variation of a huge rainstorm.

In reality, a monsoon is simply a seasonal wind pattern that sweeps moisture into the desert southwest. The North American Monsoon is seasonal because it only happens during the summer months.

KOAA Weather

During July and August, the hottest months of the year, a strong high-pressure system can set up above and east of the four corners region.

At the same time, intense daytime heating in the desert southwest can produce a low-pressure system often referred to as a monsoon low.

KOAA Weather

Moist air from the Pacific Ocean, Gulf of Mexico, and even evaporating plants in the Sierra Madres will rotate north between these two pressure systems.

It's this constant north moving air mass that leads to the North American Monsoon.

Monsoons are famous for bringing heavy rain and scattered, unpredictable thunderstorms to the southern Rockies and desert southwest.

How does it affect southern Colorado?

Daniel Forster

While not as directly affected as Arizona, southern Colorado will usually see at least some effect of a monsoon every year.

Typically during a monsoon pattern in Colorado, we see near-daily thunderstorms develop over the mountains and push east into the plains through the afternoon.

Storms will often start over the mountains between 12 and 2 p.m., drift east into the larger towns on I-25 between 1 and 4 p.m., and move east through the plains in the early evening.

KOAA Weather

Since monsoon season develops over the summer months, most cities along the Front Range tend to see their wettest months in July and August.

Monsoon fueled thunderstorms tend to be frequent, numerous, and often come with heavy rain. This is critical to fighting fire danger by keeping our grassy and forest fuels saturated.

Does a monsoon bring more hail?

While monsoon fueled thunderstorms can easily produce hail, Colorado tends to see the most severe hail reports a month before monsoon season.

KOAA Weather

This graph shows the number of severe hail reports (1 inch or greater in size) for all areas east of the Front Range from 1997.

On top of heat and moisture, June tends to see a more active jet stream which results in a severe weather ingredient called wind shear.

July tends to come in as the second most active month for severe hail, with one of the major factors being an increased number of monsoon-driven thunderstorms. The more storms, the better the chance one or two can drop large hail.

KOAA Weather

The same trend is seen through El Paso County. June is our most likely month for severe hail, with July as our second most likely month.

Monsoon patterns typically come with a lack of wind shear, which makes it difficult for thunderstorms to stay strong to severe.

Because of this, while hail is certainly a worry for storms in monsoon season, flash flooding is often a much more common severe threat.

Do I need to prepare for monsoon season?

Larry Marr

Unless you live in a flood-prone area, the only people who need to prepare for monsoon season are avid campers and hikers.

Monsoon fueled thunderstorms tend to form over the mountains between 12 and 2 p.m. These storms grow quickly and can bring heavy rain, strong winds, and lots of lightning.

Larry Marr Thunderstorm in Calhan captured by Larry Marr

Be sure to check the forecast and try to get any big hikes started early, that way you can be off the mountain or at least below treeline in the early afternoon before storms develop.

On days with elevated severe storm risks, try and find covered parking at work or in a parking garage to keep your car safe from hail.

The First Alert 5 Weather Team will always publish a weather story outlining any severe threats on our weather page at https://www.koaa.com/weather, and you can always see the latest forecast update before you head to work on News5 Today from 4:30 a.m. to 7 a.m.","Thu, 02 Jul 2020 07:00:00 GMT",https://ewscripps.brightspotcdn.com/dims4/default/ce5b1fa/2147483647/strip/true/crop/1920x1008+0+36/resize/1200x630!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F6f%2F7f%2F9313f63c40a5b960e103f8332aa8%2Fgarden-of-the-gods-lightning.jpg,"['severe', 'wind', 'season', 'hail', 'impact', 'coming', 'east', 'weather', 'north', 'storms', 'thunderstorms', 'colorado', 'monsoon']", ,none
