,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance,category
0,0,FL-2021-000025-AUS,"Australia Floods: 40,000 Evacuated, At Least 2 Dead - NPR",https://www.npr.org/2021/03/24/980708784/40-000-evacuated-at-least-2-dead-in-massive-australian-floods,"40,000 Evacuated, At Least 2 Dead In Massive Australian Floods

Enlarge this image toggle caption Lukas Coch/Pool/AP Lukas Coch/Pool/AP

Days of torrential rain have spawned massive flooding in eastern Australia, forcing the evacuation of some 40,000 people. In the country's arid central section, it has sent waterfalls down the side of the country's majestic Uluru rocks.

Barely a year after devastating bush fires burned through tens of millions of acres in Australia, the country is grappling with one of its worst floods after weather systems converged over Queensland and New South Wales, dumping more than 20 inches of rain in a single day in one area north of Brisbane.

Meanwhile, one area of New South Wales received nearly 40 inches in a week — which Australia's Bureau of Meteorology said had already exceeded the average autumn rainfall less than a month into the season.

Environment Eastern Australia Is Facing Worst Floods In Decades 2 Years After Bush Fires Eastern Australia Is Facing Worst Floods In Decades 2 Years After Bush Fires Listen · 3:55 3:55

The floods, which have submerged houses, stranded cattle and cut off towns, have inundated vast areas along the east coast from roughly Mackay, about 600 miles north of Brisbane in Queensland, to Bega in New South Wales, some 260 miles south of Sydney.

The premier of New South Wales, Gladys Berejiklian, said Wednesday that residents in Sydney's western regions are under new evacuation orders.

""What we still have to be aware of is the fact that thousands and thousands of people are still on evacuation warnings, that the rivers will continue to swell, that catchments will continue to experience flows of water not seen in 50 years and in some places 100 years,"" she told reporters in Sydney, Reuters reported.

Enlarge this image toggle caption Brendon Thorne/Bloomberg via Getty Images Brendon Thorne/Bloomberg via Getty Images

On Wednesday, the bodies of two men were recovered from flooded vehicles. One man, 25, died when his car was submerged in northwest Sydney. He reached an emergency operator and was on the line for 44 minutes until contact was lost, The Sydney Morning Herald reported.

(Here are more scenes of the devastating floods from The Sydney Morning Herald.)

Enlarge this image toggle caption Stacey MacGregor/Via AP Stacey MacGregor/Via AP

Near Alice Springs in central Australia, tourists have flocked to Uluru, also known Ayers Rock, to catch a rare glimpse of cascading waterfalls at the reddish-orange rock formation. Park officials said 46 millimeters (1.8 inches) of rain fell there over the weekend – about a sixth of the average annual rainfall in the region. While the event isn't unprecedented, it is uncommon.

""Rainwater on the rock's surface causes it to change [color]. From dark burgundy to shining silver and even black, every side of Uluru takes a different shade, making this spectacle a photographer's delight. Following the rain, desert plants bloom and many animals emerge to mate and feed,"" staff at Uluru-Kata Tjuta National Park said on Facebook.

Although rivers were expected to crest on Wednesday, Prime Minister Scott Morrison warned that the flooding, which has been concentrated along the eastern seaboard, would not remain ""just a coastal event.""

The Warragamba Dam, on the western outskirts of Sydney, has been spilling the equivalent of the city's famous harbor in water each day. It's expected to continue its overflow for at least another week, threatening highly populated areas, Morrison said. ""We advise that the rain and flood situation does remain dynamic and extremely complex,"" he said.

Darren Osmotherly, who owns the Paradise Café Pizzeria in Portland in North South Wales, west of Sydney, told Reuters that damage to his restaurant would likely top a half-million Australian dollars ($380,000).

""We've had bush fires and COVID and so many dramas this year. No one can go anywhere,"" he said, adding that the return of sunny skies on Wednesday didn't mean the danger was over.

""People get the illusion that it's stopped flooding, but you've got 17 hours of water to come,"" he told Reuters. ""The deluge of rain we had yesterday isn't here yet. ... Got to be careful. When the sun's out like this it's probably just as dangerous as when it's running fast.""","Wed, 24 Mar 2021 07:00:00 GMT",https://media.npr.org/assets/img/2021/03/24/ap_21083021808981_wide-9da1f1cab70f5d268873026dfac077c55c174057.jpg?s=1400,"['worst', 'rain', 'australian', 'floods', 'dead', 'evacuated', 'massive', 'sydney', 'eastern', 'bush', 'fires', 'wales', 'australia', '40000', 'south']",,flood
1,1,FL-2021-000025-AUS,Parts of Australia declare natural disaster during 'once in 100 years' floods - CNN,https://www.cnn.com/2021/03/21/australia/australia-flood-natural-disaster-intl-hnk/index.html,"(CNN) The Australian government has declared a natural disaster in large swaths of New South Wales (NSW) as heavy rains batter the state and force thousands to evacuate .

Rains have been inundating communities since Thursday, but parts of the east coast tipped into crisis on Saturday as a major dam overflowed, adding to swollen rivers and causing flash flooding.

The NSW and federal government have signed 16 natural disaster declarations in areas spanning the central and mid-north coast, from Hunter Valley near Sydney to Coff's Harbour, said NSW Emergency Services Minister David Elliott in a news conference on Sunday.

There have been no deaths reported yet -- but, Elliott warned, ""we are moving closer and closer to the inevitable fatality.""

""We cannot say it enough: do not put yourself in danger, do not put the agencies that are there to assist you in the event of a flood rescue in danger,"" he said.

Some families were forced to evacuate in the middle of the night as rivers rose to dangerous levels, and 4,000 more people -- primarily in the Hawkesbury region -- may have to evacuate on Sunday, said state Premier Gladys Berejiklian at the news conference.

#NSWRFS aviation crew continue to assist @NSWSES where required. This video was taken by one of our Air Observers on approach to Taree. For emergency assistance with flood and storm damage call the #NSWSES on 132 500. If it's a life-threatening emergency, call Triple Zero (000). pic.twitter.com/lKu4YlV6To — NSW RFS (@NSWRFS) March 21, 2021

""This is nothing like we've seen since the 1960s,"" Berejiklian said. In parts of the state that have been hit harder, this is a once-a-century event; in other regions like the Hawkesbury area, it's a ""one-in-50-years"" event, she said.

Joshua Edge and his fiancée Sarah Soars lost the house they were renting Saturday on what was supposed to be their wedding day. They lost everything they owned, including pets, as flood waters powered through Mondrook, an area near the town of Taree in NSW, Edge's brother Lyle wrote on a GoFundMe page set up to help the couple.

The page has raised nearly $100,000 AUD (roughly $77,000 USD) from 1,779 people in one day. A video circulating on social media shows a house being carried by floods in the same area, but CNN could not independently verify whether it was the one Edge and Soars had been living in.

""We have just been blown away with people's generosity,"" said Lyle Edge in a Facebook post. ""We are all so grateful and can not [sic] thank everyone enough.""

A rescue worker helps residents cross a flooded road in western Sydney on March 20

Since Thursday, the State Emergency Service (SES) has responded to 7,000 calls for assistance and conducted more than 750 flood rescues. Thousands of emergency workers and volunteers are still on the ground, helping trapped residents.

Photos show backyards and homes half underwater and roads flooded to knee-high levels. In the mid-north town of Taree , residents rescued a cow struggling to stay afloat in rough waters; nearby, an enthire house was swept away by the raging floodwaters, according to CNN affiliate Seven News.

Residents look at the swollen Nepean river during heavy rain in western Sydney on March 20.

Berejiklian urged residents to follow local guidance, stay off the roads, and heed evacuation orders if needed -- even for those who live in flood-prone areas and may have experienced flooding before. ""This is different,"" she warned. ""What we're going through is different to what you've been through for the last 50 years. So please take it seriously.""

Authorities don't know yet how many homes or infrastructure have been lost, but ""the damage is substantial,"" she said.

The natural disaster declaration could be further extended up the coast if the damage increases, said Elliott. The declaration allows those affected to receive financial assistance, including recovering damage to homes, subsidies for affected livestock or agriculture, and low- or zero-interest loans.

Australia's federal government activated disaster relief for flood-affected NSW residents, Prime Minister Scott Morrison announced in a Facebook post on Sunday.

Those who are significantly injured, lost homes or had their homes damaged will be entitled to $1,000 AUD (roughly $770 USD) for adults or $400 AUD (roughly $310 USD) for children.

""The terrible storms and floods that have been ravaging NSW for the past few days are taking a heavy toll,"" Morrison said in a video address accompanying the post, mentioning that he has been in regular contact with Berejiklian.

The Prime Minister praised emergency workers and volunteers in his comments, urging people in flood-hit regions to listen to their advice and warnings, saying ""for now, our message is very clear to keep yourself safe, to keep your family safe and those around you to follow the instructions of the very competent, professional agencies and bodies and the volunteers who support them.""

Heavy rains are expected to continue in the upcoming week, with a rain band forecast to move across the state from the west, bringing significant rainfall to he northern inland and northwestern slopes, said Agata Imielska of the Bureau of Meteorology. The worst-affected areas could see rain totals more than four times the March monthly average falling in just two days.

Flooding on the Hawkesbury River, which runs north and west of Sydney, is expected to be as bad as a similar event that occurred in 1961, according to a statement from the Bureau of Meteorology.

More than 130 schools in New South Wales will close on Monday, with some requiring ""maintenance and repair,"" according to a press release from local officials.

Wednesday will be the first day of some reprieve, with rains expected to lighten into showers.","Sun, 21 Mar 2021 07:00:00 GMT",https://cdn.cnn.com/cnnnext/dam/assets/210320235600-01-australia-floods-0320-super-tease.jpg,"['nsw', 'natural', 'residents', 'lost', 'floods', 'rains', 'declare', '100', 'sydney', 'event', 'australia', 'emergency', 'parts', 'flood', 'state', 'homes', 'disaster']",,flood
2,2,FL-2021-000025-AUS,40% of Australia's entire population under severe weather warnings covering an area the size of Alaska - CNN,https://www.cnn.com/2021/03/23/australia/flood-nsw-queensland-torrential-rain-intl-hnk/index.html,"Australian authorities issued fresh flood warnings and evacuation orders on Tuesday as torrential rains again pummeled several parts of the country, sweeping away homes, roads and livestock in the worst downpour in more than half a century.

The national weather agency has posted severe weather warnings in every mainland state or territory but one, affecting about 10 million people in the country of 25 million, across an area the size of Alaska.

""The rain and flood situation does remain dynamic and extremely complex,"" Prime Minister Scott Morrison told reporters.

No deaths were reported, but thousands of people have been rescued by emergency services in recent days. About 18,000 people have been evacuated with authorities expecting about 15,000 others to join them.

Images shared on social media showed entire bridges washed away, stranded animals and submerged homes in New South Wales, the most populous and most affected state.

Read More","Tue, 23 Mar 2021 07:00:00 GMT",https://cdn.cnn.com/cnnnext/dam/assets/210323005626-01-australia-flooding-0323-restricted-super-tease.jpg,"['authorities', 'washed', 'alaska', 'worst', 'weather', 'floods', 'severe', 'covering', 'country', 'million', 'away', 'australia', 'warnings', 'size', 'flood', 'homes', 'area']",,flood
3,3,FL-2021-000025-AUS,2 trapped drivers become first Australian flood fatalities - ABC News,https://abcnews.go.com/International/wireStory/trapped-sydney-driver-flood-disaster-fatality-76646937,"Two men trapped in vehicles have become the first fatalities of record flooding on Australia’s east coast

CANBERRA, Australia -- Two men trapped in vehicles hundreds of kilometers (miles) apart have become the first fatalities of record flooding on Australia's east coast.

A car got trapped in floodwater northwest of Sydney at dawn Wednesday and emergency services later recovered it with a body inside, officials said. The body, believed to be that of a 25-year-old Pakistani national, has yet to be formally identified.

An emergency crew later retrieved the body of David Hornman from an upturned pickup truck in a flooded creek 680 kilometers (420 miles) north near Gold Coast city in Queensland state, police said. The 38-year-old was last seen Monday.

While rain has eased across New South Wales and southern Queensland, flooding has persisted. Most rivers had peaked by Thursday, but 20,000 people were still evacuated from their homes, New South Wales Premier Gladys Berejiklian said.

Emergency services have made hundreds of rescues since the flooding began last week. Parts of New South Wales, Australia’s most populous state, have received one-in-50-year and one-in-100-year rainfall records in the past week.

Insurance companies expect the damage in New South Wales to exceed 1 billion Australian dollars ($760 million).

Before the Queensland death was reported, Prime Minister Scott Morrison expressed the Parliament’s condolences to the family of the man who died in the rural suburb of Sydney.

Morrison reflected on the state’s recent struggles — years of drought across most of the state culminated in catastrophic wildfires last summer. The fires were followed by the coronavirus pandemic and now record floods.

“We have seen so much over the course of the past year and more as this country has battled so many things — floods, fires, viruses, drought and now these floods again,” Morrison told Parliament.

In the Vatican, Pope Francis offered encouragement in the aftermath of the Australian flooding.

“In the past days, great floods have caused serious damage in New South Wales,” Francis said in his customary Wednesday remarks to the faithful.

“I stand close to the people and the families hit by this calamity, especially those who saw their houses destroyed. I encourage those who are helping to look for the dispersed and to bring their support,” he added.

A flotilla of boats was delivering crucial supplies to isolated communities on the flooded Hawkesbury River northwest of Sydney and ferrying stranded residents to safety.

Morrison took a flight over the river to survey the damage Wednesday.

“The expanse of water that went right across that region was quite devastating to see and to see the homes, only their roofs and those of out sheds,” Morrison said.

Cabinet Minister Peter Dutton said more than 700 defense personnel would soon be deployed as the floods recede to help people return to their homes and businesses as quickly as possible.","Wed, 24 Mar 2021 07:00:00 GMT",https://s.abcnews.com/images/International/WireAP_c5260be5bcb145afaa99bce89177ab75_16x9_992.jpg,"['past', 'queensland', 'morrison', 'fatalities', 'australian', 'trapped', 'floods', 'record', 'drivers', 'wales', 'flooding', 'flood', 'south', 'state']",,flood
4,4,FL-2021-000025-AUS,Australia floods: Saving a home from fires only to lose it in floods - BBC News,https://www.bbc.com/news/world-australia-56479546,"Many of the same farm and bushland areas that were ablaze last year have been hit by the recent floods. Among them are regions north and west of Sydney, the New South Wales Mid-North Coast, and south-east Queensland. Some 10 million people remained under a weather warning on Monday and about 18,000 had been evacuated around New South Wales.","Wed, 24 Mar 2021 07:00:00 GMT",https://ichef.bbci.co.uk/news/1024/branded_news/5620/production/_117684022_firetoflood.png,"['remained', 'saving', 'southeast', 'recent', 'weather', 'floods', 'lose', 'warning', 'sydney', 'australia', 'regions', 'wales', 'fires', 'west', 'south']",,none
5,5,FL-2021-000025-AUS,Video shows inundated towns after historic flooding in Australia - CNN,https://www.cnn.com/videos/world/2021/03/22/nsw-floods-australia-video-lon-orig-tp.cnn,"Thousands of people have been evacuated in Australia's New South Wales after parts of the state have been battered by record rainfall that led to historic flooding.

Source: CNN","Mon, 22 Mar 2021 07:00:00 GMT",https://cdn.cnn.com/cnnnext/dam/assets/210323134921-australia-flooding-march-22-super-tease.jpg,"['video', 'nsw', 'historic', 'led', 'shows', 'inundated', 'floods', 'rainfall', 'towns', 'record', 'floodingsource', 'wales', 'australia', 'parts', 'flooding', 'thousands', 'south', 'state']",,none
6,6,FL-2021-000025-AUS,Aerial videos show the devastation after historic floods in Australia - CNN,https://www.cnn.com/videos/world/2021/03/26/drone-footage-floods-heavy-rainfall-destruction-australia-lon-orig-na.cnn,"Clean up efforts are underway after torrential rains and floods inundated parts of the country for days, leaving at least one person dead and extensive damage behind.

Source: CNN","Fri, 26 Mar 2021 07:00:00 GMT",https://cdn.cnn.com/cnnnext/dam/assets/210326182834-flood-damage-video-thumbnail-lon-orig-na-super-tease.jpg,"['video', 'parts', 'shown', 'torrential', 'underway', 'inundated', 'floods', 'extensive', 'australia', 'efforts', 'person', 'footage', 'devastation', 'rains', 'leaving', 'aerial']",,none
7,7,FL-2021-000025-AUS,In photos: Millions under severe weather warnings amid Australia floods - Axios,https://www.axios.com/australia-floods-thousands-evacuated-photos-db726016-da45-487f-9e5e-8469868b296b.html,"Heavy rains and flooding pummeling Australia's east coast that have forced thousands to evacuate are set to continue for at least another day, forecasters warn.

The big picture: Rains have lashed New South Wales and southeast Queensland since last Thursday. Prime Minister Scott Morrison told reporters 18,000 people were under evacuation orders and the situation remained ""dynamic,"" with western Sydney the area of ""greatest concern."" A natural disaster was declared in 16 areas.

A tweet previously embedded here has been deleted or was tweeted from an account that has been suspended or deleted.

An aerial view of flooded structures on the Colo River in Colo, northwest of Sydney on March 23. Federal government agency the Bureau of Meteorology has issued severe weather warnings for every state and territory except Western Australia, affecting some 10 million people — 40% of Australia's population. Photo: Jenny Evans/Getty Images

An aerial view of flooded structures on the Colo River in Colo, northwest of Sydney, March 23. Morrison said while the rains were expected to ease by late Wednesday, the flood threat would remain. Photo: Jenny Evans/Getty Images

A flooded reserve in Colo on March 23. There have been reports of snakes, spiders and other animals taking refuge in people's homes. Photo: Jenny Evans/Getty Images

People beside a flooded road in the Windsor area of Sydney on March 23. The Insurance Council of Australia declared a catastrophe for parts of NSW, enabling insurers to prioritize responses. Photo: Saeed Khan/AFP via Getty Images

Sydney's Windsor Bridge is submerged under rising floodwaters, March 22. NSW Premier Gladys Berejiklian told reporters, ""I don't know any time in state history where we have had these extreme weather conditions ... in the middle of a pandemic."" Photo: Lisa Maree Williams/Getty Images

A worker beside a main road inundated by floodwaters in Richmond on March 22. Photo: Saeed Khan/AFP via Getty Images

The overflowing banks of Sydney's Parramatta River March 22. Photo: Saeed Khan/AFP via Getty Images

Heavy flooding in McGraths Hill, Sydney, March 22. Photo: Brook Mitchell/Getty Images

A road is made impassable by recent rainfall on March 22 in Byron Bay, NSW, near the Queensland border. Photo: James D. Morgan/Getty Images

Flooded farmland near Lennox Head, NSW, near the state border with Queensland, on March 22. Photo: James D. Morgan/Getty Images

Surfers take to the water during heavy rains in Byron Bay on March 21. Photo: James D. Morgan/Getty Images

Editor's note: This article has been updated with more photos and further details on the severe weather.","Tue, 23 Mar 2021 07:00:00 GMT",https://images.axios.com/Qg9zq6iZw_-Ml_R4y-082NgP4so=/0x0:3302x1857/1366x768/2021/03/23/1616479066878.jpg,"['heavy', '23', '22', 'nsw', 'amid', 'floods', 'flooded', 'rains', 'state', 'concern', 'saeed', 'photos', 'western', 'colo', 'weather', 'rainfall', 'sydney', 'australia', 'greatest']",,flood
8,8,FL-2021-000025-AUS,See video of 'life-threatening' floods in Australia - CNN,https://www.cnn.com/videos/world/2021/03/22/australia-floods-natural-disaster-declared-new-south-wales-ctw-intl-ldn-vpx.cnn,"More than 18,000 people have been evacuated from their homes in Australia's New South Wales (NSW) as heavy rains and major flooding continue to inundate the state, causing some areas to resemble ""inland seas."" Up to 38 places across the state are regarded as natural disaster areas and 19 evacuation orders have been issued, NSW Premier Gladys Berejiklian said in a news conference.","Mon, 22 Mar 2021 07:00:00 GMT",https://cdn.cnn.com/cnnnext/dam/assets/210322162544-australia-floods-nine-news-australia-lkl-super-tease.jpeg,"['lifethreatening', 'video', 'nsw', 'seas', 'floods', 'regarded', 'premier', 'areas', 'wales', 'watch', 'australia', 'rains', 'resemble', 'south', 'state']",,none
9,9,FL-2021-000025-AUS,"Flooding Inundates Australia’s Coal Mines and Farms, a Year After Wildfires Raged - The Wall Street Journal",https://www.wsj.com/articles/flooding-inundates-australias-coal-mines-and-farms-a-year-after-wildfires-raged-11616498507,,"Tue, 23 Mar 2021 07:00:00 GMT",,[],,flood
