,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,category
0,0,FL-2021-000030-IDN,41 killed in landslides and floods in Indonesia; dozens missing - NBC News,https://www.nbcnews.com/news/world/41-killed-landslides-floods-indonesia-dozens-missing-n1262997,"JAKARTA, Indonesia — Landslides and flash floods from torrential rains in eastern Indonesia killed at least 41 people and displaced thousands, the country's disaster relief agency said Sunday. More than two dozen others were still missing.

Mud tumbled down from surrounding hills onto dozens of homes in Lamenele village shortly after midnight on Adonara island in East Nusa Tenggara province. Rescuers recovered 35 bodies and at least five injured, said Lenny Ola, who heads the local disaster agency.

Flash flooding killed at least six people elsewhere, according to the National Disaster Mitigation Agency. Relief efforts were hampered by power cuts, blocked roads covered in thick mud and debris as well as the remoteness of the area surrounded by choppy seas and high waves, said the agency's spokesperson, Raditya Jati.

A flash flood swept through the town of Adonara in East Flores, Indonesia, on April 4, 2021. Joy Christian / AFP - Getty Images

Seasonal downpours cause frequent landslides and floods, killing dozens each year in Indonesia, a chain of 17,000 islands where millions of people live in mountainous areas or near fertile flood plains.

Indonesia's disaster agency lowered the death toll late Sunday to 41 — down from 44 — after search and rescue team reverified victims’ data. At least 27 people were still missing.

The bodies of three people were recovered after being swept away by floods in Oyang Bayang village, where 40 houses were also destroyed, Ola said. Hundreds of people fled submerged homes, some of which were carried off by the floodwaters.

In another village, Waiburak, three people were killed and seven remained missing when overnight rains caused rivers to burst their banks, sending muddy water into large areas of East Flores district, Ola said. Four injured people were being treated at a local health clinic.

Hundreds of people were still involved in the rescue efforts as of late Sunday, Jati told a press conference. At least six villages have been affected by flash floods and a landslide that cut five bridges on the island, he said.

Photos released by the agency showed rescuers and police and military personnel taking residents to shelters.

Authorities were still collecting information about the full scale of casualties and damage in the affected areas, Jati said. Severe flooding also has been reported in Bima, a town in the neighboring province of West Nusa Tenggara, forcing nearly 10,000 people to flee.

In January, 40 people died in two landslides in West Java province.","Sun, 04 Apr 2021 07:00:00 GMT","https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2021_13/3462107/210404-flood-indonesia-jm-1440.jpg","['landslides', '41', 'disaster', 'killed', 'missing', 'indonesia', 'flash', 'dozens', 'village', 'ola', 'province', 'agency', 'floods']",flood
1,1,FL-2021-000030-IDN,Plan Indonesia Provides Aid to 2700 Families of Flood Survivors in Greater Jakarta and Karawang Area - Indonesia - ReliefWeb,https://reliefweb.int/report/indonesia/plan-indonesia-provides-aid-2700-families-flood-survivors-greater-jakarta-and,"Following days of heavy rain that poured since Friday (19/2), at least 13 locations were hit with floods in the Greater Jakarta (Jabodetabek) and Karawang area. The National Disaster Mitigation Agency (BNPB) reported that 46,772 families which consisted of 176,157 people were affected, and 31,396 survivors were evacuated from their homes. It was reported on February 22nd that two people were missing and there were five casualties in this disaster. Days after the initial rain, several areas were still flood-stricken, where the water levels reached up to 10-260 cm in Karawang and up to 40-250 centimetres (cm) in Bekasi.

Yayasan Plan International Indonesia (Plan Indonesia) took swift mitigation measures. Alongside the national disaster cluster, BNPB, and the ASEAN Coordinating Centre for Humanitarian Assistance on Disaster Management (AHA Centre), Plan Indonesia monitored the situation closely and allocated the needed assistance for the flood survivors.

Following the Rapid Need Assessment that was conducted from February 22nd -23rd, Plan Indonesia worked to fill the gap of aid for the flood survivors. The efforts were focused on those who lived in Bekasi and Karawang regencies, the two areas that remained flood-stricken even after days of the initial rain.

During the span of this emergency response period (24 February-10 March 2021), Plan Indonesia has managed to distribute a set of emergency shelter tool kit (tarpaulins, blankets, mats, ropes) as well as family hygiene kit (bucket, toiletries, diapers, sanitary pads, sarong, baby clothes, and detergent). The aid was distributed to 2,700 families or 8,244 beneficiaries in Bekasi and Karawang regencies, with the following details:

5,173 adults (2,613 men, 2,560 women) 1,484 children (743 boys, 741 girls) 187 babies (76 boys, 111 girls) 717 infants (321 boys, 396 girls) 663 elderly people (339 men, 324 women)

This emergency response is part of Plan Indonesia’s Humanitarian & Resilience Program, which serves as one of the organization’s main pillar activities. Plan Indonesia has been consistently carrying out emergency responses to help affected survivors, in partnership with local government agencies and other relevant parties. The activity is typically carried out during a natural disaster, such as when an earthquake, tsunami, or floods occurs. It is also carried out when other types of disaster, such as the COVID-19 pandemic happen.

As an organization that strives for the fulfilment of child rights and equality for girls, Plan Indonesia prioritizes the needs and protection of children and their families in every emergency response. Especially, as children, women, and people with disabilities become more susceptible to threats in a situation that forces them to evacuate.","Thu, 01 Apr 2021 07:00:00 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1561805-Plan%20Indonesia%20-%20Emergency%20Flood%20Response%20Short%20Report%20%28Infographic%29%20%281%29.png?itok=BC1Upbjo,"['families', 'girls', 'response', 'disaster', 'karawang', 'indonesia', 'jakarta', 'greater', 'provides', 'flood', 'emergency', 'survivors', 'area', 'days', 'plan']",flood
2,2,FL-2021-000030-IDN,Flash floods and landslides kill more than 40 people in Indonesia and East Timor - South China Morning Post,https://www.scmp.com/video/asia/3128326/flash-floods-and-landslides-kill-more-40-people-indonesia-and-east-timor,,"Sun, 04 Apr 2021 07:00:00 GMT",https://cdn.i-scmp.com/sites/default/files/styles/700x400/public/d8/video/images/2021/04/05/indoflood.jpg?itok=OCukzZO9,"['kill', 'landslides', 'timor', 'flash', 'indonesia', 'east', '40', 'floods']",none
3,3,FL-2021-000030-IDN,"Indonesia flash floods kill 44, toll expected to grow - 台北時報",https://www.taipeitimes.com/News/front/archives/2021/04/05/2003755102,"Indonesia flash floods kill 44, toll expected to grow

WIDESPREAD: Floods killed an additional two people in the province of West Nusa Tenggara, while overflowing dams engulfed nearly 10,000 residences

AFP, JAKARTA





At least 44 people were killed after flash floods and landslides swept an island in Indonesia’s easternmost province yesterday morning, rescue officials said, adding that they expected the toll to rise.

“There are 44 people dead, with nine injured” in East Flores Regency and “many ... are still under the mud,” Indonesian National Disaster Mitigation Agency spokesperson Raditya Jati told reporters.

Hours before people woke to celebrate Easter Sunday, torrential rain unleashed flash floods in the Catholic-majority Flores Island.

The aftermath of a flash flood in the village of Lamanele, Indonesia, yesterday. Photo: AFP / Indonesian National Board for Disaster Management (BNPB)

Mud inundated homes, while bridges and roads in the eastern end of the island were destroyed.

Rescuers were struggling to reach the remote and worst-hit area in East Flores because of rains and strong waves.

The death toll rose from 23 earlier announced by authorities.

The number of injured is also expected to increase as the agency is still receiving reports from locals, Jati said.

“We are still documenting the total number of people injured,” the spokesperson said, adding that extreme weather is expected to continue in the coming week.

Separately yesterday, major floods also killed two people in Bima city in the neighboring province of West Nusa Tenggara, the disaster agency said.

Dams in four subdistricts also overflowed, submerging nearly 10,000 houses in Bima following a nine-hour downpour, Jati said.

Fatal landslides and flash floods are common across the Indonesian archipelago during the rainy season.

In January, flash floods hit the Indonesian town of Sumedang in West Java, killing 40 people.

In September last year, at least 11 people were killed in landslides on Borneo, while a few months earlier dozens died in a similar disaster in Sulawesi.

Deforestation is often a cause of the landslides, environmentalists have said.

The country’s disaster agency has estimated that 125 million Indonesians — nearly half of the country’s population — live in areas at risk of landslides.","Mon, 05 Apr 2021 07:00:00 GMT",https://www.taipeitimes.com/images/2021/04/05/P01-210405-321.jpg,"['kill', 'landslides', 'grow', 'toll', 'expected', 'disaster', 'killed', 'flash', 'indonesia', 'indonesian', '44', 'yesterday', 'agency', 'floods', 'west']",flood
4,4,FL-2021-000030-IDN,Act now to protect Indonesia's sinking cities from climate change - Thomson Reuters Foundation,https://news.trust.org/item/20210329163742-dj8lq/,"* Any views expressed in this opinion piece are those of the author and not of Thomson Reuters Foundation.

Heavy groundwater extraction, compounded by worsening floods as the climate warms, raises the prospect of lost land and forced relocation

Last month the Indonesian city of Pekalongan trended in the global media when severe river flooding caused a leak from a textile factory, turning the water a surreal blood red.

Bizarre scenes followed as children and people on motorbikes waded through the crimson waters, like a scene from an apocalyptic horror movie.

Had it not been for the arresting images, this would have been ‘just another’ under-reported local flooding event. But for the people in the area the reality is much starker, more chilling and potentially devastating.

This is because Pekalongan City and Regency, home to 1.2 million people, is sinking; just like the much larger metropolis to the west, Jakarta the capital of Indonesia.

As a result, the Indonesian government is faced with tough choices and in the case of Jakarta has plans to move the capital to the less populated island of Borneo at the cost of tens of billions.

Sinking cities, relocating millions of people and essential infrastructure. These are drastic measures, and at Mercy Corps we’re concerned with what’s causing them to sink.

In Pekalongan at least, excessive ground water extraction has led to rapid land subsidence. We know from our own research that land subsidence is occurring due to poor coastal management planning. The lack of clean water services is driving over-extraction of groundwater by communities and businesses.

The rapid and significant rate of subsidence has led to some areas of the Northern Java coast becoming water basins, with the land below sea level. In turn this has led to chronic and sometimes irreversible impacts of flooding, such as land permanently swamped with water.

Combine this with more intense weather-related hazards like flooding fuelled by the climate emergency and the prospect is permanently lost land as well as ruined lives and livelihoods.

In fact, since 2011, nearly 700 hectares of land in Pekalongan City and Regency previously used for farming and aquaculture is now permanently inundated. And as we reveal, by 2035, 90% of the city will be covered by water.

As land is lost, demand for fresh drinking water and food will increase, not least because the local population is growing by about 1% a year.

Villages in Pekalongan Regency have already been partially lost, too.

In one village called Semut, a total of 15 hectares is water-covered due to tidal flooding. The villagers wrestle daily with tidal floods and during peak season the water reaches 5 metres above sea level, forcing people to evacuate.

As you’d expect, this makes life for these people unbearable. It causes economic and non-economic losses, for example biodiversity, assets, cultural heritage, and health.

STARK CHOICES

Something must be done and we’re acting.

Through the Zurich Flood Resilience Alliance program, Mercy Corps Indonesia works with the Pekalongan City and Regency governments to promote evidence-based policy making and program development.

Together we provide insight into how poorly planned development activities, like groundwater dependence for water supply in downstream areas, exacerbates flood impacts.

We also shed light on how current development practices in the downstream and coastal areas intensify the impact of city flooding.

All of this has serious implications for people’s lives and livelihoods. We expect to see a 100-fold increase in residential areas flooded in Pekalongan City and Regency in the next 15 years.

These alarming predictions leave the Pekalongan governments with some stark choices on how to deal with the loss of productive land and assets.

At a minimum they need a water resource strategy to reduce the rate of land subsidence; as well as plans to limit the impact of destructive water force in downstream and coastal areas and adapt to irreversible losses.

In addition, an environmental health strategy is needed to improve the quality of city-wide sanitation; not to mention social and economic blueprints to coastal communities and the fisheries sector. What’s also needed is a plan to promote better water and disaster management.

The severe flooding and loss of valuable land in Pekalongan should alarm the authorities of other coastal cities globally. They face uncertain and unpredictable futures due to climate change, too.

Assessments like our climate risk and impact analysis can provide evidence for decision-makers to better understand current and future risks. It can enable evidence-based policy and program development that sees climate financing (which is massively under-funded and not invested where it’s needed most, our research revealed) as an investment for sustainable solutions.

Communities face a difficult decision – to transform their livelihoods to continue living in flooded areas, or to relocate. Moving away from homelands with deep cultural and socio-economic ties is not a preferred decision for many. Decisions on who will be relocated, when and how will require evidence, cooperation, and transparency in decision-making and planning.

For communities to adapt to the environment, local officials and national-level governments need to make hard choices about how and where to invest in technology and nature-based solutions to protect people and the environment from more intense and severe flood events.

Will we rise to this challenge before rising sea-levels swallow coastal cities? Only time will tell.

Denia Syam is manager of the Zurich Flood Resilience Alliance program at Mercy Corps Indonesia. Yoko Okura is Asia climate change advisor and regional manager for the Zurich Flood Resilience Alliance at Mercy Corps.","Tue, 30 Mar 2021 07:00:00 GMT","https://d8zcwdvc14g2e.cloudfront.net/contentAsset/image/f2268c22-e2af-4ec6-a9a0-7a662165f8ed/image/byInode/1/filter/Resize,Jpeg/jpeg_q/70/resize_w/1100","['change', 'areas', 'pekalongan', 'coastal', 'regency', 'climate', 'sinking', 'city', 'flood', 'flooding', 'land', 'cities', 'protect', 'indonesias', 'act', 'water']",none
5,5,FL-2021-000030-IDN,"Indonesian flash flooding kills 41 people while a child, two, dies from landslide in severe weather event - 7NEWS.com.au",https://7news.com.au/weather/severe-weather/deadly-floods-landslides-in-indonesia-c-2513084,"Flash floods unleashed by torrential rains have killed 41 people on the Indonesian island of Flores, the disaster management agency BNPB says, and at least three more were reported killed in neighbouring East Timor.

At least 49 families were hit on Flores, in the east of Indonesia’s sprawling archipelago, Raditya Jati, a BNPB spokesman said in a statement on Sunday.

“Dozens of houses were buried in mud in Lamanele village... residents’ houses washed away by the flood,” Raditya said, referring to the eastern part of Flores.

On Adonara island to the east of Flores, a bridge collapsed and rescuers were battling heavy rain, strong wind and waves, he added.

In neighbouring East Timor, a two-year-old child was among at least three people killed in a landslide on the outskirts of the capital, Dili, a Reuters witness said, although there was no official toll of casualties or deaths.

Landslides and flash floods have killed a number of people in Indonesia. Credit: AP

“Heavy rains and overflowing water have drowned people’s homes and have also claimed the lives of several victims,” East Timor deputy prime minister Jose Reis said in a statement.

“There are roads that have collapsed, trees have fallen, and made it difficult to access some areas,” he said, calling the incident the worst in East Timor in 40 years.

Power supplies were cut and the presidential palace was flooded as heavy rain and strong winds have lashed Dili since late on Saturday.

People inspect damaged buildings at a village hit by flash flood in East Flores, Indonesia, Sunday, April 4, 2021. Credit: Ola Adonara / AP

Civil protection officials in East Timor could not immediately be reached for comment. Social media posts showed collapsed buildings and vehicles submerged by flash floods.

Indonesia’s weather agency said a tropical cyclone was approaching the Savu Straits between the southern part of Nusa Tenggara province and East Timor’s north coast, warning that it could bring yet more rain, waves and winds.","Sun, 04 Apr 2021 07:00:00 GMT",https://images.7news.com.au/publication/C-2513084/d1b907920555709f63b48037b889e53c66671d64-16x9-x0y0w1280h720.jpg?imwidth=1200,"['rain', 'flores', 'waves', 'timor', 'flash', 'flooding', 'kills', 'winds', 'east', 'indonesian', 'weather', 'village', 'severe', 'dies', 'landslide', 'killed', 'collapsed', 'event', 'child']",flood
6,6,FL-2021-000030-IDN,RSPO: How oil palm plantations can reduce flood risk - The Jakarta Post - Jakarta Post,http://www.thejakartapost.com/adv/2021/03/29/rspo-how-oil-palm-plantations-can-reduce-flood-risk.html,"Share this article Whatsapp

Facebook

Twitter

Linkedin Inforial (The Jakarta Post) - ● Mon, March 29, 2021 06:00 52 559f5bc8c5224ad06a25184c0a3184dc 4 Inforial Free

The recent widespread flooding from heavy rainfall which hit the provinces of South and East Kalimantan have caused concern among many, with some environmentalists attributing the disaster to the expansion of oil palm plantations.

What is the actual root of the problem? Is it possible for oil palm growers to participate in environmental conservation to reduce potential flood risks? If so, how?

While acknowledging the devastating consequences of the flooding disaster on communities in the two provinces, as well as other areas across Indonesia, the Roundtable on Sustainable Palm Oil (RSPO) says that large-scale land use conversion is one factor that contributes to increasing severity of floods.

“This may include deforestation, destruction of floodplains, and construction of flood dams and drainage channels,” says Tiur Rumondang, RSPO Assurance Director.

Research by the World Resource Institute (WRI) Indonesia has found that the factors most commonly responsible for flooding in Indonesia are tree cover loss, excessive rainfall and topographical conditions.

A separate report by the emergency response team of the National Institute of Aeronautics and Space (LAPAN) indicates excessive rainfall as the major cause of flooding disasters. It also adds that land use conversion in the past decade could be a contributing factor, noting a decline in primary and secondary forests, rice fields and shrub groves in 2010-2020.

“Palm oil produced in an unsustainable way can lead to the widespread destruction of tropical forests,” Tiur asserts, adding that excessive rainfall can affect oil palm production.

“Oil palm trees are capable of withstanding temporary flooding, but waterlogged conditions can damage plantations,” she says.

Tiur explains that the RSPO’s sustainability principles, which all members must adhere to in operating their oil palm plantations, can protect the environment and can also contribute to reducing flood risk.

As enshrined in the 2018 RSPO Principles and Criteria (P&C), multistakeholder non-profit emphasises the importance of “Ecosystem Preservation as a Pillar to establish Co-existence between Palm Oil and Environment”.

The preservation of ecosystems and their essential services is a core tenet of the RSPO P&C 2018 standards, says Tiur.

“These are organised into three impact areas, Prosperity, People, Planet, each with their own set of principles.

“Under Planet, Principle 7 sets out the commitment to protect, conserve and enhance ecosystems and the environment. This means our members are responsible for protecting the environment, conserving biodiversity and ensuring the sustainable management of natural resources,” she explains.

She further elaborates: “It includes criteria around preventing the degradation of soil, using topographic information to guide the planning of drainage and irrigation systems, and ensuring that land clearing does not cause deforestation. All of which are important in mitigating flood risk.”

Since the first P&C was adopted in November 2007, the standards have been reviewed every five years and the latest iteration was adopted in 2018.

Tiur says that RSPO can help to reduce flood risk by addressing the first factor: tree cover loss.

“Under the RSPO P&C 2018, all our members [certified or not] have committed to a total ban on deforestation,” she says. “This prohibits the conversion of tropical rainforests for oil palm plantations and ensures that land clearing doesn’t cause deforestation. This is why we take our responsibility to monitor members’ commitment to the P&C 2018 very seriously.”

The RSPO has worked continuously over the past 10 years to develop a set of standards that ensure the sustainable production of palm oil, she underlines.

According to Tiur, the P&C 2018 includes a total ban on deforestation and requires oil palm growers to protect and conserve High Conservation Value (HCV) areas, High Carbon Stock (HCS) forests and rare, threatened or endangered (RTE) species.

“To ensure the responsible development of new land for oil palm cultivation, we introduced the New Planting Procedure in 2009. This framework was further updated in 2015 to include a set of assessments and verification activities to be conducted by growers and certification bodies before any new oil palm development commences.

“These are designed to ensure that oil palm plantings do not negatively affect primary forests, HCV areas, HCS areas, fragile and marginal soil, or people’s land,” she says.

Strict verification process

Meanwhile, RSPO Indonesia Assurance Manager, Djaka Riksanto explains that palm oil producers members of the RSPO are certified through a strict verification process by accredited certification bodies. Further, he says that “this certification can be withdrawn at any time in case of infringement of the rules and standards”.

According to Djaka, grower members are assessed annually for continued compliance.

“To ensure the credibility of the sustainability claim at the end of the supply chain, all organisations that take legal ownership and physically handle RSPO-certified sustainable palm oil products need to be supply chain certified,” he says.

“For our smallholder members, we have designed the RSPO Independent Smallholder Standard to support [them] towards certification. This seeks to increase the inclusion of smallholders into the RSPO system through a mechanism which takes into consideration the diversity in challenges and situations faced by smallholders,” Djaka adds.

According to Tiur, the RSPO will continue to address the environmental challenges associated with unsustainable palm oil production that require urgent collective action, like flooding.

“Every stakeholder in the palm oil supply chain – from growers to investors to manufacturers to consumers – has a shared responsibility to ensure that palm oil production does not harm our environment or local communities,” she says. “In this respect, RSPO continues to strengthen its commitment to transparency and accountability.”

Djaka adds that since 2013, all RSPO grower members, certified or not, have been required to submit concession maps. However, to respect the decision by the Government of Indonesia that considers such information as Government own legal documents and not to make it public by foreign organisation such as RSPO, we exclude this information from our map platform GeoRSPO. The Government of Indonesia also stated that they are in a process to create a data protocol to allow future transparency and we are still waiting for such further actions.","Mon, 29 Mar 2021 07:00:00 GMT",https://img.jakpost.net/c/2021/03/26/2021_03_26_111750_1616764778._large.jpg,"['ensure', 'members', 'pc', 'risk', 'reduce', 'indonesia', 'flood', 'flooding', 'oil', 'rspo', 'land', 'palm', 'plantations']",none
7,7,FL-2021-000030-IDN,Thousands of houses flooded in Indonesia's East Java; more than 11000 people displaced - The Star Online,https://www.thestar.com.my/aseanplus/aseanplus-news/2021/04/03/thousands-of-houses-flooded-in-indonesia039s-east-java-more-than-11000-people-displaced,"JAKARTA, April 3 (Xinhua): Thousands of houses are still submerged by floods in Indonesia's East Java province but the waters have been receding and a number of evacuees have returned home, according to the National Disaster Management Agency on Saturday.



The agency's spokesman Raditya Jati said the floods are still inundating houses in Pasuruan district.



""The water level now is around 20 to 50 centimeters high. Yesterday it reached 80 centimeters high,"" Jati noted.



He said it rained heavily on Friday, causing the Wrati, Patuk, and Kedung Larangan rivers to overflow.



As of Friday 11,880 people had been displaced, and some have returned homes now.



On Saturday (April 3), the Meteorology, Climatology, and Geophysics Agency said that there were two tropical cyclones namely 90S in the Indian Ocean southwest of Sumatra Island and 99S in the Savu Sea, East Nusa Tenggara.



""Both the tropical cyclones will strengthen in the next 24 hours,"" the agency's deputy for Meteorology Guswanto said.



The agency warned of heavy rainstorms and strong winds in most parts of Indonesia for the next week. - Xinhua

Article type: metered User Type: anonymous web User Status: Campaign ID: 46 Cxense type: free User access status: 3","Sat, 03 Apr 2021 07:00:00 GMT",https://apicms.thestar.com.my/uploads/images/2021/04/03/1100579.jpg,"['type', 'status', 'displaced', 'returned', 'thousands', 'java', 'houses', 'meteorology', 'east', '11000', 'tropical', 'user', 'jati', 'high', 'indonesias', 'agency', 'flooded']",flood
8,8,FL-2021-000030-IDN,"Jokowi Expresses Condolences after Flash Floods in NTT, NTB - Tempo.co English",https://en.tempo.co/read/1449332/jokowi-expresses-condolences-after-flash-floods-in-ntt-ntb,"TEMPO.CO, Jakarta - President Joko ""Jokowi"" Widodo offered his condolences after the flash floods that hit East Nusa Tenggara (NTT) and West Nusa Tenggara (NTB) on Sunday, April 4, 2021. The National Disaster Mitigation Agency (BNPB) said that at least 44 people died in the disaster.

“On behalf of me and all the people of Indonesia, I would like to express my deep condolences to the victims who died in this tragedy. I also understand the sadness experienced by our brothers and sisters due to the impact of this disaster,” said the President as published in the Presidential Secretariat’s YouTube channel on Monday, April 5, 2021.

He said that he has ordered the BNPB Head Doni Monardo, the National Search and Rescue Agency (Basarnas) Head Henri Alfiandi, Social Affairs Minister Tri Rismaharini, Health Minister Budi Gunadi Sadikin, Public Works and Housing Minister Basuki Hadimuljono, the Indonesian Military Commander Marshal Hadi Tjahjanto, and National Police Chief General Listyo Sigit Prabowo to evacuate victims and deal with the impacts of the flash floods quickly.

“I want quick disaster mitigation, such as health care assistance, logistics availability, and basic necessities for the evacuees, as well as infrastructure repair,” he said.

Jokowi then appealed to all people to follow the instruction of officers in the field and stay vigilant over floods and landslides caused by extreme rainfall in recent times. “Pay attention to early warnings issued by BMKG and regional officials,” he asserted.

Read: Flood Claims 2 Lives, Affects 27,808 People in Bima's 29 Villages



EGI ADYATAMA","Mon, 05 Apr 2021 07:00:00 GMT",https://statik.tempo.co?id=981536&width=650,"['victims', 'ntb', 'health', 'disaster', 'flash', 'jokowi', 'minister', 'ntt', 'president', 'tenggara', 'condolences', 'nusa', 'mitigation', 'national', 'floods', 'expresses']",flood
9,9,FL-2021-000030-IDN,Thousands of houses still submerged in Indonesias East Jawa province - Business Standard,https://www.business-standard.com/article/international/thousands-of-houses-still-submerged-in-indonesia-s-east-jawa-province-121040400175_1.html,"Thousands of houses still remain submerged by in Indonesia's East Java province, but the waters have been receding and a number of evacuees returned home, according to the National Disaster Management Agency.

Agency spokesman Raditya Jati on Saturday said houses in Pasuruan district were still inundated with flood waters, reports Xinhua news agency.

""The water level now is around 20 to 50 cm high. Yesterday it reached 80 cm high,"" Jati noted.

He said it rained heavily on Friday, causing the Wrati, Patuk, and Kedung Larangan rivers to overflow.

As of Friday, 11,880 people had been displaced, and some have returned homes now.

On Saturday, the Meteorology, Climatology, and Geophysics Agency said that there were two tropical cyclones namely 90S in the Indian Ocean southwest of Sumatra Island and 99S in the Savu Sea, East Nusa Tenggara.

""Both the tropical cyclones will strengthen in the next 24 hours,"" the agency's deputy for Meteorology Guswanto said.

The agency warned of heavy rainstorms and strong winds in most parts of for the next week.

--IANS

ksk/

(Only the headline and picture of this report may have been reworked by the Business Standard staff; the rest of the content is auto-generated from a syndicated feed.)","Sun, 04 Apr 2021 07:00:00 GMT",https://bsmedia.business-standard.com/_media/bs/img/article/2021-03/29/full/1616990483-6034.jpg,"['cyclones', 'high', 'jawa', 'returned', 'thousands', 'houses', 'meteorology', 'waters', 'east', 'tropical', 'cm', 'province', 'indonesias', 'jati', 'submerged']",flood
