ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,FL-20201101-20210531-LB,نيوزيلندا تستعد لإجلاء آلاف الأشخاص بسبب الفيضانات - بوابة الأهرام,https://gate.ahram.org.eg/News/2751876.aspx,,"Sun, 30 May 2021 07:00:00 GMT",https://gate.ahram.org.eg/Media/News/2019/11/10/19_2019-637089731087743060-774.jpg,"['تستعد', 'الفيضانات', 'الأشخاص', 'لإجلاء', 'نيوزيلندا', 'آلاف', 'بسبب']",
1,FL-20201101-20210531-LB,بالصور: فيضانات وانهيارات إندونيسيا تقتل أكثر من 100 شخص - BBC Arabic,https://www.bbc.com/arabic/world-56637805,"التعليق على الصورة،

في إندونيسيا وحدها ، لقي 80 شخصًا مصرعهم وما زال العشرات في عداد المفقودين. ويحذر المسؤولون من أن عدد القتلى قد يرتفع.","Mon, 05 Apr 2021 07:00:00 GMT",https://ichef.bbci.co.uk/news/1024/branded_arabic/148C4/production/_117846148_mediaitem117842088.jpg,"['لقي', 'ويحذر', 'قد', 'شخص', 'يرتفع', 'إندونيسيا', 'من', 'بالصور', 'وحدها', 'فيضانات', 'وانهيارات', 'مصرعهم', 'تقتل', 'وما', 'في', 'على', 'أكثر', '100']",
2,FL-20201101-20210531-LB,فيضانات أستراليا: إجلاء الآلاف مع تزايد هطول الأمطار في نيو ساوث ويلز - BBC Arabic,https://www.bbc.com/arabic/world-56480360,"فيضانات أستراليا: إجلاء الآلاف مع تزايد هطول الأمطار في نيو ساوث ويلز

22 مارس/ آذار 2021

صدر الصورة، Reuters التعليق على الصورة، تضررت المدن الواقعة على ساحل نيو ساوث ويلز مثل بورت ماكواري بشدة

أجلي حوالي 18 ألف أسترالي بسبب الفيضانات في ولاية ""نيو ساوث ويلز""، مع استمرار هطول الأمطار الغزيرة في الساحل الشرقي لأستراليا.

وتسببت الأمطار الغزيرة التي استمرت لأيام في فيضان الأنهار والسدود حول سيدني - عاصمة الولاية - وفي جنوب شرق كوينزلاند.

ويقول مسؤولون إن ""الحدث الذي يقع مرة واحدة كل 50 عاما"" قد يستمر طوال الأسبوع، وحثوا المواطنين على توخي الحذر.

وعرض رئيس الوزراء الأسترالي، سكوت موريسون، تقديم مساعدات مالية لمن أجبروا على النزوح عن منازلهم.

وقال لمحطة 2GB الإذاعية في سيدني يوم الاثنين ""إنه وقت اختبار آخر لبلدنا"".

ووقعت أضرار واسعة النطاق في المناطق المتضررة، التي يقطنها حوالي ثلث سكان أستراليا البالغ عددهم 25 مليون نسمة.

وقالت رئيسة وزراء نيو ساوث ويلز، غلاديس بريجيكليان، إن العديد من المجتمعات ""التي ضربتها الفيضانات"" قد تضررت من حرائق الغابات والجفاف في الصيف الماضي.

وقالت: ""لا أعرف أي وقت في تاريخ الولاية شهدنا فيه هذه الظروف المناخية القاسية، بمثل هذا التعاقب السريع وسط جائحة"".

ونفذت خدمات الطوارئ ما لا يقل عن 500 عملية إنقاذ، بما في ذلك انقاذ الأشخاص من السيارات. وتم انتشال عائلة واحدة عالقة من منزلها الذي غمرته المياه بطائرة هليكوبتر.

كما أنقذ عمال الإنقاذ أسرة من ضمنها طفل رضيع من الفيضانات في منزلهم في غرب سيدني.

صدر الصورة، WESTERN SYDNEY SES التعليق على الصورة، تم إنقاذ هذا الرضيع مع طفل آخر وأربعة بالغين في غرب سيدني

وقال مكتب الأرصاد الجوية الأسترالي إن هطول الأمطار - الذي يصل إلى 1000 ملم في بعض المناطق - كان ""غير عادي"" في الأيام الأخيرة.

ويوم الإثنين، كانت السلطات أكثر قلقًا بشأن السكان في المناطق المنخفضة شمال وغرب سيدني، ومنطقة سنترال كوست في نيو ساوث ويلز ووادي هوكيسبيري، حيث اجتاح الطقس السيءالمناطق الداخلية.","Mon, 22 Mar 2021 07:00:00 GMT",https://ichef.bbci.co.uk/news/1024/branded_arabic/8ACF/production/_117653553_066346062-1.jpg,"['هطول', 'من', 'الصورة', 'فيضانات', 'نيو', 'في', 'مع', 'ساوث', 'على', 'الأمطار', 'الآلاف', 'تزايد', 'ويلز']",
3,FL-20201101-20210531-LB,ولاية فلوريدا الأمريكية تستعين بفرق الطوارئ لمنع فيضان مياه سامة تهدد آلاف السكان - BBC Arabic,https://www.bbc.com/arabic/world-56611436,"ولاية فلوريدا الأمريكية تستعين بفرق الطوارئ لمنع فيضان مياه سامة تهدد آلاف السكان

5 أبريل/ نيسان 2021

صدر الصورة، Reuters التعليق على الصورة، يخشى أن تغمر مياه الخزان المنطقة

أرسلت سلطات ولاية فلوريدا الأمريكية فرق طوارئ لوقف تسرب في خزان للمياه القذرة السامة، وأجلت سكان المنطقة المجاورة له خوفا من فيضانات.

فقد أخلى المسؤولون 300 بيتا حول منطقة تامبا من السكان، وأغلقوا الطريق السيار القريب من خزان بيني بوينت.

وأعلن حاكم فلوريدا، رون دي سانتيس، السبت حالة الطوارئ في الولاية.

وقال الأحد إن المياه أساسا ""مالحة"" وهي ناتجة عن ""أعمال التجريف ومياه الأمطار المتراكمة"".

وأضاف أنه ليس بها إشعاعات نووية كما أثير من قبل، وأن الأولوية الآن هي منع حدوث ""فيضانات مدمرة"".

وقال مسؤولون إن الخزان يمتد على 31 هكتارا ويحتوي على ملايين الغالونات من المياه بها فوسفور ونتروجين ناجمين عن منجم قديم للفوسفات.

ورصد المسؤولون التسرب في حوض به ركام من الفوسفوجيبسوم وهي مادة مشعة من نفايات صناعة الأسمدة.

صدر الصورة، Getty Images التعليق على الصورة، أعلن رون دي سانتيس حالة الطوارئ

ولم تنجح محاولات الجمعة لوقف التسرب من خلال سد الثغرة بالصخور ومواد أخرى.

ويسمح إعلان حالة الطوارئ بتوفير الأموال لإرسال المزيد من المضخات والرافعات إلى المنطقة.

وقال دي سانتيس الأحد إن عمال الطوارئ، بمساعدة الحرس الوطني للولاية، يضخون المياه من الحوض بوتيرة 33 غالون في اليوم.

ويعمل آخرون على فتح مسارات للسيطرة على جريان المياه.

وقال المسؤول الإداري في مقاطعة ماناتي، سكوت هوبس، السبت في مؤتمر صحفي إنه يخشى أن تغمر المياه المنطقة التي تتميز بطابعها الزراعي.

وأضاف أن الأمر يتعلق ""بنحو 2،3 مليار لتر من المياه تنفلت من الخزان في دقائق معدودة لتحيط بالمنطقة"".

ولكنه عبر الأحد عن بعض التفاؤل وأكد للصحفيين أن الأمور ""ستتحسن كثيرا"" الثلاثاء، ولكنه نبه إلى ""أننا لما نتجاوز مرحلة الخطر"".

ودعا مركز التنوع الإحيائي أيضا في بيان، وكالة حماية البيئة الأمريكية للتدخل.","Mon, 05 Apr 2021 07:00:00 GMT",https://ichef.bbci.co.uk/news/1024/branded_arabic/AB73/production/_117819834_reservoir.jpg,"['الطوارئ', 'من', 'الصورة', 'سانتيس', 'فيضان', 'لمنع', 'سامة', 'تهدد', 'بفرق', 'عن', 'ولاية', 'تستعين', 'في', 'فلوريدا', 'على', 'المياه', 'مياه', 'أن']",
4,FL-20201101-20210531-LB,"فيضانات الهند: عشرات المفقودين بعد تحطم سد ""أوتارخاند"" - BBC Arabic",https://www.bbc.com/arabic/world-55972188,"فيضانات الهند: عشرات المفقودين بعد تحطم سد ""أوتارخاند""

7 فبراير/ شباط 2021

صدر الصورة، AFP التعليق على الصورة، تحاول طواقم الإنقاذ البحث عن العالقين

أسفر اصطدام كتلة جليدية ضخمة من جبال الهيمالايا بسد عن تحطمه متسببا في فيضان هائل في شمال الهند.

وأدى تحطم السد إلى جريان المياه عبر واد في إقليم أوتارخاند.

وأجلي السكان عن عدد من القرى، لكن مسؤولين حذروا من احتمال مقتل 150 شخصا.

وظهر في لقطات فيديو نشرت في سائل التواصل الاجتماعي تدفق مياه الفيضانات وتسببها بأضرار على نطاق واسع.

""تدفقت المياه بسرعة ولم يتسن إخطار الناس"" ، كما قال سانجاي سينغ رانا الذي يقطن على مقربة من نهر دولي غانغا لوكالة أنباء رويترز.

وأضاف ""أحسست أن المياه ستجرفنا"".

وعثر على ثلاث جثث على الأقل وسجل 150 مفقودا ، حسب ما صرح متحدث باسم الشرطة لوكالة أنباء فرانس برس وأضاف أن ""16 أو 17 شخصا قد علقوا داخل نفق"".

صدر الصورة، Reuters التعليق على الصورة، أدى اصطدام كتلة جليدية بالسد إلى تحطمه ووقوع فيضان

ويخشى من مقتل أكثر من 50 شخصا كانوا يعملون في منطقة السد المعروف باسم مشروع ريشيغانعا لتوليد الكهرباء، حسب ما قال مفتش الشرطة أشوك كمار الذي أكد أن بعض العمال قد أنقذوا.

وقال رئيس الوزراء ناريندرا مودي إنه يراقب الوضع عن كثب، وأضاف على تويتر ""تصلي الأمة من أجل سلامة الجميع"".

ووضع سلاح الجو الهندي في حالة تأهب من أجل تقديم المساعدة في عمليات الإنقاذ، حسب ما صرحت الحكومة.

وتقوم طواقم الإنقاذ بإجلاء الناس من عشرات القرى ، في الوقت الذي تقوم فرق أخرى بمحاولة إنقاذ العالقين في النفق.

"" بلغ ارتفاع مستوى المياه في النهر مترا واحدا فوق المستوى المعتاد ، لكن تدفق المياه بدأ بالتناقص"" حسب ما قال رئيس وزراء إقليم أوتاراخاند الأحد.

ووضعت مناطق في إقليم أوتار براديش المجاور في حالة الاستعداد لاحتمال حدةث الفيضان هناك.","Sun, 07 Feb 2021 08:00:00 GMT",https://ichef.bbci.co.uk/news/1024/branded_arabic/856B/production/_116855143_flood.jpg,"['تحطم', 'حسب', 'من', 'الصورة', 'سد', 'فيضانات', 'عن', 'ما', 'في', 'الهند', 'عشرات', 'أوتارخاند', 'على', 'المياه', 'بعد', 'الذي', 'المفقودين', 'قال']",
5,FL-20201101-20210531-LB,أستراليا: الأمطار الغزيرة تتسبب في أعنف فيضانات في البلاد منذ 50 عاما - فرانس 24 / FRANCE 24,https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20210321-%D8%A3%D8%B3%D8%AA%D8%B1%D8%A7%D9%84%D9%8A%D8%A7-%D8%A7%D9%84%D8%A3%D9%85%D8%B7%D8%A7%D8%B1-%D8%A7%D9%84%D8%BA%D8%B2%D9%8A%D8%B1%D8%A9-%D8%AA%D8%AA%D8%B3%D8%A8%D8%A8-%D9%81%D9%8A-%D8%A3%D8%B9%D9%86%D9%81-%D9%81%D9%8A%D8%B6%D8%A7%D9%86%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%AF-%D9%85%D9%86%D8%B0-50-%D8%B9%D8%A7%D9%85%D8%A7,"تسببت الأمطار الغزيرة التي شهدتها ولاية نيو ساوث ويلز الأسترالية بأعنف فيضانات في البلاد منذ نصف قرن. وتستعد مدينة سيدني لمواجهة الفيضانات إذ أمرت إدارة الطوارئ بإخلاء سكانها في المناطق المنخفضة. وفاض سد واراغامبا الذي يؤمن جزءا كبيرا من مياه الشرب لسكان المدينة، بعد ظهر السبت مع توقعات بفيضان نهر هوكسبيري ليبلغ أعلى مستوى منذ 1961.

إعلان اقرأ المزيد

أدت كميات الأمطار القياسية التي هطلت في جنوب شرق أستراليا إلى فيضان السدود ودفعت السلطات إلى القيام بعمليات إجلاء واسعة، وتستعد مدينة سيدني الأحد لمواجهة أسوأ فيضانات منذ عقود.

وأمرت إدارة الطوارئ سكان المناطق المنخفضة في أجزاء من المدينة بالابتعاد بسبب وضع يمكن أن ""يهدد الحياة"" في ولاية نيو ساوث ويلز.

وقالت السلطات إن سد واراغامبا الذي يؤمن جزءا كبيرا من مياه الشرب لسيدني فاض بعد ظهر السبت ومن المتوقع حدوث فيضانات بأعلى مستوى منذ 1961 في نهر هوكسبيري.

وقال جاستن روبنسون المسؤول في مكتب خدمات الأرصاد الجوية ""قد تكون هذه واحدة من أكبر الفيضانات التي لم نشهد مثلها منذ فترة طويلة"".

وجرت عمليات إجلاء عديدة مع ارتفاع منسوب المياه، وقد يُطلب من نحو أربعة آلاف شخص إضافي مغادرة منازلهم في الأيام المقبلة.

وأكد نائب مفوض خدمات الطوارئ بالولاية دين ستوري أن الموجودين في المناطق المعرضة للفيضانات ""يجب أن يغادروا على الفور"".

وبدأ العديد من الأشخاص الذين تم إجلاؤهم في التجمع في مراكز بشمال المدينة السبت مع هطول أمطار غزيرة في المنطقة.

وأعربت رئيسة وزراء الولاية غلاديس بريجيكليان عن قلقها بشأن ""أمر لا يحدث إلا مرة واحدة في القرن"" ووُصف بأنه كارثة وطنية.

ومن المتوقع أن يزداد الطقس سوءا مرة أخرى الاثنين في شمال سيدني قبل أن يتحسن في وقت لاحق من الأسبوع حسب إدارة الأرصاد الجوية.

وقالت خبيرة المناخ أغاتا إيميلسكا إن الأوضاع ""ستبقى خطيرة""، متوقعة هطول مزيد من الأمطار بكميات قياسية في الأيام المقبلة.

وتلقت إدارة الطوارئ أكثر من سبعة آلاف اتصال طلبا للمساعدة ونفذت 650 عملية إنقاذ منذ الخميس. وقد اضطرت لطلب تعزيزات من ولايات أخرى.

من المقرر أن تبدأ أستراليا المرحلة الرئيسية الأولى من حملتها العامة للتلقيح ضد فيروس كورونا الاثنين. لكن الفيضانات قد تؤدي إلى تأخير في منطقة سيدني.

فرانس24/ أ ف ب

الرسالة الإخباريةأبرز الأحداث الدولية صباح كل يوم اشترك","Sun, 21 Mar 2021 07:00:00 GMT",https://s.france24.com/media/display/534ae9aa-8a3d-11eb-8567-005056a964fe/w:1280/p:16x9/2021-03-21T073940Z_646829928_RC2JFM94MLRL_RTRMADP_3_AUSTRALIA-WEATHER.JPG,"['الطوارئ', 'المناطق', 'من', 'أعنف', 'فيضانات', 'البلاد', 'سيدني', 'عاما', 'الغزيرة', 'تتسبب', 'في', 'إدارة', 'مع', 'الأمطار', 'أن', 'أستراليا', 'منذ']",
6,FL-20201101-20210531-LB,فيضان «أحمر» يغرق قرية إندونيسية - الاتحاد,https://www.alittihad.ae/news/%D8%B9%D8%B1%D8%A8%D9%8A-%D9%88%D8%AF%D9%88%D9%84%D9%8A/4162654/%D9%81%D9%8A%D8%B6%D8%A7%D9%86--%D8%A3%D8%AD%D9%85%D8%B1--%D9%8A%D8%BA%D8%B1%D9%82-%D9%82%D8%B1%D9%8A%D8%A9-%D8%A5%D9%86%D8%AF%D9%88%D9%86%D9%8A%D8%B3%D9%8A%D8%A9,"فيضان «أحمر» يغرق قرية إندونيسية



فاضت مياه نهر بقرية إندونيسية فغطتها باللون الأحمر الداكن بعدما اجتاحت فيضانات مصنعاً قريباً لأصباغ الباتيك، اليوم السبت، مما أثار موجة من التفاعل على مواقع التواصل الاجتماعي.

وعرض آلاف المستخدمين على «تويتر» صوراً ومقاطع فيديو لقرية جينجوت جنوبي مدينة بيكالونجان في جاوة الوسطى، وهي مغمورة بمياه حمراء داكنة، قال بعض المستخدمين إنها تشبه الدم.

وقال آية أريك - أريك على «تويتر» «إنني أخشى بشدة أن تقع هذه الصور في أيادي أولئك الذين ينشرون الخدع... روايات الترويج للخوف بشأن علامات نهاية العالم والسماء تمطر دماً وغير ذلك».

وتشتهر مدينة بيكالونجان بصناعة الباتيك، وهي طريقة إندونيسية تقليدية تستخدم الشمع لمقاومة أصباغ تعتمد على الماء للرسم على الأقمشة.

فيضان «أحمر» يغرق قرية إندونيسية

وأكد ديماس أرجا يودها المسؤول في وكالة مكافحة الكوارث في بيكالونجان صحة الصور المنتشرة على وسائل التواصل الاجتماعي.

وقال المسؤول: «الفيضان الأحمر ناجم عن أصباغ الباتيك التي ضربها الفيضان. ستختفي عندما تختلط بأمطار بعد حين».



","Sat, 06 Feb 2021 08:00:00 GMT",https://media.alittihad.ae/store/archive/image/2021/2/6/68244558-9139-4ebf-9569-41d87075d8a3.jpeg?width=600,"['مدينة', 'بيكالونجان', 'يغرق', 'فيضان', 'أحمر', 'الباتيك', 'المستخدمين', 'قرية', 'في', 'على', 'إندونيسية', 'وهي', 'تويتر']",
7,FL-20201101-20210531-LB,مصرع سبعة أشخاص جراء سيول في الجزائر - BBC Arabic,https://www.bbc.com/arabic/middleeast-56302476,"مصرع سبعة أشخاص جراء سيول في الجزائر

7 مارس/ آذار 2021

صدر الصورة، @DGPC_CNI التعليق على الصورة، الفيضان جرف ثلاث سيارات بها ركاب في وادي مكناسة

ارتفعت حصيلة ضحايا فيضانات الجزائر إلى سبعة قتلى بعد انتشال جثة رجل مسن جرفه فيضان وادي مكناسة بولاية الشلف غربي الجزائر، يوم الأحد، فيما يستمر البحث عن ثلاثة مفقودين آخرين.

وسقط القتلى بعد ارتفاع منسوب المياه في وادي مكناسة جراء الأمطار الغزيرة التي تساقطت طوال يوم السبت، وانتُشلت ست جثث تعود لثلاث نساء ورجلين إضافة إلى طفل واحد.

وأعلنت الحماية المدنية على صفحتها على موقع تويتر يوم الأحد، العثور على جثة أحد المفقودين وهو سائق بعمر 60 عاما، جرفته مياه الفيضان داخل سيارته، بينما تستمر عمليات البحث عن ثلاثة أطفال يُعتقد أنهم لقوا حتفهم.

صدر الصورة، @DGPC_CNI التعليق على الصورة، الحماية المدنية عثرت على سبع جثث والبحث مستمر عن ثلاثة أطفال

وقالت المديرية العامة للحماية المدنية في بيان نقلته وكالة الأنباء الرسمية، إنه على إثر التقلبات الجوية، ليلة السبت، بولايات غرب البلاد وتساقط الأمطار الغزيرة، ولا سيما بولاية الشلف بمنطقة سيدي لعروسي، ارتفع منسوب مياه واد مكناسة وجرف ثلاث سيارات مع ركابها.

وأضاف البيان أنه تم أمس السبت إرسال فرق دعم متخصصة في مجال الفيضانات تتكون من 300 فرد من الحماية المدنية متخصصين في البحث والإنقاذ تحت الأنقاض، وفي الأماكن الوعرة وفرق غواصين مجهزة بعتاد خاص، للعثور على المفقودين.

وقدم الرئيس الجزائري، عبدالعزيز تبون، تعازيه لأسر الضحايا، وأمر بمساعدة المتضررين وإصلاح الطرق، بحسب وكالة الأنباء الجزائرية.

وأرسلت السلطات فرق إضافية للبحث والإنقاذ إلى الولاية من بينها فرفة سينوتقنية للكلاب المدربة و 30 شخصا مجهزين بمختلف وسائل التدخل بالإضافة لمركز قيادة للمشاركة في عملية البحث، خاصة في ظل توقعات باستمرار هطول الأمطار والتقلبات الجوية في المنطقة.

صدر الصورة، @DGPC_CNI التعليق على الصورة، الاستعانة بالكلاب المدربة لتتبع أثر المفقودين

وأصدر الديوان الوطني للأرصاد الجوية، يوم الأحد إنذاراً جديدا حول التقلبات الجوية، وحذر من تساقط أمطار رعدية غزيرة في العديد من الولايات الشمالية للجزائر، ومنها ولاية الشلف المنكوبة، ومن المتوقع أن تصل كمية الأمطار إلى 30 ملم.","Sun, 07 Mar 2021 08:00:00 GMT",https://ichef.bbci.co.uk/news/1024/branded_arabic/15CFA/production/_117483398_ev0pzhvwqaixesx.jpg,"['جراء', 'الجوية', 'يوم', 'الصورة', 'من', 'سبعة', 'في', 'على', 'إلى', 'الجزائر', 'الأمطار', 'سيول', 'المدنية', 'البحث', 'مصرع', 'أشخاص']",
8,FL-20201101-20210531-LB,"فيضانات الجزائر.. 6 قتلى وفيديو ""للسيارات العائمة"" - Sky News Arabia سكاي نيوز عربية",https://www.skynewsarabia.com/middle-east/1419866-%D9%81%D9%8A%D8%B6%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D9%8A%D9%94%D8%B1-6-%D9%82%D8%AA%D9%84%D9%89-%D9%88%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%84%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%A7%D9%8A%D9%94%D9%85%D8%A9,"وأدت الأمطار الغزيرة في وادي مكناسة بولاية الشلف إلى فيضانات وسيول، أسفرت عن وفاة رجلين و3 نساء وطفل، وفقا لمصادرنا.

وأمر الرئيس الجزائري عبد المجيد تبون باتخاذ تدابير عاجلة لفائدة عائلات ضحايا سيول وادي مكناسة، حسبما صرح والي الولاية لخضر سداس.

وقال سداس إن تبون ""طلب منه شخصيا في اتصال هاتفي، أن يبلغ تعازيه إلى عائلات الضحايا""، مشيرا إلى أنه سيتخذ تدابير خاصة لصالحهم.

وكشفت صحيفة ""النهار"" الجزائرية أن السيول أدت إلى إغلاق بعض الطرق في الولاية، وتحويل مسارات طرق أخرى.

وبثت صفحات الجريدة على مواقع التواصل الاجتماعي، لقطات لتيارات المياه وهي تجرف سيارات بمن فيها.

وأوضح جهاز الحماية المدنية أن ""التقلبات الجوية التي عرفتها ولاية الشلف من تساقطات مطرية فجائية غزيرة، أدت إلى جرف مياه وادي مكناسة لثلاث سيارات"".

وتشهد الجزائر تأخرا لتساقط الأمطار خاصة في وسط البلاد وغربها، وكانت وزارة الشؤون الدينية أقامت السبت ""صلاة للاستسقاء"".

وبلغت نسب امتلاء السدود حتى نهاية يناير الماضي أقل من 25 بالمئة في تلك المناطق، بينما فاقت نسبة 60 بالمئة في المناطق الشرقية.","Sun, 07 Mar 2021 08:00:00 GMT",https://www.skynewsarabia.com/images/v1/2021/03/07/1419865/1200/630/1-1419865.JPG,"['قتلى', 'وفيديو', 'من', 'عائلات', 'أن', 'فيضانات', 'خاصة', 'تبون', 'تدابير', 'في', 'مكناسة', 'إلى', 'الجزائر', 'للسيارات', 'وادي', 'العائمة']",
9,FL-20201101-20210531-LB,160من الضحايا والمفقودين جراء فيضان نهر بالهند سببه انهيار جليدي (فيديو) - RT Arabic,https://arabic.rt.com/world/1200154-150-%D9%82%D8%AA%D9%8A%D9%84%D8%A7-%D9%88%D9%86%D8%AD%D9%88-100-%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8A%D9%86-%D9%81%D9%8A-%D9%81%D9%8A%D8%B6%D8%A7%D9%86-%D9%86%D9%87%D8%B1-%D8%A8%D8%A7%D9%84%D9%87%D9%86%D8%AF-%D8%B3%D8%A8%D8%A8%D9%87-%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D8%AC%D9%84%D9%8A%D8%AF%D9%8A/,"فُقد 150 شخصا وانتشلت 10 جثث إثر فيضانات مفاجئة سبّبها انهيار كتلة جليدية ضخمة في منطقة شامولي بإقليم أوتاراخاند بالهند، حسب حصيلة غير نهائية، فيما أجلت فرق الإغاثة آلاف السكان.

وتعتقد مصادر هندية أن المفقودين، الذين يُخشى أنهم توفوا غرقا، في غالبيتهم عمال كانوا ينجزون مشروع طاقة كهربائية في المنطقة حينما أدى الانهيار الجليدي إلى ارتفاع منسوب نهر داوليغانا واشتداد قوة تياره المائي فاندفع جارفا كل ما يقع على مساره.

وأكدت مصادر أمنية محلية أن مياه النهر أغرقت عدة مساكن تقع على الضفاف، وشوهدت جثث الغرقى تطفو فوق المياه. وقالت شركة الطاقة الكهربائية إن الاتصال بعمالها الذين كانوا في المنطقة تعذر حتى الآن، كما تعرض مشروع محطة الطاقة الكهربائية إلى أضرار تضيف وسائل الإعلام الهندية.

السلطات، بمن فيها رئيس الوزراء، نريندرا مودي، في حالة استنفار لمواجهة تداعيات هذه الكارثة، وأرسلت مئات عمال الطوارئ للإغاثة والبحث عن المفقودين، معززين بالتجهيزات والآليات الضرورية، بالإضافة إلى فرق من القوات المسلحة والمروحيات.

المصدر: صحيفة ""Hindustan Times""/قناة تلفزيون ""NDTV"" الهندية","Sun, 07 Feb 2021 08:00:00 GMT",https://cdni.rt.com/media/pics/2021.02/original/601fde2542360418354c3569.JPG,"['مصادر', 'جثث', 'نهر', 'إلى', 'جراء', 'فيضان', 'جليدي', 'فيديو', 'انهيار', 'والمفقودين', 'عمال', 'بالهند', 'على', 'مشروع', 'سببه', 'المنطقة', 'فرق', 'الضحايا', 'في', 'كانوا']",
