,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,Drought_Ghana_2019_July,In Focus: Access to the African Risk Capacity Programme - Ghana - ReliefWeb,https://reliefweb.int/report/ghana/focus-access-african-risk-capacity-programme,"SUBJECT

Agricultural production in many parts of Africa is affected by natural climate variability and is likely to be significantly compromised by climate change through the higher incidence of drought, erratic rainfall and damaging high temperatures. The current system for responding to natural disasters is often not timely or equitable enough, with much of the cost being borne by farmers. When international assistance is available it is often too late.

The African Risk Capacity (ARC) is a continental sovereign risk pool and early response mechanism designed to execute pre‐approved contingency. ARC’s mission is to help African Union Member States to protect the food security of their vulnerable populations. As an insurance risk pool, ARC’s objective is to capitalize on the natural diversification of weather risk across Africa, allowing countries to manage their risk as a group in a financially efficient manner in order to respond to probable but uncertain risks.

In order to participate in ARC, countries must undertake several processes, including:","Sun, 21 Jul 2019 07:00:00 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1332578-66325_accesstoarcprogramme.png?itok=XjW19jOt,"['order', 'africa', 'countries', 'access', 'arc', 'risk', 'african', 'pool', 'capacity', 'programme', 'focus', 'climate', 'arcs', 'natural', 'ghana']", 
1,1,Drought_Ghana_2019_July,"Ghana is trying to drop its IMF, World Bank debt habit - Quartz",https://qz.com/africa/1660942/ghana-is-trying-to-drop-its-imf-world-bank-debt-habit/,"The relationship between Ghana and the International Monetary Fund (IMF) is, to many Ghanaians, a difficult one. Most Ghanaians are of the view that the country should divorce itself from the international body.

A look at sentiments expressed in statements by former presidents and finance ministers under whose tenure the country exited one sponsored programme or another illustrate this well. They ranged from:

The decision to be independent of IMF budgetary support is a watershed in the history of the country’s economic development.

to

We won’t go to IMF again; Ghana will no longer be troubled by conditionalities of IMF.

These quotes encapsulate how Ghanaians feel about the relationship. But is the relationship that bad? An informed assessment requires some context: how Ghana relates to all Bretton Woods institutions. A historical assessment of this will better contextualise the nature of Ghana’s relationship with the IMF.

The early years

Ghana was the first sub-Saharan African country to gain independence in 1957. It was undoubtedly a beacon of hope for the region. The country had significant natural resources as well as a highly educated population.

Ghana’s relationship with the IMF is a cycle of meeting targets under its programs before falling back on bad habits.

The relationship between Ghana and the IMF and World Bank dates back to the late 1960s. Following the overthrow of Kwame Nkrumah’s government in 1966, the country suffered nearly two decades of political instability and economic decline. A prolonged drought worsened the situation, as did widespread bush fires. This resulted in an unparalleled famine. Adding to the burden on government was the need to resettle one million citizens from Nigeria. The next decade saw the global oil crisis as well as a persistent downward trend in the terms of trade. By the 1980s inflation was at a triple digit level. Undoubtedly, by 1983, Ghana’s economy was in tatters. It desperately needed support to reverse the downward spiral. As a result, Ghana embarked on a major programme of economic reform. It did this through an IMF and World Bank sponsored structural adjustment programme and economic recovery programme.

Over the years these have become a major reference points in terms of the relationship between Ghana and the Bretton Woods institutions.

The scale of reforms under these arrangements were enormous.

Structural adjustment

The structural adjustment facilities were used to steer Ghana toward becoming a market friendly nation where incentives were created by the free market. In the process, the country embarked on a large-scale overhaul of institutions, encouraged competition by privatising state own enterprises, built institutional capacity and attained macroeconomic stability.

Undeniably Ghana chalked up some initial successes under the programme. It was in fact referred to as the programme’s ideal student due to significant improvements in its macroeconomic indicators.

But after nearly two decades of adjustment, in 2001, the country fell on hard times. It was classified as a highly indebted poor country – a World Bank and IMF initiative aimed at reducing the external debt burden of very poor countries.

At the time, all Ghana’s earlier successes had been eroded. The economy was suffering from rapid exchange rate depreciation, high inflation and very low external reserves. The severe crisis was partly due to high debt service requirements that affected the budget and affected the balance of payments.

In 2001, the newly elected government opted for debt relief under the highly indebted countries initiative. This decision was met with a lot of public backlash. People’s view was that Ghana had fallen from being the beacon of hope for Africa to being heavily indebted and poor.

People started to ask lots of questions about the implications of the effects of 16 years of IMF and World Bank adjustment programmes, and their ramifications on Ghana’s development. To many, the country had been tied to the apron strings of the Bretton Woods institutions and had to wean itself off as soon as possible.

Again, by mid-2013, the government’s efforts to achieve fiscal consolidation were undermined by policy slippages, external shocks and rising interest cost. This continued until mid-2014. But then the country’s net international reserves position had weakened further. And the exchange rate had depreciated sharply, fuelling inflationary pressures.

These macroeconomic mishaps occurred against the background of the issuance of Eurobond and a short-term loan contracted by the Cocoa Board in the same year. Yet public debt continued to rise at an unsustainable pace.

Ghana then entered another IMF-backed stabilisation program, its 16th since independence, after missing targets in 2013 and 2014. On 3 April 2015, the IMF approved a three-year Extended Credit Facility arrangement with Ghana. This was aimed at the restoration of debt sustainability and macroeconomic stability to foster a return to high growth and job creation while protecting social spending. The programme was extended for an additional year, ending on 2 April 2019.

Undoubtedly, the programme resulted in significant macroeconomic gains with rising growth, single digit inflation, fiscal consolidation and banking sector clean-up. Nevertheless, challenges remain.

Ghana performs again

In its World Economic Outlook the IMF is forecasting that Ghana will be the fastest growing economy in the world this year with a projected growth rate of 8.8%. As with previous IMF/World Bank sponsored programmes, Ghana is once again out-performing itself.

As usual, the government is very optimistic about the prospects of the country following its exit from the programme. The obvious question being asked is: what is different this time?

The programme appears different in a number of ways.

First, it was based on a combination (domestic and foreign) of sources of finance. Second, conditionalities attached to it were informed by homegrown policies. This was unlike previous programmes where conditionalities were based on the Washington consensus.

Lastly, Ghana has also made important changes. It passed a new law – the first of its kind in the country – to govern government spending. The Act seeks to ensure fiscal responsibility, macroeconomic stability, and debt sustainability. A key provision gives parliament the power to censure the Finance Minister if spending exceeds defined limits.

What next?

Given the chronology of Ghana’s relationship with the IMF – and the cycle of achieving targets under its programmes before falling back on bad habits – most believe it’s just a matter of time before the country goes back to the IMF asking for help. The likelihood of this happening is increased by the fact that the country goes to the polls in 2020. This means there is bound to be a tendency for government to overspend.

Whatever happens next, it’s important to note that the structure of the economy has not changed. It is still highly susceptible to external shocks, particularly commodity prices. To the extent that these external shocks are unavoidable, the IMF and World Bank will remain critical partners in the country’s development process.

Priscilla Twumasi-Baffour, Fellow of the International Institute for Advanced Studies, University of Ghana

This article is republished from The Conversation under a Creative Commons license. Read the original article.","Mon, 08 Jul 2019 07:00:00 GMT",https://cms.qz.com/wp-content/uploads/2019/07/RTS27TPY-e1562604214387.jpg?quality=75&strip=all&w=1200&h=630&crop=1,"['bank', 'happen', 'macroeconomic', 'ghanaians', 'divorce', 'imf', 'programmes', 'imfthat', 'likely', 'relationship', 'country', 'debt', 'programme', 'isnt', 'think', 'world', 'ghana']", 
2,2,Drought_Ghana_2019_July,Glimmers of Hope for People in Ghana with Mental Illness - Direct Relief,https://www.directrelief.org/2019/07/glimmers-of-hope-for-people-in-ghana-with-mental-illness/,"Approximately 4.6 million people live in northern Ghana. None of them are psychiatrists.

The West African nation, in total, faces a mental health treatment gap of 98%, according to the World Health Organization, meaning only 2% of people are receiving the care they need. As of 2017, Ghana had 18 psychiatrists serving an estimated population exceeding 28 million.

“[Mental health care] has, traditionally, been a very neglected area,” said Dr. Sammy Ohene, head of the psychiatric department at the University of Ghana.

Like most countries, Ghana has specific stigmas associated with mental illness, but has also had to cope with an extreme scarcity of psychiatrists, something Dr. Ohene tried to remedy by starting a residency program.

Overcoming Stigma

But even with more trained psychiatrists in the country over the past few years, lingering, culturally-based problems exist.

“With mental illness, the stigma is virtually everywhere, but manifests differently in various social contexts,” said Peter Badimak Yaro, executive director of BasicNeeds Ghana, a leading in-country, mental health-focused NGO.

“Ghana is one place where people try to avoid people with mental illness,” Yaro said.

This has led to a curtailing of basic human rights for those who suffer from mental illness, according to Yaro, which manifests itself in reduced opportunities for employment, movement, and free expression.

“Families do everything to keep away relatives with mental health problems. They try to conceal or hide people,” he said.

Reducing Harmful Interventions

Further complicating matters in Ghana, beyond the lack of access to care and alienation, are deeply-held beliefs about the nature of mental health.

“Most people in Ghana believe that psychiatric disorders have a spiritual basis. Therefore, when people have a mental illness, they’re very likely to be taken to a spiritual healer, church, or some other traditional healer,” said Ohene.

These methods of treatment have led to human rights abuses, as documented in news reporting during recent years, as patients who are prone to aggression are physically restrained for extended periods of time, and in uncomfortable positions.

“Most of them don’t have any particular skills in controlling aggression, so if a disturbed patent is brought there, they’re forced to physically restrain them. That is a huge problem,” said Ohene.

Restraining patients is common in healthcare facilities in northern Ghana. A survey of 10 health facilities across northern Ghana showed that almost 1,000 patients spent more than 20 percent of the time spent in the facilities were in restraints. That study, used to determine health needs in the region, was written by Direct Relief and conducted by Breast Care International, with funding from Johnson & Johnson.

Ohene said it is often only after traditional or spiritual treatments have failed, that patients and their families will visit a hospital or clinical setting—which can come it its own attendant problems, though ones which are consistent across cultures. Namely, if an illness recurs, many patients and their families will think the hospital staff doesn’t really know what they’re talking about. Patients and families are looking for a cure.

“It’s difficult for people to accept this is a condition they have to live with forever,“ Ohene said. “The concept of managing a disease process over the long term is not something people find very attractive.”

Finding Solutions

To address some of the most pressing problems in Ghana, Ohene and Yaro have been working to increase access to care, find alternative solutions, train people to work, and advocate for more government support, as well as updated policies.

BasicNeeds provides support for medical trips to the north of the country for Ohene and his colleagues and also provides Risperdal, an anti-psychotic medication, to local clinics, where community health nurses are charged with taking the lead on treating patients with mental health symptoms.

“The medicines, donated by Johnson & Johnson and sent through Direct Relief, are filling a gap for hundreds of patients,” Yaro said. “They are now able to get through their daily activities.”

Yaro added that the donated drugs, representing a wholesale value of $9 million, have helped about 50 community health units to continue to function.

Almost 12,000 patients in the northern Ghana regions have been given access to medication through the program.

Even as the medication has provided treatment, when it is available, and Ohene is optimistic about the impact of the doctors he’s been able to train, problems still exist with near-term, sustainable options, which Yaro and Ohene have been advocating for in Accra.

“It’s slow, but things are looking up. The law (Mental Health Act, 2012) makes for a mental health fund, but none has been established. They’re working on it,” said Ohene. The doctor said that the lack of a fund has led to confusion and delays regarding implementation of another aspect of the same law, which stipulates that mental healthcare is to be provided free of charge.

Because no fund has been established, the national insurance scheme does not cover mental health care treatments, Ohene said.

And while traditional healers are still pervasive, Ohene said the country’s mental health authority is working to educate people about mental illness and modern treatment options and has also mandated that every regional hospital must have a mental health care unit.

As such challenges persist, both Yaro and Ohene maintain hope sourced from the strength of their mission: supporting patients as they manage their mental health.

“They should find fulfillment and live a life of dignity that everybody should have as a human being,” Yaro said.","Fri, 26 Jul 2019 07:00:00 GMT",https://i1.wp.com/www.directrelief.org/wp-content/uploads/2019/07/1396966_234820770038209_419641941_o-1-e1564165672338.jpg?w=1200&crop=0%2C0px%2C100%2C675px&ssl=1,"['illness', 'yaro', 'mental', 'patients', 'problems', 'hope', 'ohene', 'glimmers', 'health', 'treatment', 'care', 'ghana']", 
3,3,Drought_Ghana_2019_July,Ghana's Acquah: Give us another two years to win Afcon - Goal.com,https://www.goal.com/en-gh/news/ghanas-acquah-give-us-another-two-years-to-win-afcon/kqsbkfeyg2g21jz0lzy20sj94,"Ghana's Acquah: Give us another two years to win Afcon

The 27-year-old speaks on the Black Stars' disappointment and ambitions regarding the continental showpiece

Ghana midfielder Afriyie Acquah believes all is not lost in the nation's hopes of ending their long Africa Cup of Nations (Afcon) title drought following the disappointment of the recent tournament in Egypt.

The Black Stars' hopes of winning a first title in 37 years ended in failure by a Round of 16 defeat to Tunisia on penalties.

“We did our best and wanted to win the Cup but we all know in football you either win, lose or draw,"" Empoli ace Acquah told Zylofon TV.

""We did our best but we were unfortunate so we will just give thanks to God.

""It’s not too late; we are young, so Ghanaians should give us another two years to win the tournament.”

Some people believe Ghana's controversial captaincy change just before the tournament may have disrupted their focus and ambitions in Egypt.

“We were cool with the captaincy change because the coach announced it to us so we all gave him our support,"" Acquah explained.

""Even at club sides they change captains, so you the player, you should take it as normal and leave the talking to the public. Captaincy is just an armband.

“The change did not cause anything in camp. People who are not close to us [the players] assumed that we were fighting but it is not true.

""We were united in camp. We are a team and a family so there were no factions.""

Ghana will be hoping to make amends at the next championship in Cameroon in 2021.

","Mon, 22 Jul 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['nations', 'hopes', 'title', 'captaincy', 'acquah', 'change', 'ghanas', 'tournament', 'afcon', 'stars', 'win']", 
4,4,Drought_Ghana_2019_July,2019 Africa Cup of Nations: Ghana's Cup drought extended after Tunisia defeat - Ghanasoccernet.com,https://ghanasoccernet.com/2019-africa-cup-of-nations-ghanas-cup-drought-extended-after-tunisia-defeat,"Ghana's round of 16 elimination at the 2019 Africa Cup of Nations means the Black Stars will have to wait for the 2021 edition to end their trophy drought since 1982.

The Black Stars were beaten 5-4 on penalties by the Carthage Eagles in Ismaila on Monday night.

Both teams were tied 1-1 after extra time at the Ismaila Stadium.

Taha Yassine Khenissi opened the scoring for Tunisia in the 73rd minute but Rami Bedoui headed in an injury time own goal for the equalizer.

It went to penalties and Caleb Ekuban missed Ghana's third kick which saw saved by substitute goalkeeper Farouk Ben Moustapha.

It was Ferjani Sassi who slotted in the winning spot-kick.","Mon, 08 Jul 2019 07:00:00 GMT",https://cdn.ghanasoccernet.com/2019/07/Tun-5.jpg,"['nations', 'drought', 'africa', 'extended', 'went', 'winning', 'defeat', '2019', 'yassine', 'wait', 'ismaila', 'penalties', 'black', 'tunisia', 'ghanas', 'stars', 'cup']", 
5,5,Drought_Ghana_2019_July,"Afcon 2019: No Prince, no party: KP Boateng mocks Ghana - Goal.com",https://www.goal.com/en-sg/news/afcon-2019-no-prince-no-party-kp-boateng-mocks-ghana/gqvxwnwk5bfu1kw4pc2aq3kka,"Afcon 2019: No Prince, no party: KP Boateng mocks Ghana

The national team outcast has reacted to the Black Stars failure at the continental showpiece

Ghanaian football player Kevin-Prince Boateng has taken a jab at the Black Stars following their exit from the Africa Cup of Nations (Afcon) in Egypt on Monday.

The West Africans' hopes of ending a 37-year trophy drought ended following a 5-4 penalty shootout defeat against Tunisia in the Round of 16, the match having ended 1-1 after extra-time.

Boateng hasn't returned to the Black Stars squad after his behaviour was called into question at the 2014 Fifa World Cup in Brazil. The German-born player, who spent the second part of last season on loan at Barcelona, was snubbed for Afcon after indicating an interest to return to the national team.

""No PRINCE no PARTY, "" Boateng wrote on a Twitter post with the hashtags ""GhanaBlackStars"" and #Afcon.

Ahead of the Egypt gathering, Ghana Football Association Normalisation Committee chairman Kofi Amoah revealed Boateng, together with Sulley Muntari, who was also suspended during the controversial World Cup campaign, had expressed interest to be considered for the competition.

Boateng won 15 caps and scored two goals during his two spells with the four-time African champions.","Tue, 09 Jul 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['national', 'player', 'prince', 'boateng', 'world', '2019', 'black', 'kp', 'mocks', 'afcon', 'party', 'stars', 'ghana', 'cup']", 
6,6,Drought_Ghana_2019_July,KPL Transfers: George Abege signs for Ghana's top tier side Asante Kotoko - Goal.com,https://www.goal.com/en-gh/news/kpl-transfers-george-abege-signs-for-ghanas-top-tier-side-asante-/zujnp83bau1c17somlm38oeux,"KPL Transfers: George Abege joins Asante Kotoko

Abege joins the Ghanaian top-flight side on a deal expected to run until July 2022

Asante Kotoko have announced the signing of George Abege from Kenyan Premier League (KPL) side Kariobangi Sharks.

The Ghanaian side announced the arrival of the Ugandan international on a deal which runs until 2022, saying his addition would be vital for their Caf Champions League campaign.

Abege signed the contract to join Asante Kotoko after Sunday's friendly match between Sharks and Everton in Nairobi.

""George Abege's International Transfer Certificate (ITC) has reached the Porcupines, and the player is expected to join his colleagues this week,"" the club announced.

""The Porcupines noticed [George] Abege in the Confederation Cup preliminary round tie against Kariobangi Sharks, and find his qualities of relevance as the side aims for domestic and continental glories next season.

""Abege has great aerial abilities and ball control coupled with predatory skills that, on a good day, can make him every defender's nightmare on a good day.""

Abege joined Kariobangi Sharks in June 2018 from Sony Sugar and scored three goals in the 2018/19 KPL season.

He found playtime hard to come by as Kariobangi Sharks' head coach William Muluya preferred to use Erick Kapaito and Sydney Lokale instead.","Tue, 09 Jul 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['kariobangi', 'abege', 'transfers', 'sharks', 'league', 'kotoko', 'signs', 'join', 'joins', 'ghanas', 'asante', 'george', 'porcupines', 'kpl', 'tier']", 
7,7,Drought_Ghana_2019_July,Ghana and Ivory Coast lift threat to suspend cocoa supplies - eNCA,https://www.enca.com/business/ghana-and-ivory-coast-lift-threat-suspend-cocoa-supplies,"ABIDJAN - Ivory Coast and Ghana, the world's two largest cocoa producers, have ended a threat to stop selling their production in what was a push for higher prices.

In what they called a ""historic"" move, the two West African neighbours on June 12 vowed to suspend the sale of their 2020/2021 production to buyers unwilling to meet a minimum price of $2,600 per tonne, a move that shook the cocoa market.

The two African nations -- which together account for 60% of the world's production -- are campaigning to end a situation where cocoa producers make only $6 billion in a global chocolate market worth around $100-billion.

""The two countries decided to lift the suspension of sales of the 2020/2021 crop from today July 16,"" the chief of Ivory Coast's coffee and cocoa council, Yves Kone-Brahima, and Joseph Boahen Aidoo, chief executive of the Ghana Cocoa Board, said in a joint statement Tuesday.

At a meeting in Ivory Coast's commercial capital Adidjan on July 3, the two countries introduced a so-called Living Income Differential of $400 per tonne.

The differential would kick in for export contracts for the 2020/2021 crop if market prices fell below $2,600 a tonne.

A World Bank report released last week said Ivory Coast, the world's largest producer, earns just a fraction of the crop's potential value, and that 55%of cocoa producers live on about 757 CFA francs ($1,3 / 1,15 euros) a day, which is below the poverty line.

Cocoa accounts for 40% of the nation's exports but the country only earns about 8% of total profits in the cocoa-chocolate sector.

Almost 80% of the sector's profits are concentrated in the processing of chocolate paste and in the distribution of finished products to consumers, ""two phases in which Ivory Coast does not yet play a major role"", the report said.","Wed, 17 Jul 2019 07:00:00 GMT",https://www.enca.com/sites/default/files/styles/facebook/public/2019-07/Ghana%20and%20Ivory%20Coast%20lift%20threat%20to%20suspend%20cocoa%20supplies.jpg?h=16013371&itok=FqBg3ST0,"['nations', 'lift', 'profits', 'coast', 'worlds', '20202021', 'cocoa', 'report', 'producers', 'supplies', 'threat', 'suspend', 'production', 'ghana', 'ivory']", 
8,8,Drought_Ghana_2019_July,How digital technologies can help Africa's smallholder farmers - World - ReliefWeb,https://reliefweb.int/report/world/how-digital-technologies-can-help-africa-s-smallholder-farmers,"Abdul-Rahim Abdulai PHD Student, @Feeding9Blilion Research Lab, Department of Geography, Environment and Geomatics/Arrell Food Institute, University of Guelph

Emily Duncan Ph.D. Student, University of Guelph

Evan Fraser Professor, Director of the Arrell Food Institute and Tier 1 Canada Research Chair in Global Food Security, University of Guelph

Digitisation could change the game for agriculture in Africa. That’s a key message in a report recently released by an international institution that enhances smallholder farming in African, Caribbean and Pacific countries.

The Centre for Agricultural and Rural Cooperation (CTA) focuses on poverty reduction through modernising smallholder farming by fostering innovation and knowledge sharing.

Digitisation refers to everything from delivering farming advice via text messaging to interactive voice response. It also includes smart phone applications that link farmers to multimedia advisory content, farm inputs, and buyers. And it covers the use of drones and satellite systems to inform farmer activities, such as crops and times to plant; and types and amounts of inputs to use.

Other global organisations have echoed this message. These range from NGOs like Solidaridad Network – a civil society organisation that accelerates sustainable and inclusive development – to the World Bank. These organisations believe that digital technologies can create employment for young people in the agricultural sector, promote economic activity, and enhance food security.

For the past two decades, digitisation has steadily transformed African farming. In Ghana, for instance, online platforms such as Esoko, Farmerline, and Trotro Tractor have provided farmers with accessible services. These have included voice messages and SMS extension advice. This helps farmers obtain information about how to access markets and extension services.

Elsewhere on the continent, international organisations help provide precision advice to farmers. An example is the CTA’s ‘Transforming Africa’s agriculture: Eyes in the sky, smart techs on the ground"" project that supports the use of drones for agriculture.

The continent’s digital agriculture industry is growing. The number of farmers subscribed to digital services has grown by between 40% and 45% per year in the last three years.

Annual revenues from digitally supported farming are estimated at about $140 million. Services are provided by a small but growing number of providers — some of which are estimated to generate €90 of revenue per farmer annually, partly through service charges. This trend looks set to continue.

But the success of digitisation in agriculture shouldn’t just be evaluated by its economic value. Its benefits must be enjoyed by smallholder farmers and rural populations. Smallholder farmers, most of whom have access to less than two acres of land, produce more than 80% of the food in sub-Saharan Africa.

African smallholder farmers will ultimately determine the continent’s digital farming story. Only through collaborations with them, and among sectors, will the digital transformation become a success in Africa.

Challenges of smallholder farming

Smallholder farmers face daunting political, economic, social, cultural, and institutional barriers. They have limited access to information, markets, capital, land tenure, and even basic inputs like fertilisers and seeds.

Government policies, and the influx of foreign land grabbers in many African countries, only worsen the situation. Ethiopia, Ghana, and South Sudan are among the hot beds for foreign land deals.

Added to these are environmental issues like soil erosion and a changing climate. In recent years, droughts, rising temperatures, and El-Niño events left nearly thirteen million people from Kenya, Ethiopia, and Somalia needing humanitarian assistance.

This makes traditional farming hard for smallholders across the continent, and can undermine their capacity to fully benefit from the digital revolution.

Also, connectivity tends to be limited in rural areas. And, even if farmers can connect, they may not have enough money to access the services.

These concerns limit the production and profits of farmers and undermine rural development. This is where digitisation comes in. It has potential to increase access to information and resources to provide solutions.

Elsewhere, digital technologies are already showing promise for rural farmers. The Chinese government partners with private actors like Alibaba to digitise agriculture. From web-portals to Mobile Internet Based Services, rural farmers benefit from access extension advice and capital. This leads to increased productivity and incomes.

Inclusion in digitisation

There have been positive strides in ensuring smallholders become involved in digital agriculture. An estimated 33 million people – about 13% of all sub-Saharan African smallholders and pastoralists – are already registered for services such as weather updates and market linkages.

Ethiopia’s “80-28” hotline - a farmer advisory service - has about 4 million users, the highest on the continent. Beyond being a free service, its success is partly due to the delivery of services in local languages. Aligning services to local circumstances encourages farmers to subscribe willingly.

Kenya leads the way in digitisation in Africa. Collaborations between agriculture and telecommunication has been instrumental in their success so far.

What’s missing

These examples show what is necessary to help smallholders become connected to digital services.

One additional strategy is to blur the boundaries between different sectors. Digitisation is not just an agricultural issue, or a technological one. It involves many parts of the economy. Hence, digitisation must be situated within a broader development and poverty reduction agenda. For instance, education is critical to farmers’ ability to use and benefit from digital technologies.

It is also crucial to place smallholders front and centre when designing policies and specific digital products meant to help them. In this way, digital transformation will reflect the users’ needs.

https://theconversation.com/how-digital-technologies-can-help-africas-smallholder-farmers-119952","Fri, 12 Jul 2019 07:00:00 GMT",https://reliefweb.int/profiles/reliefweb/themes/kobe/images/metatag/disaster-type/drought.png,"['africas', 'technologies', 'access', 'rural', 'farmers', 'digital', 'help', 'services', 'farming', 'smallholders', 'world', 'smallholder', 'digitisation', 'agriculture']", 
9,9,Drought_Ghana_2019_July,AfDB announces $20m for climate resilience project in Ghana - The North Africa Post,https://northafricapost.com/32582-afdb-announces-20m-for-climate-resilience-project-in-ghana.html,,"Wed, 17 Jul 2019 07:00:00 GMT",https://northafricapost.com/wp-content/themes/flatnews/images/favicon.png,"['energy', 'technologies', 'systems', '20m', 'program', 'announces', 'project', 'afdb', 'agricultural', 'support', 'afawa', 'climate', 'resilience', 'ghana', 'women']", 
