,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance,category
0,0,Drought_Ghana_2019_May,Ghana President Akufo-Addo influencing Gyan's return to Black Stars Afcon squad - Goal.com,https://www.goal.com/en-kw/news/ghana-president-akufo-addo-influencing-gyans-return-to-black/k60ee6ro3gg0112ai9nc2v5l2/match/l8x5aibt17804b5u56fr64bu,"Ghana President Akufo-Addo influencing Gyan's return to Black Stars' Afcon squad

The leader of the west African nation has encouraged the 33-year-old to make himself available for next month's continental showpiece

Ghana President Nana Akufo-Addo has urged Kayserispor striker Asamoah Gyan to change his decision to call time on his international career, with just a month remaining before the Africa Cup of Nations (Afcon) starts in Egypt.

The President made his plea during a phone conversation with the 33-year-old, following a high-powered meeting with the leadership of the Black Stars on Tuesday. Gyan shocked the country when he announced his retirement on Monday.

The forward is Ghana's most capped player and the all-time top scorer of 51 goals in 106 matches. He had written about his displeasure at a decision made by the technical team to hand him the less prestigious and more advisory 'General Captain' role.

""The President of the Republic Nana Akufo-Addo, this afternoon, held a meeting with the Minister for Youth and Sports, the President of the GFA Normalisation Committee, and the Chair of the Management Committee of the Senior National Football Team, the Black Stars,"" director of communications at Ghana's presidency Eugene Arhin wrote in a new statement.

""The meeting, a continuation of the regular meetings the President holds with them, discussed, amongst others, the preparations being made towards Afcon 2019, and how to end Ghana’s Afcon trophy drought.

""Nana Akufo-Addo subsequently, also spoke on the telephone with Asamoah Gyan, and informed him of the considerable national disquiet over his decision to retire from the Black Stars.

""The President urged him, in the national interest, to rescind his decision to retire from the Black Stars, and make himself available for selection by Coach Kwasi Appiah.""

Meanwhile, Gyan is rethinking the whole matter and will make a new announcement on Wednesday. ""Later today, my manager [Sammy Anim Addo] will be speaking on my behalf regarding my retirement from the national team. I will also release a statement based on the telephone discussion with the president [Nana Akufo-Addo],"" Gyan tweeted on Wednesday morning. Goal understands Gyan is likely to decide to play in the Afcon, where the Black Stars have been drawn against Cameroon, Benin and Guinea-Bissau in Group F.","Wed, 22 May 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['president', 'gyan', 'afcon', 'black', 'team', 'national', 'squad', 'nana', 'gyans', 'ghana', 'akufoaddo', 'influencing', 'decision', 'stars', 'return']", ,drought
1,1,Drought_Ghana_2019_May,Former Ghana captain Stephen Appiah highlights Black Stars' goal for 2019 Africa Cup of Nations - Goal.com,https://www.goal.com/en/news/afcon-former-ghana-captain-stephen-appiah-highlights-black-stars-/hoveuq6qnsty147z2jpapdwrk,"Afcon: Former Ghana captain Stephen Appiah highlights Black Stars' goal in Egypt

The Black Stars technical team member shares his thoughts on the team's objective for the upcoming tournament in Egypt

Ghana technical coordinator Stephen Appiah has reiterated the Black Stars' desire to win the upcoming Africa Cup of Nations in Egypt, but insists the team are ""not under pressure"" to clinch the trophy.

James Kwesi Appiah's outfit are set for another attempt to rule the continent after a 37-year-title drought, having reached the semi-final of the last six tournaments and making the final in 2010 and 2015.

In Egypt, Ghana have been drawn in Group F alongside defending champions Cameroon, Benin and Guinea-Bissau.

“Our goal is to win the Afcon. We are not under pressure though,"" Appiah, a former Ghana international and captain, said as reported by Graphic.

""Personally, [even back in] my playing days, I usually didn't get under pressure. I have been under pressure only twice - that is [ahead of a 2006 World Cup qualifier] against Burkina Faso in Kumasi and another against Cape Verde.

“I realised that when I was playing, I just wore the jersey and went and played. But now that I am part of the technical team I see it to be difficult, the feeling is not the same.

“We will try to advise and encourage the players to do their best.""

Ghana will open their campaign against Benin on June 25 and face Cameroon four days later.

The Black Stars' last group game will be against Guinea-Bissau on July 2.

","Tue, 14 May 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['black', 'captain', 'team', 'technical', 'win', 'appiah', 'goal', 'stephen', 'upcoming', 'highlights', 'ghana', 'cup', 'pressure', 'nations', 'stars']", ,drought
2,2,Drought_Ghana_2019_May,Ghana bans chilli pepper exports - FreshPlaza.com,https://www.freshplaza.com/article/9109344/ghana-bans-chilli-pepper-exports/,"Based on your current location, we selected the North America edition of FreshPlaza.com for you

You are currently in the North America edition of FreshPlaza.com

Please click one of the other regions below to switch to another edition.","Wed, 29 May 2019 07:00:00 GMT",https://cdn.freshplaza.com/favicon.png,"['banana', 'edition', 'fresh', 'north', 'america', 'youyou', 'regions', 'freshplazacomplease', 'global', 'switch', 'freshplazacom', 'selected', 'produce', 'location', 'freshplaza']", ,none
3,3,Drought_Ghana_2019_May,Ghana new boy Owusu reveals Africa Cup of Nations ambition - Goal.com,https://www.goal.com/en-gh/news/ghana-new-boy-owusu-sets-initial-africa-cup-of-nations/1easq2q2f9n6n1lpbcimgq0xvs,"Ghana new boy Owusu reveals Africa Cup of Nations ambition

The winger sheds light on his immediate goal following his maiden invite to the national team ahead of the continental championship

Serbian-based attacker Samuel Owusu has set his sights on winning a place in Ghana's final squad for the upcoming Africa Cup of Nations in Egypt.

The 23-year-old was among the surprise names on a provisional 29-man roster unveiled for the four-time winners, which is set to be whittled down to 23 for the June 21-July 19 championship.

In his first ever call-up to the Black Stars, he is set to join the team for a pre-tournament camp in the UAE, which begins on June 1.

""It means a lot to me to be named in the squad to represent the country,"" Owusu told Ghanasoccernet.

""I was very happy and excited that fateful day.

""I believe in myself and I will train very hard to get my play in the final 23.""

Owusu's call-up is a reward for his fine form for club side Cukaricki in the Serbian Super Liga last season.

The former Genclerbirligi winger made 32 outings - all starts - netted seven times and assisted 10 goals to help the Hill Men finish the campaign in fourth position.

Ghana have been drawn against Cameroon, Benin and Guinea-Bissau in Group F for the Africa Cup of Nations.

","Wed, 29 May 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['reveals', 'callup', 'team', 'ambition', 'squad', 'final', 'owusu', 'ghana', 'cup', 'winger', 'nations', 'africa', 'set', 'boy']", ,none
4,4,Drought_Ghana_2019_May,Columbus Crew coach Porter provides injury return date for Ghana star Afful - Goal.com,https://www.goal.com/en-gh/news/columbus-crew-coach-porter-provides-injury-return-date-for-ghana-/12dplqrnla2m41r1qcfghzy6ps,"Columbus Crew coach Porter provides injury return date for Ghana star Afful

The Black and Gold's boss has revealed a detailed update on the fitness of the Ghana right-back

Ghana have received an injury boost ahead of the upcoming Africa Cup of Nations in Egypt as injured US-based fullback Harrison Afful is set to resume training by the end of the month.

The Columbus Crew right-back has been out of action since suffering a broken jaw during a Major Soccer League game against Atlanta United on March 30.

A return to practice before the end of the month will put him in a good position to be selected for the June 21 - July 19 Afcon, where the Black Stars have been drawn against Cup holders Cameroon, as well as Benin and Guinea-Bissau in Group F.

“The biggest thing is he [Afful] kept his nutrition up. He didn’t lose much [weight], which is rare. So that’s good,” Crew coach Caleb Porter said, as reported by The Columbus Dispatch.

“He’s pretty much on track to be cleared a couple of days before New York City FC [on June 1], but that’s not including fitness.

""That’s not including full contact and being in. So he’ll need a couple of weeks still to be ready.”

Ghana's hopes of ending their 37-year trophy drought but are currently facing a huge challenge by injuries to key players.

Leicester City defender Daniel Amartey is unlikely to make the team as he is just about finding his way back to fitness after picking up an injury while in league action in October last year.

Crystal Palace midfielder Jeffrey Schlupp is similarly on his way back to full fitness after picking up an injury in April while Udinese centre-back Nicholas Opoku has been out of action since the same month.

The Turkey-based duo of captain Asamoah Gyan and left-back Lumor Agbenyenu only recently returned from injuries.

","Fri, 17 May 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['action', 'picking', 'provides', 'star', 'porter', 'fitness', 'ghana', 'injury', 'crew', 'coach', 'date', 'thats', 'way', 'return', 'columbus']", ,drought
5,5,Drought_Ghana_2019_May,"Former Ghana international Lamptey emphasizes Muntari, Boateng experience amid Africa Cup of Nations interest - Goal.com",https://www.goal.com/en-gh/news/afcon-coach-kwesi-appiah-has-final-say-on-black-stars-squad-says-/wr0ieboiw2uf16e5zgh1g0jbf,"Afcon: Coach Kwesi Appiah has final say on Black Stars squad, says Nii Lamptey

The ex-Black Stars attacker shares his thoughts on the possible inclusion of Sulley Muntari and Kevin-Prince Boateng in the Ghana Afcon squad

Former Ghana international Nii Odartey Lamptey says the ultimate decision regarding Ghana's possible selection of Sulley Muntari and Kevin-Prince Boateng for the upcoming Africa Cup of Nations in Egypt should be left with coach James Kwesi Appiah.

Barcelona forward Boateng, 32, and 34-year-old Muntari, who currently plays for Spanish second tier side Albacete Balompie, have both expressed an interest in joining the Black Stars for the continental gathering after a five-year absence.

The have been away from national duty since being sent home from camp during the 2014 Fifa World Cup in Brazil.

""You can't buy experience. Experience is important,"" Lamptey told Kwese Sports.

""If Kwesi Appiah and his technical team believe they [Muntari and Boateng] will help the team, why not?

""They [technical team] should be able to invite them, but if anything happens they [technical team] will be held responsible.

""Somebody like Sulley, you can't take many thing away from him but with Kevin, I have seen him play only once for the national team when we went to the World Cup.

""With Sulley, yes I can give him that opportunity.""

At the World Cup, Muntari and Boateng were both sent home on the morning of Ghana's must-win group game against Portugal for separate offences.

Boateng was handed an indefinite suspension for ‘verbal insults’ targeted at coach James Kwesi Appiah during training, while Muntari was sacked for a ""physical assault"" on a management committee member.

According to the Ghana Football Association, only a formal apology from each of the two players could open up an opportunity for a return to national duty.

Muntari sent in his apology in June 2016 but Boateng has remained unapologetic.

A white paper from a presidential Committee of Enquiry, which investigated matters relating to Ghana's controversial 2014 World Cup campaign, recommended that the two players be kept out of the national team.

Ghana, drawn against Cameroon, Benin and Guinea-Bissau in Group F at the 2019 continental showpiece, are seeking to end a 37-year trophy drought at this year's Afcon, which is set to run between June 21 and July 19.","Wed, 15 May 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['lamptey', 'muntari', 'experience', 'world', 'team', 'sulley', 'national', 'technical', 'boateng', 'interest', 'ghana', 'cup', 'emphasizes', 'international', 'nations', 'stars', 'kwesi']", ,none
6,6,Drought_Ghana_2019_May,"Ethiopia, Ghana, Malawi, Rwanda and South Africa amongst winning projects and pioneers at African Power, Energy & Water Industry Awards - Smart Energy",https://www.smart-energy.com/event-news/ethiopia-ghana-malawi-rwanda-and-south-africa-amongst-winning-projects-and-pioneers-at-african-power-energy-water-industry-awards/,,"Wed, 22 May 2019 07:00:00 GMT",,[], ,drought
7,7,Drought_Ghana_2019_May,"Barcelona news: Xavi wants managerial job at Camp Nou, but not any time soon - Goal.com",https://www.goal.com/en-gh/news/xavi-wants-barcelona-job-but-not-any-time-soon/1408n2y8rbzdy1bfz63qtf8fuv,"Xavi wants Barcelona job, but not any time soon

The Camp Nou legend is hoping a managerial career will lead him back to Catalunya, but is aware that he needs to prove him deserving of the role

Xavi is making no secret of his desire to one day return to Barcelona as manager, but a Camp Nou icon concedes that “it’s not time yet” for him to think about filling such a role.

A man who spent 17 years as part of the first-team set-up in Catalunya is approaching the end of an illustrious playing career.

At the age of 39, the World Cup winner has announced he will retire at the end of the season with Qatari outfit Al Sadd.

Once his boots have been hung up, Xavi intends to move into coaching.

The dream is that he will prove as successful off the field as he was on it, allowing him to one day return to his roots at Barcelona.

He is, however, aware that he has a long road ahead and needs to prove himself deserving of filling such a post.

Xavi told TV3: “I don't see myself [coaching Barcelona] yet as I can't start my career as a coach of Barcelona's first team, it's not normal.

“I must prove myself as a coach and start from scratch. It would be too quick to go back to Barcelona, or to coach a La Liga team.

“It's obviously my objective to enjoy myself at Barcelona [as head coach one day], but I have to be very prepared and it's not the time yet.”

Despite having severed ties with Barca in 2015, Xavi has kept a close eye on events at Camp Nou.

He has seen Ernesto Valverde’s side close on a La Liga and Copa del Rey double this season, but a stunning Champions League semi-final collapse against Liverpool has left the Blaugrana waiting on more European honours.

“I think Barcelona have to dominate games again, otherwise it is impossible to win the Champions League,” Xavi added.

“That's what history tells us as Barcelona first won the Champions League when they were winning La Liga and dominating matches.

“I think that now we aren't dominating [games] much.”

Xavi will continue to support Barca from afar once his playing days are over, with an all-time great admitting that he has been incredibly fortunate to achieve as much as he has.

An eight-time La Liga title winner who also boasts four Champions League crowns, two European Championship successes and a World Cup to his name, said of his remarkable career: “Everything has been a fairy tale.

“The recognition on a personal and football level, as well as all the trophies, the experiences, what I have enjoyed on the pitch, and feeling important at Barcelona and with the national team.”","Sat, 18 May 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['league', 'xavi', 'day', 'prove', 'job', 'camp', 'barcelona', 'nou', 'coach', 'managerial', 'soon', 'la', 'wants', 'champions', 'liga', 'think']", ,none
8,8,Drought_Ghana_2019_May,Hearts to grant fringe players match fitness against Dreams - Goal.com,https://www.goal.com/en-gh/news/hearts-to-grant-fringe-players-match-fitness-against-dreams/xhw787lu5jxp1kugfnbpif4sj,"Hearts to grant fringe players match fitness against Dreams

The Phobians' coach spoke on Sunday's win over Elmina Sharks as well as their upcoming last zone game

With first position in Zone A secured, Hearts of Oak plan to test their fringe players in their last group game against Dreams FC in the Ghana Special Competition.

A 3-1 win over Elmina Sharks has left the Phobians four points clear at the top.

Hearts had already secured qualification to the next round going into Sunday's penultimate matchday action following a 1-0 victory over Karela United in a top-of-the-table clash on Wednesday.

“We won the group. I'm delighted for the boys. Brilliant performance again,"" head coach and director of football Kim Grant said after Sunday's win.

""The boys are full of confidence and brave. I'm very proud of them. So that's the first part done.

""Now the important part [the semi-final] is coming up now and so the boys are fully focused.

""Obviously, [going into] the game against Dreams FC, I will look to get some match fitness for the other boys who are trying to get into the team because it's not been easy for them.""

Christopher Bonney (penalty), Abdul Manaf Umar and Mohammed Fatawu netted for Hearts while George Amonoo registered Sharks' consolation goal.

At the end of the group stage, the Phobians will face the second-placed team from Zone A.

The winners of the novelty league will represent Ghana in next season's Caf Champions League.","Mon, 20 May 2019 07:00:00 GMT",https://www.goal.com/assets/low-end/ltr/favicon-16x16.png,"['sharks', 'sundays', 'match', 'zone', 'dreams', 'win', 'boys', 'team', 'secured', 'fitness', 'grant', 'hearts', 'fringe', 'phobians', 'group', 'players']", ,none
9,9,Drought_Ghana_2019_May,"When water is all you need, surviving in Somalia - Africanews English",https://www.africanews.com/2019/05/28/when-water-is-all-you-need-surviving-in-somalia/,"Water they say is life, free of cost like breathing air, but when the commodity becomes all you need to survive, rarely will the thoughts of even good food cross your mind.

Not to mention any other basic human needs. Such is the agony of millions of children, women and men in the eastern Somali land.

Plants and animals equally face the dilemma, but how can the sun shine on those kneeling when it is not yet shining on those standing? Massive crop failures and animal losses are recorded yearly. Rapid spread of diseases including cholera and diarrhea.

Have you considered if your water was to become sunken into earth, then who could bring you flowing water

The United Nations warned in March 2019 that 20 million people face the threat of famine in Somalia, Nigeria, South Sudan, and Yemen and that “the world is facing the worst humanitarian crisis’‘.

But how many times has the United Nations not warned of severe droughts running into humanitarian crisis in Somalia? Even as recent as in May 2019.

What difference do warnings make in a region shooting itself in the foot with dragging conflicts that destabilizes the county every now and then?

The conflict factor

Undoubtedly droughts are natural phenomena. Prolonged period of abnormally low rainfall leading to water shortages.

This however occurs in several parts of the world although the intensity may differ. So why is that of Somalia worrying?

The land is entangled in nature’s web of seasonal droughts as a result of two seasons of no rainfall.

It is so intense that life is unbearable in most affected areas, causing acute shortage of food because of crops failure and animal death. This even caused many to evacuate the areas.

However, the incessant conflicts that spring up in these areas due to the constant struggles between successive Somali governments and Al Shabaab, to end terrorism and to create conditions for peace, defeats the efforts to reach the most affected.

It’s been over 25 long years of conflict in Somalia. Clearly not just the drought but the conflicts exacerbate the situation.

International community

Rainfall remains an uncontrollable factor in the Somali crisis equation and the struggle for peace keeps dangling, while millions of lives are just on the crossroads of death, as if waiting for it.

Refugees are being refused entry into other countries all over the world. How is the world expecting these innocent women and children to survive? And on who does the onus lie?

A disease that affects one part of the body, indirectly affects other parts too. This is an African proverb that originates from the Akans in Ghana. Although the international community is pushing in aid, the crisis must be faced head-on.

Efforts must be intensified to uproot or neutralize the growing conflict others are taking advantage of.

The spiritual factor

Could the crisis in Somalia have a spiritual dimension? Rainfall is one of the gifts of nature and considered a blessing from the creator of the universe.

What does Allah say about rainfall in the Qur’an, considering that majority of Somalis are Muslims, with a small community of Christians and other faiths.

“And we send down rain from the sky in a measured amount and we cause it to soak in the soil, and we certainly are able to take it away,’‘ says Qu’ran 23:18

“Have you considered if your water was to become sunken into earth,then who could bring you flowing water?’‘ Al Mulk 67:30 queries.

The same rain that survives lives is what the Bible emphasizes was used by God to destroy the disobedient in ancient days.

Throughout history, man has not been able to create rainfall, the most is to know if at all the rains will fall.

Like a double edged sword the Qur’an teaches prayers for seeking rain during times of drought. The prayer according to many scholars is similar to the one performed during the Eid prayers and can be performed where the Eid is performed.

As Somalis gear towards the end of the Ramadan season this year and prepare for the Eid, perhaps this could be the solution to this crawling crises.","Tue, 28 May 2019 07:00:00 GMT",https://static.euronews.com/articles/923971/1024x538_923971.jpg?1559055502,"['somalia', 'world', 'water', 'surviving', 'rain', 'eid', 'droughts', 'somali', 'crisis', 'need', 'quran', 'rainfall']", ,drought
