ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,DR-2014-000109-CHN,Worst drought in 63 years hits Liaoning province in northeast China - South China Morning Post,https://www.scmp.com/news/china/article/1573496/worst-drought-63-years-northeast-province,"Liaoning averaged 90mm across the province in July, compared with 165mm usually, and August looks to be just as dry","Thu, 14 Aug 2014 07:00:00 GMT",https://cdn1.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/2014/08/14/liaoningcorn-a.jpg?itok=fZNVVS-N,"['averaged', 'liaoning', 'hits', 'dry', 'drought', '63', '90mm', 'province', 'northeast', 'looks', 'usually', 'china', 'compared', '165mm', 'worst']",drought
1,DR-2014-000109-CHN,"In Time Of Drought, U.S. West's Alfalfa Exports Are Criticized - NPR",https://www.npr.org/2014/08/12/339753108/in-time-of-drought-arizona-s-alpha-exports-criticized,"In Time Of Drought, U.S. West's Alfalfa Exports Are Criticized

As the West moves more into a record-setting drought, many are taking a look at how water gets used. Alfalfa grown with Colorado River water is a case study of how and why water gets used as it does.

DAVID GREENE, HOST:

Who knew a solution to America's trade imbalance with China could be found by mixing desert soil with water? What you get is alfalfa. It used to be alfalfa hay stayed local. Dairy cows ate it that produced milk for Americans. But recently, alfalfa has been satisfying a demand for dairy products in China's growing middle class. Ted Robbins has the story.

TED ROBBINS, BYLINE: The sun is coming up on the Wellton-Mohawk Valley near Yuma, Arizona. When the cut alfalfa smells like a freshly mowed lawn. Farmer Dave Sharp is waiting for the right time to bail it.

DAVE SHARP: If you'll feel this hay right here, you can feel the moisture in it. You can feel the toughness in it. See, it won't break when I - when I work it. That is too tough - too tough - got too much moisture in it.

ROBBINS: When it's a little dryer, Dave Sharp's high protein hay will be a dairy cow's dream.

SHARP: Little bit of time. We'll give it a little bit of time, and then we'll be ready to go.

(SOUNDBITE OF MACHINERY)

ROBBINS: A few hours in the desert heat, and the alfalfa is ready. Balers move up and down the field, raking the hay and compressing it into big blocks - eight feet long, 1,400 pounds each. Then it's double compressed.

SHARP: It gets pushed into our hay compression machine, which compresses the hay to a smaller density.

ROBBINS: Jim Ohland is general manager of Kuhn Hay in El Centro, California. He supervises the process which made it feasible to send what used to be a local crop around the world. It's even shrink-wrapped.

JIM OHLAND: Exact same thing that a Pepsi-Cola or Budweiser or anybody uses to palletize a product. Only thing we don't do is put it on pallets.

(SOUNDBITE OF MACHINERY)

ROBBINS: That alfalfa makes its way on trucks to the ports of Los Angeles and Long Beach. Here, the containers which bring furniture, auto parts and electronics to this country are loaded with hay for the return trip to China. Because those containers would otherwise go back empty, it's actually cheaper to transport alfalfa from here to Beijing than it is to drive it north to California's Central Valley.

This is where our story about trade becomes a story about water. Farmers in much of the drought-stricken southwest are having trouble getting enough water to grow crops. But there's one place water is still plentiful - the region growing alfalfa near Yuma, Arizona, and just west in California's Imperial Valley.

That's because water here comes from the Colorado River, from high in the Rockies, 1,000 miles away, downhill through one of the largest water storage projects in world history to farms like Ronnie Leimgruber's.

Leimgruber sticks a shovel in the handle of a steel irrigation gate about the size of a large dog door. He yanks it up. When he opens a gate, water floods one of his alfalfa fields. He jogs down the side of the irrigation ditch, opening one gate after another.

This water turned a place which gets just three inches of rain a year into one of the most productive farming regions in the country. But that water supply is threatened by climate change and long-term drought. Lake Mead is hovering at half its capacity.

Robert Glennon is a law professor at the University of Arizona and the author of ""Unquenchable - America's Water Crisis And What To Do About It."" Those containers filled with alfalfa headed for China - he says, they might as well be filled with massive amounts of fresh water.

ROBERT GLENNON: In 2013, that was in excess of 100 billion gallons of water. And most of that is from California, and California is suffering through the worst drought in memory.

ROBBINS: Glennon says, exporting more and more alfalfa is unsustainable - a classic example of an economic dilemma known as the tragedy of the commons. Centuries ago, farmers in Europe grazed their cows on common ground. Each farmer acted rationally in their own self-interest, but together they depleted the common resource -grass. In this case, self-interest is a record high price for alfalfa. The common resource is water.

GLENNON: We've allowed limitless access to a finite supply.

ROBBINS: Agriculture uses 80 percent of Colorado River water. Cities want more of it. But there's no incentive for farmers to conserve water. Under the Byzantine law of the river, farmers like Dave Sharp don't even have the option to use less water. If he doesn't use his allotment, he loses it.

SHARP: I can market it. I can't move it. I have an entitlement to use the water that the irrigation district has - the rights. But I don't have ownership of that that I can sell it, lease it, move it - whatever I want.

ROBBINS: People like Robert Glennon say, it's time to relax the rules - help farmers conserve water. One option...

GLENNON: Temporary suspension of summertime irrigation.

ROBBINS: Stop growing alfalfa during the heat, when it uses much more water than in cooler months. If Colorado River basin farmers can reduce their overall use by just six percent, Robert Glennon says, cities would gain a startling amount of water.

GLENNON: That would double municipal supply in the entire basin - six percent. I don't think anyone thinks we can't conserve six percent of ag. water with really intelligent but very costly improvements in infrastructure.

ROBBINS: For instance, it costs a million dollars to convert a 500-acre farm from flood to drip irrigation. That's a lot for a farmer. But industries could compensate farmers to protect the water supply for their products.

GLENNON: For high-value stuff, like Intel for its chips or Google for its server farms - how do we do that? And I think the way we do that is by insisting that these other user groups pay to modernize farm infrastructure.

ROBBINS: Farmers like Ronnie Leimgruber are wary. Even if cities and businesses pay for ag. improvements, he's convinced they won't use the water wisely once they get it.

RONNIE LEIMGRUBER: Is a better to use our water to grow alfalfa sent to China to feed the kids? Or is it better take our water to L.A. to fill the swimming pools and to build golf courses for the movie stars to enjoy their summer afternoon with their hot toddy by the pool?

ROBBINS: Farmer Dave Sharp agrees. There's a long history of place like L.A. and Phoenix growing unchecked at the expense of farming communities. But he's pragmatic. He recognizes every side has to make adjustments.

SHARP: You can't just make more water. You've got to learn to live with what you've got, work with what you've got. And if your lifestyle is using more water than what you have the capability of getting your hands on, something's got to change.

ROBBINS: Maybe that means sending less alfalfa to China. Maybe it means ripping out more lawns in Las Vegas. It could mean both. The ongoing drought is already changing the West, and Westerners need to adapt to it. For NPR News, I'm Ted Robbins.

Copyright © 2014 NPR. All rights reserved. Visit our website terms of use and permissions pages at www.npr.org for further information.

NPR transcripts are created on a rush deadline by Verb8tm, Inc., an NPR contractor, and produced using a proprietary transcription process developed with NPR. This text may not be in its final form and may be updated or revised in the future. Accuracy and availability may vary. The authoritative record of NPR’s programming is the audio record.","Tue, 12 Aug 2014 07:00:00 GMT",https://media.npr.org/include/images/facebook-default-wide.jpg?s=1400,"['criticized', 'river', 'drought', 'farmers', 'used', 'sharp', 'alfalfa', 'glennon', 'exports', 'water', 'wests', 'china', 'hay']",drought
2,DR-2014-000109-CHN,"More Chinese on the Coast, Less Fish in the Sea - Scientific American",https://www.scientificamerican.com/article/more-chinese-on-the-coast-less-fish-in-the-sea/,"China's booming economic growth is helping to degrade the country's coastal marine ecosystem at an alarming rate, despite the total population remaining steady, according to a new study.

A joint Chinese and American research team analyzed five decades of data from Chinese government records and found that the country's coastal marine ecosystem has steadily degraded to an almost irreversible point since 1978—the year the Chinese government introduced sweeping reform to industrialize the country's economy.

While China's population has held steady through that time, the economic growth has driven people from the country's interior farmland to the coast, and the combination of industrialization and a swelling coastal population is taking its toll on the marine environment, according to the researchers.

Qiang He, a marine ecologist from Beijing Normal University, led the research while a visiting scholar in Mark Bertness' lab at Brown University. He has studied coastal change in China for the best part of a decade and is first author on a study describing the research, published today in the journal Scientific Reports.

""Our paper shows that economic growth, not population growth, is major cause of China's coastal ecosystem changes,"" he concluded.

More people on the coast, less fish in the sea

And these ecosystem changes may only get worse, threatening the 28,000 different marine species that live along the coast as well as China's 1.3 billion people—half of whom live on the industrialized coast.

Before 1978, the diversity and size of China's fish species were steady, but since the economic reforms took place, both have been steadily decreasing. Coral cover in the South China Sea has crashed to 15 percent of pre-1978 levels, according to the study, and red tides—algal blooms that turn coastal waters a deep, biblical red and can be debilitating and fatal to marine life—have increased from around 10 each year before 1980 to between 70 and 120 each year since.

China's coastal gross domestic product growth and population movements mirror this coastal degradation. Between 1950 and the 1978 reforms, China's coastal GDP grew annually by around $2.2 billion. Between 1978 and 2010, China's coastal GDP increased by over two orders of magnitude with the country's coastal GDP contribution rising from 50 percent of the total to 60 percent. China's coastal population also increased from 260 million in 1954 to 400 million in 1978, and to 590 million in 2010.

During that time, China has been fueling its industrial and economic growth partly through massive development of its coastline. Mariculture and fishing activities have expanded to support local populations, pollution levels have increased, and miles of coastlines have been developed and filled in with mud to build larger and busier ports.

""The coastal degradation has been just phenomenal,"" said Mark Bertness, a marine ecologist at Brown who supervised the study. ""The message here is without some kind of regulation on this, some kind of conservation, they're going to burn out the resource base.""

""All of that stuff is going to be gone, and it's going to be gone in very short order,"" he added.

A 'red flag' for developing countries

China has been gaining attention internationally recently for its aggressive efforts to decarbonize its economy. Record-breaking levels of smog in major cities like Beijing and Shanghai over the winter spurred the government to declare a ""war on pollution,"" investing heavily in renewable energy and technology to clean up its fossil fuel power plants. The country is also close to launching a nationwide carbon market (Greenwire, March 5).

Yet while air quality issues in China have been highly publicized, the study says it has been at the expense of water quality and the degradation of marine ecosystems. Coastal cities like Shenzhen and Fujian are not as populated and are more removed from the public eye, he added.

""The air pollution is very intense, it's very serious in the major cities like Beijing and Shanghai,"" he said. ""But in coastal cities, populations are ... not as high as in those cities.""

There has been a fair amount of research in China on coastal pollution, but Bertness said this is the first study to show that Chinese economic development is accelerating the country's coastal degradation.

China is also one of several nations pulling themselves out of the Third World this century through rapid industrialization. India, Brazil and other developing nations are following a similar trajectory, and Bertness said those countries should also keep an eye on how their industrial and economic development is effecting their coastal marine ecosystems.

""This should be a red flag for all of the developing countries, especially the Asian developing countries,"" Bertness said. ""The nice thing about China was that there was this line in the sand—1978—when everything absolutely changed. But in reality, in a lot of Third World countries, the change has been almost as dramatic.""

A 'mega-star' is born

Bertness was also proud of the work Qiang He did on the study. The young Chinese scientist—who gained the nickname ""Q,"" after the James Bond scientist, while working at Bertness' lab—conceptualized the study almost by himself. But it took some work, Bertness said.

""His first few months in my lab were really kind of trying, because I was trying to get him to think creatively and get him to think of new different things to do,"" Bertness said. ""One of things I stressed with him is if you really want to do something big in China, you want to do something no one in China has done yet.""

After a few months of fruitlessly pitching research ideas to Bertness, Qiang came into his office one day and said he wanted to look into the effect of the 1978 economic reforms on marine environments in China.

""I looked at him and said, 'Yes, that's exactly what you need to do,'"" Bertness recalled.

Bertness predicted that He, who is now a postdoctoral research associate at the Duke University Marine Laboratory, is going to be a ""mega-star"" in marine conservation and ecology in China.

""It was an amazing process watching him go through this metamorphosis,"" Bertness said. ""This was really kind of a coming of age scientifically and creatively for Qiang.""

Reprinted from Climatewire with permission from Environment & Energy Publishing, LLC. www.eenews.net, 202-628-6500","Fri, 08 Aug 2014 07:00:00 GMT",http://www.scientificamerican.com/themes/responsive/images/global/oglogo.png,"['bertness', 'chinese', 'research', 'sea', 'economic', 'study', 'growth', 'fish', 'coastal', 'chinas', 'china', 'marine', 'population', 'coast']",none
3,DR-2014-000109-CHN,Climate change and drought in ancient times - Science Daily,https://www.sciencedaily.com/releases/2014/08/140811151549.htm,"The influence of climate on agriculture is believed to be a key factor in the rise and fall of societies in the Ancient Near East. Dr. Simone Riehl of Tübingen University's Institute for Archaeological Science and the Senckenberg Center for Human Evolution and Palaeoenvironment has headed an investigation into archaeological finds of grain in order to find out what influence climate had on agriculture in early farming societies. Her findings are published in this week's PNAS -- Proceedings of the National Academy of Sciences.

She and her team analyzed grains of barley up to 12,000 years old from 33 locations across the Fertile Crescent to ascertain if they had had enough water while growing and ripening. Riehl found that periods of drought had had noticeable and widely differing effects on agriculture and societies in the Ancient Near East, with settlements finding a variety of ways to deal with the problem.

The 1,037 ancient samples were between 12,000 and 2,500 years old. They were compared with modern samples from 13 locations in the former Fertile Crescent. Dr. Riehl and her team measured the grains' content of two stable carbon isotopes. When barley grass gets insufficient water while growing, the proportion of heavier carbon isotopes deposited in its cells will be higher than normal. The two isotopes 12C und 13C remain stable for thousands of years and can be measured precisely -- giving Simone Riehl and her colleagues reliable information on the availability of water while the plants were growing.

They found that many settlements were affected by drought linked to major climate fluctuations. ""Geographic factors and technologies introduced by humans played a big role and influenced societies' options for development as well as their particular ways of dealing with drought,"" says Riehl. Her findings indicate that harvests in coastal regions of the northern Levant were little affected by drought; but further inland, drought lead to the need for irrigation or, in extreme cases, abandonment of the settlement.

The findings give archaeologists clues as to how early agricultural societies dealt with climate fluctuations and differing local environments. ""They can also help evaluate current conditions in regions with a high risk of crop failures,"" Riehl adds. The study is part of a German Research Foundation-backed project looking into the conditions under which Ancient Near Eastern societies rose and fell.","Mon, 11 Aug 2014 07:00:00 GMT",https://www.sciencedaily.com/images/scidaily-icon.png,"['climate', 'drought', 'ancient', 'agriculture', 'findings', 'riehl', 'times', 'societies', 'water', 'isotopes', 'near', 'change']",drought
4,DR-2014-000109-CHN,Drought-Resistant Rice Sows Wealth in India - Wall Street Journal,https://www.wsj.com/articles/drought-resistant-rice-sows-wealth-in-india-1407084130,,"Mon, 04 Aug 2014 07:00:00 GMT",,[],none
5,DR-2014-000109-CHN,California's severe drought unchanged despite record thunderstorms - Los Angeles Times,https://www.latimes.com/local/lanow/la-me-ln-rain-california-drought-20140807-story.html,"A series of thunderstorms that have hit California in recent weeks may have delivered devastating torrents of rain in some areas, but on the whole they were “inconsequential” in terms of easing the state’s worsening drought, according to a report issued Thursday.

The U.S. Drought Monitor, in its weekly report, said that the locations of the rain and the rate it fell minimized the relief for California’s parched landscape.

Because the heaviest showers were limited in scope, had high runoff rates and did not happen in two of the state’s key watersheds -- the Colorado River basin and the Sierra Nevada -- they “did not allow for significant percolation into drought-parched soils,” the report stated.

The report said the only short-term benefits of the rain was reduced irrigation demands and improved evaporation rates.

Advertisement

Though climatologists noted that last weekend’s storm over Mt. Baldy and the Forest Falls community -- the kind only seen once about every 500 years -- was just a stronger version of typical summer weather over the Southwest, the benefits appeared to evade California.

In fact the thunderstorms were incredibly destructive, sending mudflows through mountain towns in the San Gabriel Mountains that destroyed homes and killed one person, while sparking dozens of wildfires that continue to burn in Northern California.

The unusual weather events are occurring against the backdrop of more than half of California being under the most severe level of drought for the first time since the federal government began issuing regular drought reports in the late 1990s.

Since late July, roughly 58% of the state was considered to be experiencing an “exceptional” drought -- the harshest on a five-level scale.

The entire state has been in some level of drought since May, but more of it has since fallen into more severe categories -- “extreme” and “exceptional.” Nearly 22% more of California was added into the exceptional drought category two weeks ago.

California is also more than a year’s worth of water short in its reservoirs and moisture in the state’s topsoil and subsoil has nearly been depleted, according to the report.

“The bottom line is, there’s a lot of ground to make up,” Mark Svoboda, a climatologist with the National Drought Mitigation Center told The Times last week. “Mother Nature can’t put it back in that fast.”

The U.S. Drought Monitor issues updates weekly and is a joint effort of the National Drought Mitigation Center, the U.S. Department of Agriculture and the National Oceanic and Atmospheric Administration.

Advertisement

For breaking California news, follow @JosephSerna.","Thu, 07 Aug 2014 07:00:00 GMT",https://ca-times.brightspotcdn.com/dims4/default/804a93a/2147483647/strip/true/crop/2048x1075+0+78/resize/1200x630!/quality/90/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F53%2Fcd%2Fb7a1089bc981d5cfc6e24c1b572d%2Fla-me-ln-california-drought-photos-20140619-026,"['drought', 'states', 'rain', 'despite', 'california', 'exceptional', 'record', 'severe', 'thunderstorms', 'weather', 'californias', 'report', 'national', 'unchanged', 'weekly', 'weeks']",drought
6,DR-2014-000109-CHN,California Drought Helps Rim Fire Recovery - Circle of Blue WaterNews,https://www.circleofblue.org/2014/world/california-drought-helps-rim-fire-recovery/,"Little rain is not a problem for land managers working in the aftermath of one of California’s largest fires.

Image courtesy of U.S. Forest Service An unidentified U.S. Forest Service employee examines soil conditions near Skunk Creek in Stanislaus National Forest after a rainstorm in early March 2014, nearly seven months after the Rim fire. Click image to enlarge.

By Brett Walton

Circle of Blue

For the land and water managers working in the aftermath of one of the largest fires in California’s history, the lack of rain and snow – and more significantly the absence of land-ripping thunderstorms – has been a spot of relief in an otherwise bleak and trying year.

Blackened trees and charred homes are misery enough after a destructive blaze. But a severe forest fire also prepares the land for a destructive second act: a flood of muck and debris into streams and reservoirs after a heavy rain. In recent decades large forest fires in the American West, from California to Colorado, have cost water utilities millions of dollars in clean up costs.

The Rim fire burned more than one quarter of a million acres last August in Stanislaus National Forest and Yosemite National Park and cost $US 127 million to snuff out. A federal grand jury indicted a hunter last week for accidentally starting the inferno.

Yet the curtain has not lifted on a big second-act flush in the watershed. For that, California’s record drought – which has prompted unprecedented reductions in water availability – is a silver lining.

“The drought has been somewhat beneficial to the watershed,” Mary Moore, a U.S. Forest Service hydrologist working on the Rim fire recovery project, told Circle of Blue. “The rain has been light, wetting rain. That has allowed the seed bank to reestablish.”

The seed bank is the stock of grasses and young trees that begin to push through the denuded soil.

“We’re starting to see green up in the burned area,” Moore said. “There haven’t been any significant effects in degrading the watershed – no gullies or rills.”

Utilities operating in the watershed downstream of the fire are relieved too. No overwhelming cascade of dead trees, brush, and sediment has washed into Don Pedro reservoir, a large manmade lake on the Tuolumne River, said Calvin Curtain, spokesman for Turlock Irrigation District, which operates the dam and reservoir.

“Our biggest concern in relation to the Rim Fire is debris runoff into the reservoir,” Curtain told Circle of Blue. “Fortunately, in this case, we haven’t seen much runoff.”

The district has spent about $US 100,000 to guard mechanical structures in the reservoir from debris, Curtain said.

A Fear of Water

Floods are a problem after a fire for several reasons. First, dead trees and ash can turn streams into a thick cauldron of goo. Fort Collins, Colorado, for instance, sealed its water intake from the Cache la Poudre River in July 2012 after a rainstorm over the recently extinguished High Park fire caused a spike in particulates and a rapid degradation of the watershed.

The second problem occurs if the fire burns with such intensity that it creates a hydrophobic layer of soil that repels water like Teflon.

Image courtesy of U.S. Forest Service A map of the Rim fire with areas classified by how severely the soil burned. High severity burns (shown in red) covered 7 percent of the 103,772 hectares (256,428 acres) that burned. Click image to enlarge.

In the Rim fire, some 7 percent of the burn zone was classified as “high severity.” But roughly 40 percent of the burned acres show hydrophobic soil properties, Moore said.

A week ago Moore was in the field assessing the soil. She found the water-repelling layer at a depth of 2.5 centimeters (1 inch). All of the soil above the hydrophobic coat could potentially wash off.

“One inch is not as scary as three or four,” Moore explained.

Evidence of the flood risk came in late July when one of the few large storms to hit the area parked over Granite Creek. Almost 5 centimeters (2 inches) of rain fell in an hour. Moore said the storm tide overwhelmed a culvert large enough for a grown man to walk through.

Hitting the Utility’s Wallet

Turlock Irrigation District has spent only $US 100,000 responding to the Rim fire. Not every utility gets off so cheaply.

Fires in 1996 and 2002 clogged Strontia Springs reservoir and led Denver Water, the owner, to spend $US 26 million to dredge the facility and reseed the surrounding forest.

In Southern California, a series of storms in 2010 that followed a destructive fire in Angeles National Forest prompted a similar response from Los Angeles County, which spent $US 30 million to clear debris from basins it uses for flood control.

After these experiences, several utilities are taking preemptive action. Denver and Santa Fe are among a growing number of cities that are adding the costs of forest restoration and fire prevention to their water rates. They seek to reduce the risk of a catastrophic fire in the watersheds from which they drink.

The U.S. Forest Service, because it often oversees the land upstream of the reservoirs, usually facilitates the programs and has agreements with Colorado Springs in addition to Denver and Santa Fe.

The Bureau of Reclamation, a large federal water agency, joined the party last June as part of the Western Watershed Enhancement Partnerships, one of President Obama’s many climate change initiatives. River basins in six states – Arizona, California, Colorado, Idaho, Montana, and Washington – were selected for the program.

These efforts will take time – both to thin forests before a fire and guard against ill effects afterward.

Moore, the U.S. Forest Service hydrologist, said that a watershed takes as many as 10 years to recover from a serious fire. Significant damage to rivers and streams can occur even five or six years after the smoke has cleared.","Mon, 11 Aug 2014 07:00:00 GMT",https://i2.wp.com/www.circleofblue.org/wp-content/uploads/2014/08/RimFireSoil.jpg?fit=1000%2C747&ssl=1,"['soil', 'recovery', 'large', 'drought', 'forest', 'rain', 'service', 'california', 'moore', 'burned', 'helps', 'watershed', 'water', 'rim']",flood_drought
7,DR-2014-000109-CHN,Bottled Water Comes From the Most Drought-Ridden Places in the Country – Mother Jones - Mother Jones,https://www.motherjones.com/environment/2014/08/bottled-water-california-drought/,"



Update, 4/13/15: This article has been modified from its original version to include updated drought maps and information from the Desert Sun investigation.

Bottled-water drinkers, we have a problem: There’s a good chance that your water comes from California, a state experiencing the third-driest year on record.

The details of where and how bottling companies get their water are often quite murky, but generally speaking, bottled water falls into two categories. The first is “spring water,” or groundwater that’s collected, according to the EPA, “at the point where water flows naturally to the earth’s surface or from a borehole that taps into the underground source.” About 55 percent of bottled water in the United States is spring water, including Crystal Geyser and Arrowhead.

The other 45 percent comes from the municipal water supply, meaning that companies, including Aquafina and Dasani, simply treat tap water—the same stuff that comes out of your faucet at home—and bottle it up. (Weird, right?)

But regardless of whether companies bottle from springs or the tap, lots of them are using water in exactly the areas that need it most right now.

The map above shows the sources of water for four big-name companies that bottle in California. Aquafina and Dasani “sources” are the facilities where tap water is treated and bottled, whereas Crystal Geyser and Arrowhead “sources” refer to the springs themselves.

In the grand scheme of things, the amount of water used for bottling in California is only a tiny fraction of the amount of water used for food and beverage production—plenty of other bottled drinks use California’s water, and a whopping 80 percent of the state’s water supply goes toward agriculture. But still, the question remains: Why are Americans across the country drinking bottled water from drought-ridden California?

One reason is simply that California happens to be where some bottled water brands have set up shop. “You have to remember this is a 120-year-old brand,” said Jane Lazgin, a representative for Arrowhead. “Some of these sources have long, long been associated with the brand.” Lazgin acknowledges that, from an environmental perspective, “tap water is always the winner,” but says that the company tries to manage its springs sustainably. The water inside the bottle isn’t the only water that bottling companies require: Coca-Cola bottling plants, which produce Dasani, use 1.63 liters of water for every liter of beverage produced in California, according to Coca-Cola representative Dora Wong. “Our California facilities continue to seek ways to reduce overall water use,” she wrote in an email.

Then there’s the aforementioned murkiness of the industry: Companies aren’t required to publicly disclose exactly where their sources are or how much water each facility bottles. Peter Gleick, author of Bottled and Sold: The Story Behind Our Obsession With Bottled Water, says, “I don’t think people have a clue—no one knows” where their bottled water comes from. (Fun facts he’s discovered in his research: Everest water comes from Texas, Glacier Mountain comes from Ohio, and only about a third of Poland Springs water comes from the actual Poland Spring, in Maine.)

A recent Desert Sun investigation reported that the Nestle Waters, the company that owns Arrowhead, has been transporting water out of the San Bernadino National Forest using a permit that expired in 1988. The Forest Service hadn’t examined the impacts of the bottled water industry on the region. Since the investigation, Forest Service representatives have said that examining the permit is a “priority,” and Lazgin wrote that Arrowhead plans to comply with the permit renewal process.

Despite the fact that almost all US tap water is better regulated and monitored than bottled, and despite the hefty environmental footprint of the bottled water industry, perhaps the biggest reason that bottling companies are using water in drought zones is simply because we’re still providing a demand for it: In 2012 in the United States alone, the industry produced about 10 billion gallons of bottled water, with sales revenues at $12 billion.

As Gleick wrote, “This industry has very successfully turned a public resource into a private commodity.” And consumers—well, we’re drinking it up.","Mon, 11 Aug 2014 07:00:00 GMT",https://www.motherjones.com/wp-content/uploads/bottles-master_0.jpg?w=1200&h=630&crop=1,"['industry', 'bottled', 'tap', 'places', 'droughtridden', 'jones', 'california', 'springs', 'water', 'comes', 'country', 'mother', 'companies', 'bottling', 'sources']",none
8,DR-2014-000109-CHN,'Lawn Dude' Prods Californians to Battle Drought by Conserving Water - Wall Street Journal,https://www.wsj.com/articles/lawn-dude-prods-californians-to-battle-drought-by-conserving-water-1406897329,,"Fri, 01 Aug 2014 07:00:00 GMT",,[],none
9,DR-2014-000109-CHN,End of Volvo product drought is near - Automotive News,https://www.autonews.com/article/20140804/OEM04/308049967/end-of-volvo-product-drought-is-near,"""It will be in the first time in the history of the company that we'll have everything released in three years and fully synchronized and modernized,"" Samuelsson said.

The XC90 replacement will be the first car built on Volvo's new modular Scalable Platform Architecture, known as SPA, which eventually will be used for all models except the V40 compact. The replacement V40 is being developed on a different platform jointly with parent company Geely.

Volvo also is modernizing its engines with a new family of fuel-efficient Drive-E four-cylinder powerplants that are rolling out on 20151/2 models.

V60: The newly released V60 station wagon won't be changed for several years until it switches to the new architecture.

S60: A redesigned version of the compact sedan is expected in 2016 or 2017.

XC60: The redesigned compact crossover is expected in 2017 or 2018.

XC70: The tall wagon may be replaced in 2015 or 2016 and likely will be called the XC80.","Mon, 04 Aug 2014 07:00:00 GMT",https://s3-prod.autonews.com/s3fs-public/styles/800x600/public/OEM04_308049967_AR_-1_LGMPKQTKQUKJ.jpg,"['v40', 'drought', 'platform', 'wagon', 'released', 'expected', 'company', 'replacement', '2016', 'end', 'near', 'product', 'compact', 'volvo', 'redesigned']",none
