,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2015-000068-BGD,Netherlands to help Bangladesh tackle flooding issues - The Construction Index,https://www.theconstructionindex.co.uk/news/view/netherlands-to-help-bangladesh-tackle-flooding-issues,,"Wed, 17 Jun 2015 07:00:00 GMT",,[], 
1,1,FL-2015-000068-BGD,From Drought to Flood-The Sudden Exchange of One Hazard for Another in Texas - Insurance Journal,https://www.insurancejournal.com/blogs/corelogic/2015/06/11/371525.htm,"This post is part of a series sponsored by CoreLogic.

Amongst Texans, nearly every conversation about weather over the last several years has focused on the ongoing drought that has resulted in water supply shortages and mandatory restrictions of water use, severe wildfire conditions, as well as a considerable reduction in recreational lake activities and what were once “waterfront properties”.

But suddenly, the problem is not a lack of water, but too much water. Record amounts of precipitation have fallen in parts of eastern and central Texas, with forecasts indicating there is more on the way.1 The result? Severe and devastating flooding that has ravaged both urban and rural homes as well as businesses, automobiles, and infrastructure.

Flooding is one of the main causes of property damage in Texas. Approximately 12% of the state’s land area is susceptible to flooding, which makes it the top state for total flood prone area.2 Weather patterns that produce severe precipitation events combined with terrain that is conducive to overland flow of water has resulted in central Texas being one of the most flash-flood prone areas in the United States.3

Unfortunately, one of the most common refrains heard during and after a severe flooding event is that some homeowners were not insured for flood damage.5

CoreLogic analyzed nearly 3,500 flood events in Texas that occurred between 1950 and 2012 and determined that 88.7% possessed a flash-flood component. Although these flood events were distributed throughout the state, it is clear that flash-flooding does not occur randomly, and in fact occurs more frequently in the central part of the state; in areas commonly referred to as Flash Flood Alley (Map 1).

One common method of evaluating flood-induced property damage is by reviewing the National Flood Insurance Program (NFIP) paid losses. In fact, according to the Federal Emergency Management Agency (FEMA):

The National Flood Insurance Program (NFIP) paid losses for flooding in Texas from January, 1978 through March of 2015 totaling nearly $5.6 billion, which places Texas third on the list of states with NFIP payouts. 4

Geographically, the region in Texas with the worst flood losses is located along the coast, centered on Galveston and Harris counties (Map 2).

Galveston and Harris combine to claim 68.6% of the total NFIP losses in Texas over the course of the last 37 years, based on both coastal and inland flooding.4

Inland flooding contributed significantly to the state total, with Travis, Comal, and Guadalupe counties having high flood losses.

Texas has approximately 8 million structures located in a floodplain and nearly 3 million of those structures are not insured for flood damage.6

In 2015, the state of Texas set a new record for the amount of rainfall in the month of May—7.54 inches—with some areas receiving 10 or more inches over the span of just a couple days.1 Due to the intense precipitation and resulting flooding, more than 4,000 homes were damaged or destroyed by the raging water.7 Early estimates indicate that flood damage to insured automobiles may exceed a quarter of a billion dollars in Texas.8 When the rains cease and the waters recede, the total number of properties impacted by this flooding may be even greater. It has never been more important to be aware of the flood risk on your property and to be prepared for future flood events.

Click here for more information on mitigating Flash Flood Risk.

SOURCES:

1 Texas Sets Record Wet Month. www.weather.com, 5/29/2015.

22001 Blue Ribbon Committee Study — Texas Senate Concurrent Resolution 68.

3FloodSafety.com, 2015.

4http://bsa.nfipstat.fema.gov/reports/1040.htm, FEMA, 2015.

5Texas Flooding 2015: Without Flood Insurance, Homeowners Face Challenges In Rebuilding Homes, International Business Times, May 27, 2015.

6FEMA Statistics, 2015.

7Texas Floods 2015: Residents Start Cleanup, Struggle With Damage After Torrential Rains, International Business Times, May 27, 2015.

8Update: Texas Auto Losses From Floods Could Top $250 Million. Best’s New Service, May 28, 2015.12Strongest earthquake in 25 years for California’s Bay Area. CNN, September 2014.

Topics Texas Flood","Thu, 11 Jun 2015 07:00:00 GMT",https://www.insurancejournal.com/app/uploads/2015/06/map-1-290x580.png,"['flood', 'floodthe', 'state', 'nfip', 'hazard', 'drought', 'exchange', 'sudden', 'water', 'total', 'flooding', 'texas', 'nearly', 'severe', 'losses']", 
2,2,FL-2015-000068-BGD,Rain triggers flash flood in north - The Daily Star,https://www.thedailystar.net/city/rain-triggers-flash-flood-3-dists-96358,"Low-lying areas of the northern Bogra, Lalmonirhat and Nilphamari districts have been inundated by the rising waters of the Jamuna, Teesta and Dharla rivers triggered by heavy rains in Bangladesh and neighbouring India since Thursday night with the local administrations estimating some 75,000 people to have been affected.

Our Bogra correspondent reports that some 20,000 residents of at least 15 villages of Shariakandi upazila have been marooned after an under-construction eight-kilometre embankment collapsed in Haorakhali village yesterday afternoon giving way to the Jamuna.

Bangladesh Water Development Board (BWDB) sources say water has been flowing well above the danger mark, seeping into neighbouring upazilas and threatening another 20,000 villagers.

The Tk 20-crore embankment project, from Dhalirkandi of Shariakandi union and Daripara of Kamalpur union, was initiated after a flood control dam collapsed flooding six upazilas last year.

The agriculture office is yet to estimate damage to crops while the upazila nirbahi officer hopes the situation would be normalised since the embankment's repairs were ongoing.

Our Lalmonirhat correspondent reports that some 50,000 people of 80 villages in five upazilas have been affected with most moving to higher grounds for the rise in the waters of the Teesta and Dharla rivers both upstream and downstream.

Water was flowing close to the danger level at the Teesta barrage point of Hatibandha upazila and at the Kulaghat point of sadar upazila, say BWDB sources.

People have been resorting to dry food while apprehending a shortage of fodder.

Our Nilphamari correspondent reports that at least 5,000 people of 14 villages in Dimla and Jaldhaka upazilas have become marooned since the Teesta started swelling with the water passing close to the danger mark at Dalia point near the Teesta barrage.

Most houses have gone under two to three feet of water while people are suffering from a lack of dry food and drinking water.

The heavy rains are also threatening parts of an embankment at Bhaban Chur and Gopal Jhar points in Jaldhaka upazila.

The affected villages are Uttor Kharibari, Kisamoter Char, Baish Pukur, Vendabari, Tapur Char, Kisamat Chhatnai, Chhatunama, Bhabon Chur, Sati Ghat, Jharsingheswar, Gopal Jhar, Holdibari, Chhotokhata and Banpara.

India opened the Gojaldoba barrage while waters in other major rivers like Charal Kata, Deonai, Buri Teesta, Buri Khora, Jamuneswari, Nautara and Panga have also swelled, inundating maize and vegetable fields on an estimated 200 hectares of land.

The upazila nirbahi officer said they were monitoring the situation.","Sat, 13 Jun 2015 07:00:00 GMT",https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/social_share/public/feature/images/haorakhali_village_1.jpg?itok=do-5xVWb,"['flood', 'waters', 'flash', 'teesta', 'rivers', 'rain', 'water', 'north', 'villages', 'embankment', 'upazila', 'upazilas', 'triggers', 'point', 'reports']", 
3,3,FL-2015-000068-BGD,Monsoon Rains to Continue in Bangladesh | Skymet Weather Services - Skymet Weather,https://www.skymetweather.com/content/weather-news-and-analysis/monsoon-rains-to-continue-in-bangladesh/,"Weather News and Analysis

Skymet Weather Team

Along with Northeast India, Monsoon arrived in some parts of Bangladesh. Conditions are favourable for Monsoon to cover the rest of the country shortly. Heavy rain has lashed parts of Bangladesh, particularly northern half of the country. The satellite imagery also support heavy cloud mass sitting right over Bangladesh. Conditions look conducive for the next couple of days. Rain may become even heavier.

A cyclonic circulation is over Bihar and West Bengal region and is persisting for some time now. This system is responsible for pushing highly humid winds from the Bay of Bengal to Bangladesh. Most parts of the country have been receiving rain of varying intensity due to this reason. Even the capital city has received good amounts of rain in the last 24 hours.

In the last 24 hours from 8:30 am on Wednesday, Sylhet received 222.1 mm of rain, Rangpur (94.6 mm), Mymemsingh (67 mm), Saidpur (58.2 mm), Tangail (45 mm), Rangamati (37 mm), Bogra (39 mm), Feni (35 mm), and Dhaka (13 mm).

Also Read: India vs Bangladesh 1st Test Match: Monsoon plays spoilsport

Heavy rain in Fatullah has already played spoilsport on the first and the second day of the one-off test match between India and Bangladesh. The chances of play are bleak in the coming days. Bangladesh will continue to receive heavy to very heavy rain for the next 24 hours. If the situation persists for a couple of days, it may lead to water-logging and a flood like situation.

Image Credit (tarikmoon.com)","Thu, 11 Jun 2015 07:00:00 GMT",https://www.skymetweather.com/content/wp-content/uploads/2015/06/bangladesh-rain-image.jpg,"['india', 'continue', 'heavy', 'mm', 'rain', 'days', 'country', '24', 'parts', 'bangladesh', 'rains', 'monsoon']", 
4,4,FL-2015-000068-BGD,"Flooding Kills at Least 12 People, Frees Zoo Animals in Tbilisi, Georgia - Wall Street Journal",https://www.wsj.com/articles/zoo-animals-roam-loose-in-georgias-capital-after-flooding-1434277091,,"Sun, 14 Jun 2015 07:00:00 GMT",,[], 
5,5,FL-2015-000068-BGD,Ghana’s Growth Spurs Uncontrollable Trash - Wall Street Journal,https://www.wsj.com/articles/ghanas-growth-spurs-uncontrollable-trash-1434928945,,"Sun, 21 Jun 2015 07:00:00 GMT",,[], 
6,6,FL-2015-000068-BGD,Pope's Climate Encyclical: 4 Main Points - Climate Central,https://www.climatecentral.org/news/4-main-points-pope-climate-encyclical-19129,"Pope’s Climate Encyclical: 4 Main Points

Pope Francis’ much-anticipated encyclical on climate change and the environment was officially released Thursday, with high expectations that it could be a watershed moment in bolstering support for taking international action to solve what he calls in his message, “one of the principal challenges facing humanity in our day.”

Credit: Catholic Church of England

The text of document, released in several languages, does not appear to differ substantially from the non-final Italian version leaked on Monday. In it, Francis lays out the myriad environmental problems, including global warming, faced by the world today, as well as the moral and religious arguments for combating them.

Francis' aim is to use his, and the Catholic Church’s, authority to try and spread an acceptance of these issues and spur efforts to solve them.

While “the Church does not presume to settle scientific questions or to replace politics,” he wrote, “ . . . I am concerned to encourage an honest and open debate so that particular interests or ideologies will not prejudice the common good.”

Here are the four main points that the Pope makes in the 180-page message, including quotes from the text, as well as what the next steps in international efforts might be.

1. We all have a moral (and, for Catholics, a religious) obligation to take care of the Earth and the poorest.

“The climate is a common good, belonging to all and meant for all. At the global level, it is a complex system linked to many of the essential conditions for human life.

“I urgently appeal, then, for a new dialogue about how we are shaping the future of our planet. We need a conversation which includes everyone, since the environmental challenge we are undergoing, and its human roots, concern and affect us all.”

2. Humans are driving the bulk of observed global warming, as well as numerous other environmental problems that pollute the air and water. We must own up to that fact and work to fix the problems we have caused.

“A very solid scientific consensus indicates that we are presently witnessing a disturbing warming of the climatic system. In recent decades this warming has been accompanied by a constant rise in the sea level and, it would appear, by an increase of extreme weather events, even if a scientifically determinable cause cannot be assigned to each particular phenomenon. Humanity is called to recognize the need for changes of lifestyle, production and consumption, in order to combat this warming or at least the human causes which produce or aggravate it.”

3. The way primarily Western, developed society currently lives is wasteful and unsustainable. Its consequences are disproportionately felt by the poor, developing nations who don’t get the benefits of that way of life.

“We all know that it is not possible to sustain the present level of consumption in developed countries and wealthier sectors of society, where the habit of wasting and discarding has reached unprecedented levels. The exploitation of the planet has already exceeded acceptable limits and we still have not solved the problem of poverty.

Emissions from a coal burning electric power plant in Pleasant Prairie, Wisconsin.



Credit: James Jordan/flickr

“Many of the poor live in areas particularly affected by phenomena related to warming, and their means of subsistence are largely dependent on natural reserves and ecosystemic services such as agriculture, fishing and forestry. They have no other financial activities or resources which can enable them to adapt to climate change or to face natural disasters, and their access to social services and protection is very limited.”

4. If we don’t act now to solve climate change and other environmental ills, we leave a compounding crisis to future generations. The action that we take must come soon and must be real, substantial and a true global effort.

“There is an urgent need to develop policies so that, in the next few years, the emission of carbon dioxide and other highly polluting gases can be drastically reduced, for example, substituting for fossil fuels and developing sources of renewable energy.”

“A global consensus is essential for confronting the deeper problems, which cannot be resolved by unilateral actions on the part of individual countries.

“But the international community has still not reached adequate agreements about the responsibility for paying the costs of this energy transition.

“The global economic crises have made painfully obvious the detrimental effects of disregarding our common destiny, which cannot exclude those who come after us.”

Flooding in Bangladesh in July 2009.

Credit: Amir Jina/flickr

The Pope’s comments are already being widely discussed and dissected, and are likely to receive further attention during several future events that will be carefully watched. These include upcoming speeches to be made by the Pope to the U.S. Congress and the United Nations, as well as the crucial international climate talks to be held in Paris in December. The primary goal of those talks is to reach a binding international agreement to limit warming below the 2°C (3.6°F) of warming that some scientists say is necessary to prevent the worst outcomes of climate change. (Since the beginning of the 20th century, the world has already warmed by 1.6°F.)

Many climate scientists, commentators and those involved in such negotiations are hopeful that the moral weight of the Pope’s message will provide a push to those efforts.

“I think it is difficult to underestimate the moral authority that the Pope brings to acting on climate with this encyclical,” Michael Mann, a Penn State climate scientist, said in an email. “I suspect we will look back at this moment as a turning point, and we will view Pope Francis as one of the great heroes in modern history.”

You May Also Like:

What Bill’s Downpours Tell Us About Texas’ Future

Twitter Could Shape Flood Disaster Response

National Parks Visits Could Rise and Fall as Temps Warm

States See Renewable Future in Offshore Wind Farms","Thu, 18 Jun 2015 07:00:00 GMT",https://assets.climatecentral.org/images/made/6_18_15_Andrea_pope_1_1000_600_315_s_c1_c_c.jpg,"['points', 'change', 'encyclical', 'warming', 'global', 'future', 'environmental', 'climate', 'pope', 'moral', 'problems', 'popes', 'international', 'main']", 
7,7,FL-2015-000068-BGD,Climate change a growing concern for Muslims at Ramadan - Anadolu Agency,https://www.aa.com.tr/en/world/climate-change-a-growing-concern-for-muslims-at-ramadan/35120,,"Thu, 18 Jun 2015 07:00:00 GMT",,[], 
8,8,FL-2015-000068-BGD,This stunning photo of a village in Transylvania buried under toxic sludge is in the running for a world award - Business Insider Australia,https://www.businessinsider.com.au/this-stunning-photo-of-a-village-in-transylvania-buried-under-toxic-sludge-is-in-the-running-for-a-world-award-2015-6,"This was once the village of Geamana in the Apuseni Mountains in Romania:

Picture: Glyn Thomas: The Abandoned Village of Geamana, Romania, 2014.

The picture was taken by Glyn Thomas, one of 111 finalists in the Atkins CIWEM Environmental Photographer of the Year Exhibition.

The aim of the annual awards is to demonstrate “the dynamic link between environmental and social issues in a way that makes us think differently about the world around us”.

In the case above, up to 400 families were forced to leave Geamana in 1978 as their homes were sacrificed so the entire basin could be flooded with toxic waste from a huge copper mine. That’s the church steeple you can see in the picture, buried by tailings from the mine.

The colourful swirls that surround the steeple when the groundwater rises are a favourite snap for tourists, even though it’s pure pollution.

But with debate firing up about another cyanide-based mine opening nearby, Glyn Thomas’s shot is a stunning reminder of the long-term environmental price we pay for looting the Earth’s resources.

Here’s a selection of more of the thought-provoking images. From June 22, the shortlisted works of outstanding photographic art will go on show at the Royal Geographical Society in London for 18 days. The winners will be announced on June 25.

Retrace our Steps – Fukushima, Japan

Picture: Carlos Ayesta and Guillaume Bression: Retrace our Steps, Fukushima, Japan, 2014.

Photographers Carlos Ayesta and Guillaume Bression asked former residents and owners from Japan’s Fukushima prefecture to join them for a shoot in their old homes and businesses. Here, Midori Ito wanders a supermarket in Namie Citie abandoned after the 2011 earthquake disaster. The idea behind the shoot was “to combine the banal and unusual”.

Sandstorm in the city – Kuwait

Picture: Rizalde Cayanan, Sandstorm in the city, Kuwait 2011.

When a severe sandstorm swallowed parts of Kuwait on March 25, 2011, photographer Rizalde Cayanan was there for this epic shot. Kuwait’s International Airport was shut down and some areas reported nil visibility.

Glacier 1987 – Mount Kenya

Simon Norfolk, Glacier 1987, Mount Kenya, 2014.

Simon Norfolk took this picture of Lewis Glacier, Mount Kenya, to show how far the glacier had receded since the same time in 1987. The flame line, fueled by petrol, was added to show the 120m distance between the glacier in 1987 and now.

Norfolk also wants people to know his images contain no evidence that man-made warming is responsible for the retreat. (He’s just sayin’.)

Collecting crabs – Satkhira, Bangladesh

Kazi Riasat Alve: Collecting crabs. Satkhira, Bangladesh, 2014.

In 2009, Aila, a severe cyclonic storm, hit the west coast of Bengal. The storm surge pushed the ocean 2-3 metres above tide levels. This man owned a huge area of arable farming land. Now he can only collect crabs from it to sell at market, due to the high salinity of the soil and water caused by the surge.

The Devil’s Gold, Indonesia

Picture: Luca Catalano Gonzaga: The Devil’s Gold, Indonesia, 2014.

Sulphur. You might also know it as fertiliser, skin lotion, wine preservative or the stuff that makes paper white. In Indonesia, it’s known as “the Devil’s gold”, and it’s extracted by hand from inside volcanoes, where workers need special suits to survive the toxic fumes.

Cladonia Forest – USA

Picture: Matthew Cicanese, Cladonia Forest, USA 2014.

Matthew Cicanese wants people to not forget about the little things. As in, the microscopic things you grind under your feet, and cars, and housing developments. He reckons miniscule lifeforms, with their intricate organisms and micro biodiversity, such as this Cladonia lichen forest, deserve recognition, and care.

Life in Tidal Flood 3 – Chittagong, Bangladesh

Picture: Jashim Salem, Life in tidal flood 3, Chittagong, Bangladesh.

What sea level rise? This one which sees Jashim Salam and his family in Chittagong, Bangladesh watching their telly and not even bothering to keep dry any more as the tide comes in. A 65cm sea level rise by 2080 would destroy 40% of southern Bangladesh’s arable land, and create 20 million “climate refugees”.

Business Insider Emails & Alerts Site highlights each day to your inbox. Email Address Join

Follow Business Insider Australia on Facebook, Twitter, LinkedIn, and Instagram.","Fri, 19 Jun 2015 07:00:00 GMT",https://edge.alluremedia.com.au/uploads/businessinsider/2015/06/enviro-5.jpg,"['buried', '1987', 'toxic', 'mount', 'fukushima', 'glyn', 'geamana', 'sludge', 'environmental', 'picture', 'forest', 'transylvania', 'running', 'village', 'award', 'stunning', 'glacier', 'world', 'gold']", 
9,9,FL-2015-000068-BGD,Heavy rains cause flooding in southern Oman - gulfnews.com,https://gulfnews.com/world/gulf/oman/heavy-rains-cause-flooding-in-southern-oman-1.1534121,"Muscat: Heavy rain lashed most parts of south and north Sharqiyah and Wusta governorates as tropical storm Ashobaa headed to Oman’s shores on Friday morning.

The cyclone was expected to make landfall later on Friday. Heavy rainfall is expected to hit Muscat, Dhaklyah, South Batinah, Wusta and Dhofar.

No causalities have been reported so far, an official at the Public Authority for Civil Defence and Ambulance (PACDA), told Gulf News.

Many wadis in Sharqiyah flooded, causing traffic jams. The Royal Oman Police (ROP), closed some roads in the area.

“We don’t want road users to venture out and cross them”, an ROP official said.

More than 40 people were rescued due to flooding in Sur, Ras Al Had, Masirah, Ashkarah, Wadi Bani Khalid and Jalan. PACDA hasn’t yet reported any people missing.

Four Emiratis were among those rescued. Three were rescued when their vehicle was swept away by Wadi Bani Khalid on Thursday. Another ten-year-old Emirati boy was rescued while he was swimming in flood water near Wadi Bani Khalid on Friday morning. The official said they are all in a stable condition.

The Ministry of Social Development said that it provides shelters for those families in South and North Sharqiyah affected due to the cyclone.

Many areas in Sur and Masirah flooded, forcing people to move to allocated shelters provided by the Ministry of Social Development. Ministry officials told Gulf News that it provides all food and medical aid for nationals and residents using the shelters.

Some families refused to leave their flooded houses.

Many losses in properties have been reported in those areas but the financial toll hasn’t yet been announced by the Omani authorities.

Power outages have been reported in some areas of South Sharqiyah provinces, lasting for more than seven hours so far due to the storm.

Some electricity poles were knocked down due to the strong winds, while other poles caught fire, a PACDA official said.

Masirah Island received more than 250mm of rainfall. Ras Al Had recorded 55mm, while Sur has recorded 48mm so far, according to the Directorate General of Meteorology.

Omanis have launched a hashtag in Arabic “Salute to the soldiers of Oman”, lauding the efforts of all Royal Armed Forces, PACDA and the Royal Oman Police, for their stupendous efforts in the rescue operations.

23 schools have been allocated as shelters in South and North Sharqiaha governorate, due to the weather conditions.

The Public Authority for Consumer Protection (PACP) issued a statement warning all suppliers and shop owners that it will not tolerate price increases due to the cyclone.

It added that it will intensify its inspections to make sure the price of food is not increased.

Oman Oil Refineries and Petroleum Industry (ORPIC) assured people that there was enough fuel reserves in petrol stations nationwide.

70 people were killed in two major cyclones which hit Oman, Cyclone Gonu in June 2007 and Phet in June 2010.","Fri, 12 Jun 2015 07:00:00 GMT",https://imagevars.gulfnews.com/2015/6/12/1_16a083938ff.1534111_3475208590_16a083938ff_medium.jpg,"['sur', 'south', 'heavy', 'official', 'rescued', 'shelters', 'reported', 'flooding', 'oman', 'wadi', 'pacda', 'sharqiyah', 'rains', 'southern', 'cause']", 
