,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2016-000044-CHN,Flooding paralyses rush hour traffic in southern Chinese cities amid huge downpour - South China Morning Post,https://www.scmp.com/news/china/society/article/1943046/flooding-paralyses-rush-hour-traffic-southern-chinese-cities-amid,,"Tue, 10 May 2016 07:00:00 GMT",https://cdn1.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/images/methode/2016/05/10/0894e99e-1664-11e6-bd42-dc82dcee8964_image_hires.jpg?itok=-m6pOCqZ,"['traffic', 'cities', 'huge', 'hour', 'chinese', 'rush', 'downpour', 'paralyses', 'flooding', 'southern']", 
1,1,FL-2016-000044-CHN,China landslide caused by heavy rains kills 31 - Los Angeles Times,https://www.latimes.com/world/asia/la-fg-china-landslide-20160509-story.html,"At least 31 construction workers were killed and 7 were missing after landslide caused by heavy rains hit a hydroelectric power station in Fujian province in southeastern China, officials said Monday.

Most of the workers were asleep early Sunday when the landslide began near the Chitan hydroelectric station, the New China News Agency reported. The area suffered heavy rains on Saturday and Sunday, totaling more than 7 1/2 inches in 24 hours, local officials said.

“We were asleep at 5 a.m. before the dawn, when the mountain suddenly began to jolt. Before we could respond, sand and mud flooded into our room and pushed the room 10 meters,” or about 33 feet, 36-year-old survivor Deng Chunwu told the news agency.

“It’s been raining all the time over the past couple of days, and I didn’t think it was a big deal,” Deng said. “But the rain last night was more fierce than ever.”

Advertisement

The hydroelectric station was put into service in 1980. The missing laborers were building an extension that was planned to begin operation in August 2017, according to the news agency. Chinese President Xi Jinping ordered all-out efforts to find the missing workers.

Some Chinese questioned whether officials had made mistakes in choosing the location for the power station. But Li Lixin, general manager of Huadian Fuxin Energy Corp. said at a news conference that an accident had not occurred in 30 years. “We chose the location strictly in accordance with the relevant requirements,” Lixin said. “The disaster was caused by the continuous heavy rains.”

Much of eastern and southern China was hit by torrential rain over the weekend, triggering floods and landslides. Among the hardest hit areas was Yangshuo, in Guangxi province. Surrounded by soaring karst peaks and bordered by the Li River, the small city has been a popular tourist spot among backpackers since 1980s. But it was inundated almost overnight, with numerous vehicles and their passengers stuck on the roads. No injuries or deaths were reported.

China’s state flood control authority warned last week that the country is poised to suffer massive spring floods due to the strongest El Niño since 1998. That year, flooding lasted for two months and killed more than 3,000 people.

The Three Gorges Dam, on the Yangtze River, recorded an inflow of 17,800 cubic meters per second on Sunday, the highest since 1992, authorities said.","Mon, 09 May 2016 07:00:00 GMT",https://ca-times.brightspotcdn.com/dims4/default/146eced/2147483647/strip/true/crop/2048x1075+0+141/resize/1200x630!/quality/90/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fbc%2F82%2F20ecfbb408f1c0f5b5b6633852e7%2Fla-fg-image-china-landslide-20160509,"['room', 'hydroelectric', 'hit', 'officials', 'heavy', 'landslide', 'workers', 'station', 'missing', 'china', 'rains', 'caused', '31', 'kills', 'river']", 
2,2,FL-2016-000044-CHN,How India’s River Row with China Shows The Growing Importance of Water Security – The Short Answer - Wall Street Journal,https://www.wsj.com/articles/BL-263B-7507,,"Mon, 09 May 2016 07:00:00 GMT",,[], 
3,3,FL-2016-000044-CHN,Weather-Related Natural Disasters Now Cost $250B Globally Each Year - Forbes,https://www.forbes.com/sites/marshallshepherd/2016/05/12/weather-caused-90-of-natural-disasters-over-the-past-20-years-and-impacted-the-global-economy/,,"Thu, 12 May 2016 07:00:00 GMT",,[], 
4,4,FL-2016-000044-CHN,"Hong Kong red rain alert replaced by amber again: flood warning for parts of New Territories,… - South China Morning Post",https://www.scmp.com/news/hong-kong/health-environment/article/1942981/hong-kong-red-rain-alert-replaced-amber-again,,"Tue, 10 May 2016 07:00:00 GMT",https://cdn1.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/images/methode/2016/05/10/45ee64ce-1668-11e6-bd42-dc82dcee8964_image_hires.jpg?itok=1liEy5xF,"['red', 'rain', 'kong', 'warning', 'suspended', 'territories', 'parts', 'hong', 'flood', 'replaced']", 
5,5,FL-2016-000044-CHN,"As China's Drone Market Takes Off, Leader DJI Still Flies Far Above The Competition - Forbes",https://www.forbes.com/sites/ywang/2016/05/12/chinas-flood-of-cheap-flying-cameras-is-little-threat-to-dajiang/,,"Thu, 12 May 2016 07:00:00 GMT",,[], 
6,6,FL-2016-000044-CHN,"Report Looks At Adolescent Health And Causes Of Death, From Road Accidents To Suicide To Drowning : Goats and Soda - NPR",https://www.npr.org/sections/goatsandsoda/2016/05/13/477915220/whats-killing-the-worlds-teenagers-road-accidents-suicide-floods,"What's Killing The World's Teenagers? Road Accidents, Suicide, Floods

Enlarge this image toggle caption ChinaFotoPress/Getty Images ChinaFotoPress/Getty Images

The leading cause of death among teenagers in the U.S. is road accidents — killing nearly 5,000 American kids between the ages of 10 and 19 in 2013.

Suicide also emerges as a risk when puberty hits — affecting more than 5,000 teens and early 20-somethings in the United States alone in 2013.

In Latin America and Mexico, homicide kills the most young adults between the ages of 20 and 24, while in sub-Saharan Africa, HIV/AIDS kills the largest number.

And in China, drowning tops the list of causes of teenage death.

These grim statistics come from a new interest in the health concerns of young people, which have long been overlooked and understudied, says George Patton, an adolescent health researcher at the University of Melbourne in Australia. He and colleagues looked at a massive amount of data — from the Global Burden of Disease project led by the Institute for Health Metrics and Evaluation at the University of Washington, Seattle. Their aim was to document the biggest risks young people face between the ages of 10 and 24, an age group that includes 1.8 billion people and makes up a quarter of the world's population.

The report, published this week in the Lancet, broke down results by country, offering an illuminating look at how risks differ for adolescents in different parts of the world and what kind of steps are needed to help kids reach adulthood safely.

Patton spoke with Goats and Soda about the challenges young people face around the world and how investing in adolescents is investing in the future.

Why study adolescents?

We've seen tremendous improvements in the health of younger children — huge declines in mortality in children under 5, declines of 80 percent in the last 15 years. For the adolescent age group, declines have been minimal and where they have occurred, they have been modest. This was an attempt to put together a more complete picture of what we know and also come up with some recommendations for how we should be responding to the health and well-being of the world's 10- to 24-year-olds.

Why do young people in the years around teenage-dom need their own health category?

In terms of health and well-being, it's a time of tremendous change. Puberty initiates a cascade of hormonal changes, which trigger a new round of growth and brain development. Essentially, what we see is the younger adolescent beginning to engage with his or her external world beyond the family and immediate community in a very different way. The peer group becomes important, and problems of health become related to emotions and emotional control. Mental health problems, injury problems and substance abuse problems increase.

It sounds as if adolescence is completely unlike the ages before or after from a medical standpoint.

This is so totally true. It's true of the health problems. It's true of the health risks. We also examine during these years changing patterns of obesity, which has become a global pandemic. Looking at this age group in all countries, there are rising rates of overweight and obesity. And this age group is critical because if you develop a problem with obesity in these years, you're likely to have it for the rest of your life.

So the choices teenagers make can end up having health consequences into adulthood?

Obesity is an example of that. It's a risk for metabolic disease, type 2 diabetes, cardiovascular disease and arthritis. It's also a risk to maternal health. Obese mothers are more likely to have complications. You could also put into that category: tobacco use, alcohol use and infectious diseases such as malaria, HIV and tuberculosis. Problems of under-nutrition also often accelerate during these years when there's tremendous growth, and adolescents may need greater food resources than adults. [Risks for iron deficiency, in particular, rise during adolescence, especially among girls. But, according to the report, few studies have considered how best to intervene to boost energy, protein and vitamin intake in undernourished teens.]

What kind of big picture messages do you see in this data?

One is that we need to take a broader lens to adolescent health. We've tended to think mostly about sexual and reproductive health, and that's where we've made investments in services, but it's much, much more than that. Second, patterns in adolescent health vary hugely across the planet, and two-thirds of the world's adolescents are facing preventable health problems, like injuries, violence, infectious disease and problems of poverty on a daily basis.

How can we help the world's adolescents live healthier lives?

One of the best investments we can make is secondary education. It's hugely protective. We've taken analyses of adolescent birth rates, and it's very clear: If you keep a girl in school until lower secondary, you reduce adolescent birth rates by 48 per 1,000 girls per year. If you keep girls in school through upper secondary, or 12 years of education, you reduce adolescent birth rates by 68 per 1,000 girls per year. These are huge reductions.

Why are such a large proportion of adolescents dying from drowning in China?

China has a significant problem with flooding. China and India together account for probably 40 percent of the world's 372,000 deaths due to drowning, more for younger kids and more for males than for females. [According to WHO, riskier behavior among males and lapses in supervision help explain those patterns.] The solution is about flood control and protection. That's an example of the power of doing [analyses like these]. This report is bringing visibility to the health problems of an age group we've really overlooked.

Can adolescents be part of the solution?

One of the things we really emphasize in the report is the importance of engaging young people. As we have a generation spending a longer time in education, who are more articulate, we have a strong message about making sure they are active participants — partners if you like — in the solutions we are proposing.

What does the future hold for the next generation of youth?

Globalization, migration on a mass scale, climate change, digital media: these are the kinds of things shaping the social world of this generation. Now is the time to be putting policies, practices and investments in place around the health and well-being of this generation.","Fri, 13 May 2016 07:00:00 GMT",https://media.npr.org/assets/img/2016/05/13/gettyimages-477166088-50_wide-85cbeb8141c7d6c4d79c44850db3551f6b22cfe9.jpg?s=1400,"['health', 'young', 'road', 'world', 'teenagers', 'whats', 'accidents', 'suicide', 'killing', 'weve', 'worlds', 'floods', 'problems', 'adolescents', 'age', 'group', 'adolescent']", 
7,7,FL-2016-000044-CHN,China Will Probably Implode - The National Interest Online,https://nationalinterest.org/feature/china-will-probably-implode-16088,"In July of 2001, Gordon Chang predicted an inevitable meltdown of the Chinese Communist Party in his best-selling book The Coming Collapse of China. Since then, China’s economy has increased by more than eightfold, to surpass even the United States on a purchasing parity power basis. Oops?

In Chang’s defense, he could not have anticipated the colossal blunder of President Bill Clinton and a Republican Congress in paving China’s ruthlessly mercantilist way into the World Trade Organization just five months after his book was published. That mother of all unfair trade deals—a well-deserved target of both the Sanders and Trump presidential campaigns—kept China’s Great Walls of Protectionism largely intact. However, it also opened U.S. markets to a flood of illegally subsidized Chinese imports, and catalyzed the offshoring of millions of American manufacturing jobs.

Since China’s entry into the WTO in 2001, the center of the world’s manufacturing base has seismically shifted as the People’s Republic of Unfair Trade Practices has used a dizzying array of illegal export subsidies, currency manipulation, intellectual-property theft, sweatshop labor and pollution havens to seize market share from both Europe and North America. To date, more than seventy thousand American factories have closed, over twenty million Americans have been put out of work and Chinese Communist Party leaders have laughed at Gordon Chang—all the way to their Swiss, Panamanian and Caymanian bank accounts.

China’s mercantilist WTO windfall notwithstanding, there are nonetheless growing signs that the collapse of China as Gordon Chang once predicted, and David Shambaugh is now intimating, may soon be at hand. As Exhibit A of the signs of China’s troubles I offer, in the remainder of this missive, an email correspondence directly from the Chinese mainland. It’s from an American citizen living and working with his Chinese wife and son in the PRC.

I will let you decide whether the views of this observer (name withheld to keep him out of a Chinese prison or shallow grave) is an accurate one or overly pessimistic. If it’s the former, it could well be the harbinger of Gordon’s Chang’s crystal-ball revenge.

“From what I can see, and my Chinese wife can see, China will probably soon implode. Just what the catalyst will be is uncertain. Just before that time, or as a result of that implosion, the [Communist Party] will probably try to get the population to focus outside the country, probably through conflicts in the South China Sea or Taiwan.

For more than two decades, I have been telling people that the first thing China would do before trying to take Taiwan would be to take the Spratly Islands. If the world simply ignored that, then Taiwan would be next.

Hong Kong is a bitter, poison pill left by Britain for China. There will be no peaceful resolution of that problem.

The biggest problems in China right now are poisoned food, water, and air. Nobody trusts anybody, which is the reason why there is huge capital flight out of the country.

China has a national debt in excess of $28 trillion. But anybody knowing anything about Chinese accounting practices knows that number is probably just a very conservative number. Add some of the data and stuff Caixin [an online newspaper] is telling us about in terms of city and provincial accounting practices, and the numbers are horrible.

China wants its currency to become an international currency, but nobody knows its value. The only effective taxation going on here in China is [protectionist] for imports. The taxation system of businesses and income tax is completely broken and non-functional. There is no transparency in the financial system here. That is quite different from that of the Euro or the dollar. The fact is, the government is printing money like crazy here.

People are buying houses around here, but nobody is living in them. They don't trust potential renters. Homes are unaffordable for most people unless they use corruption to get the money needed. People have been investing in houses only because that is the only relatively secure form of asset management. Yet home purchases are at best leases since the government can come in at any time and requisition the land for other purposes.

Construction quality of housing here is horrible. If [province name withheld] had a big quake, the dead would be in the millions. China would almost immediately collapse.

The education system wherein I work is horrible. People in the West look at high math and science scores, but they don't realize that most of the students, like my son, cannot apply what they learn to similar math or science problems.

Students are completely unable and unwilling to ask questions. Professors and instructors don't have offices, let alone office hours, so questions on content the students don't understand are never answered. Of course, if a student fails a course, the teacher loses face, so every student passes.

If the university has a graduation rate at the end of four years of less than 97%, the university president loses face. Add on top of that the fact that around 2000, there were about 1 million college graduates. Compared to now, with over 7 million graduates, one has to ask: Where did they get all the qualified teachers?

My wife teaches in a public elementary school. The CPC is putting pressure on everybody to conform. Fun, considering the fact that the school would collapse overnight if its corruption were rooted out.

Real inflation in China is considerably higher than what the government figures reveal. For example, my wife reports that nearly all the food here in this Tier 2 city has doubled in price over the past three years.

While food prices typically go up about two weeks before Chinese New Year, they also normally go back down to pre-holiday prices. This year, food prices went up about 20% and have not gone back down.

My wife reports that middlemen in the food chain are mostly responsible for the food price increases. The farmers have not increased their prices because many prices are set by local government. However, because the middlemen have increased prices, demand for certain types of fresh foods has gone down. That means that while people in the cities are not buying because of increased food prices, the farmers have food rotting, unable to sell it.

I went to a farm not too long ago. What struck me was that in the apple orchards, as well as in the surrounding fields, even though the food was at that time being harvested, there were no bugs. I never saw that problem in the States, since there are mandated pesticide non-application times before harvest.

In most American markets, there will still be some food sold with insect marks on it. Most Americans don't realize what that really means. It means the pesticides are nearly, if not completely, gone from that food [because, unlike in China, they can’t be used during harvest time].

I have about 300 papers from my composition students about their lives to grade, many of which confirm some of the things I said above.

Have a great day.”","Sat, 07 May 2016 07:00:00 GMT",https://nationalinterest.org/sites/default/files/main_images/China_14.jpg,"['chinese', 'wife', 'chinas', 'dont', 'probably', 'increased', 'american', 'china', 'prices', 'implode', 'food']", 
8,8,FL-2016-000044-CHN,China debt-fueled stimulus may lead to recession - People's Daily - Reuters,https://www.reuters.com/article/us-china-economy-trend-idUSKCN0Y003W,"SHANGHAI/BEIJING (Reuters) - China may suffer from a financial crisis and economic recession if the government relies too much on debt-fueled stimulus, the official People’s Daily quoted an “authoritative person” on Monday as saying.

A worker walks on a beam at a construction site for a new commercial building in Beijing, December 15, 2014. REUTERS/Kim Kyung-Hoon

The People’s Daily, official paper of the ruling Communist party, in a question and answer interview quoted the person as saying excessive credit growth could heighten risks and trigger a financial crisis if not controlled properly.

“Trees cannot grow to the sky. High leverage will inevitably bring about high risks, which could lead to a systemic financial crisis, negative economic growth and even wipe out ordinary people’s savings,” the person, who was not named, said in response to a question on whether stimulus should be used in future economic policy.

“We should completely abandon the illusion of reducing leverage by loosing monetary conditions to help accelerate economic growth.”

The People’s Daily has in the past used reports quoting an “authoritative person” to communicate thinking on key points of economic policy.

The government must rein in risks in stock, currency, debt and property markets as well as banking sector, the person said in the report.

China’s economic trend in the coming years will be “L-shaped”, rather than “U-shaped”, and definitely not “V-shaped”, due to weak demand and overcapacity, the paper said.

China’s economic growth will not drop abruptly even without stimulus, given its potentials and resilience, it added.

The warning came after data showed the world’s second-largest economy rebounded in March as the government quickened investment in infrastructure backed by a flood of bank credit.

China’s economic growth slowed to 6.7 percent in the first quarter - the weakest since the global financial crisis, but activity picked up in March after a series of policy steps.

Chinese officials and state media have since sought to talk up the economy in a bid to shore up investor confidence following recent stock and currency market turmoil.

But the People’s Daily report said while much of the growth was investment-driven, structural problems persist, suggesting it could take many years before new engines of growth begin to lead growth.","Sun, 08 May 2016 07:00:00 GMT",https://static.reuters.com/resources/r/?m=02&d=20160509&t=2&i=1136337180&r=LYNXNPEC4801M&w=800,"['crisis', 'used', 'growth', 'debtfueled', 'daily', 'lead', 'financial', 'stimulus', 'person', 'china', 'peoples', 'recession', 'risks', 'economic']", 
9,9,FL-2016-000044-CHN,"The great leap upward: China's Pearl River Delta, then and now - The Guardian",https://www.theguardian.com/cities/2016/may/10/china-pearl-river-delta-then-and-now-photographs,"The region where the Pearl River flows into the South China Sea has seen some of the most rapid urban expansion in human history over the past few decades – transforming what was mostly agricultural land in 1979 into what is the manufacturing heartland of a global economic superpower today.

In 2008, China announced plans to mesh Guangzhou, Shenzhen, Dongguan, Zhaoqing, Foshan, Huizhou, Jiangmen, Zhongshan and Zhuhai into a single megacity. A series of massive infrastructure projects are under way to merge transport, energy, water and telecoms networks across the nine cities. Development has been relentless, and the World Bank recently named the Pearl River Delta as the biggest urban area in the world in terms of population and geographical size.

A 30-mile-long bridge and tunnel is under construction to join the Pearl River Delta metropolis of Zhuhai to the special administrative regions of Macau and Hong Kong.

The first satellite image above shows the Pearl River Delta in 1979. Click or tap on the image (or drag the blue button) to see the second (taken in 2000), which shows that vast swathes of farmland have turned from green to grey, and huge new areas of land reclaimed from the sea.

Hong Kong

1980 population: 4.6 million; 2015 population: 7.3 million

The autonomous territory, which was handed back to China by Britain in 1997 after 99 years, has more skyscrapers than any other region in the world. The high-density city has reclaimed many square miles of land from the sea, as can be seen from the shifted shoreline in the newer photograph.

The photograph above shows Hong Kong harbour in 1971 and again in 2015.

Hong Kong’s Kowloon peninsula, with the central area in the distance, as seen from the peak of Fei Ngo Shan in 1964, and again in 2016.

Shenzhen

1980 population: 58,000; 2015 population: 10.7 million









The staggering growth of Shenzhen can be seen in the photograph taken from Hong Kong’s Crest Hill in 1964, and retaken in 2015. Lowu border crossing is in the bottom right of image.

Above, Shennan Road, a major east-west thoroughfare in Shenzhen, in 1985 and 2015.

Shenzhen’s Splendid China Folk Village theme park, above, in 1991 and again in 2015. The park still contains miniature replicas of China’s greatest tourist sites – from the Great Wall to the Forbidden Palace, both of which are visible here – but the residential area in the background has been transformed.



Guangzhou

1980 population: 1.9 million; 2015 population: 12.5 million

The port of Guangzhou is the third largest city in China, and the biggest in the Pearl River Delta.

The first image shows Guangzhou city centre in 1949, with the spires of its Sacred Heart cathedral prominent above surrounding rooftops. By 2015, when the second image was taken, the Roman Catholic church had been hidden by new towers.





The images above show Guangzhou’s central Dongfeng Road in 1999 and again in 2015.





Guangzhou South Avenue, looking towards the river, in 1991 and again in 2015.

Macau



1980 population: 243,000; 2015 population: 584,000

Since the Portuguese legalised gambling in Macau in the 1850s, the city has developed into the “Monte Carlo of the Orient”. It is the only place in China where casinos are legal, and millions of visitors flood in every year from the mainland and Hong Kong, which has helped Macau overtake Las Vegas as the world’s biggest generator of gambling revenue.





Macau’s Governor Nobre de Carvalho bridge, with the rotunda of the Casino Lisboa seen on the waterfront just to the right, in 1991. The second image, from 2016, shows the giant Grand Lisboa hotel and casino skyscraper towering above.

These images show Macau’s coastline seen from Penha Hill in 1964, and again in 2016.

Credits

Photo credits: Satellite image – 1979 and 2000 by Landsat/Nasa/UIG/Getty Images; Hong Kong harbour – 1971 by Bruce Dale/NG/Getty Images and 2015 by Lucien Long for the Guardian; Hong Kong from Fei Ngo Shan – 1964 by Michael Cussans/Gwulo and 2016 by Alex Hofford for the Guardian; Shenzhen from Crest Hill –1964 image courtesy of David McLeod and 2015 by Lucien Long; Shen Nan Da Dao in Shenzhen – 1985 by An Ke/Fotoe and 2015 by Alex Hofford; Shenzhen’s Splendid China Folk Village – 1991 by An Tu/Fotoe and 2015 by Alex Hofford; Guangzhou city centre – 1949 by Carl Mydans/Getty Images and 2015 by Alex Hofford; Guangzhou Dongfeng Road – 1999 by Chen Zhiqiang/Fotoe and 2015 by Alex Hofford; Guangzhou South Avenue –1991 by Zeng Zhi/Fotoe and 2015 by Alex Hofford; Macau from Governor Nobre de Carvalho bridge – 1991 by Patrick Zachmann/Magnum and 2016 by Wong Kantai for the Guardian ; Macau from Penha Hill – 1964 by Archive Photos/Getty Images and 2016 by Wong Kantai

Population data: UN World Urbanisation Prospects","Tue, 10 May 2016 07:00:00 GMT",https://i.guim.co.uk/img/media/a9aacf1dd2a9b542d51167bae427bc09284445f9/0_152_2153_1292/2153.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=3fc37e74968b069d1371cf76fcd94dd7,"['pearl', 'population', 'seen', 'river', 'delta', 'upward', 'hofford', 'chinas', 'guangzhou', 'image', 'china', 'images', 'hong', '2015', 'leap', 'great']", 
