,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2017-000062-TWN,A New Formula to Help Tame China’s Yellow River - The New York Times,https://www.nytimes.com/2017/06/02/science/china-yellow-river-xiaolangdi-dam.html,"Each year thousands of tourists flock to a reservoir along the Yellow River in China to witness a ritual cleansing so violent that it can look as if the earth just exploded. At the end of June and the start of July, for as long as two weeks before the flood season, Chinese officials open large portals along the walls of the Xiaolangdi Dam, releasing clear and muddy water simultaneously from the reservoir above to the river below. It gushes out, and in some years clouds the color of doom ascend beyond the dam’s walls.

The Yellow River is considered the cradle of China’s civilization — but also its sorrow. Its vast floodplains coaxed people in for agriculture. Yet its violent floods have killed millions.

The precautionary purging at the Xiaolangdi Dam, which has occurred annually since 2002, is the latest high-tech attempt to prevent flooding and tame the Yellow River, which today threatens more than 80 million people. It carries sediment more concentrated than in any other river in the world — so much that tiny particles of sand and silt clog reservoirs, raise riverbeds, break levees and cause potentially catastrophic floods. During what is called the Water and Sediment Regulation Discharge Project at Xiaolangdi Dam, muddy water evacuates sediment from the reservoir, and clear water washes sand out from the channel below to reduce flood risk.

The annual purge can lower the riverbed by about six feet a year on average, but a surprising discovery about the river’s bottom, as well as its unusual capacity to carry high loads of sediment, could one day mean that the purge may not be as effective at preventing floods. In a study published last month in the journal Science Advances, researchers suggest new considerations to take into account when conducting this yearly event.","Fri, 02 Jun 2017 07:00:00 GMT",https://static01.nyt.com/images/2017/06/03/science/03DAMS1/03DAMS1-facebookJumbo.jpg?year=2017&h=550&w=1050&s=af071ab5a8d70d3ac2c10c774fe08ddd46bce8f483f78f0e25668bf3da5da94b&k=ZQJBKqZ0VN,"['floods', 'sediment', 'help', 'xiaolangdi', 'chinas', 'yellow', 'reservoir', 'water', 'dam', 'river', 'violent', 'sand', 'formula', 'tame']", 
1,1,FL-2017-000062-TWN,Chinese companies continue assisting Sri Lanka flood victims - Xinhua | English.news.cn - Xinhua,http://news.xinhuanet.com/english/2017-06/03/c_136336516.htm,"Source: Xinhua| 2017-06-03 09:27:15|Editor: Yamei

Representatives from the Colombo Port City Company hand over relief items to officials from the Disaster Management Center and the army in Pahiyangala Village, in southern Sri Lanka, June 2, 2017. The Colombo Port City Company and the Chinese owned Zhongtian Construction Group have delivered relief items to families affected by the major floods and landslides which hit Sri Lanka earlier this week. (Xinhua/Huang Haimin)

COLOMBO, June 3 (Xinhua) -- The Colombo Port City Company and the Chinese owned Zhongtian Construction Group have delivered relief items to families affected by the major floods and landslides which hit Sri Lanka earlier this week.

Representatives from the two companies on Friday visited the Pahiyangala Village, in southern Sri Lanka and handed over relief items to officials from the Disaster Management Center and the army, who thanked the two companies for their prompt assistance, at the Yatagampitiya Primary School which presently shelters some of the affected families.

The Colombo Port City Company donated 6,200 cups of instant noodles while the Zhongtian Construction Group donated 10 beds, 20 bags of concrete, 40 meters cloth, 100 boxes of drinking water, 30 boxes of biscuits, 24 boxes of instant noodles, five disinfectant sprays and some toys for the children.

U.H.R Upul Kumara, the disaster management relief service officer in Pahiyangala, said that he was extremely grateful for the assistance rendered by the Chinese government and the Chinese companies as relief supplies were still needed for the affected people.

Pahiyangala Village, housing around 700 families, is one of the worst affected villages when severe rains and strong winds caused devastating floods and landslides since May 26.

Army officials said around 26 people were buried when a landslide hit the area last week, while 65 houses were completely damaged.

""Our house was completely destroyed and now we live in my sister's house. There is nothing left,"" Nilanthi Dhammika, a resident in this village said.

Nilanthi thanked the Chinese government and Chinese companies for the relief and said her village symbolized the strong ties shared between China and Sri Lanka.

Nilanthi also praised officials from the Chinese owned Blue Sky Rescue Team who arrived in Sri Lanka this week and are presently in some of the worst affected areas assisting the Sri Lankan officials and forces in cleaning efforts, distributing relief and providing medical assistance.

The floods and landslides which has been the worst to hit Sri Lanka since 2003, has so far claimed 206 lives, according to the Disaster Management Center.","Sat, 03 Jun 2017 07:00:00 GMT",,"['chinese', 'flood', 'officials', 'victims', 'management', 'lanka', 'relief', 'affected', 'village', 'assisting', 'xinhua', 'continue', 'companies', 'sri', 'port', 'landslides']", 
2,2,FL-2017-000062-TWN,"WATCH: Typhoon Floods Roads, Subway Station in Shenzhen - That's Online",https://www.thatsmags.com/china/post/19361/watch-typhoon-floods-roads-subway-station-in-shenzhen_1,"Last night typhoon Merbok touched down on the South China shore. This morning, commuters across Shenzhen stepped out of the door to scenes like this, near Gangxia North metro station:

From WeChat user Catherine 孔木兰



Or this.

From WeChat user Sophia Lin

Also, this:

Drivers in the city were just as unlucky as pedestrians, judging by photos floating around WeChat.

And as for bikes...

But the worst off may have been those who passed through Chegongmiao Station, in Futian District, this morning.

Those brave enough to venture down the escalator were greeted by a welcome sign, out of which gushed more water.





Watch the flood in action below (VPN off):

And for those with their VPNs on:

Lining up to enter the station was even more of a pain than usual.

From WeChat user 薇笑

From WeChat user のAmy 闻香



As was taking the stairs.

Watch the waterfall action below (VPN off):



The VPN-friendly version:

From WeChat user のAmy 闻香

According to Southern Metropolis Daily, by 9am cleanup efforts had made the Chegongmiao station mostly dry again, and trains resumed their normal schedule. Shenzhen Metro employees suspect the flooding was due to nearby construction.

If you chose to call in sick this morning, we don't blame you. Most of Shenzhen was on orange rainstorm alert status from 7.15am into the early afternoon today, according to the city's Meteorological Bureau. Residents of Futian, Luohu, Nanshan, Yantian, Longgang Districts, as well as Dapeng, were warned to take precautions and avoid flood-prone areas.

As of 3pm, the rainstorm alert had ended. Some alerts may still be active, however; visit the Meteorological Bureau website to stay updated on current weather warnings.

Stay dry, Shenzheners!

UPDATE (June 13, 2017 at 7.25pm): This article has been updated to reflect changes in Shenzhen's weather alert status since early afternoon, when it was first published.

[Images via Shekou Daily, WeChat]","Tue, 13 Jun 2017 07:00:00 GMT",https://www.thatsmags.com/image/view/201706/subway-stairs-flooded-shekou-daily.jpg,"['updated', 'floods', 'typhoon', 'alert', 'status', 'subway', 'shenzhen', 'wechat', 'weather', 'roads', 'watch', 'user', 'vpn', 'station', 'のamy']", 
3,3,FL-2017-000062-TWN,"Heavy rain hits Guizhou, causing flooded street - Xinhua | English.news.cn - Xinhua",http://news.xinhuanet.com/english/2017-06/12/c_136359453.htm,"Source: Xinhua| 2017-06-12 16:31:03|Editor: An

People move a car on a flooded street in Guiyang City, capital of southwest China's Guizhou Province, June 12, 2017. Heavy rain hit Guizhou since Sunday.(Xinhua/Zhang Hui)","Mon, 12 Jun 2017 07:00:00 GMT",,"['street', 'hit', 'heavy', 'guizhou', 'hits', 'source', 'causing', 'province', 'rain', 'flooded', 'sundayxinhuazhang', 'xinhua', 'hui', 'southwest']", 
4,4,FL-2017-000062-TWN,Flood of Sick and Weak Shrimp Depresses Market Prices in China during first part of June - SeafoodNews,https://www.seafoodnews.com/Story/1065526/Flood-of-Sick-and-Weak-Shrimp-Depresses-Market-Prices-in-China-during-first-part-of-June,"Flood of Sick and Weak Shrimp Depresses Market Prices in China during first part of June



SEAFOODNEWS.COM [Shuichan News] Translated by Amy Zhong



China's shrimp prices are declining at the moment, as a flood of weak and sick shrimp hits the market. The general decline has been around 1 to 2 Yuan per Jinn (lb).

On June 7, China’s shrimp price index was reported to be 146.01 points, which decreased by 0.04%, about 0.06 points from May 31. The farm gate price was 30.21 yuan/jin (1 jin=0.5 kilo, 40 shrimps/jin) on average, which contracted by 0.01 yuan/jin...

To read the rest of Flood of Sick and Weak Shrimp Depresses Market Prices in China during first part of June , Please Login Below:","Sun, 08 Apr 2018 01:34:08 GMT",https://www.seafoodnews.com/Images/icon.ico,"['flood', 'weak', 'shrimp', 'price', 'prices', 'sick', 'points', 'depresses', 'market', 'china']", 
5,5,FL-2017-000062-TWN,Rice University's New Formula Will Help Prevent Flooding of the Yellow River - The University Network,https://www.tun.com/blog/rice-university-helps-prevent-flood-yellow-river/,,"Fri, 09 Jun 2017 15:36:07 GMT",https://www.tun.com/blog/wp-content/uploads/2017/06/yellowriver.jpg,"['help', 'prevent', 'yellow', 'river', 'universitys', 'flooding', 'formula', 'rice']", 
6,6,FL-2017-000062-TWN,Chinese students draw online flak after cleaners piggyback them through floodwaters - The Straits Times,https://www.straitstimes.com/asia/east-asia/chinese-students-draw-online-flak-after-cleaners-piggyback-them-through-floodwaters,"Students balancing on benches and making their way through floodwaters to get to school might sound like a noble effort at pursuing education. However, photographs of a group of students from Liupanshui Normal College in Guizhou province doing just this on June 15 went viral for all the wrong reasons.

The problem? The floodwaters were less than ankle-deep, and the students were being carried on the backs of the school's cleaning staff.

According to the China News Service, the area had been hit by heavy downpours which inundated the roads. Benches were lined up along the ground, and cleaners were deployed to carry the students to the school.

Online condemnation was swift, with many saying that the students were spoilt and ""giant babies"".

According to the South China Morning Post (SCMP), one netizen wrote: ""For kindergarten kids, it's fine, but for university students, I don't understand that!""

In 2014, a Chinese Communist Party official was sacked after photos showed him riding on another person through a flooded area in order to protect his shoes from ankle-high water.

The incident took place during a search for three primary schoolchildren who had fallen into a river in the central province of Jiangxi, the official Xinhua news agency said.

Netizens at the time were outraged, with one Weibo user saying: ""The students are missing, and still he's trying to save his damn shoes? And this kind of scumbag can become a government official?""

The year before, yet another Chinese official was removed from his post after taking a piggyback ride from a villager while visiting flood victims.","Fri, 16 Jun 2017 07:00:00 GMT",https://static.straitstimes.com.sg/s3fs-public/styles/x_large/public/articles/2017/06/16/gkty.jpg?itok=iy3_FIDu,"['chinese', 'students', 'online', 'official', 'flak', 'shoes', 'post', 'piggyback', 'cleaners', 'floodwaters', 'province', 'saying', 'benches', 'draw', 'china']", 
7,7,FL-2017-000062-TWN,"After a month of being above flood stage, the Mississippi River has returned to 'normal' - The Vicksburg Post - Vicksburg Post",https://www.vicksburgpost.com/2017/06/14/after-a-month-of-being-above-flood-stage-the-mississippi-river-has-returned-to-normal/,"Almost one month after its waters rose above flood stage at Vicksburg, the Mississippi River is falling.

The river stage Tuesday morning was at 42.89 feet, .11 feet below the river’s 43-foot flood stage. It was at 42.28 feet Wednesday morning.

“Finally, slowly,” Warren County Emergency Management director John Elfer said. “It’s going to continue dropping, and by Thursday the 22nd (of June), it will be at 33.8 (feet), and that shouldn’t affect anything.”

Heavy rains in the Upper Mississippi Valley and along the Arkansas River in April and early May caused the Mississippi to reach a crest of 49 feet at Vicksburg near the end of May.

The high water forced city officials to close the flood gates at Clay and China Street streets on the river, and flooding closed several low lying roads, including streets in the Kings community and Ford Subdivision areas.

“It’s about time,” said Marty Pope, hydrologist at the National Weather Service Office in Jackson. “We have finally gotten into this where we are finally in a fall situation.”

The 28-day weather forecast, he said, indicates the river’s fall will continue, and the 16-day rainfall forecast does not show a lot of rain across the Mississippi River Basin.

“Unless we see any additional huge rains, right now it looks like it’s going to continually go down unless something really changes,” he said. “The (forecast) does have a couple of inches in the Ohio Valley, but that’s not really enough to … totally get things turned back around again.

“Everything looks pretty good, although the Steele Bayou Structure may stay closed for a little while longer,” he said. “I think there a pretty good differential between the backside water as well as in the front side. Right now, the Steele Bayou Structure is at 90.71 (riverside) and the other (landside) is at 88.4.”

Looking at the Vicksburg gauge, Pope said, “We are seeing maybe about a 4- to 5-foot fall over the next five days; if that happens, and we don’t get any significant rains in the backside area to keep the Mississippi up, that should go down in the next four to five days, and they should open that up, I would think.”

Greg Raimondo, public relations director for the U.S. Army Corps of Engineers, said plans are to open the Steele Bayou Structure once the river drops another 2.3 feet.

“It’s been falling about half-a foot per day, so about five days we’ll get there,” he said, adding Corps officials expect to possibly be able to open the structure about Saturday or Sunday and allow the backwater areas to drain.

“We’ll have that steady flow from there on out,” he said. “It’s not like it rushes out, it equalizes and the backwater goes down with the river.”

While some low county roads remained flooded, Elfer said, water has receded from the streets in Kings and Ford.

He said the area survived the flooding with no major damage to homes in the area.

“We mitigated all those flood properties after the 2011 flood, and either they were torn down, moved or were elevated, so that was the reason we didn’t have any flooded homes that I’m aware of,” he said.

Share this: Twitter

Facebook

Print

","Wed, 14 Jun 2017 07:00:00 GMT",https://www.vicksburgpost.com/wp-content/uploads/sites/16/2017/06/061417-River-CW-WEB.jpg,"['post', 'mississippi', 'flood', 'normal', 'feet', 'structure', 'returned', 'stage', 'vicksburg', 'steele', 'month', 'water', 'river', 'streets']", 
8,8,FL-2017-000062-TWN,"Lagos, Abidjan, Durban, Dar es Salaam among coastal African cities most vulnerable to climate change - Quartz Africa",https://qz.com/africa/997384/lagos-abidjan-durban-dar-es-salaam-among-coastal-african-cities-most-vulnerable-to-climate-change/,"US president Donald Trump announced on Thursday (June 1) that he would withdraw the United States from the Paris climate agreement—weakening international efforts to reduce fossil-fuel emissions and mitigate global warming.

The deal, signed by 195 countries, is crucial for Africa, given the far-ranging impact of harmful greenhouse gases. The continent emits a paltry amount of harmful gasses, yet is particularly vulnerable to global warming and its effects. At 3.8%, Africa accounts for the smallest share of global greenhouse gas emissions, in contrast to 23% in China, 19% in the US, and 13% in the European Union.

Climate change in Africa is manifest in rising sea levels, increasing temperatures, and changes in rainfall patterns leading to floods or severe droughts. Since 1970, Africa has experienced more than 2,000 natural disasters, with just under half taking place in the last decade. Africa also contains 7 out of the 10 countries that are considered the most threatened by climate change globally, according to the Africa Growth Initiative at Brookings Institution. The extreme weather events are also taking a toll on African cities—which are growing rapidly—and is threatening the livelihoods of millions of people across the continent.

Abidjan, Côte D’Ivore

Global warming is a critical problem facing the Ivorian commercial capital, Abidjan. With its location on the coast of the Atlantic, experts have long warned that the city could be flooded over several decades from now. The Intergovernmental panel on climate change has also reported high erosion rates in the areas off the Abidjan harbor. The loss of mangrove forests has also increased the vulnerability of coastal areas to damages from coastal storm surges.

As the world’s top cocoa grower, heavy rains are threatening the mid-crop marketing season on one end, while farmers in other parts of the country are reporting patchy rainfalls and sunny spells.

Cape Town & Durban, South Africa

The two big South African coastal cities are among Africa’s top tourist destinations, attracting millions of people from all over the world. Yet, rising sea levels, sand movement along the coast, increasing urbanization, and the significant loss and extinction of important biodiversity underscore the challenges of climate change.

In early March, Cape Town was declared a disaster area after officials noted that the city had barely 100 days of water left due to a biting drought. The risk of catastrophic fires has also increased, with more wildfires raging in the Western Cape province. Climate change is also affecting agricultural production and is contributing to food insecurity, environmental degradation, and unemployment.

AP Photo/Schalk van Zuydam Cape Town’s popular tourist beaches are vulnerable to climate change’s impact.

Lagos, Nigeria

Given its low-lying position next to the Atlantic Ocean, Africa’s most-populous city is susceptible to the negative impacts of climate change. Lagos consists of a mainland and a series of islands with an estimated population of 21 million—some of whom live on waterfront slums with no proper drainage or water systems. With heavy rainfalls and rising sea levels, these slum residents, and many middle to upper middle income neighborhoods, are vulnerable to flooding.

AP Photo/Sunday Alamba People walk along flooded streets after a heavy downpour in Lagos

The megacity has been trying to avert this, with innovators building a solar-powered, naturally ventilated, triangular-shaped school as a sustainable model. The Eko Atlantic Island is also being built as a new financial hub by dredging up millions of tons of sand from the Atlantic and filing it in 10 kilometers (6.2 miles) worth of land. The Great Wall of Lagos, an 8-kilometer wall is being built to protect the peninsula and its residents from the sea. Researchers have however noted that the wall could prove problematic for other waterfront dwellers, and are calling its exclusivity to certain elites as “climate apartheid.”

Dar es Salaam, Tanzania

Tanzania is the most flood-affected country in east Africa, according to the World Bank. The country’s largest city, Dar es Salaam, is growing so fast—85% by 2025—that it cannot preserve the city’s natural environment at the same time. The coastal city’s flat nature also makes it prone to floods, which are expected to come with increased rainfalls and storm surges. The slums located along the floodplains of the Msimbazi river are also vulnerable to floods, with annual structure losses expected to be $47.3 million.

Just last month, the country experienced heavy downpours that destroyed critical infrastructure, large swathes of rice farms, and led to the closure of schools. Dar es Salaam recorded 54 millimeters of rain in a day—nearly a third of the total average monthly May rainfall of 188mm.

Reuters/Radu Sigheti People walk through a flooded area in Dar es Salaam.

Coastal cities of North Africa

Researchers have found that climate change could make sections of north Africa so warm as to be uninhabitable in the future. Today, major North African coastal cities like Alexandria, Casablanca, Tripoli and Tunis are all vulnerable to long term impacts of climate change.

One northern Africa country that is facing a disastrous prospect is Sudan, where average temperatures by 2060 are expected to rise between 1.5 and 3 degrees Celsius. Haphazard rains, increasing desertification, intense droughts, and erratic rains have also contributed to ruining harvests and livestock. Decades of deforestation have also led to increased dust storms that roll through the desert now and swallow entire villages and farmlands.","Fri, 02 Jun 2017 07:00:00 GMT",https://cms.qz.com/wp-content/uploads/2017/06/rtx1v2uy-e1496408889162.jpg?quality=75&strip=all&w=1200&h=630&crop=1,"['cities', 'heavy', 'africa', 'vulnerable', 'change', 'african', 'sea', 'es', 'climate', 'country', 'increased', 'coastal']", 
9,9,FL-2017-000062-TWN,Sri Lanka : Three Chinese Navy ships arrive at Sri Lanka\'s Colombo port with flood relief - Colombo Page,http://www.colombopage.com/archive_17A/Jun01_1496301896CH.php,"Leading News from Sri Lanka::

* Three Chinese Navy ships arrive at Sri Lanka's Colombo port with flood relief

Thu, Jun 1, 2017, 12:54 pm SL Time, ColomboPage News Desk, Sri Lanka.

June 01, Colombo: Three ships of the People's Liberation Army Navy (PLA Navy) arrived at port of Colombo on Wednesday to render assistance to Sri Lanka's rescue and relief operations following the devastating floods and landslides.

The ships which were initially on a goodwill, subsequently focused their intentions on relief efforts to help the general public battered by inclement weather, Sri Lanka Navy media said.

Five teams of medical personnel along with 10 small boats aboard these ships, are expected to be deployed in relief operations in close collaboration with the Sri Lanka Navy.

Sri Lanka Navy welcomed the three PLA Navy ships, Changchun, Jing Zhou and Chao Hu in accordance with naval traditions on their arrival. They are steered by Captain Hu Jie, Captain Wang Hongbing and Captain Zhou Baojun respectively, being the Commanding Officers.

Chang Chun has a complement of 200 naval personnel onboard including 100 officers. Meanwhile there are 178 naval personnel including 50 officers aboard Jing Zhou. Chao Hu consists of a crew of 133 naval personnel together with 54 officers.

The Commanding Officers of the visiting ships called on Commander Western Naval Area, Rear Admiral Niraja Attygalle at the Western Naval Command Head Quarters and they held cordial discussions on matters of the official visit and most importantly the possible relief missions to be carried out focusing the affected community.

The Ambassador of People's Republic of China in Sri Lanka, Yi Xianliang, senior officers from the Naval Headquarters, Defense Attaché of the Chinese Embassy in Sri Lanka, Senior Colonel Xu Jianwei and senior officers of the ships were present on the occasion.

Subsequently, the Commander of the Navy, Vice Admiral Ravindra Wijegunaratne made a visit onboard ships this evening. A large consignment of relief materials dispatched by the Chinese Government was officially handed over to the Commander of the Navy.

""This noble gesture yet again proved the long and strong camaraderie of the two countries and mutual cooperation between the PLA and SL Navies,"" Sri Lanka Navy said.","Thu, 01 Jun 2017 07:00:00 GMT",http://www.colombopage.com/CGImgs_Def/SLN06012017_2.jpg,"['chinese', 'navy', 'flood', 'senior', 'ships', 'lanka', 'relief', 'lankas', 'naval', 'colombo', 'zhou', 'officers', 'sri', 'port', 'personnel']", 
