,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,Unnamed: 9,article_relevance,category
0,1,FL-2019-000022-IRN,Iran flooding kills 70 after record rainfalls - CNN,https://www.cnn.com/2019/04/07/middleeast/iran-flood-fatalities/index.html,"(CNN) Seventy people have died in flooding in Iran after record rainfalls began saturating parts of the country last month, state-run media reported.

Deaths have been recorded across 13 provinces, with the highest casualties in Fars, Lorestan, Golestan and Hamedan, state-run IRNA quotes the head of Iran's Coroner's Office, Ahmad Shojaei, as saying.

""Over 140 rivers have burst their banks and some 409 landslides have been reported in the country, it reported , adding that 78 roads had been blocked and 84 bridges in flood-stricken areas affected.

Officials on Saturday warned residents in the province of Khuzestan of rising water levels and urged them to take evacuation notices seriously, IRNA reported.

The International Federation of Red Cross and Red Crescent said it was helping thousands of people affected by the flooding.

""Red Crescent volunteers and staff have evacuated hundreds of people to safety, and have distributed food and items such as tents, blankets and health kits to tens of thousands of people,"" the organization's Middle East and North Africa director, Sayed Hashem, said.

Residents take to their rooftops in the village of Bamdezh in Khuzestan province April 5,.

Iran accuses US of hindering aid

On April 2, US Secretary of State Mike Pompeo issued a statement extending condolences to the victims of the flooding in Iran and blaming its government for the disaster.

A helicopter carrying aid in the flooded village of Bamdezh, April 5.

""These floods once again show the level of Iranian regime mismanagement in urban planning and in emergency preparedness. The regime blames outside entities when, in fact, it is their mismanagement that has led to this disaster,"" he said. ""The United States stands ready to assist and contribute to the International Federation of Red Cross and Red Crescent Societies, which would then direct the money through the Iranian Red Crescent for relief.""

""It seems the US Secretary of State is unaware of the mismanagement of natural disasters in the US over the past two years, and hence opines -- in an unprofessional, interventionist and demagogic manner -- on Iran's management of the horrific and unprecedented floods which simultaneously afflicted 24 provinces,"" Zarif said, before referencing Hurricanes Harvey, Michael and Florence and Maria.",4/7/2019 0:00,"{'https://cdn.cnn.com/cnnnext/dam/assets/190407193645-iran-flooding-rooftop-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/190407193645-iran-flooding-rooftop-super-tease.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/190325171254-iran-floods-large-169.jpg', 'https://pixel.quantserve.com/pixel/p-D1yc5zQgjmqr5.gif?labels=noscript%3ANo%20Labels%20Set', 'data:image/gif;base64,R0lGODlhEAAJAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAAQAAkAAAIKlI+py+0Po5yUFQA7', 'https://cdn.cnn.com/cnnnext/dam/assets/190407193820-iran-flooding-poldokhtar-exlarge-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/190407193517-iran-flooding-aid-delivery-large-169.jpg'}","['secretary', 'flooding', 'crescent', 'kills', 'regime', '70', 'red', 'thousands', 'rainfalls', 'iran', 'village', 'state', 'reported', 'mismanagement', 'staterun', 'record']",,,flood
1,2,FL-2019-000022-IRN,Deadly Floods Across Iran Leave Broad Paths of Destruction - The New York Times,https://www.nytimes.com/2019/03/26/world/middleeast/iran-floods-dead.html,"Flash floods in Iran have killed at least 24 people and injured hundreds more after days of torrential rain caused rivers to overflow in various parts of the country, local news media reported on Tuesday.

The sudden, destructive deluge hit the country during Nowruz, the Iranian New Year, when many take to the road for vacations.

At least 19 people died in Shiraz, a city in southern Iran that is a popular tourist destination, according to the privately owned Tasnim News Agency, based in Tehran.",3/26/2019 0:00,"{'https://static01.nyt.com/images/2019/03/26/world/26iran2/merlin_152598342_4d1ba564-130e-4594-b212-ef72ce7e6658-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2019/03/26/world/26iran1/merlin_152591073_625d368b-f6fb-44e6-b555-44def8681442-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'https://static01.nyt.com/images/2019/03/26/world/26iran2/merlin_152598342_4d1ba564-130e-4594-b212-ef72ce7e6658-facebookJumbo.jpg?year=2019&h=550&w=1050&s=ff5475f803a2b65b1ec41c8ec0905e84408014f428b861c65ade1e195a8ca67a&k=ZQJBKqZ0VN'}","['torrential', 'floods', 'tasnim', 'country', 'paths', 'destruction', 'sudden', 'iran', 'broad', 'leave', 'various', 'vacationsat', 'deadly', 'tuesdaythe', 'tourist', 'tehran']",,,flood
2,3,FL-2019-000022-IRN,At least 62 people killed in Iran floods as US accused of blocking aid - The Guardian,https://www.theguardian.com/world/2019/apr/04/iran-floods-death-toll-reaches-62,"The death toll from two weeks of flooding in Iran has risen to 62 as frustration mounts inside the country at the government’s handling of the crisis and an international dispute has broken out over whether renewed US sanctions are blocking aid.

Iran’s foreign minister, Javad Zarif, and the US secretary of state, Mike Pompeo, have been engaged in a war of words over the crisis. Zarif attacked the US for “economic terrorism” and said it was blocking the shipment of vital rescue equipment.

“[Donald Trump’s] ‘maximum pressure’ is impeding aid efforts by the Iranian Red Crescent to all communities devastated by unprecedented floods. Blocked equipment includes relief choppers,” he said on Twitter.

He also attacked European countries for hesitating to help over fears of violating sanctions, adding: “Europe can’t muster political will to defy US.”

Pompeo responded with an attack on Iranian government failings. “These floods once again show the level of Iranian regime mismanagement in urban planning and in emergency preparedness,” he said in a statement that offered condolences and made an offer of aid, but with no details.

Inside Iran, the crisis has exposed tensions between the reformist president, Hassan Rouhani, and his hardline opponents including the Islamic Revolutionary Guard Corps (IRGC), with the two camps launching public attacks on each other over management of the floods and their aftermath.

The disaster has also fuelled public anger, particularly in areas where rescue and aid services have often been slow to arrive. In one possible attempt to dampen protests, the governor of a northern province was fired for failing to return home from abroad to manage the crisis.

The flooding, which began in late March, has turned the normally joyful Persian new year, or Nowruz, celebrations into a time of mourning, deprivation and fear for many Iranians.

The devastation has not been limited to one corner of Iran; the north-east was hit first and then, with the country still reeling, the south-west was also swamped.

Deaths have been reported in more than a third of the country’s 31 provinces. Among the hardest hit areas was the city of Shiraz, where over a month’s worth of rain fell in a day, most of it in two intense 15-minute downpours.

The scale of the damage has been so bad that authorities have banned foreign journalists from visiting the worst affected area, the New York Times reported.

But terrifying videos posted on social media showed flood waters sweeping away whole houses, ripping desperate people from poles they had clung to for support and carrying cars along like children’s toys, some with people still inside.

The new death toll of 62 was given by Ahmad Shojaee, the head of the Iranian Legal Medicine Organisation. The semi-official Isna news agency reported that it was based only on bodies transferred to coroners, so may rise further.

Tens of thousands more have been displaced, and many may have been made permanently homeless by the flooding. But getting in relief supplies is likely to remain a challenge for months to come.

Thousands of roads have been blocked or washed away and 84 bridges destroyed, making rescue operations complicated, a spokesman for the National Disaster Management Organisation told state TV.

“[In total] 141 rivers burst their banks and around 400 landslides were reported,” said Behnam Saeedi, a spokesman for the organisation.

The damaged roads make up about a third of the national network. Sanctions mean the country has not been able to update its fleet of rescue helicopters.

The United Nations said at the start of the crisis that it was ready to offer help, but also warned that “challenges caused by unilateral sanctions will affect the UN response and the accountability of UN to deliver the appropriate support”, the office for the coordination of humanitarian affairs said in a statement.

The tepid international response is in marked contrast to the crisis after the Bam earthquake in 2003, when the world raced to offer help after the historic city was nearly totally destroyed.

﻿

﻿",4/4/2019 0:00,"{'https://sb.scorecardresearch.com/p?c1=2&c2=6035250&cv=2.0&cj=1&cs_ucfr=0&comscorekw=Iran%2CExtreme+weather%2CMiddle+East+and+North+Africa%2CWorld+news%2CNatural+disasters+and+extreme+weather%2CFlooding%2CEnvironment', 'https://i.guim.co.uk/img/media/3c618e0108806ea7f4a3835c1319657d66a98c9c/0_21_3000_1800/master/3000.jpg?width=445&quality=45&auto=format&fit=max&dpr=2&s=8227b48b32dfb154067a09128d53b65a', 'https://i.guim.co.uk/img/media/3c618e0108806ea7f4a3835c1319657d66a98c9c/0_21_3000_1800/master/3000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctYWdlLTIwMTkucG5n&enable=upscale&s=d307ce9ddbee81ec91b2a1db69b65125'}","['flooding', 'blocking', 'floods', '62', 'help', 'sanctions', 'aid', 'rescue', 'iranian', 'iran', 'reported', 'offer', 'accused', 'crisis', 'killed']",,,flood
3,4,FL-2019-000022-IRN,Iran says recent floods caused up to $2.5 billion in damage - Reuters,https://www.reuters.com/article/us-iran-floods-idUSKCN1RQ093,"LONDON (Reuters) - Floods caused by heavy rain across Iran in recent weeks have caused an estimated $2.5 billion in damage to roads, bridges, homes and agricultural land, state media cited ministers as telling lawmakers on Sunday.

FILE PHOTO: An aerial view of flooding in Khuzestan province, Iran, April 5, 2019. Picture taken April 5, 2019. Mehdi Pedramkhoo/Tasnim News Agency/via REUTERS

The flooding, which began on March 19, has killed 76 people, forced more than 220,000 people into emergency shelters, and left aid agencies struggling to cope. The armed forces have been deployed to help those affected.

“The recent floods are unprecedented... 25 provinces and more than 4,400 villages have been affected,” Interior Minister Abdolreza Rahmani Fazli was quoted as saying in parliament by state news agency IRNA.

Fazli said the floods had caused around 350 trillion rials ($2.5 billion) worth of damage.

Minister of Roads and Urban Development Mohammad Eslami said 14,000 kilometers (8,700 miles) of road had been damaged and more than 700 bridges completely destroyed by landslides and flood water.

The government has said it will pay compensation to all those who have incurred losses, especially farmers but the Islamic Republic’s state budget is already stretched as U.S. sanctions on its energy and banking sectors have halved Iranian oil exports and restricted access to some revenues abroad.

Morteza Shahidzadeh, head of Iran’s sovereign wealth fund, said President Hassan Rouhani had asked permission from the Supreme Leader Ayatollah Ali Khamenei to withdraw $2 billion from the fund for reconstruction in flood-hit areas.

Shahidzadeh said Khamenei has in principle agreed to the request.

Iranian officials have repeatedly said the massive floods have not affected production and development at any oilfields, nor impeded the flow of crude through pipelines to recipient markets.

Karim Zobeidi, an official at the National Iranian Oil Company, was cited as saying on Sunday that it was still too early to estimate the extent of the flood damage to Iran’s energy sector.

Mehr news agency also quoted Zobeidi as saying that some oil wells in western Iran had been closed as a precaution to guard against any flooding.",2019-04-14 10:37:08+00:00,{'https://static.reuters.com/resources/r/?m=02&d=20190414&t=2&i=1376826932&r=LYNXNPEF3D0AA&w=800'},"['flooding', 'saying', 'floods', 'caused', 'damage', '25', 'zobeidi', 'recent', 'iran', 'oil', 'billion', 'state']",,,flood
4,5,FL-2019-000022-IRN,Iran Hit With 3rd Major Flood in 2 Weeks - The New York Times,https://www.nytimes.com/2019/04/01/world/middleeast/iran-flood.html,"TEHRAN — The authorities on Monday ordered the immediate evacuation of flood-stricken cities in western Iran as rivers burst banks, dams overflowed and vast areas were cut off from communication.

The highest level of alert was declared in Lorestan Province with four or five cities “completely critical,” state television reported from Khorramabad, the provincial capital.

“In Khorramabad the water has risen by as much as three meters in parts,” the television broadcast said, with reports elsewhere of areas “completely submerged with residents stranded on their rooftops.”

The Red Crescent’s provincial director, Sarem Rezaee, said his organization had lost contact with much of the region.",4/1/2019 0:00,"{'https://static01.nyt.com/images/2019/04/01/world/01iran1/01iran1-facebookJumbo.jpg?year=2019&h=549&w=1050&s=3b64c3dc15acd881a44adad932a01be04b4f7f72367800c461ba8ce3bc0a5dd8&k=ZQJBKqZ0VN', 'https://static01.nyt.com/images/2019/04/01/world/01iran1/merlin_152934906_505a6302-c5ee-472a-8eb5-790fcd049159-articleLarge.jpg?quality=75&auto=webp&disable=upscale'}","['hit', 'cities', 'tehran', '3rd', 'provincial', 'major', 'western', 'flood', 'completely', 'iran', 'areas', 'weeks', 'television', 'vast', 'khorramabad', 'water']",,,flood
5,6,FL-2019-000022-IRN,70 dead in Iran flooding after record rainfall - CNN,https://www.cnn.com/videos/world/2019/04/07/iran-flood-fatalities-van-dam-vpx.cnn,"Seventy people have died in flooding in Iran after record rainfalls began saturating parts of the country last month, state-run media reported. CNN's Derek Van Dam has more.",4/7/2019 0:00,"{'https://cdn.cnn.com/cnnnext/dam/assets/210521161252-03-hong-kong-political-art-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210522224431-01-china-marathon-extreme-weather-0522-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/190407193820-iran-flooding-poldokhtar-super-tease.jpg', 'data:image/gif;base64,R0lGODlhEAAJAJEAAAAAAP///////wAAACH5BAEAAAIALAAAAAAQAAkAAAIKlI+py+0Po5yUFQA7', 'https://cdn.cnn.com/cnnnext/dam/assets/210521161651-girl-hospital-airstrike-gaza-damon-dnt-hgt-vpx-00013527-large-169.png', 'https://cdn.cnn.com/cnnnext/dam/assets/190407193820-iran-flooding-poldokhtar-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210523082033-afghan-translators-holmes-vpx-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210518215948-02-fiame-naomi-mataafa-file-large-169.jpg', 'https://pixel.quantserve.com/pixel/p-D1yc5zQgjmqr5.gif?labels=noscript%3ANo%20Labels%20Set', 'https://cdn.cnn.com/cnnnext/dam/assets/210521182357-prince-harry-apple-tv-first-episode-video-thumbnail-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210524143250-gaza-israeli-palestinian-recovery-humanitarian-crisis-wedeman-pkg-intl-hnk-vpx-00000518-large-169.png', 'https://cdn.cnn.com/cnnnext/dam/assets/210522072015-arab-woman-receives-kidney-transplant-from-israeli-gold-pkg-vpx-00022423-large-169.png', 'https://cdn.cnn.com/cnnnext/dam/assets/210520231736-prince-william-bbc-response-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210521184838-gaza-resident-wedeman-ceasefire-day-after-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210524132334-01-raman-pratasevich-file-2017-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210522185244-02-congo-volcano-0522-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210524101855-video-thumbnail-belarus-plane-passenger-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210523191557-italy-cable-car-deadly-accident-nadeau-lklv-vpx-00000827-large-169.jpg', 'https://cdn.cnn.com/cnnnext/dam/assets/210523152132-raman-pratasevich-screengrab-for-video-large-169.jpg'}","['flooding', 'seventy', 'month', 'van', 'rainfall', '70', 'rainfalls', 'iran', 'dead', 'saturating', 'parts', 'media', 'reported', 'staterun', 'record']",,,flood
6,7,FL-2019-000022-IRN,"Islamic Republic of Iran: Situation Overview: Floods, As of 13 April 2019 - Iran (Islamic Republic of) - ReliefWeb",https://reliefweb.int/report/iran-islamic-republic/islamic-republic-iran-situation-overview-floods-13-april-2019,"Humanitarian needs

Heavy rains and flash flooding that began in March have affected 28 of 31 provinces across the Islamic Republic of Iran. The flooding has killed 78 people and injured 1,076 people according to the authorities. It is estimated that 10 million people have been affected and that as many as 2 million may be in need of some form of assistance. At least 296,000 people reportedly remain displaced. The widespread damages to the road and transportation network are making villages and small towns inaccessible. While information on humanitarian needs is still limited, the greatest needs are reported to be in the water, sanitation and hygiene, health, shelter and agriculture sectors.

Humanitarian response

The Government of Iran, the Iranian Red Crescent Society (IRCS) and the local communities are responding to the emergency and the needs of people affected. More than 445,000 people across Iran have been assisted with food, water, shelter and emergency supplies. The Government of Iran has officially indicated that emergency equipment, health supplies and household items are most needed. United Nations is mobilizing support in coordination with the international community. IRCS reports that it has delivered more than 30 million USD in humanitarian assistance, half of which was received from people in Iran.

As of today, Armenia, Azerbaijan, France, Germany, Japan, Kuwait, Oman, Pakistan, Russia, Switzerland, Turkey, Vatican have provided relief items to the Government of Iran in support of the response.",,"{'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1276293-Iran%20-%20Situation%20Overview%20-%20Floods%20-%2013%20April%202019.pdf%20v3.6.png?itok=X4AQS3Bx', 'https://reliefweb.int/sites/reliefweb.int/files/styles/report-large/public/resources-pdf-previews/1276293-Iran%20-%20Situation%20Overview%20-%20Floods%20-%2013%20April%202019.pdf%20v3.6.png?itok=WJo-yHSJ'}","['islamic', 'floods', 'supplies', 'shelter', 'overview', 'affected', '13', 'iran', 'emergency', 'humanitarian', 'million', '2019', 'support', 'needs', 'republic', 'situation', 'water']",,,flood
7,8,FL-2019-000022-IRN,Iran Estimates Agricultural Losses from Floods at $180 Million - Voice of America,https://www.voanews.com/middle-east/voa-news-iran/iran-estimates-agricultural-losses-floods-180-million,"An Iranian official says deadly floods that hit some of Iran’s provinces this week have caused heavy financial losses to the Islamic Republic’s agriculture sector.

A Friday report by Tehran-based state-approved newspaper Hamshahri quoted the head of the agriculture ministry’s crisis management department, Seyyed Mohammad Mousavi, as estimating flood losses at 24 trillion rials, or $180 million, based on the unofficial exchange rate of 135,000 rials to the dollar quoted by bonbast.com Friday.

The Iranian official said the losses were caused primarily in nine Iranian provinces, including Chaharmahal and Bakhtiari, Fars, Golestan, Kermanshah, North Khorasan, Khuzestan, Mazandaran, Semnan, and Sistan and Baluchestan.

Hamshahri cited Mousavi as saying 50 percent of the agricultural losses were related to farms, 23 percent to horticulture, 17 percent to water infrastructure and delivery networks, and 10 percent to livestock and fish.

Death toll at 44

In a Thursday report, Iran’s semi-official Tasnim news agency said floods had killed at least 44 people in 10 provinces since Monday.

In an interview with the Friday edition of VOA Persian’s News at Nine program, Washington-based climate and international security commentator Caitlin Werrell said Iran’s flooding damage was caused by a combination of two factors.

“One is the intensity of the weather event — we saw a huge amount of precipitation happen in a short period of time,” said Werrell, chief executive of The Council on Strategic Risks, a security policy institute.

“That was combined with the conditions on the ground: infrastructure and also … a drought that precedes a flood (and) means that the soil is not as absorbent as it could have been,” she added.

Updated infrastructure needed

Iranian officials acknowledged that outdated agricultural and irrigation systems and poor water management policies in the past decades contributed to nationwide water shortages last year. Below average precipitation exacerbated the situation.

Werrell also said there are steps that countries such as Iran can take to mitigate future flooding disasters, which she predicted will become more frequent as the climate changes.

“Short-term weather forecasting has gotten better, but you also can also put in place things like early warning systems for people who cannot get out of the way, things that I would encourage everybody, not just in Iran, but across the world to be doing,” she said.

This article originated in VOA’s Persian Service.",,"{'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/medium/s3/2021-04/MicrosoftTeams-image_1.png?h=949645f2&itok=zdhT1CUi', ""data:image/svg+xml;charset=utf-8,%3Csvg xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg' viewBox%3D'0 0 269 177'%2F%3E"", 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/269x177/s3/2019-04/A7B90CD8-1AE0-4258-B5D0-DE53F548D4AB.jpg?itok=rR9NVSxn', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/medium/s3/2019-10/afp_logoZ6VTM3WP_400x400.jpeg?h=40f5e6bb&itok=yEUz_rLq', ""data:image/svg+xml;charset=utf-8,%3Csvg xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg' viewBox%3D'0 0 192 108'%2F%3E"", 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/892x501/s3/2019-04/E88B2F1F-B41D-4FFF-A318-2F223A9595BE.jpg?itok=Z0XpCF6l', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/269x177/s3/2019-04/DF423C66-3EB7-4954-9043-99841D018229.jpg?itok=O67GGPl6', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/medium/s3/2019-06/Jeff-Seldin---final.png?h=cf11353e&itok=NpPm4Ijy', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/192x108/s3/2021-05/ap_iran_flag2.jpg?itok=N88Gkoy7', 'https://im-media.voltron.voanews.com/Drupal/01live-166/2019-04/E88B2F1F-B41D-4FFF-A318-2F223A9595BE.jpg', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/192x108/s3/ap-images/2021/05/5232c91be8ebce6d16979f0ec413cc7b.jpg?itok=nA8zkFeX', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/192x108/s3/reuters-images/2021/04/reuters_com_2021_newsml_RC2N3N93N0U9.jpg?itok=Mu6tqUFE', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/269x177/s3/2019-04/F3AE40EA-7816-4040-A790-566FB2B054FF.jpg?itok=FOM4vYY0', 'https://www.voanews.com/themes/custom/voa/logo.svg', 'https://www.voanews.com/core/themes/stable/images/core/throbber-active.gif', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/192x108/s3/2021-05/ap_iran_election.jpg?itok=7pPjQiWm', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/192x108/s3/2021-05/2021-05-24T105615Z_2043007219_RC2AMN9NLSWV_RTRMADP_3_IRAN-NUCLEAR-IAEA.JPG?itok=qlBojeC7', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/269x177/s3/2019-04/E3DE71F6-230E-4081-BDD5-4FED596F5331.jpg?itok=aaFVc5G1', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/medium/s3/2019-04/A18E9146-0791-4BF3-8C41-CE7D900FCFE0.jpg?itok=gamJzSpZ', 'https://im-media.voltron.voanews.com/Drupal/01live-166/styles/medium/s3/2019-10/voa_400x400.jpg?h=a7e6d17b&itok=HnlxCWk5'}","['weather', 'provinces', 'floods', 'infrastructure', 'caused', 'agricultural', 'losses', 'werrell', '180', 'iranian', 'iran', 'things', 'irans', 'million', 'estimates', 'water']",,,flood_and_drought
8,9,FL-2019-000022-IRN,Iran: Floods - Emergency Plan of Action (EPoA) DREF n° MDRIR002 - Iran (Islamic Republic of) - ReliefWeb,https://reliefweb.int/report/iran-islamic-republic/iran-floods-emergency-plan-action-epoa-dref-n-mdrir002,"A. Situation analysis

Description of the disaster

Flash floods in Golestan Province, in the North of Iran, began on 16 March causing flooding and landslides. The flooding subsequently spread further north and to the eastern provinces. The IRCS Emergency Operations Centre (EOC) declared early warning based on metrological alerts. Iranian Red Crescent Society (IRCS) snapped into action, disseminating community-based warnings and evacuating at-risk communities to safe shelters.

Continued rainfall has caused floods in 586 cities and villages across Iran. Flood water has destroyed infrastructure, livestock, agriculture and livelihoods, with estimated damage USD 150,000 million, in Golestan and Mazandaran Provinces alone. The disaster struck in the middle of Nowruz,

Iranian New Year holidays. National Metrological service predicts more rainfall for the coming week.

By now, IRCS has reported 45 persons dead and at least 434 persons injured. The most affected areas are Golestan, Mazandaran, North Khorasan, Kohgiluyeh and Boyer-Ahmad, Fars, Kermanshah, Khozestan, Semnan, Ilam and Hamedan. To date, IRCS has assisted 156,531 flood-affected persons and is provided temporary shelter for 50,732 people. As part of response, IRCS despatched helicopters, boats, ambulances, response vehicles and teams. After early warning for at-risk communities, IRCS provided emergency search and rescue, assessment, first aid and medical evacuation. IRCS has fulfilled its mandate of lead agency for disaster response, registering those evacuated and distributing food, water and household items to all those in need.",,"{'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1269158-MDRIR002.png?itok=SFEGKpNW', 'https://reliefweb.int/sites/reliefweb.int/files/styles/report-small/public/resources-pdf-previews/1269158-MDRIR002.png?itok=vjoBweIK'}","['islamic', 'rainfall', 'response', 'n', 'golestan', 'floods', 'warning', 'epoa', 'persons', 'provided', 'provinces', 'plan', 'iran', 'ircs', 'dref', 'republic', 'mdrir002', 'emergency', 'north', 'water']",,,flood
9,10,FL-2019-000022-IRN,"Islamic Republic of Iran: Situation Overview: Floods, As of 9 April 2019 - Iran (Islamic Republic of) - ReliefWeb",https://reliefweb.int/report/iran-islamic-republic/islamic-republic-iran-situation-overview-floods-9-april-2019,"Humanitarian needs

Heavy rains and flash flooding that began in March have affected 24 of 31 provinces across the Islamic Republic of Iran. The flooding has killed 70 people and injured 1,076 people according to the authorities. It is estimated that 10 million people have been affected and that as many as 2 million may be in need of some form of assistance. At least 500,000 people are reportedly displaced. The widespread damages to the road and transportation network are making villages and small towns inaccessible. While information on humanitarian needs is still limited, the greatest needs are reported to be in the water, sanitation and hygiene, health, shelter and agriculture sectors

Humanitarian response

The Government of Iran, the Iranian Red Crescent Society and the local communities are responding to the emergency and the needs of people affected. More than 280,000 people across Iran have been assisted with food, water, shelter and emergency supplies. The Government of Iran has officially indicated that emergency equipment, health supplies and household items are most needed. United Nations is mobilizing support in coordination with the international community.",,"{'https://reliefweb.int/sites/reliefweb.int/files/styles/report-large/public/resources-pdf-previews/1273683-Iran%20-%20Situation%20Overview%20-%20Floods%20-%209%20April%202019.pdf%20v2.3.png?itok=9pImwuSC', 'https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1273683-Iran%20-%20Situation%20Overview%20-%20Floods%20-%209%20April%202019.pdf%20v2.3.png?itok=oN48om8O'}","['islamic', 'floods', 'supplies', 'shelter', 'overview', 'affected', 'iran', 'emergency', 'humanitarian', 'million', '2019', 'needs', 'republic', 'situation', 'health', 'water']",,,flood
