,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2020-000038-EGY,Egypt: Flash Floods Emergency Plan of Action (EPoA) Final Report DREF n° MDREG015 - Egypt - ReliefWeb,https://reliefweb.int/report/egypt/egypt-flash-floods-emergency-plan-action-epoa-final-report-dref-n-mdreg015,"A. SITUATION ANALYSIS

Description of the disaster

On March 11, 2020, the Egyptian Meteorological Authority - stated that the situation during the period 12 – 14 March 2020 will witness heavy rains with potential floods. The government has appealed the citizens not to leave their homes and closed several major roads between the provinces, disrupting government, public and private sectors.

On 11 March 2020, the Egyptian Red Crescent (ERC) issued an emergency alert and activated its Central Emergency Operations Center (EOC) as well as the Emergency Operations Rooms at the Branches.

The continued severe weather, including heavy rain, strong winds and thunderstorms caused widespread flooding across Egypt, killing at least 40 people. According to Ministry of Social Solidarity (MoSS), 10 people died and more than 400 injured in Cairo, three people died and five were injured in Qena Governorate (central Egypt). The remaining fatalities occurred in Giza, Ismailia, Sharkeia, New Valley, Menofia, and South Sinai Governorates, 12.

The train service was suspended nationwide, as heavy rain caused a train collision in northern Giza, injuring 13 people. The official figures reported by the MoSS on the number of people affected by the floods in the country estimates 20,000 people (4,000 families).

As the rest of the affected people are located in various areas within the governorates, MoSS and some local NGOs have conducted the needs assessment in those affected areas. Several key highways and some public infrastructure, including seaports and international airports were closed. Schools and government offices remained closed on 13 and 14 March 2020.

Summary of response

The actions taken by the ERC to respond to the disaster:

After the government’s declaration of the emergency alert, ERC activated its Emergency Operations Center (EOC). The EOC has remained open 24/7 for any emergency and to follow up on all activities of the DREF.

Additionally, 100 ERTs in 27 branches were activated with an average of 500 volunteers mobilized.

ERC supported the evacuation of 684 people into the assembly points. There were 2,926 people hosted in 19 evacuation centers in Cairo, Giza, Beni Suef and Faiyum.

ERC also supported the evacuation of 38 migrants to move to an evacuation center in “6th of October” school.

They obtained hygiene kits, hot meals, clothes, blankets, mattresses and pillows.

2,247 people were assisted by ERC with First Aid services and received blankets, mattresses, pillows, clothes, hygiene kits and hot meals.","Sat, 23 Jan 2021 08:00:00 GMT",https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1566585-MDREG015dfr.png?itok=POmWL9hJ,"['eoc', 'floods', 'epoa', 'egypt', 'center', 'moss', 'flash', 'erc', 'heavy', 'n', 'giza', 'plan', 'closed', 'operations', 'evacuation', 'final', 'report', 'emergency', 'mdreg015']", 
1,1,FL-2020-000038-EGY,"Fifty years on, the Nile dam that changed the face of Egypt - Associated Press",https://apnews.com/article/egypt-dams-floods-2d8d3576bc1ad9e8101bec3fd2c4f22a,,"Thu, 14 Jan 2021 08:00:00 GMT",https://storage.googleapis.com/afs-prod/media/ef5b5e238ec14dc58e913e4eb726c715/3000.jpeg,"['face', 'egypt', 'nile', 'dam', 'changed']", 
2,2,FL-2020-000038-EGY,Spotlight: Nile flooding poses no serious threat to Egypt despite damage in Sudan: official - Xinhua | English.news.cn - Xinhua,http://www.xinhuanet.com/english/2020-10/04/c_139418317.htm,"Source: Xinhua| 2020-10-04 17:47:59|Editor: huaxia

Video Player Close

Photo taken on Oct. 4, 2020 shows the view of the Nile River in Cairo, Egypt. The ongoing Nile River flooding poses no serious threat to Egypt despite the damage and casualties it caused to fellow downstream Nile basin country Sudan, said an Egyptian official. (Xinhua/Ahmed Gomaa)

by Mahmoud Fouly, Abdel-Meguid Kamal

CAIRO, Oct. 4 (Xinhua) -- The ongoing Nile River flooding poses no serious threat to Egypt despite the damage and casualties it caused to fellow downstream Nile basin country Sudan, said an Egyptian official.

""The flooding situation in Egypt is different and the society here will not be seriously affected as it happened in other Nile basin states,"" Mohamed al-Sebai, spokesman of the Egyptian Ministry of Water Resources and Irrigation, told Xinhua.

The ministry's monitoring and forecasting center said that the Nile flooding is rather useful to Egypt this year, since there is an opportunity to use quantities of the flood water to refresh and improve the quality of the Nile water as well as reduce its pollution and the amount of ammonia in Egypt's Nile delta Rosetta branch, the spokesman added.

The Nile River is the main source of fresh water in Egypt, providing the country with 55.5 billion cubic meters of water annually.

Sebai pointed out that the flooding will continue in Egypt until the end of October, in light of the continuous rainfalls in upstream Nile basin countries.

The ministry has recently announced that the Nile flooding this year is ""high and likely to continue increasing,"" while the government assigned the ministry to set up an ""emergency plan.""

Egypt has 13 riparian provinces along the Nile River that would be first affected by the flooding, located between Aswan in the south and Damietta in the north.

The biggest issue about these provinces is their encroachments in the course of the Nile, whether through construction or plantation on adjacent lands, making them the most vulnerable.

The encroachments lead to bottlenecks in the course of the river, and thus the incoming amount of water cannot be absorbed.

However, the water ministry's spokesman told Xinhua that ""any possible damage will be limited in the Nile islands and riparian lands of the river, which are considered an integral part of the river's course itself.""

Experts expect the Nile water level in Egypt to rise by about 120 centimeters, overwhelming the lowlands including islands and riparian buildings and crops.

Abbas Sharaqi, a professor of water resources at Cairo University, emphasized that the current flooding is not the most violent in the history of Egypt compared with those occurred in 1999 and 2000.

""But the difference is that Nasser Lake, the reservoir of Egypt's Aswan High Dam, has been filled early this year during the current flooding,"" said the Egyptian professor, attributing the current rise of the Nile water level in Egypt to the increasing water flow coming from the Ethiopian high central plateau.

Although Egypt and Sudan are the two downstream Nile basin states, this year's flooding caused deadly damage in Sudan while Egypt is likely to pass it safely, mainly due to its giant High Dam that helps contain a large quantity of the flooding water.

""Sudan was exposed to a greater flooding that submerged some states due to the heavy rains there amid increasing water flow coming from upstream Ethiopia,"" Sharaqi told Xinhua.

He explained that the capabilities of Sudanese dams are limited that they cannot reserve large quantities of water.

The Egyptian Ministry of Water Resources and Irrigation has other ways to deal with such a flooding, as it can resort to using the Edfina Barrage on the Rosetta branch of the Nile, which releases excess water to the Mediterranean Sea, or other northern barrages in case of continuing water flow.

""The situation is under the control of the ministry, because it can increase or decrease the Nile water level, which is still at a safe level, or increase the amount of water discharged into the sea when necessary,"" said the Egyptian professor. Enditem","Sun, 04 Oct 2020 07:00:00 GMT",,"['egypt', 'water', 'egyptian', 'level', 'serious', 'threat', 'sudan', 'nile', 'flooding', 'poses', 'ministry', 'basin', 'spotlight', 'official', 'river', 'xinhua']", 
3,3,FL-2020-000038-EGY,Egypt on high alert following Sudan floods - Arab News,https://www.arabnews.com/node/1733976/middle-east,"Syrian elections cause tension and violence in Lebanon

BEIRUT: Calls for Syrians in Lebanon to return to their country have become a deeply divisive politicized issue over the decade-long civil war in Syria, one which has recently been exacerbated by the upcoming election in Syria.



On Thursday, groups of angry Lebanese beat up Syrian expatriates and refugees heading to the Syrian embassy to cast their votes for next Wednesday's election, and threw stones at their vehicles, outraged over what they perceive as an organized vote for Assad. There have been rumors that Hezbollah organized transport for voters from across Lebanon to the embassy.



Assad is running for a fourth term, facing symbolic competition from two other candidates in a vote that is all but guaranteed to see him continue as president.



The Syrian opposition — as well as many Western and Arab countries — see the election as a sham designed to give Assad’s reign a veneer of legitimacy. The election also violates UN resolutions that call for a new constitution before a presidential vote.



Lebanon hosts 865,531 registered Syrian refugees, and there are several hundred thousand Syrians residing in Lebanon with their families as daily or seasonal workers.



Syrians in Lebanon include regime supporters and opposition figures who fled to Lebanon because of the war. Lebanon is in the midst of a severe economic crisis and is calling for Syrian refugees to return to their country because of the high cost of hosting them.



The roads leading to the embassy area in Yarzeh were congested with cars and buses loaded with voters since early Thursday morning. Many chanted slogans in support of Assad and the regime army, waving Syrian flags and carrying pictures of Assad. They confirmed to the media before and after the polls that they had voted for Assad.



Many Lebanese people reacted angrily to this. Members of the Lebanese Forces party went to the coastal highway that connects northern Lebanon with Beirut, and blocked cars carrying pictures of Assad, or Syrian flags, or banners for the Syrian Social Nationalist Party (SSNP) — an ally of the Syrian regime, smashed car windows, and assaulted their occupants.

FAST FACT The roads leading to the Syrian Embassy area in Lebanon were congested with cars and buses loaded with voters since early Thursday morning. Many chanted slogans in support of Bashar Assad.

They told the media: “They are loyal to Assad, so why are they still in Lebanon as refugees?”



Members of the Lebanese Forces party also said that Assad-supporting Syrians should have their refugee status removed.



Similar scenes took place in Beirut’s Ashrafieh neighborhood, where young Lebanese men chased a car displaying the Syrian flag. The Lebanese army intervened to separate the two sides.



Fifty-four-year-old Mohsen Saleh Al-Ahmad died while traveling by bus from Chtaura, Bekaa, to the embassy. According to official preliminary investigations, he had a heart attack.



Since Thursday morning’s events, the army has tightened security in and around the Syrian Embassy, which is located in the vicinity of the Ministry of Defense and the Army Command, and on the roads leading to it.



But further clashes broke out in the afternoon, this time instigated by Syrians, who reportedly got off the buses transporting them along the coastal road near Nahr Al-Kalb and proceeded to assault passers-by and throw stones at cars, injuring several people, including journalists from MTV.



Some Lebanese politicians were quick to condemn the actions of pro-Assad Syrian voters.



Former minister May Chidiac said: “They claim to be displaced and are calling on the international community to support them with fresh dollars while they are an additional burden on Lebanon’s overstretched economy! At the doors of the Syrian embassy, ​​they are chanting for Bashar Assad. As long as you are not threatened, go back to where you came from.”



Another former minister, Richard Kouyoumdjian, said: “Swear allegiance to Bashar Assad in your country, not in ours. You are opportunists and you are not displaced.”



But former Hezbollah MP Nawar Al-Sahili described attacks on Syrian voters as demonstrating “racism and a lack of integrity.”



Syrian Ambassador to Lebanon Ali Abdul Karim Ali said those attacks were “painful, and we refer (them) to the concerned authorities” and called on Lebanon “to cooperate to find quick exits for the return of the Syrians to their country.”



The Syrian diplomat said that the large number of voters “reflects the desire of Syrian people to return to a safety that they have not found outside Syria.”



Lisa Abu Khaled, spokeswoman for the United Nations High Commissioner for Refugees (UNHCR), told Arab News: “The UNHCR has received reports of incidents involving pressure, threats, and harassment affecting Syrian refugees in Lebanon and in relation to the Syrian presidential elections. The reported incidents range from confiscation of documents to threats of physical harm.”



She added: “Voting is a personal choice and is not linked to refugee status, nor to a person’s need for international protection. Voting will not lead to the loss of refugee status. The UNHCR has received reports of intimidation and pressure, which may have pushed a number of refugees to participate in the elections.



“The UNHCR is a non-political humanitarian organization, and therefore does not play any role in the Syrian elections,” she continued. “That said, if and when incidents of threats and pressure are reported by refugees, we work with the concerned stakeholders in Lebanon to ensure that refugees continue to be protected in Lebanon.”



Not all Syrian refugees in Lebanon exercised their right to vote. Abu Ahmad, a camp supervisor in a refugee camp in Arsal, told Arab News: “Most people are not interested. There may be some who voted at the embassy, ​​but they do not (symbolize) a collective conviction. Refugees are frustrated and cannot forget their suffering and the horrors they experienced during their displacement.



“What has changed now? How can Assad be re-elected? On what basis? People were hoping for some change to happen, but what is happening is the polishing of the image of Bashar Assad in front of the international community,” he continued. “Maintaining my strength today is more beneficial than wasting my time in front of the ballot box. Here, I feel safe even though I am homeless.”



Caretaker Social Affairs and Tourism Minister Ramzi Musharrafieh, who visited Syria a few weeks ago and discussed the return of refugees, denounced “all the infringements that have occurred and are unjustified,” and said that “protecting (Syrian voters) is our priority.”



Former MP Khaled Al-Daher, who has been a major advocate for Syrian refugees in Lebanon in the past, said on Thursday: “Anyone who wants to elect Bashar Assad from among the refugees in Lebanon will not have refugee status and must leave the Lebanese territories because they have no problem with the Syrian regime, but are in Lebanon for specific goals and objectives.”","Sun, 13 Sep 2020 07:00:00 GMT",https://www.arabnews.com/sites/default/files/2020/09/13/2269191-641817887.jpg,"['floods', 'lebanon', 'egypt', 'alert', 'refugee', 'high', 'syrians', 'sudan', 'lebanese', 'embassy', 'voters', 'assad', 'return', 'refugees', 'following', 'syrian']", 
4,4,FL-2020-000038-EGY,How the controversial Nile dam might fix Sudan's floods - BBC News,https://www.bbc.com/news/world-africa-54748204,"""We lost people, and properties of billions of pounds, but look at Egypt - they haven't lost a single seedling because they normally keep the flood water in their high dam and we don't have one like that, so the Ethiopian dam could have saved all that,"" he said.","Sun, 01 Nov 2020 07:00:00 GMT",https://ichef.bbci.co.uk/news/1024/branded_news/BB52/production/_115145974_gettyimages-1183012645.jpg,"['controversial', 'floods', 'pounds', 'seedling', 'water', 'properties', 'normally', 'nile', 'look', 'lost', 'single', 'dam', 'fix', 'saved', 'sudans']", 
5,5,FL-2020-000038-EGY,Egyptians deny reports of widespread Nile flooding of villages near capital - Arab News,https://www.arabnews.com/node/1731531/middle-east,"Syrian elections cause tension and violence in Lebanon

BEIRUT: Calls for Syrians in Lebanon to return to their country have become a deeply divisive politicized issue over the decade-long civil war in Syria, one which has recently been exacerbated by the upcoming election in Syria.



On Thursday, groups of angry Lebanese beat up Syrian expatriates and refugees heading to the Syrian embassy to cast their votes for next Wednesday's election, and threw stones at their vehicles, outraged over what they perceive as an organized vote for Assad. There have been rumors that Hezbollah organized transport for voters from across Lebanon to the embassy.



Assad is running for a fourth term, facing symbolic competition from two other candidates in a vote that is all but guaranteed to see him continue as president.



The Syrian opposition — as well as many Western and Arab countries — see the election as a sham designed to give Assad’s reign a veneer of legitimacy. The election also violates UN resolutions that call for a new constitution before a presidential vote.



Lebanon hosts 865,531 registered Syrian refugees, and there are several hundred thousand Syrians residing in Lebanon with their families as daily or seasonal workers.



Syrians in Lebanon include regime supporters and opposition figures who fled to Lebanon because of the war. Lebanon is in the midst of a severe economic crisis and is calling for Syrian refugees to return to their country because of the high cost of hosting them.



The roads leading to the embassy area in Yarzeh were congested with cars and buses loaded with voters since early Thursday morning. Many chanted slogans in support of Assad and the regime army, waving Syrian flags and carrying pictures of Assad. They confirmed to the media before and after the polls that they had voted for Assad.



Many Lebanese people reacted angrily to this. Members of the Lebanese Forces party went to the coastal highway that connects northern Lebanon with Beirut, and blocked cars carrying pictures of Assad, or Syrian flags, or banners for the Syrian Social Nationalist Party (SSNP) — an ally of the Syrian regime, smashed car windows, and assaulted their occupants.

FAST FACT The roads leading to the Syrian Embassy area in Lebanon were congested with cars and buses loaded with voters since early Thursday morning. Many chanted slogans in support of Bashar Assad.

They told the media: “They are loyal to Assad, so why are they still in Lebanon as refugees?”



Members of the Lebanese Forces party also said that Assad-supporting Syrians should have their refugee status removed.



Similar scenes took place in Beirut’s Ashrafieh neighborhood, where young Lebanese men chased a car displaying the Syrian flag. The Lebanese army intervened to separate the two sides.



Fifty-four-year-old Mohsen Saleh Al-Ahmad died while traveling by bus from Chtaura, Bekaa, to the embassy. According to official preliminary investigations, he had a heart attack.



Since Thursday morning’s events, the army has tightened security in and around the Syrian Embassy, which is located in the vicinity of the Ministry of Defense and the Army Command, and on the roads leading to it.



But further clashes broke out in the afternoon, this time instigated by Syrians, who reportedly got off the buses transporting them along the coastal road near Nahr Al-Kalb and proceeded to assault passers-by and throw stones at cars, injuring several people, including journalists from MTV.



Some Lebanese politicians were quick to condemn the actions of pro-Assad Syrian voters.



Former minister May Chidiac said: “They claim to be displaced and are calling on the international community to support them with fresh dollars while they are an additional burden on Lebanon’s overstretched economy! At the doors of the Syrian embassy, ​​they are chanting for Bashar Assad. As long as you are not threatened, go back to where you came from.”



Another former minister, Richard Kouyoumdjian, said: “Swear allegiance to Bashar Assad in your country, not in ours. You are opportunists and you are not displaced.”



But former Hezbollah MP Nawar Al-Sahili described attacks on Syrian voters as demonstrating “racism and a lack of integrity.”



Syrian Ambassador to Lebanon Ali Abdul Karim Ali said those attacks were “painful, and we refer (them) to the concerned authorities” and called on Lebanon “to cooperate to find quick exits for the return of the Syrians to their country.”



The Syrian diplomat said that the large number of voters “reflects the desire of Syrian people to return to a safety that they have not found outside Syria.”



Lisa Abu Khaled, spokeswoman for the United Nations High Commissioner for Refugees (UNHCR), told Arab News: “The UNHCR has received reports of incidents involving pressure, threats, and harassment affecting Syrian refugees in Lebanon and in relation to the Syrian presidential elections. The reported incidents range from confiscation of documents to threats of physical harm.”



She added: “Voting is a personal choice and is not linked to refugee status, nor to a person’s need for international protection. Voting will not lead to the loss of refugee status. The UNHCR has received reports of intimidation and pressure, which may have pushed a number of refugees to participate in the elections.



“The UNHCR is a non-political humanitarian organization, and therefore does not play any role in the Syrian elections,” she continued. “That said, if and when incidents of threats and pressure are reported by refugees, we work with the concerned stakeholders in Lebanon to ensure that refugees continue to be protected in Lebanon.”



Not all Syrian refugees in Lebanon exercised their right to vote. Abu Ahmad, a camp supervisor in a refugee camp in Arsal, told Arab News: “Most people are not interested. There may be some who voted at the embassy, ​​but they do not (symbolize) a collective conviction. Refugees are frustrated and cannot forget their suffering and the horrors they experienced during their displacement.



“What has changed now? How can Assad be re-elected? On what basis? People were hoping for some change to happen, but what is happening is the polishing of the image of Bashar Assad in front of the international community,” he continued. “Maintaining my strength today is more beneficial than wasting my time in front of the ballot box. Here, I feel safe even though I am homeless.”



Caretaker Social Affairs and Tourism Minister Ramzi Musharrafieh, who visited Syria a few weeks ago and discussed the return of refugees, denounced “all the infringements that have occurred and are unjustified,” and said that “protecting (Syrian voters) is our priority.”



Former MP Khaled Al-Daher, who has been a major advocate for Syrian refugees in Lebanon in the past, said on Thursday: “Anyone who wants to elect Bashar Assad from among the refugees in Lebanon will not have refugee status and must leave the Lebanese territories because they have no problem with the Syrian regime, but are in Lebanon for specific goals and objectives.”","Tue, 08 Sep 2020 07:00:00 GMT",https://www.arabnews.com/sites/default/files/2020/09/08/2262566-1647544324.png,"['flooding', 'reports', 'villages', 'near', 'capital', 'widespread', 'nile', 'egyptians', 'return', 'refugees', 'syrian', 'lebanon', 'refugee', 'embassy', 'lebanese', 'assad', 'syrians', 'voters', 'deny']", 
6,6,FL-2020-000038-EGY,"Storms bring widespread floods to Egypt, killing 5 - Aljazeera.com",https://www.aljazeera.com/news/2020/3/13/storms-bring-widespread-floods-to-egypt-killing-5,"More rain is forecast in the wake of Thursday’s deadly downpours.

Thunderstorms packing heavy rains and lightning have caused widespread flooding across Egypt, killing at least five people and injuring five others, officials have said, as authorities shuttered schools, government offices and an airport.

Thursday was declared a paid holiday to keep streets clear, closing schools and government offices, with officials urging people to stay at home and not to park near trees or in low-lying areas that would be at risk of flooding.

A driver died when strong winds blew his car into a canal in the southern province of Sohag, and a technician was electrocuted in New Valley province while trying to repair a lighting column that had lost power due to the heavy rain.

A child and five people were wounded when floods demolished their houses in a rural area in the southern province of Qena. Lightning also ignited several fires.

A state of emergency began on Wednesday as a powerful storm developed over the Mediterranean Sea, prompting authorities to issue warnings to residents.

On Thursday, authorities closed down the Luxor International Airport, a key hub for tourists, as well as the Mediterranean port of Alexandria and the Red Sea port of Sharm el-Sheikh.

The city of Ismailia, situated on the west bank of the Suez Canal, recorded 25 millimetres of rain in 24 hours. Mersa Matruh, a resort town on the country’s Mediterranean coast, reported 20mm.

Despite such relatively small rainfall totals, many parts of the capital, Cairo, were underwater.

Chaos generally accompanies bad weather in Egypt, raising questions about the country’s poor infrastructure and dilapidated sewage and drainage systems.

Late on Thursday, Cairo’s Water Authority announced it had suspended water service to the entire city because heavy rain had overwhelmed the vast sewage system. It said water would return when the weather improved, without offering an exact time.

Mahmoud Shahin, director of the analysis department at the Egyptian Meteorological Authority, said: “This level of instability in weather conditions has not occurred with such force since 1994.”

Egypt has no comprehensive rainwater drainage system and relies on a 105-year-old drainage network to siphon rainwater.

In an earlier statement on the floods that brought Cairo to a standstill last October, the cabinet said that Egyptian cities were built without rainwater drainage networks.","Fri, 13 Mar 2020 07:00:00 GMT",https://www.aljazeera.com/wp-content/uploads/2020/03/e97a1b6583e244ccb661817c73f44194_18.jpeg?fit=1000%2C562,"['mediterranean', 'heavy', 'storms', 'killing', 'floods', 'egypt', 'water', 'weather', 'authorities', 'bring', 'widespread', 'system', 'drainage', 'southern', 'rain', 'province']", 
7,7,FL-2020-000038-EGY,"Flood changes affect Egypt, we depend on Nile water with 97%: Min. of Water spokesman - Egypttoday",https://www.egypttoday.com/Article/1/91702/Flood-changes-affect-Egypt-we-depend-on-Nile-water-with,"CAIRO – 7 September 2020: Egypt’s spokesman for the Ministry of Water Resources and Irrigation, Mohamed El Sebaei said that any change in the floods will affect the country whether it is a decrease or an increase, explaining that Egypt depends on the Nile River water with up to 97 percent.

He added in statements to TEN channel, Sunday that by the end of September, we can determine the size and type of this-year-flood, as its likely to be above the average compared to previous years.

He noted that Aswan High Dam project protects Egypt from flooding, describing it as “buffer against Nile floods”.

On August 31, the permanent committee to Nile River Revenue Regulatory Committee affiliated with Egypt’s Irrigation Ministry said that the flood of Nile River this year likely to be higher than the average

The initial indicators were based on the incoming Revenue during August; however, it is still too early to make a final judgment on the type and size of this year’s flood, pending the months of September and October; the Committee said.

According to an official statement issued by the Ministry of Irrigation, the River Revenue Regulatory Committee reviewed the position of the Nile flood, and the measures taken by the Nile Water Affairs Sector and the Ministry's Planning Sector Forecasting Center, including monitoring, analysis and evaluation of the flood situation, and the quantities of water expected to arrive until the end of the current water year 2021-2022.

The statement pointed to the unprecedented high rates of rainfall in the Sudanese capital, Khartoum, and the high level of water in the waterway, explaining that coordination is taking place Egypt and Sudan in a framework of mutual cooperation, exchanging of data and information, and joint measurements in some measurement stations.","Mon, 07 Sep 2020 07:00:00 GMT",https://www.egypttoday.com/siteimages/larg/64868.jpg,"['min', 'flood', 'changes', 'egypt', 'water', '97', 'revenue', 'high', 'spokesman', 'committee', 'ministry', 'nile', 'affect', 'irrigation', 'river', 'depend']", 
8,8,FL-2020-000038-EGY,Egypt: Floods - Mar 2020 - ReliefWeb,https://reliefweb.int/disaster/fl-2020-000038-egy,"On 11 March 2020, the Egyptian Red Crescent issued an emergency alert and activated its Central Emergency Operations Center (EOC) as well as the Emergency Operations Rooms at the Branches. The continued severe weather, including heavy rain, strong winds and thunderstorms caused widespread flooding across Egypt, killing at least 40 people. According to Ministry of Social Solidarity (MoSS), 10 people died and more than 400 injured in Cairo, 3 people died and 5 were injured in Qena Governorate (central Egypt). The remaining fatalities occurred in Giza, Ismailia, Sharkeia, New Valley, Menofia, and South Sinai Governorates, 12 people missing. The train service was suspended nationwide, as heavy rain caused a train collision in northern Giza, injuring 13 people. The official figures reported by the MoSS on the number of people affected by the floods in the country estimates 20,000 people (4,000 families). (IFRC, 26 Mar 2020)","Fri, 27 Mar 2020 02:27:21 GMT",https://reliefweb.int/apple-touch-icon.png,"['heavy', 'floods', 'died', 'egypt', 'giza', 'train', 'emergency', 'moss', '2020', 'injured', 'rain', 'operations', 'mar']", 
9,9,FL-2020-000038-EGY,"Video: 7 Upper Egypt-Red Sea highways closed after rains, flood falling from mountain swamps western Luxor - Egypttoday",https://www.egypttoday.com/Article/1/91671/Video-7-Upper-Egypt-Red-Sea-highways-closed-after-rains,"CAIRO- 6 September 2020: Upper Egypt and the Red Sea coast have been struck with floods after heavy rain, prompting the police traffic department to close off several highways in the area on Sunday.

The western Sohag-Qena road, Sheikh-Fadl-Ras Ghareb road, Qift-Quseir road, Safaga-Sohag road, Luxor-Nag Hammadi road, Luxor-Wadi Gedid road, Ghareb-Minya were closed. Safaga-Sohag road, Luxor-Nag Hammadi road and Qift-Quseir road were reopened later after the weather improved, as the weather forecast had predicted sandy winds.

In western Luxor, rain falling down from Ruzaiqat mountain caused floods on Saturday night. The city council dispatched equipment to change the course of the torrent into flood drainage systems so it does not reach homes in this mountanious area.

No injuries have been reported, but the city council raised its level of preparedness at the level of civil protection, ambulances and hospitals, and water and electriciy companies.

The rain comes after a heatwave across the country. The yearly floods usually affects the southern coast of the Red Sea, rather than Upper Egypt deep to the west of the shore. In recent years, Egypt has heavily invested in buildings dams and reservoirs at the Red Sea to both protect highways damaged every year due to floods and to perserve the freshwater.

Meanwhile, Egypt said the High Dam in Aswan is able to protect the country from floods coming from the Nile River, after several areas were severely damaged in the souther neighbor, Sudan, after heavy rains.","Sun, 06 Sep 2020 07:00:00 GMT",https://www.egypttoday.com/siteimages/larg/20200906010113113.jpg,"['luxor', 'flood', 'upper', 'floods', 'sea', 'egypt', 'red', 'western', 'weather', 'rains', 'road', 'rain', 'highways', 'swamps', 'video', 'safagasohag', 'mountain']", 
