,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2021-000038-KEN,"Endangered giraffes rescued from shrinking, flooded island in Kenya - FOX 4 Dallas",https://www.fox4news.com/news/endangered-giraffes-rescued-from-shrinking-flooded-island,"Mission accomplished: The last of nine endangered giraffes were rescued on April 12 from their flooded island in Kenya, concluding a 15-month-long endeavor, according to the Save Giraffes Now organization.

Floodwaters around the giraffes’ home island in Lake Baringo were slowly rising for years, but in 2020, the rate of rising floodwaters increased, ""flooding lakeshore homes, businesses, and threatening the lives of the small group of Rothschild’s giraffe on Longicharo Island, in Ruko Community Conservancy,"" according to a Save the Giraffes Now news release.

Video released by the Northern Rangelands Trust of the final rescue showed Ngarikoni and her calf, Noelle, being tranquilized in order to be ferried to safety without causing the animals further stress.

All nine giraffes are pictured in their new home in this screenshot taken from video. (Northern Rangelands Trust via Storyful)

RELATED: Pig rescue sees high number of surrenders after adopters fail to do their research

In the footage, Ngarikoni is seen strolling through the brush as conservationists shoot her with a tranquilizer. She then gallops around as they corralled her to a safe location. Nagarikoni is then seen with a cover over her head as the crew guides her to a barge.

An aerial view shows the giraffe being ferried across the lake to another landmass nearby where she is released and gallops off into the brush once again.

Shortly after Ngarikoni was released, her calf, Noelle, was also released and is seen galloping off the barge to rejoin her mother.

RELATED: Baby deer rescued after being found on road next to dead mother in Brevard County

""We felt a great sense of urgency to complete this rescue,"" said David O’Connor, president of Save Giraffes Now. ""With giraffe undergoing a silent extinction, every one we can protect matters, making this rescue an important step in supporting the survival of this species.""

The urgency to relocate the nine giraffes was essential to preserving their species.

""Rothschild’s (Nubian) giraffe are a dwindling subspecies of the Northern giraffe that once roamed the entire western Rift Valley in Kenya and into Uganda. Today, fewer than 3,000 are left in Africa, with only about 800 in Kenya,"" according to the Save the Giraffes Now organization.

RELATED: Two baby giraffes born days apart at Florida zoo

The rescue effort was a collaboration among the nonprofit as well as Kenya Wildlife Service, Ruko Community Conservancy and the Northern Rangelands Trust.

""This incredible achievement involved sketching out the innovative rescue, from designing and building the barge (named ""The GiRaft"") to creating a 4,400-acre sanctuary on the mainland for the animals,"" according to a Save the Giraffes Now news release.

Save Giraffes Now is a nonprofit organization that collaborates with over 20 giraffe conservation projects in nine African countries to save giraffes ""from extinction by supporting action-oriented projects with immediate impact.""

Advertisement

Storyful contributed to this report.","Wed, 14 Apr 2021 07:00:00 GMT",https://images.foxtv.com/static.fox4news.com/www.fox4news.com/content/uploads/2021/04/1280/720/Giraffes.jpg?ve=1&tl=1,"['according', 'shrinking', 'kenya', 'northern', 'seen', 'rescued', 'endangered', 'giraffe', 'released', 'rangelands', 'giraffes', 'save', 'rescue', 'island', 'flooded']", 
1,1,FL-2021-000038-KEN,Solution for Kenya's flooding ahead of rainy season – New Business Ethiopia - New Business Ethiopia,https://newbusinessethiopia.com/nbe-blog/solution-for-kenyas-flooding-ahead-of-rainy-season/,"The annual rainy season in March – June, in conjunction with climate change, is a major concern for Kenyans across the country. Dirty flood waters rendering the roads unusable, and submerging residential areas, are expected again this year, and experts warn that better waste management, urban planning and warning systems are needed to help protect citizens.



So says Simon Thomas, an international consultant and board member of Megapipes Solutions Limited which provides sustainable stormwater, sanitation and flood alleviation solutions throughout Kenya and East Africa. “The lack of adequate drainage and sanitation systems in Kenya has been well documented, however, not enough attention is being paid to how the sewerage systems have been designed and set up, or where excess water ends up,” he says. “Compounding the problem, there are multiple settlements that do not have adequate sewerage and sanitation services that edge onto Nairobi’s three main rivers, namely Mathare, Ngong and Nairobi.”







According to him, citizens who live in flood-prone regions are in danger of losing their homes, their livelihoods, and even their lives. “And it’s always those living under the poverty line that are most vulnerable and need the most help and support in the event of such a disaster.”

He says in the past few years, many regions in Kenya have had above-normal rainfall, resulting in flooding across the country. “To lessen the potential impact of floods, the government has to map out and implement strategic plans to address flood disaster risk. These plans must pinpoint the projects and initiatives that are needed to manage and prevent floods.”

Currently, many densely populated formal and informal settlements in Kenya employ open drainage channels, which are used to discharge rainwater, to address the problem. However, Thomas says while drains can help prevent flooding, when they are left open, they can easily become clogged with solid and domestic waste, making the problem far worse.

“Moreover, multiple environmental hazards go hand in hand with open drainage channels, including groundwater contamination, a slew of easily preventable diseases, a lessening of soil productivity, and the contamination of vegetables and crops.”

Unfortunately, building exposed drainage systems has been around for decades and has become the norm. “Various regions in Kenya are prone to flooding, and at the same time, are notorious for blocked drainage systems. Also, town planners, do not seem to grasp the fact that open drains use land, which takes away space for pavements and walkways, forcing pedestrians, onto the streets and putting them in danger of being hit by motorists.”

The bottom line? Thomas says that if Kenya is to achieve its Millennium Development Goal for increasing access to water and sanitation this needs to be addressed as a matter of urgency.







Thomas says a wider implementation of properly engineered and sustainable drainage initiatives is required, which mitigate the effects of large amounts of rainfall coming down in urban areas. While other solutions exist, including putting in additional drainage ditches, these are unable to cope with significant rainfall or extreme weather.

However, it’s not all doom and gloom. “At Megapipes, we understand there is an urgent requirement for better systems that would be able to cope with larger volumes of waste and stormwater, particularly in fast-growing urban environments. With this in mind, we conducted studies into new large diameter pipe technology, already widely used with big success in other parts of the world. Megapipes Solutions made the visionary decision to opt for Weholite HDPE structured wall pipes, manholes, chambers and tanks, which address Kenya’s need for sustainable water systems.”","Thu, 15 Apr 2021 07:00:00 GMT",https://newbusinessethiopia.com/wp-content/uploads/2019/09/cropped-cropped-logo-orange-sub-Title-1-e1578818531794-1-32x32.png,"['solutions', 'waste', 'season', 'kenya', 'rainy', 'kenyas', 'water', 'ahead', 'ethiopia', 'thomas', 'business', 'drainage', 'open', 'systems', 'solution', 'flooding', 'urban', 'sanitation']", 
2,2,FL-2021-000038-KEN,Last Two Giraffes Rescued From a Disappearing Island in Kenya - Smithsonian Magazine,https://www.smithsonianmag.com/smart-news/last-two-giraffes-rescued-disappearing-island-kenya-180977512/,"On April 12, wildlife authorities and conservationists completed a tall task: ferrying the final two giraffes off of a sinking island in Lake Baringo, Kenya, George Dvorsky reports for Gizmodo.

For many years, Rothschild’s giraffes (Giraffa camelopardalis rothschildi) have lived on a peninsula in the lake. The lake's water levels had been slowly rising over time, but in 2020, torrential rains caused severe flooding, covering a stretch of the giraffes’ peninsula and turning the end into a muddy, shrinking island. Nine giraffes became stranded with limited resources available for survival. Planning the complex rescue mission took 15 months to coordinate and implement.

Now, the last two individuals—a mother and a calf, named Ngarikoni and Noelle—stuck on a remote part of the land mass have been safely transported to the mainland.

When the giraffes reached the shore, they galloped out onto the 4,400-acre Ruko Wildlife Sanctuary, where conservation groups involved in the project hope to support a growing population of the endangered subspecies.

And here's another clip of the giraffe named Lbarnoti's excited gallop once he's safely gotten off the ferry. Video Credit: Mike Parkei, Northern Rangelands Trust/Save Giraffes Now pic.twitter.com/AcH7PHkE7M — Aylin Woodward (@AylinWoodward) January 31, 2021

When the giraffes first became stranded on the island, Ruko wildlife rangers began delivering food for them, per Gizmodo. But they soon realized the need for a more sustainable long-term solution. The flood became severe last year, damaging businesses and homes along the shore of the lake, and one giraffe, named Asiwa, became separated from the rest of herd when flooding bisected the island once again.

Convincing a 14-foot-tall animal to get on a boat is no small feat, however. First, the team needed to develop a vessel fit for the task. The result, a barge that is kept afloat by 60 empty drums, decked-out with reinforced walls and pulled by a motorboat, was named the “GiRaft.”

To guide the animals to the raft, the team first had to sedate them, and then quickly apply a reversal drug. (When a giraffe is tranquilized and falls to the ground, it is in danger of choking on its own saliva, or being harmed by a change of blood pressure to its brain.) During the brief period when a giraffe is sedated, the team covers its face with a blindfold and sets up guide ropes around its shoulders. Then when the giraffe is able to walk, the team guides it to the raft.

When the rescue brought Asiwa to the raft, “she was incredible,” said O’Connor to CNN’s Ami Vitale in December. “She's a very, very tough girl. … Once we got her onto a more open space where there was an established track, she just walked straight onto the barge. Sometimes it looked like someone was walking a puppy on a Sunday afternoon. It was amazing.”

Rescue workers accompanied the GiRaft on its one-mile journey to shore by standing on the steel beams or boating alongside in kayaks and canoes.

As Mindy Weisberger reports for Live Science, the Rothschild’s giraffe has lost about 80 percent of its population in the last 30 years, making it one of the most imperiled giraffe subspecies. Out of a population of less than 3,000 animals, 800 live in Kenya. Now that the once-stranded giraffes are on the mainland, the conservation groups hope to relocate other giraffes of the same subspecies to the wildlife sanctuary to support a healthy, genetically diverse population.","Thu, 15 Apr 2021 07:00:00 GMT",https://thumbs-prod.si-cdn.com/0K5H2oQfiLDqN82h8MZZgRcd650=/fit-in/1600x0/https://public-media.si-cdn.com/filer/e8/f4/e8f4ec27-ed40-4565-9e9e-a66eba16d6e4/14_giraft.jpeg,"['kenya', 'team', 'named', 'population', 'lake', 'task', 'rescued', 'giraffes', 'island', 'disappearing', 'shore', 'giraffe', 'wildlife']", 
3,3,FL-2021-000038-KEN,"Kenya, Tanzania: How weather forecasts are changing lives - PreventionWeb",https://www.preventionweb.net/go/77315,"Source(s): Global Citizen



By Helen Lock

When extreme weather is increasingly common, it can be life-saving to know what's coming.

It might seem simple, but having access to the weather forecast is something that's often taken for granted — even if the results are disappointing.

But lack of knowledge about the upcoming weather makes communities around the world vulnerable. Climate change means extreme conditions are becoming more common everywhere, so it is crucial to be able to prepare for rainfall, heatwaves, droughts, and more.

Without a weather forecast, everything from flood preparation to what clothes children should wear to school that day becomes difficult.

A UK aid project in Nairobi, Kenya, and Dar es Salaam, Tanzania, is attempting to fill this gap. It used a new weather information system to help keep communities living in informal settlements better informed.

The project is called Daraja, meaning “bridge” in Swahili, because of the connection to the meteorological updates it provides. As well as providing this bridge, the project serves a wider goal of building climate resilience, because it means residents can take action to help protect themselves from the potential impacts of extreme weather.

“We get the weather forecast from the Kenya Meteorological Department and after we get it we translate it into a language that is commonly used here, [like] Sheng’ and Swahili,” explains James Kirika, a community leader working with Daraja project organisers in Kibera, a vast informal settlement on the outskirts of Nairobi.

Kikira and his fellow “weather community leaders” gather regularly to discuss the upcoming forecast and then distribute the information to the rest of the community. The group also had an input in designing easily identifiable symbols for the different types of weather too.

One way the information is sent is by SMS, a text messaging format, which is very useful for families with no television or computer, and for people on the go.

""The Kenya Meteorological Department advises that it is going to rain the whole week in the afternoon except for Monday,” reads one of the community weather advisers in a video created about the project, delivering a text message update.

“We are advising you to open the trenches, put on rain jackets, and not allow your kids to play along the rivers,"" she says.

Kikira is also shown in the video discussing the weather and the new project on local radio, helping it to reach an even wider audience. The Daraja project was developed by Resurgence, a weather and climate science systems design consultancy, in close partnership with two local enterprises: the Kounkuey Design Initiative (KDI) in Nairobi, and the Centre for Community Initiatives (CCI) in Dar es Salaam. The project ran from April 2018 to September 2020.

They now want to scale up the model and take it to other places. Having already reached over 1 million people living in these two cities, their ambitious plan means that in five years, the Daraja project aims to be serving 250 million people living in informal settlements in 30 cities across the globe, Resurgence says.

It’s a service that is badly needed, with the impacts of climate change already being felt around the world.

Related StoriesFeb. 19, 2020Why Climate Change and Poverty Are Inextricably Linked

Changing weather conditions has already impacted agricultural production in Burundi, for example, making it the most food insecure country in the world, according to an analysis by Christian Aid.

Meanwhile, the Climate Action Network predicts that 63 million people in countries in South Asia will be displaced as a result of climate change by 2050.

The importance of adaptation has been highlighted by Alok Sharma, who is serving as COP26 president this year — as the UK prepares to host the 26th United Nations Climate Change conference (COP26) in November.

On a visit to the Daraja project in Nairobi in March, Sharma told Reuters: “Globally as extreme weather events become more frequent and more severe we need to build resilience among the most vulnerable communities.”

He praised the project as an “innovative” example of that work and said that he wanted the UK’s COP Presidency to put “adaptation and resilience front and centre.”

Daraja was largely financed by the UK aid budget, managed by the Foreign, Commonwealth, and Development Office. This aid budget now faces a 30% cut, worth £4.5 billion this year, with some programmes already being told to cut back by 70% to accommodate the reductions.

The FCDO has said it will still spend £11.6 billion on climate finance for developing countries over a period of five years.

But climate campaign groups such as Greenpeace UK and WaterAid have raised concerns that it will be harder for poorer countries to adapt with these aid-backed interventions at risk.

The UK Met Office’s Weather and Climate Information Services for Africa (WISER) programme managed the funding of the Daraja service.

Related StoriesApril 1, 2021Why Fighting Poverty Means Creating Climate-Resilient Cities in Bangladesh

A report on the project for WISER explains why the Daraja has had such an impact. It describes the two cities as being “complex” and “fragmented” and argues that as urban areas continue to grow rapidly, weather information services need to expand too.

Bringing in local organisations and leaders to help design the services right from the start helped in their success, the report explains. The process meant there was a feedback loop between the community and the service, creating “a more tailored and actionable forecast.”

A survey of 700 households in the two areas participating has revealed that, as a result of Daraja, communities living in the informal settlements of Nairobi and Dar es Salaam have been able to take better preventative action ahead of high impact weather events.

""This has resulted in both avoided loss and improved livelihoods for the communities,” it says.

Jane Brown, a teacher who works at the Keko Mwanga Primary School, in Dar es Salaam, said that being able to share updates with her pupils during the country’s rainy season in April and May 2019 was especially useful to them. She was part of a Whatsapp group created by the Daraja project, giving her access to the updates.

“Students informed their parents, especially those who live at the valley, who used the information to protect their belongings, including school books for children, which were usually destroyed by floods. This time, the case was different as precautions were taken much earlier,” she explained.

Related StoriesJuly 10, 2020Climate Change Sparked 70% of Cases of People Being Displaced From Their Homes in 2019: Report

As well as the practical benefits, those involved in the project noted a shift in attitudes too. Kirika says that before Daraja, people in his community didn’t always take weather information seriously because they couldn't access regular forecasts.

Speaking to a local radio host, Kirika said that he himself used to see weather bulletins as “false information”, but now sees their importance.

Emmah Mwangi, a climate scientist at the Kenya Red Cross, added: “Seeing Daraja make that first step of providing climate information to communities and asking them to act on that information has really changed the perspective and the effect of disasters.”","Tue, 20 Apr 2021 07:00:00 GMT",,"['weather', 'kenya', 'project', 'community', 'communities', 'used', 'uk', 'forecasts', 'change', 'tanzania', 'lives', 'information', 'changing', 'climate', 'daraja']", 
4,4,FL-2021-000038-KEN,VIDEO: Neck And Neck: Mom And Calf Giraffes Rescued From Flood Island - tntribune.com,https://tntribune.com/video-neck-and-neck-mom-and-calf-giraffes-rescued-from-flood-island/,"Nine critically endangered Rothschild’s giraffes have been rescued after they were isolated by heavy rains that turned their home into a sinking island.

Water levels in Lake Baringo in Kenya have been rising for some time, but in 2020, the rate increased — flooding lakeshore homes, businesses and threatening the lives of the small group of Rothschild’s giraffe on Longicharo Island in Ruko Community Conservancy.

Conservationists have worked around the clock for more than a year to save them. Now, the last two, a mother and calf, are the final pair to be rescued from the island.

The rescuers constructed a special steel barge — “The GiRaft” — in order to carry the giraffes to safety a mile away. Now, with the transfer of the calf named Noelle and her mother Ngarikoni, all the animals are safe.

The giraffes have been moved to a 4,400-acre sanctuary on the mainland.

David O’Connor, president of Save Giraffes Now, which works on over 20 giraffe conservation projects in nine African countries, said: “We felt a great sense of urgency to complete this rescue.

“With giraffe undergoing a silent extinction, every one we can protect matters, making this rescue an important step in supporting the survival of this species.”

Park rangers had to lure the animals onto the barge using food they were fed on the island, including pellets, acacia leaves, seed pods and mangos.

Each time a giraffe joined the barge, it was sealed, and they were driven to the 4,400-acre fenced sanctuary within the 44,000-acre Ruko Conservancy.

The towermates (as groups of giraffe are called) are together again and safely exploring the Ruko Conservancy, where they have plenty of food and securty.

Approval to move the giraffes was needed from Kenya Wildlife Service. The first giraffe, named Asiwa, was moved in December without incident.

Rothschild’s (Nubian) giraffe are a dwindling subspecies of the Northern giraffe that once roamed the entire western Rift Valley in Kenya and Uganda. Today, fewer than 3,000 are left in Africa, with only about 800 in Kenya.

(Edited by Fern Siegel and Judith Isacoff)







The post VIDEO: Neck And Neck: Mom And Calf Giraffes Rescued From Flood Island appeared first on Zenger News.","Sat, 17 Apr 2021 07:00:00 GMT",http://tntribune.com/wp-content/uploads/2021/04/2d69480f-00e4-48da-a1e0-43aea45cdef5-1024x650-1.jpeg,"['kenya', 'flood', 'mom', 'ruko', 'neck', 'rescued', 'giraffes', 'save', 'video', 'barge', 'island', 'calf', 'sanctuary', 'giraffe']", 
5,5,FL-2021-000038-KEN,"1.4 million starving in Northern Kenya, says Red Cross - The Star, Kenya",https://www.the-star.co.ke/counties/north-eastern/2021-04-19-14-million-starving-in-northern-kenya-says-red-cross/,"At least 1.4 million people are surviving on donated food in Northern Kenya because of drought.

The situation could last until end of the year, based on the current weather forecast. The drought is a result of the La Nina dry weather.

Kenya Red Cross Society predicts the situation could stabilise from October only if the short rains season will bring adequate rainfall.

On Friday, Red Cross appealed for Sh800 million to reach both drought-hit Kenyans and another 30,000 people facing floods in Western Kenya.

“We are dealing with two natural disasters that essentially should be mutually exclusive—drought in one region and flooding in the other,” Red Cross secretary-general Asha Mohammed said.

According to the Met Department, the current heavy rains in Western Kenya will not reach most parts of northeastern Kenya.

In an interview with the Star, Asha said the current drought condition is worse than last year.

“It's, unfortunately, worse because it has been compounded by Covid-19. When people in towns have lost jobs, they cannot remit money to relatives upcountry. So it’s not just people being unable to grow food, but also the purchasing power of people has been reduced yet the food prices have increased,” she said.

She explained why a bumper harvest in the Western region often does not alleviate the food shortage in Northern Kenya.

Asha said while food distribution is one problem, different parts of Kenya consume varying types of food.

“For example, maize and beans is not acceptable in some communities,” she noted.

In the appeal, Red Cross said Sh483 million will go to flood victims while Sh315 million will buy food for drought victims.

She said the projections show that between 15,000 and 30,000 families around Lake Victoria will be displaced by the ongoing heavy rains and will need shelter, food, clean water and basic healthcare.

According to the Kenya Meteorological Department, while Western, Rift Valley, Coast and Central Kenya will have enhanced rainfall this season, rainfall in Northern Kenya will be depressed.

Red Cross says this time everyone is affected by the drought, as opposed to just women and children in the past.

“Again, I would blame Covid because a lot of the men today have lost jobs. They have gone back to the rural area and they all just live there with their families. So we are targeting entire families.”

She also emphasised early warning systems as being more effective than waiting for emergency responses.

These include advising people to move to higher grounds in flood-prone areas and also digging boreholes in drought-hit regions.

The society is coordinating with Somalia and Ethiopia, which are also facing a prolonged drought.

“We are talking together as counterparts from Somalia and Ethiopia. We are talking with our [global] secretary to also to see how we can support the Somali Red Crescent and people in Somalia because even in 2011, very many people came from Somalia because of the drought and crossed over into Kenya,” she said.

Edited by Henry Makori","Mon, 19 Apr 2021 07:00:00 GMT",https://lh3.googleusercontent.com/ylPfkLnH-bp77OrC_BCp3iQmTaPdCvaBMxSIpBbkROlr_GEdO-hgq2UipwaOMgBP2M4JWUGNCtIeJYUappH8FZiK-Em0uomanOcY_JDV0w=s1000,"['western', 'kenya', 'northern', 'million', 'cross', 'red', 'drought', 'rains', 'somalia', 'food', 'starving', '14']", 
6,6,FL-2021-000038-KEN,Kiambu Set To Establish Drainage Systems in Flooded Areas – Kenya News Agency - Kenya News Agency,https://www.kenyanews.go.ke/thika-county-dig-drainage-systems-in-flooded-areas/,,"Fri, 16 Apr 2021 07:00:00 GMT",,[], 
7,7,FL-2021-000038-KEN,"The Star: Red Cross appeals for Sh800 million to help starving Kenyans - The Star, Kenya",https://www.the-star.co.ke/news/2021-04-16-red-cross-appeals-for-sh800-million-to-help-starving-kenyans/,"Kenya Red Cross has appealed for Sh800 million to help more than 157,000 people facing hunger and those displaced by floods.

The society’s secretary General Asha Mohammed said while some parts of Kenya are being washed by floods, in arid areas thousands of people still have nothing to eat.

“What this means is that we are dealing with two natural disasters that essentially should be mutually exclusive—drought in one region and flooding in the other,” she told journalists in Nairobi on Friday.

The Kenya Meteorological Department says while western, Rift Valley, Coast and central Kenya will have enhanced rains this season, northern Kenya will have depressed rains.

Dr Mohammed said from the appeal, Sh483 million will go to flood victims while Sh315 million will buy food for drought victims.

The emergency situation is likely to continue until September, or end of the year depending on response.

She said the Sh800 million was based on projections made jointly by Red Cross, relief agencies and county governments in affected areas.

Dr Mohammed said the projections show between 15,000 to 30,000 families around Lake Victoria will be displaced by the ongoing heavy rains and will need shelter, food, clean water and basic health.

She said they are targeting 37,000 drought-hit people in Marsabit and 35,000 in Tana River with relief food.

“We are also expecting to reach 85,000 people in Mandera, Wajir and Turkana in the next phase of distribution,” she said.

The society will also transfer cash assistance of Sh5,400 per month for three months to each of 15,000 families in Mandera, Marsabit, Turkana, Wajir, Isiolo, Samburu and Garissa counties.

“Evidence has shown that cash assistance programmes can play a critical role in meeting immediate needs and enhancing economic recovery while promoting dignity,” she said.

Mohammed said theirs is a direct response to the appeal made by the National Government through Spokesman Cyrus Oguna on April 1.

Oguna said said 1.4 million Kenyans are threatened by drought and the situation may worsen.

“With the performance of the 2021 long-rains season forecasted to be poor, the situation is likely to dip a little, and the number of those in need of humanitarian support likely to increase towards August 2021,” he said.

Oguna said county governments, in collaboration with the national government, are distributing water to households in Turkana, Mandera, Garissa and Wajir counties.

“Other interventions include the provision of relief food in Turkana county by the county government, cash transfer under the Hunger Safety Net Program, which is currently in Phase 3. Every household receives Sh2,700 every two months, and targets over 101,800 households in the counties of Turkana, Mandera and Marsabit,” he said, adding that the government spends about Sh2 billion on the programme every year.

He said plans are underway to incorporate into the programme the counties of Wajir, Isiolo, Tana River, Garissa and Samburu.","Fri, 16 Apr 2021 07:00:00 GMT",https://lh3.googleusercontent.com/Yoj8Pclk6m-xDnLqMLeATJsq7K-98fxTfK3QgFHzjQHKv7temU-HP9Zx_Adlbbm1uwnwZvdsMR-EdWkd7ZHxZvbmCMTnU1P2Gz5fcKjn=s1000,"['mohammed', 'turkana', 'kenya', 'million', 'cross', 'appeals', 'county', 'red', 'marsabit', 'sh800', 'mandera', 'help', 'relief', 'wajir', 'starving', 'situation', 'kenyans']", 
8,8,FL-2021-000038-KEN,Saint Louis Zoo’s conservation partners rescue 9 giraffes in Kenya - KTVI Fox 2 St. Louis,https://fox2now.com/news/saint-louis-zoos-conservation-partners-rescue-9-giraffes-in-kenya/,,"Tue, 20 Apr 2021 07:00:00 GMT",,[], 
9,9,FL-2021-000038-KEN,"Flood alert issued to communities around Lake Naivasha - The Star, Kenya",https://www.the-star.co.ke/counties/rift-valley/2021-04-15-flood-alert-issued-to-communities-around-lake-naivasha/,"Communities living around Lake Naivasha have been urged to move to safer ground as the water body is likely to flood.

The meteorological department has warned of heavy rain in the coming days

The flood alert comes as families that had been displaced by rising waters in Kihoto estate return to their homes after the levels went down.

The warning was issued by Kenya Red Cross and Lake Naivasha Water Resource Users Association.

They warned that indications show the projected rains could cause floods.

“This is to request you to move to higher grounds once the water levels start rising,” Red Cross said in a message put out in Kiswahili.

LANAWRUA chairman Enock Kiminta said the lake’s levels had dropped from 1891.56m above sea level last year to 1891.10m.

“When the water levels dropped some families whose houses had been flooded decided to return and we are worried by the move,” he said on Wednesday.

Kiminta said going by the weatherman’s projections, the rains could be heavier and could cause more displacement than last year.

“We have seen water levels in the lake drop sharply in the last three months but this should not be a reason for those displaced to return to their houses,” he said.

Kiminta said the fuel pipeline in Kihoto had been flooded raising fears among residents and environmentalists.

“Water from this lake is very corrosive and we fear that it might have effects on the metallic underground pipes that ferry millions of litres of fuel every day,” he said.

However, a senior officer from Kenya Pipeline Company downplayed any leaking fears, saying the pipeline had been built to withstand weather changes.

“It’s true the fuel pipeline is currently under water but studies indicate that it has a lifespan of over 20 years before the water can have any effects on the materials,” said the officer who declined to be named.

Edited by Josephine M. Mayuya","Thu, 15 Apr 2021 07:00:00 GMT",https://lh3.googleusercontent.com/Hwj8yD4jxxfQvBx5wvHB_s5Zt2HcFCV8VSoUrtxRt8ebtjV1pLgB1RtZ8fi4iP1cI7h9iXLUe8lUab2L3YCqNaPw5cEe=s1000,"['naivasha', 'flood', 'communities', 'fuel', 'issued', 'water', 'levels', 'alert', 'red', 'pipeline', 'warned', 'return', 'rising', 'rains', 'lake']", 
