,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance,category
0,0,FL-2017-000155-VNM,More than 100 dead as Vietnam reels from 'worst floods in decades' - CNN,https://www.cnn.com/2020/10/21/asia/vietnam-floods-weather-intl-hnk/index.html,"(CNN) More than 100 people are dead and thousands of homes have been submerged in some of Vietnam's most severe floods in decades, with authorities warning that more bad weather is to come.

The death toll from weeks of flooding and landslides in central Vietnam has risen to 111, with 22 people still missing, Reuters reported Wednesday.

""These devastating floods are some of the worst we have seen in decades,"" Nguyen Thi Xuan Thu, the president of Vietnam's Red Cross Society, said in a statement Tuesday.

More than 7,200 hectares of food crops have been submerged and damaged, and more than 691,000 cattle and poultry have been killed or swept away in flood water, according to the state-run Vietnam News Agency (VNA). Sixteen national highways and 161,880 meters of local roads in four provinces have also been damaged.

A man rides his bicycle past flood waters during heavy rain showers in Hai Lang district in central Vietnam's Quang Tri province on October 16, 2020.

The country is now bracing for another onslaught from tropical storm Saudel which is heading toward Vietnam after lashing the Philippines, where it caused flooding and forced thousands of residents to evacuate.

Read More","Wed, 21 Oct 2020 07:00:00 GMT",https://cdn.cnn.com/cnnnext/dam/assets/201020222225-02-vietnam-floods-super-tease.jpg,"['xuan', 'vietnam', '100', 'reels', 'flood', 'submerged', 'worst', 'flooding', 'central', 'floods', 'thousands', 'decades', 'vietnams', 'dead']", ,flood
1,1,FL-2017-000155-VNM,Local cash floods Vietnam stock market The Star 5/5/2021 - The Star Online,https://www.thestar.com.my/business/business-news/2021/05/05/local-cash-floods-vietnam-stock-market,"HO CHI MINH CITY: Individual investors are piling into Vietnam stocks at an unprecedented pace, fuelling Asia’s biggest rally and stoking speculation that foreign funds will return after fleeing the market over the past year.

The country’s benchmark VN Index soared 17% in the three months ended April 30, beating every major market in the region and almost doubling gains from the S&P 500 Index.

While foreign investors pulled about US$842mil (RM3.46bil) from the country’s shares so far this year, the tide could be turning.

Vietnam equity funds received record inflows in the third week of April even as emerging-market equity funds saw the biggest outflows since January, according to EPFR Global. A key contributor was a new Taiwan-based Vietnam exchange-traded fund (ETF) that has raised more than US$350mil.

A sustained return by overseas investors could drive further gains in a market that – like in many others around the world – has attracted retail punters in droves.

Plunging interest rates spurred ordinary Vietnamese to open nearly 400,000 new trading accounts in 2020, a record high. In the first three months of this year alone, they opened almost 258,000 more, helping send daily turnover on the Ho Chi Minh City Stock exchange to an all-time high.

“The stock market was very active and many of my friends were making money from it, so I decided to withdraw money from the bank to invest in stocks for a better return, ” said Nguyen Lan Huong, a 30-year-old grocery store worker from the riverside district of Long Bien in Hanoi.

The final catalyst for Vietnam could be if international investors reverse their net sales of the nation’s stocks. Vietnam’s retail investors normally model much of their investment behavior around foreign investors when they look for which sectors to favour, according to SSI Securities JSC, the country’s second-largest brokerage.

Vietnam is an “investable market, ” according to HSBC Holdings Plc. The flood of local cash has seen trading volumes more than quadruple since the end of 2019, based on 50-day moving averages.

The benchmark index now includes 11 stocks exceeding US$5bil in market value, up from just two in 2015.

Vingroup JSC has been leading the charge, and the conglomerate is now launching an ambitious plan to sell electric vehicles to the US Vingroup was founded by the country’s richest man, Pham Nhat Vuong, who first got rich selling packaged noodles in Ukraine.

The company started out focusing on property development but it now also makes cars and smartphones. — Bloomberg","Wed, 05 May 2021 07:00:00 GMT",https://apicms.thestar.com.my/uploads/images/2021/05/05/1137830.jpg,"['vietnam', 'investors', 'local', 'foreign', 'return', 'cash', 'according', 'funds', 'trading', 'market', 'stocks', 'floods', 'countrys', 'stock']", ,flood
2,2,FL-2017-000155-VNM,"Vietnam floods and landslides displace 90,000 people as new cyclone nears - The Guardian",https://www.theguardian.com/world/2020/oct/19/vietnam-floods-and-landslides-displace-90000-people-as-new-cyclone-nears,"Floods and landslides in Vietnam are reported to have left at least 102 people dead or missing, while tens of thousands of people have lost their homes to rising water.

Two storms that hit central Vietnam in the first two weeks of October, Storm Linfa and Storm Nangka, brought six times higher than average rainfall, flooding 136,000 houses and forcing 90,000 people to evacuate their homes. A third cyclone is expected to hit the coast in the coming days.

Worst hit is Hue province, some 700km (434 miles) away from the capital, Hanoi. Police and soldiers have been using canoes and boats in Ha Tinh city to reach the most flooded areas to evacuate people and move property to safety. In this city alone, more than 20,700 people were reported to have been evacuated.

In Quang Binh province, 130km away, flood water continues to rise, swallowing up entire houses or burying them beneath landslides. On Sunday 13 households , about 60 people in total, were relocated, as an estimated 3,000 tonnes of rock and soil came crashing down on homes and roads.

Landslides buried a military barracks at Quang Tr? in the early hours of Sunday, killing 22 soldiers and officers.

Blue Dragon, a non-governmental organisation that helps at-risk families around Vietnam, is one of a handful of non-profits working in Hue, with help and donations slowly trickling in.

Founder Michael Brosowski said: “Hue experiences floods each year, but the scale and the speed this year is shocking. Local residents now live in a way that is prepared for a natural disaster, but this is on a much larger scale. They’ll have to start all over again.”","Mon, 19 Oct 2020 07:00:00 GMT",https://i.guim.co.uk/img/media/52a526b14a9c5acb953298df9492123c512fbd87/0_48_4500_2700/master/4500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=9dc59e8ea72dc82e07a7b8188b52b915,"['soldiers', 'vietnam', '90000', 'quang', 'landslides', 'nears', 'hue', 'displace', 'homes', 'hit', 'province', 'floods', 'storm', 'scale', 'cyclone', 'reported']", ,flood
3,3,FL-2017-000155-VNM,Asia's Hottest Stock Market Has Vietnam Primed for Inflows - Bloomberg,https://www.bloomberg.com/news/articles/2021-05-04/frenzied-retail-investors-lead-charge-back-into-vietnam-stocks,"Individual investors are piling into Vietnam stocks at an unprecedented pace, fueling Asia’s biggest rally and stoking speculation that foreign funds will return after fleeing the market over the past year.

The country’s benchmark VN Index soared 17% in the three months ended April 30, beating every major market in the region and almost doubling gains from the S&P 500 Index.

While foreign investors pulled about $842 million from the Southeast Asian country’s shares so far this year, the tide could be turning. Vietnam equity funds received record inflows in the third week of April even as emerging-market equity funds saw the biggest outflows since January, according to EPFR. A key contributor was a new Taiwan-based Vietnam ETF that’s raised more than $350 million.

A sustained return by overseas investors could drive further gains in a market that -- like in many others around the world -- has attracted retail punters in droves. Plunging interest rates spurred ordinary Vietnamese to open nearly 400,000 new trading accounts in 2020, a record high. In the first three months of this year alone, they opened almost 258,000 more, helping send daily turnover on the Ho Chi Minh City Stock exchange to an all-time high.

“The stock market was very active and many of my friends were making money from it, so I decided to withdraw money from the bank to invest in stocks for a better return,” said Nguyen Lan Huong, a 30-year-old grocery store worker from the riverside district of Long Bien in Hanoi.

The final catalyst for Vietnam could be if international investors reverse their net sales of the nation’s stocks. Vietnam’s retail investors normally model much of their investment behavior around foreign investors when they look for which sectors to favor, according to SSI Securities JSC, the country’s second-largest brokerage.

Taiwanese Recall Own Growth Story as They Flock to Vietnam ETF

Bulking Up

Vietnam is an “investable market,” according to HSBC Holdings Plc. The flood of local cash has seen trading volumes more than quadruple since the end of 2019, based on 50-day moving averages. The benchmark index now includes 11 stocks exceeding $5 billion in market value, up from just two in 2015. Vingroup JSC has been leading the charge, and the conglomerate is now launching an ambitious plan to sell electric vehicles to the U.S. Vingroup was founded by the country’s richest man, Pham Nhat Vuong, who first got rich selling packaged noodles in Ukraine. The company started out focusing on property development but it now also makes cars and smartphones.

For more on Vingroup: Vietnam’s Richest Man Plans Electric Car Factory in the U.S.

The stock exchange’s other heavy hitters include a smattering of state-backed behemoths -- Bank for Foreign Trade of Vietnam, PetroVietnam Gas JSC -- as well as steelmaker Hoa Phat Group JSC and Vietnam Dairy Products JSC.

Vietnam’s stocks have been climbing amid optimism its export-oriented economy can maintain momentum after being one of the few in Asia to expand last year. Manufacturing activity jumped in April to the strongest since November 2018, according to a PMI report Tuesday. Equities retreated today, sending the VN Index down 1.1% as of 9:38 a.m. local time, after Vietnam’s capital city instructed school pupils to stay home in order to help contain an increase in local Covid-19 cases.

The country is well positioned as the U.S. and Chinese economies lead a global rebound from the pandemic. That’s because Vietnam benefited when U.S.-China trade tensions spurred companies to diversify supply chains out of its larger Asian neighbor.

Apple’s Shifting Supply Chain Creates Boomtowns in Rural Vietnam

“We’ve been positive on Vietnam for a number of years. They are a clear beneficiary of China-U.S. trade tensions and their handling of the pandemic has been among the best examples globally,” said Jeff Gill, who helped manage about $10.9 billion of assets at City of London Investment Management as of Dec. 31.

Waiting Room

Part of the problem may be that international investors overstretched when they splurged. Foreigners sold a net $876 million of Vietnamese stocks last year, similar to what’s been already sold so far this year. That’s in line with a wave of selling across Asian emerging markets. Those moves look to have simply swelled foreigners’ cash positions inside Vietnam, which are already substantially higher now than they were at the end of 2020, according to Vu Bang, former chairman of the State Securities Commission.

Vietnam’s stocks also faced a setback in March when FTSE Russell decided to maintain the country as a frontier market, instead of upgrading it to a secondary emerging market, citing settlement methodology issues. The State Securities Commission expects to resolve the issue later this year. Investors have also cited foreign ownership limits as a concern that could hamstring the market’s capacity to grow further.

Money managers from Sempione Sim SpA, to Asia Frontier Capital and City of London Investment Management Co. say they are busy looking for entry points. They cite solid economic prospects, relatively attractive valuations, rising foreign-direct investment flows and healthy earnings growth as reasons to be optimistic, while also showing faith in the government’s ability to contain the pandemic.

“I see Vietnam as a very nice compelling growth and stable story for the short, mid and long term,” said Federico Parenti, a fund manager at Sempione Sim in Milan.

Vietnamese like Quy, a 33-year-old swimming teacher, are all too willing to keep investing in the nation’s stocks. He never thought of buying shares until the pandemic kept on shutting down the pool where the Hanoi resident usually teaches his students, slashing his income. He used his entire savings at that time -- around 300 million dong ($13,000) -- to buy stocks. He made about a 12% return last year.

“I am not a professional investor and I don’t have experience,” he said. Quy is considering some more short-term purchases. “I think I am just surfing the wave to make some money from the stock market.”","Mon, 03 May 2021 07:00:00 GMT",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ir5mSyGOctkc/v0/1200x800.jpg,"['jsc', 'vietnam', 'investors', 'investment', 'inflows', 'foreign', 'return', 'according', 'market', 'hottest', 'stocks', 'asias', 'primed', 'stock']", ,none
4,4,FL-2017-000155-VNM,Responding to Central Vietnam's Floods and Landslides - The Diplomat,https://thediplomat.com/2020/11/responding-to-central-vietnams-floods-and-landslides/,"An elderly Co Tu woman watches on as aid is delivered to her village.

Advertisement

Since the beginning of October, central Vietnam has been pounded by consecutive tropical storms and typhoons, which have brought widespread flooding and landslides to the region.

At least 1.5 million people have been affected by flooding and 235 people have died or are missing, according to the Vietnamese government.

On October 15, U.S. Ambassador to Vietnam Daniel J. Kritenbrink declared a national disaster for the Central Vietnam region as a result of the widespread devastation caused by flooding and landslides. This flooding has disrupted electricity and telecommunication networks, as well as destroying infrastructure, houses, livestock, and crops.

On October 28, Typhoon Molave made landfall over Quang Nam and Quang Ngai provinces in central Vietnam. It was the worst typhoon to hit the country in the last two decades.

Quang Nam and Quang Ngai are the two of the five central provinces that have been hardest hit by the recent flooding and landslides. The other three provinces that have been severely affected are Quang Ninh, Quang Tri, and Hue.

Enjoying this article? Click here to subscribe for full access. Just $5 a month.

To make matters worse, the monsoon season is still ongoing and another powerful storm, Typhoon Vamco, made landfall last Sunday morning in central Vietnam, causing even greater damage. This is the third storm system to pummel Vietnam in November and the 13th to hit the country this year. The economic damage is now estimated to be close to $1 billion, according to the Vietnamese government.

International donations are starting to come in from various countries, such as the United States, the United Kingdom, Australia, the Netherlands, and Japan. To date, the U.S. has donated $2.1 million toward the humanitarian relief effort. The U.S. Agency for International Development (USAID) has partnered with the Vietnam Red Cross Society to assist during the ongoing recovery period.

Diplomat Brief Weekly Newsletter N Get briefed on the story of the week, and developing stories to watch across the Asia-Pacific. Get the Newsletter

The financial backing also focuses on USAID’s longstanding investments in Vietnam to help minimize loss and destruction caused by natural disasters. Although the Vietnamese government has been quick to allocate disaster relief funds, its efforts and capacities have been strained also by the coronavirus pandemic. Donations from the outside world will be certainly needed and appreciated.

Advertisement

Local NGOs have been working tirelessly alongside the government to deliver aid to those who have been most affected by the catastrophic storms and their results. Pacific Links Foundation is an NGO that currently supports disadvantaged families in central Vietnam and it has been vigorously fundraising to support families in flood-affected Quang Tri, Quang Binh, and Hue provinces.

“Our volunteers on the ground have delivered emergency packages, which included rice, food, life jackets, and flashlights, to students and their families,” said Hong Nguyen, the deputy director for SEEDS, a Pacific Links Foundation scholarship program which currently supports over 2,500 students.

SEEDS and the Pacific Links Foundation are now working on another round of support that will focus specifically on long-term recovery, allowing school children in all eight central Provinces to return to school and provide support for the families that suffered the most during the recent typhoons and floods.

“We will provide packages which will include books and school supplies, as well as computer tablets for students to continue learning through our online learning platform, especially when schooling is being disrupted,” said Nguyen.

Another non-profit charitable organization focused on philanthropic activities to benefit Vietnamese people in need throughout the Central Vietnam region is Da Nang Go. The organization uses fundraising events and direct donations to address the specific needs of Vietnamese people affected by natural disasters, poverty, and hunger.

Presently, the group consists of about 20 local and international volunteers who have been doing regular relief trips to some of the harder hit flood and landslide zones across the region. The NGO recently took a convoy of trucks and cars to Tay Giang district in Quang Nam province to provide much-needed supplies.

Tay Giang experienced heavy flooding and deadly landslides in October and November and is generally considered to be one of the more economically disadvantaged areas of Central Vietnam. The majority of the people who live there are from the Co Tu ethnic minority, a patriarchal rural society whose men raise livestock and whose women are well known for making high-quality traditional handicrafts.

Enjoying this article? Click here to subscribe for full access. Just $5 a month.

The Co Tu live in small stilt huts which can be easily damaged by storms and landslides. At least 30 families had previously been evacuated from one village in Tay Giang due to the recent landslides.

“Before the last storm came, the government wanted to move them to a safer place but the problem is they don’t want to move anywhere because they are scared and if they die then they want to die in their hometown. They are used to yearly storms but they didn’t know this year’s storms would be so bad,” said Hannah Bui, one of the main directors of Da Nang Go and owner of Hannah’s Restaurant in Da Nang.

“I wish I had more money so I could do more to help these people,” she said.

Advertisement

Recently, the Da Nang Go team assembled 250 aid packages for children and 750 for adults in Tay Giang, as well as presenting some cash donations in envelopes at Hannah’s Restaurant.

The aid packages consisted of water, milk, noodles, dry food, oil, fish sauce, salt, blankets, and notebooks. The money was raised through a recent fundraising event and from various donations by local and expat members of the Da Nang community.

The aid was greeted with smiles by the local villagers and government officials. The team also delivered supplies to two elementary schools and to adults in the neediest villages of Tay Giang. In one of the poorest schools, students are so impoverished that they can’t afford basic school uniforms and some students walk up to four kilometers per day to attend classes.

“When I do charity and I do small things like give candy to poor kids they are happy and smile, and when I give old people clothes and they say ‘thank you,’ it warms my heart and makes me feel good knowing I’ve brightened their day,” said Bui.

Da Nang Go will continue its ongoing fundraising and aid missions to help people around central Vietnam affected by these historically devastating storms and typhoons. Both Pacific Links Foundation and Da Nang Go are continuing to deliver aid packages and funds in the aftermath of Typhoon Vamco.

As much as these local charities and NGOs have brought much-needed relief for affected communities, in terms of food, clothing, school supplies, and direct funding, what is really needed now in terms of the recovery effort is the rebuilding of infrastructure, houses, and technological networks, and a re-supply of livestock to get things back to normal.

Hugh Bohane is a freelance journalist who has covered Asia for over 10 years. He has contributed to The Diplomat, ABC, Euronews, The New Internationalist and other esteemed press.","Fri, 20 Nov 2020 08:00:00 GMT",https://thediplomat.com/wp-content/uploads/2020/11/sizes/td-story-s-2/thediplomat-2020-11-19-11.jpg,"['vietnam', 'storms', 'quang', 'aid', 'landslides', 'flooding', 'central', 'responding', 'floods', 'nang', 'vietnams', 'affected', 'vietnamese', 'da']", ,none
5,5,FL-2017-000155-VNM,She Was in Labor. Floodwaters Were Rising. Then the Boat Tipped Over. - The New York Times,https://www.nytimes.com/2020/10/23/world/asia/vietnam-floods.html,"HANOI, Vietnam — It was no time to travel, but when Nguyen Dac Minh’s wife went into labor, he put her on his motorbike and rode toward the hospital.

Floodwaters that had killed scores across Vietnam were rising ominously around their village. At a washed-out railway overpass, he hired a man to ferry them in a small boat. But strong winds carried away some of the baby clothes the couple had packed, and Mr. Minh waded into the water to retrieve them.

Suddenly, the boat capsized in the fast-moving current. His wife, Hoang Thi Phuong, a 35-year-old cancer survivor, was just out of reach, and she was swept away by water turned brown by loosened sediment.

“Everything happened right in front of my eyes, but I couldn’t save her,” he said by phone on Thursday. “All I could do was scream.”","Fri, 23 Oct 2020 07:00:00 GMT",https://static01.nyt.com/images/2020/10/23/world/23vietnam-floods-1/merlin_178826673_0f78055c-289b-4676-b38b-aba0196f6728-facebookJumbo.jpg,"['vietnam', 'waded', 'tipped', 'water', 'went', 'village', 'washedout', 'rising', 'boat', 'floodwaters', 'wife', 'labor', 'away', 'winds']", ,flood
6,6,FL-2017-000155-VNM,We must not repeat the Vietnam refugee tragedy in Afghanistan - Military Times,https://www.militarytimes.com/opinion/commentary/2021/05/18/we-must-not-repeat-the-vietnam-refugee-tragedy-in-afghanistan/,"The parallel between the Vietnam War and Afghan War is troubling. In both cases, the U.S. became involved in a foreign war without having a clear picture of what our ultimate objective was. We largely took over the direction of each war from a corrupt host government. Many citizens of our host country placed reliance on the U.S. to provide for their safety, come what may. The war became unwinnable because of a series of unfortunate decisions. Losing interest in the endeavor, we shaped settlement terms the host government was required to accept, intimating we would be there to help if worse came to worst. Here, the similarity ends, for now.

In the case of Vietnam, even though we knew weeks beforehand that the fall of South Vietnam was imminent, we made no concerted effort to extract the Vietnamese who had steadfastly supported the U.S. When their government fell, many thousands who had helped, trusted and relied upon us were murdered or incarcerated to the great dishonor of our nation. Hundreds of thousands of refugees fled the south and, although we gave many of them sanctuary, our help was slow in coming. The final chapter in Afghanistan has yet to be written, but it must not end up with a betrayal of our friends.

During the long and tortured course of America’s war in Afghanistan, many Afghans stepped forward at their great peril to serve and help protect our military personnel. As we withdraw from Afghanistan, the Taliban have stepped up their violent attacks and the danger to our friends has dramatically increased. We are morally obligated to provide them sanctuary within our borders.

There are two special immigrant visa (SIV) programs in place to bring our Afghan friends to the U.S., but they are mired in red tape — it takes up to three years to process an application. There is a backlog of nearly 19,000 SIV applicants, with about 50,000 family members. They are waiting in line, living in fear of death. There are not enough slots to take care of the backlog. The vetting process is understaffed, underfunded and overly burdensome.

In this crisis situation, there are two feasible alternatives — either review existing documentation in the files and grant visas to those who U.S. personnel have credibly vouched for in the files, or extract the SIVs and families from Afghanistan and complete any necessary vetting in a safe location. We processed South Vietnamese refugees at U.S. military bases in the late 1980s.

We need, also, to consider the plight of Afghans who don’t qualify for SIV status. A Taliban take-over, which appears increasingly likely, will create a flood of refugees, fleeing for their very lives. Being partially responsible for their plight, we are honor bound to provide sanctuary for many of them, just as we eventually did for those fleeing Vietnam. We should plan to evacuate Afghans who will be targets of Taliban reprisal — uncorrupted government and military officials, women’s rights advocates, educators, democracy advocates and the like.

Like many troops who served in America’s wars, this issue is very personal for me. I lived and worked with South Vietnamese soldiers in 1968-1969. I trusted them with my life, while they relied on the U.S. government as a friend and ally. Most of my Vietnamese friends were Catholics who moved from North Vietnam to Tay Ninh Province in South Vietnam in 1954 to escape persecution. They were fiercely anti-communist and pro-American. It broke my heart when the communists took over in April 1975, knowing that my friends would be killed or imprisoned, as were many thousands of their countrymen. We had a moral obligation to extract as many as possible but, instead, we abandoned them to a horrific fate. We simply cannot allow that kind of tragedy to happen again with the Afghans. I pray that this great nation does not again turn its back on beleaguered people who placed their trust in us.

Jim Jones is a Vietnam combat veteran who served as Idaho Attorney General for eight years and as an Idaho Supreme Court Justice for 12 years (2005-2017). He has written about his Vietnam experience in “Vietnam…Can’t get you out of my mind.”

× Fear of missing out? Sign up for the Early Bird Brief - a daily roundup of military and defense news stories from around the globe. Thanks for signing up. By giving us your email, you are opting in to the Early Bird Brief.

Editor’s note: This is an op-ed and as such, the opinions expressed are those of the author. If you would like to respond, or have an editorial of your own you would like to submit, please contact Military Times managing editor Howard Altman, haltman@militarytimes.com.","Wed, 19 May 2021 00:30:20 GMT",https://www.armytimes.com/resizer/aLZ2ShsSiThkmrlVqRbCmFIRvt8=/1200x630/filters:quality(100)/cloudfront-us-east-1.images.arcpublishing.com/mco/WIFYOZZ3PBDLLEF36O4QHOCPYQ.jpg,"['repeat', 'war', 'vietnam', 'refugee', 'south', 'friends', 'thousands', 'afghans', 'tragedy', 'taliban', 'vietnamese', 'military', 'afghanistan']", ,flood
7,7,FL-2017-000155-VNM,Mangoes from Vietnam and Cambodia impacting Chinese local industry - FreshPlaza.com,https://www.freshplaza.com/article/9322453/mangoes-from-vietnam-and-cambodia-impacting-chinese-local-industry/,"Recently, a ceremony celebrating the first shipment of Cambodian fresh mango exports to China was held in Phnom Penh, the capital of Cambodia. It is reported that the first shipment of 80 tons of fresh mangoes departed from Phnom Penh Port, and will arrive in China by sea via Ho Chi Minh Port, Vietnam. It is expected that 100,000 tons of Cambodian mangoes will enter the Chinese market this year. Although the volume is not large compared with China's local production, they will still impact the Chinese mango market, as the production of the entire Hainan Province this year is expected to be only about 800,000 tons, and these extra 100,000 tons will directly lead the price of local mangoes to fall.

At the same time, the consumer market in Cambodia is in severe oversupply. The market price is low, but the product quality is high, coupled with the yearly export quota of 500,000 tons, they surely will impress their rivals with strong competitiveness.

China is the world's second-largest mango exporter, with a yearly production of more than 2.4 million tons. They also import fresh mangoes from 10 countries and regions, including India, Pakistan, the Philippines, Australia, Vietnam, Peru, and most recently Cambodia.

Mango market in 2021

Many regions in southern China are key mango-producing areas, such as Hainan, Guangdong, Guangxi, and Yunnan. The production in Guangxi alone this year reached 800,000 tons. In March, when products from Hainan became available, the highest purchase price reached 7 yuan per half a kilo. From May, with products flooding the market, prices fell. Just as prices of mangoes from Hainan started to fall, mangoes from Guangdong became available and were about to flood the market. It is understood that the yearly production in Guangxi this year will also reach 800,000 tons.

Local growers in Guangxi said that due to the uncertainty in the international market, there are much fewer orders for export compared with previous years. The taste of mangoes from Baise, Guangxi is as good as those from Vietnam, and products from Guangxi can leverage their advantages in pricing.

Current status of Chinese mango cultivation

At present, among the varieties grown in China, many are mid-late and late varieties. The variety structure is not varied, making the harvesting period in various regions short and the market window concentrated, leading to high sales pressure. In certain markets, the pressure of competition is high, and the ability to withstand risks is low, therefore influencing the prices.

In recent years, the production in Hainan and Guangdong provinces has also gradually increased. The slight decline in mango prices this year is mainly due to weather and market factors. On the one hand, since March this year, the temperature in southern regions has risen sharply, helping plant and fruit growth, leading to a bumper harvest, resulting in oversupply. On the other hand, the pressure of competition in the industry has increased, and a large number of traders are involved in the business, which has led to the fall in wholesale prices.

Moreover, due to large imports, the price of imported mangoes has also fallen. At present, two-thirds of mangoes on the market are Gaolemi and golden mangoes from Vietnam. Due to cheaper rent and lower labor costs, although Vietnamese mangoes are imported, their prices are still lower than those of Chinese mangoes. The “invasion” of Cambodian mangoes has also brought headaches to Chinese mango traders.

Source: Wanguohui","Thu, 20 May 2021 11:58:40 GMT",https://www.freshplaza.com/remote.axd?https://agfstorage.blob.core.windows.net/misc/FP_cn/2021/05/17/17052021mg.jpg?preset=OgImage,"['vietnam', 'chinese', 'local', 'tons', 'cambodia', 'industry', 'production', 'mango', 'impacting', 'hainan', 'market', 'mangoes', 'regions', 'guangxi']", ,flood
8,8,FL-2017-000155-VNM,United States announces additional humanitarian assistance in response to flooding in Vietnam - Viet Nam - ReliefWeb,https://reliefweb.int/report/viet-nam/united-states-announces-additional-humanitarian-assistance-response-flooding-vietnam,"Friday, October 30, 2020

Office of Press Relations

press@usaid.gov

Today, while in the Socialist Republic of Vietnam, Secretary of State Michael R. Pompeo announced the United States is providing an additional $2 million in humanitarian assistance to respond to Typhoon Molave and the ongoing severe flooding that has affected Central Vietnam since early October. This amount brings the total humanitarian assistance from the U.S. Government for people touched by the floods to $2.1 million.

With this new funding, the U.S. Agency for International Development (USAID) is ramping up efforts to meet emergency needs in communities affected by Vietnam’s historic typhoon season. Typhoon Molave, which made landfall in Central Vietnam on October 28, 2020, is the ninth tropical storm to hit Vietnam this year. Typhoon Molave follows weeks of torrential rain and landslides that have disrupted the lives and livelihoods of an estimated 1.5 million people and killed more than 130.

In response, USAID’s partners, including the Vietnam Red Cross Society (VNRC), are addressing the immediate needs of the affected families for food, shelter, water, sanitation, and hygiene. Because the floods have washed away livestock, farms, and infrastructure, USAID’s partners also will provide assistance to these families as they begin to restore their livelihoods.

This assistance builds on USAID’s long-term investments in Vietnam to reduce the risk and impact of disasters. With funding from USAID, for example, the VNRC has been on the front lines in responding to the impact of severe weather throughout this typhoon season.

The United States stands with the people of Vietnam during this difficult time.

For the latest updates on USAID’s humanitarian assistance in Vietnam, visit: https://www.usaid.gov/humanitarian-assistance/vietnam","Sat, 31 Oct 2020 07:00:00 GMT",https://reliefweb.int/profiles/reliefweb/themes/kobe/images/metatag/disaster-type/flash-flood.png,"['united', 'vietnam', 'response', 'nam', 'announces', 'viet', 'flooding', 'typhoon', 'molave', 'usaid', 'states', 'usaids', 'affected', 'assistance', 'humanitarian', 'vnrc']", ,flood
9,9,FL-2017-000155-VNM,Vietnam flood death toll rises as storm Nangka dumps more rain - Al Jazeera English,https://www.aljazeera.com/news/2020/10/12/vietnam-flood-death-toll-rises-as-storm-nangka-to-dump-more-rain,"Most of the 23 victims were washed away by floodwaters as nearly 46,000 people have been evacuated from affected areas.

Vietnam’s flood death toll rose to at least 23 and authorities said the incoming storm Nangka would dump more heavy rain on the country in the coming days.

The floods also left at least 14 people missing in Vietnam’s central provinces, the government said in a statement on Monday.

Most of the victims were washed away by floodwaters, the national disaster management authority said, adding local authorities evacuated nearly 46,000 people from affected areas.

The floods have inundated more than 109,000 homes and 1,443 acres (584 hectares) of crops and damaged roads and bridges, the agency added.

A military helicopter rescues sailors from a submerged ship at Cua Viet Port in Quang Tri province [Ho Cau/Reuters] Separately, a landslide on Monday reportedly buried 13 construction workers at a hydropower dam in the central province of Thua Thien Hue.

According to weather forecasters, water levels will keep rising, swelling rivers and submerging more communities in the region, the state-owned Tuoi Tre newspaper reported.

The situation worsened over the weekend when Tropical Storm Linfa, which weakened to a depression when it hit the country, brought more rain to the region.

Torrential rains have flooded central Vietnam and killed dozens since last week [Ho Cau/Reuters] “We received a report saying that between 10 and 13 workers have been buried in a landslide and we don’t know if they are still alive,” a disaster management official in Thua Thien Hue province told Reuters news agency by telephone.

Soldiers were deployed to the area to rescue the workers, said the official, who asked not to be named as he was not authorised to speak to the media.

“We are concerned that the incoming storm will worsen the flood situation,” the official said.

Storm Nangka, which is forecast to make landfall in northern Vietnam on Wednesday, will trigger heavy rain of up to 400 millimetres (16 inches) in parts of northern and central Vietnam from Wednesday through Friday, the national weather agency said.

Vietnam is prone to destructive storms and flooding because of its long coastline. Natural disasters – predominantly floods and landslides triggered by storms – killed 132 people and injured 207 others in the country last year.","Mon, 12 Oct 2020 07:00:00 GMT",https://www.aljazeera.com/wp-content/uploads/2020/10/2020-10-11T143755Z_682429121_RC2EGJ9EKRCW_RTRMADP_3_VIETNAM-FLOODS.jpg?resize=1200%2C630,"['vietnam', 'storm', 'rises', 'official', 'death', 'flood', 'nangka', 'dumps', 'workers', 'province', 'rain', 'central', 'floods', 'agency', 'country', 'toll']", ,flood
