,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2016-000090-SEN,"Inondation à Dakar: le maire des Parcelles Assainies, Moussa Sy, interpelle le gouvernement du Sénégal - SeneNews - Actualité au Sénégal",https://www.senenews.com/actualites/inondation-a-dakar-le-maire-des-parcelles-assainies-moussa-sy-interpelle-le-gouvernement-du-senegal_164481.html,"En période d’hivernage, certains quartiers de Dakar, y compris les Parcelles Assainies, sont engloutis par les eaux de pluie depuis des décennies. Beaucoup de quartiers vivent le calvaire des inondations avec un lot de dégâts et de préjudices. Pour parer à cela, le maire des Parcelles Assainies interpelle l’Etat du Sénégal sur la situation déplorable des grandes surfaces de sa commune.

Selon le maire, Moussa Sy, le système d’assainissement et de canalisation nécessite de gros moyens. « Cela fait 15 ans, avant que je ne sois maire des P.A., les eaux de pluies nous viennent des zones suivantes: Est Foire, Ouest Foire et Cité Damel. Les eaux suivent une pente naturelle et se déversent au niveau des P.A., qui ressemblent à un bas fond », a déclaré le maire.

Poursuivant ses remarques, il a ajouté que le danger est lié au refoulement de l’eau. Moussa Sy a dit à ce sujet: « Le danger est que les Parcellois ne peuvent plus rentrer et sortir de chez eux tranquillement, ni aller à la mosquée pour prier. C’est parce que les eaux refoulent dans les maisons malgré les pompes qu’on utilise pour les évacuer. D’ailleurs, le diamètre des tuyaux est réduit ».

Parlant de l’assainissement, Moussa Sy a précisé que « l’Onas a promis de faire une mimi station dans la commune, mais il faut des études approfondies pour qu’il n’y ait pas, après, des problèmes de refoulement dans les maisons, une fois la station construite ».

Enfin, ouvrant le chapitre des solutions, l’édile des Parcelles Assainies a affirmé que « l’Etat du Sénégal, en relation avec l’Onas, doit continuer à réfléchir pour trouver une solution définitive et structurelle à ce problème qui trouble le sommeil de certaines localités dakaroises ».

SeneNews est le site web d'actualité du Sénégal qui traite de l'actualité politique, l'actualité économique, l'actualité du sport et de l'actualité de société. Vous pouvez retrouver notre fil de l'actualité tous les jours. Aussi, l'actualité en temps réel, le suivi le fil de l'actualité du sport au Sénégal et dans le monde, l'actualité people et les tendances de la mode et de la beauté, toutes les vidéos publiées dans la toile qui concernent l'Afrique et le Sénégal, ainsi que la vie des étudiants. Présent aussi sur tous les réseaux sociaux Facebook, twitter, YouTube, Tiktok, Instagram,...SeneNews offre une large gamme d'articles. Vous pouvez aussi tous les articles Premium SeneNews qui sont mis à disposition de nos lecteurs. Nos applications mobiles sont aussi disponibles en téléchargement gratuit sur Apple Store et sur Google Play.Restez connecté au Sénégal et à l'Afrique grace à tous les canaux d'information mis à disposition par votre magazine d'information en ligne.","Thu, 18 Aug 2016 07:00:00 GMT",https://www.senenews.com/wp-content/uploads/2016/08/Moussa-Sy.jpg,"['la', 'moussa', 'à', 'lactualité', 'sy', 'parcelles', 'inondation', 'maire', 'gouvernement', 'les', 'le', 'des', 'interpelle', 'sénégal', 'que', 'et', 'une']", 
1,1,FL-2016-000090-SEN,Reportage: inondation à Kaolack – cri de cœur des sinistrés - SeneNews - Actualité au Sénégal,https://www.senenews.com/actualites/reportage-inondation-a-kaolack-cri-de-coeur-des-sinistres_162841.html,"Après les pluies diluviennes de ces dernières 48 heures, la ville de Kaolack est complètement sous les eaux.De la lointaine périphérie Kabatoki en passant par Touba Ndorong, Khakhoum, Dialègne et Médina Mbaba, tous les quartiers de la ville du « Mbossé » sont inondés.

Des causes qui perdurent

Avec une canalisation qui date de Diéne Bakar Guèye -maire de Kaolack dans les années 1980-, le réseau de l’assainissement de la ville n’a connu aucune extension malgré la multiplication de nouveaux quartiers.

A Kabatoki et environs, les nombreuses déviations engendrées par les travaux interminables de la RN 1 – Route nationale numéro 1- ont empêché tout ruissellement d’eau; ce qui a occasionné inévitablement le débordement de celle-ci vers les zones d’habitations.

A Médina Mbaba, le délégué de quartier, Khalifa Thiam, touche le problème du doigt : »Le grand canal qui reçoit toutes les eaux de la commune n’a pas été assez creusé, et maintenant nous populations nous payons les pots cassés. L’eau est même dans nos chambres « .

A Dialègne, le vieux Saer, les yeux rougeâtres marqués par une nuit passée à la belle étoile crie son ras le bol: « Chaque année, la mairie dépense des millions pour le curage des canaux, et pourtant le même problème revient « .

De dégâts mportants

« Depuis hier, la circulation est bloquée, nous demandons aux autorités d’ouvrir la bretelle Kabatoki-Sibassor, sans cela ils nous entendrons », implore le porte-parole des taximen du garage Sibassor.

De nombreuses familles ont passé la nuit à la belle étoile avec le ventre vide car même pour préparer le repas, elles n’ont pas de places.

Combinés aux nombreux délestages qui rythment la ville, les populations sont amères. »Depuis hier, un poteau électrique s’est affaissé à Kabatoki ce qui a occasionné un délestage » avance un habitant.

Plus de kilos de riz ni de bouteilles d’eau de javel

Les populations des zones inondées de Kaolack le disent à ceux qui veulent les entendre : »Nous n’attendons pas des kilos de riz et des bouteilles d’eau de javel mais des solutions structurelles comme un assainissement de qualité et des logements sociaux »

Donc le ministre du renouveau urbain, de l’habitat, et du cadre de vie Diene Farba Sarr est averti, lui, qui est annoncé dans la journée en visite à Kaolack et ses environs.

SeneNews est le site web d'actualité du Sénégal qui traite de l'actualité politique, l'actualité économique, l'actualité du sport et de l'actualité de société. Vous pouvez retrouver notre fil de l'actualité tous les jours. Aussi, l'actualité en temps réel, le suivi le fil de l'actualité du sport au Sénégal et dans le monde, l'actualité people et les tendances de la mode et de la beauté, toutes les vidéos publiées dans la toile qui concernent l'Afrique et le Sénégal, ainsi que la vie des étudiants. Présent aussi sur tous les réseaux sociaux Facebook, twitter, YouTube, Tiktok, Instagram,...SeneNews offre une large gamme d'articles. Vous pouvez aussi tous les articles Premium SeneNews qui sont mis à disposition de nos lecteurs. Nos applications mobiles sont aussi disponibles en téléchargement gratuit sur Apple Store et sur Google Play.Restez connecté au Sénégal et à l'Afrique grace à tous les canaux d'information mis à disposition par votre magazine d'information en ligne.","Mon, 25 Jul 2016 07:00:00 GMT",https://www.senenews.com/wp-content/uploads/2016/07/FB_IMG_1469392331987.jpg,"['la', 'à', 'sinistrés', 'lactualité', 'inondation', 'qui', 'cri', 'les', 'est', 'le', 'kaolack', 'des', 'du', 'et', 'reportage', 'cœur']", 
2,2,FL-2016-000090-SEN,Inondations repétées à Ouagadougou: le signe indien sera-t-il vaincu enfin? - Médiaterre - mediaterre.org,"https://www.mediaterre.org/afrique-ouest/actu,20160725105634.html","Inondations repétées à Ouagadougou: le signe indien sera-t-il vaincu enfin?

La saison des pluies est maintenant bien installée. Si l'on peut se satisfaire de la répartition spatio-temporelle des pluies et qui est bénéfique aux agriculteurs, il n'en est pas de même pour une grande partie des citadins qui, eux sont anxieux à chaque fois que le ciel menace. La cause est toute simple, Ouagadougou a, depuis quelques années des difficultés d'évacuation des eaux de pluies qui occasionnent à chaque saison des inondations.

Cette année encore, outre la région du Centre qui vient d'enregistrer quatre (04) morts et plus de 2000 ménages sinistrés, plusieurs autres régions ont les pieds dans l'eau. Dans la région du Sahel, en plus des centaines de sinistrés, on enregistre des pertes de bétails. Une situation difficile qui vient s’ajouter aux difficultés quotidiennes de ces populations.

Pour ce qui est de la ville de Ouagadougou, les causes des inondations sont connues. Il s'agit d'abord de l'incivisme des populations qui trouvent un malin plaisir à faire des caniveaux leur dépotoir d'ordure. Ensuite on a les acteurs du secteur informel dont les installations de fortune (hangars, kiosques...) obstruent les fossés que la mairie n'arrive pas à curer.

Et pourtant, les spécialistes annoncent de grosses pluies les jours à venir, synonyme d’alerte aux populations sur des situations difficiles à prévoir. Ce qui implique que chaque individu, chaque famille, prennent les dispositions pour minimiser les risques de toutes natures.

Il faut saluer l'action du gouvernement qui a pris, en conseil des ministres, des mesures d’urgence avec la mise en place d’une cellule de veille dirigée par le Premier ministre après l'inondation du 20 juillet. Mais il devrait aller plus loin en matérialisant davantage la restauration de l'autorité de l'Etat.

‘’C’est une situation qui est évidemment difficile, que le pays vit quasiment à chaque fois qu’il y a d’abondantes pluies. Ce qui pose d’une part, les responsabilités au niveau du gouvernement qui doit faire en sorte à assurer dans les villes et dans les provinces, des caniveaux qui permettent de conduire les eaux. Il y a, d’autre part, des responsabilités individuelles et collectives sur la manière dont nous jetons les déchets dans les caniveaux et dans la manière également où certaines constructions sont faites dans des zones non indiquées’’ a martelé le président du Faso.

Ici le discours ne suffit plus, il faut mettre fin à la défiance de l'Etat. Les petits commerçants refusent de déguerpir sans indemnisations ; les populations installées dans les zones inondables aussi refusent de rejoindre les sites identifiés pour eux. Pire, certains ont même vendu leur parcelle pour rejoindre l'ancien site déclaré inhabitable et tout le monde les regarde.

Il faut saluer quand même l'action du nouveau maire qui vient de lancer une campagne de curetage de tous les caniveaux de la ville. Il donné lui-même l'exemple lors du lancement de l'opération en sautant dans un caniveau pour inviter toute la jeunesse à emboîter son pas. Si tout le monde coopère à cette action, on pourrait éviter à Ouagadougou un autre 1er septembre, c'est-à dire une catastrophe par les eaux.","Mon, 25 Jul 2016 07:00:00 GMT",https://www.mediaterre.org/afrique-ouest/favicon.ico,"['ouagadougou', 'la', 'dans', 'à', 'et', 'signe', 'qui', 'enfin', 'les', 'le', 'des', 'il', 'inondations', 'indien', 'du', 'seratil', 'vaincu', 'repétées']", 
3,3,FL-2016-000090-SEN,"Crues du Niger : alerte aux inondations au Niger, au Bénin et au Nigeria – Jeune Afrique - Jeune Afrique",https://www.jeuneafrique.com/depeches/347490/societe/crues-niger-alerte-aux-inondations-niger-benin-nigeria/,"L’Autorité du bassin du fleuve Niger a lancé vendredi une alerte sur des risques d’inondations au Bénin, au Nigeria et au Niger, où un affluent de ce fleuve a même atteint fin juillet un niveau record jamais vu depuis 1957.

Le Niger, le Bénin et le Nigeria sont tous trois traversées par le fleuve Niger qui a amorcé des crues.

« La cote d’alerte jaune de 530 centimètres est atteinte depuis le 2 août à la station de Niamey. Si les tendances de montée des eaux du fleuve se poursuivent, des situations d’inondations pourraient survenir« , a prévenu l’Autorité du bassin du fleuve Niger (ABN, neuf États), basée à Niamey.

Une « crue locale » a même déjà débuté depuis juin en territoire nigérien, prévient l’Autorité. Le niveau des eaux est montée à « 2.90 mètres » entre le 16 et le 30 juillet à la station du Gorouol, un affluent du fleuve. Le niveau a même atteint 406 centimètres (4,06 mètres) le 30 juillet, un record jamais vu depuis la création de cette station du Gorouol en 1957, souligne l’ABN.

La montée des eaux à Niamey, capitale du Niger, « va se propager » vers l’aval du fleuve, à Malanville au Bénin, et jusqu’au Nigeria, souligne l’ABN, qui appelle les riverains à une « vigilance particulière » face aux « risques de crues réelles« .

Ces crues seront favorisées par les fortes pluies qui s’abattent depuis juin sur le Niger et le Mali, prévient un expert onusien interrogé par l’AFP.

Troisième fleuve d’Afrique, le Niger dispose d’un bassin de plus de deux millions de km 2, où vivent plus de 100 millions de personnes, de la Guinée au Nigeria.

Au moins onze personnes sont mortes et près de 30 000 autres ont été déclarées sans-abris depuis juin au Niger, après des inondations catastrophiques provoquées par de fortes pluies, particulièrement dans des zones situées en plein désert, d’après l’ONU.

Selon, l’ONU ces inondations pourraient affecter plus de 100 000 personnes au Niger.","Sat, 06 Aug 2016 07:00:00 GMT",https://www.jeuneafrique.com/medias/2015/12/14/RS63355_VF15091712480008-scr.jpg,"['la', 'à', 'depuis', 'au', 'jeune', 'crues', 'aux', 'le', 'des', 'inondations', 'fleuve', 'du', 'et', 'nigeria', 'bénin', 'niger']", 
4,4,FL-2016-000090-SEN,Inondations : Kaolack et Kaffrine sous les eaux. - Pressafrik,https://www.pressafrik.com/Inondations-Kaolack-et-Kaffrine-sous-les-eaux_a152343.html,"Arès les pluies diluviennes qui se sont abattues hier à Kaolack et à Kaffrine, le spectre des inondations pointent encore une fois le bout de son nez dans le cette partie du Sénégal. En effet, c’est à peine le début de l’hivernage et certaines habitations ont déjà été submergées par les eaux.



C’est le cas du quartier de Kaffrine 2 et de Diamaguene où les centres de santé ont été submergés par les eaux pluviales, les empêchant de fonctionner normalement. Au village de Ndobème Samalama, 90 concessions ont été détruites, et 30 familles se sont retrouvées sans abris. Les écoles qui servaient d’habitude d’abris provisoires, ne pouvant être utilisées à cause de la tenue des deuxièmes tours du Bfem, ont fini de mettre les autorités locales dans l’embarras.



Le département de Kaolack offre le même visage sinistre avec les quartiers de Sara Nimzatt et environnants où les maisons sont inondées et l’accès très difficile. Les routes non plus ne sont pas épargnées. Et le cas le plus marquant est celle reliant Kabatocky à Sing-Sing qui est pratiquement «avalée » par les eaux.","Mon, 25 Jul 2016 07:00:00 GMT",https://www.pressafrik.com/photo/art/grande/9924461-16087579.jpg?v=1469456266,"['kaffrine', 'à', 'sont', 'eaux', 'ont', 'qui', 'les', 'été', 'le', 'kaolack', 'sous', 'inondations', 'du', 'et', 'par']", 
5,5,FL-2016-000090-SEN,Pluies à Dakar: les routent encore inondées et la circulation bloquée - SeneNews - Actualité au Sénégal,https://www.senenews.com/actualites/pluies-a-dakar-les-routent-encore-inondees-et-la-circulation-bloquee_163965.html,"A la minute où nous mettons cet article en ligne, la circulation de Dakar est encore perturbée, conséquence de la pluie qui continue de se déverser. Quand le ciel ouvre ses vannes, tout est au ralenti dans la capitale.

La ville de Dakar croule encore sous le poids des pluies, occasionnant ainsi des flaques d’eau dans la circulation.

Semblables à des marées, ces flaques obligent les automobilistes à les contourner, ce qui crée un véritable désordre le long des routes. Même l’autoroute à péage n’est pas épargnée. De Mbao au centre-ville, les longues files de voitures avancent au pas de caméléon.

Cet état de fait repose la lancinante question des compétences de nos prétendus ingénieurs en travaux routiers et en assainissement.

Depuis Mathusalem, on parle de bassins de rétention et de canaux d’évacuation des eaux pluviales. Mais, à vrai dire, ce sont des bassins qui ne retiennent rien et des canaux qui n’évacuent rien non plus.

Sur le plan économique, les dommages sont considérables car ce sont des centaines de millions de pertes enregistrées par les secteurs public et privé. Si on y ajoute la paresse des Sénégalais et leur manie à toujours être en retard, pourra-t-on atteindre les objectifs du Plan Sénégal Emergent?

Bref, ces eaux pluviales qui inondent les routes et occasionnent des embouteillages monstres devraient faire l’objet d’une étude technique sérieuse. Sinon, chaque année, on vivra le même cauchemar et on bricolera les routes en attendant le prochain hivernage.

C’est ce que l’on pourrait appeler l’éternel recommencement

SeneNews est le site web d'actualité du Sénégal qui traite de l'actualité politique, l'actualité économique, l'actualité du sport et de l'actualité de société. Vous pouvez retrouver notre fil de l'actualité tous les jours. Aussi, l'actualité en temps réel, le suivi le fil de l'actualité du sport au Sénégal et dans le monde, l'actualité people et les tendances de la mode et de la beauté, toutes les vidéos publiées dans la toile qui concernent l'Afrique et le Sénégal, ainsi que la vie des étudiants. Présent aussi sur tous les réseaux sociaux Facebook, twitter, YouTube, Tiktok, Instagram,...SeneNews offre une large gamme d'articles. Vous pouvez aussi tous les articles Premium SeneNews qui sont mis à disposition de nos lecteurs. Nos applications mobiles sont aussi disponibles en téléchargement gratuit sur Apple Store et sur Google Play.Restez connecté au Sénégal et à l'Afrique grace à tous les canaux d'information mis à disposition par votre magazine d'information en ligne.","Fri, 12 Aug 2016 07:00:00 GMT",https://www.senenews.com/wp-content/uploads/2016/08/embouteillage-circuation-1.jpg,"['la', 'inondées', 'encore', 'à', 'en', 'lactualité', 'dakar', 'circulation', 'les', 'qui', 'le', 'des', 'sénégal', 'routent', 'et', 'pluies']", 
6,6,FL-2016-000090-SEN,Assécher les rizières pour une meilleure production - Afrique Sub-Saharienne - SciDev.Net Afrique Sub-Saharienne,https://www.scidev.net/afrique-sub-saharienne/news/assecher-rizieres-pour-meilleure-production-riz/,"Like most websites we use cookies. This is to ensure that we give you the best experience possible. Continuing to use this site means you agree to our use of cookies. If you would like to, you can learn more about the cookies we use here.","Wed, 27 Jul 2016 07:00:00 GMT",https://www.scidev.net/afrique-sub-saharienne/wp-content/uploads/sites/2/2019/08/Riziculture.jpg,"['possible', 'assécher', 'site', 'production', 'experience', 'best', 'learn', 'websites', 'les', 'continuing', 'rizières', 'cookies', 'ensure', 'meilleure', 'means', 'pour', 'une']", 
7,7,FL-2016-000090-SEN,Burkina : quatre morts et plus de 2000 ménages sinistrés après des inondations à Ouagadougou – Jeune Afrique - Jeune Afrique,https://www.jeuneafrique.com/343777/societe/burkina-quatre-morts-plus-de-2000-menages-sinistres-apres-inondations-a-ouagadougou/,"Les populations burkinabè ont vécu sous des pluies diluviennes dans la nuit du mardi 19 au mercredi 20 juillet. Au total, cinq des 13 régions du pays ont été inondées, dont celle de la capitale Ouagadougou.

Le bilan provisoire établi par le maire central de la ville Armand Béouindé fait état de quatre morts et plusieurs personnes sans abris recensées dans une douzaine d’arrondissements. L’édile a qualifié cette situation de dramatique devant la presse locale. Des écoles primaires ont été réquisitionnées pour reloger les populations sinistrées.

D’autres inondations sont à prévoir

Le gouvernement a décidé de la mise en place d’une cellule de veille. Le Comité national de secours d’urgence et de réhabilitation s’est activé pour la prise en charge des sinistrés. À l’issue du Conseil des ministres du 20 juillet, le porte-parole du gouvernement, Remis Dandjinou, a déclaré que « les prévisions font état d’autres inondations ». La région du Sahel, touchée également par les inondations de mercredi, est la plus exposée.

Le spectre de 2009

Depuis quelques années, de nombreux ménages sont sinistrés pendant la saison hivernale à cause de canalisations défectueuses et d’habitations précaires situées dans des zones à risque. Mais l’inondation de 2009 à Ouagadougou reste la plus grave que le pays ait connue, avec neuf morts et plus de 150 000 sinistrés.

Une opération de curage prévue

À l’époque, le gouvernement avait entrepris des travaux de canalisations pour éviter de tels drames. Selon le maire de la capitale « les caniveaux sont actuellement obstrués par les ordures que les gens jettent. » Une opération de curage devrait débuter dans les prochains jours.","Fri, 22 Jul 2016 07:00:00 GMT",https://www.jeuneafrique.com/medias/2016/07/22/photo-inondation-640x320-1469179472.jpg,"['ouagadougou', 'la', 'dans', 'à', 'sont', 'sinistrés', 'quatre', 'jeune', 'plus', 'les', 'le', 'des', 'ménages', 'morts', 'inondations', 'du', 'que', 'et']", 
8,8,FL-2016-000090-SEN,Riyad réaffirme sa volonté de ''renforcer les relations séculaires' avec Dakar - DakarActu,https://www.dakaractu.com/Riyad-reaffirme-sa-volonte-de-renforcer-les-relations-seculaires-avec-Dakar_a115695.html,"Le ministre saoudien des Affaires étrangères a réaffirmé jeudi au chef de l’Etat la volonté du Royaume d’Arabie Saoudite de ‘’renforcer les relations séculaires’’ avec le Sénégal, rapporte la présidence sénégalaise.

Adel Al Joubeir a été reçu par le président de la République, Macky Sall, signale un communiqué reçu à l’APS, soulignant que la coopération entre le Sénégal et l’Arabie Saoudite ‘’touche tous les domaines’’.","Thu, 04 Aug 2016 07:00:00 GMT",https://www.dakaractu.com/photo/art/grande/9983940-16201940.jpg?v=1470341904,"['la', 'à', 'avec', 'reçu', 'étrangères', 'volonté', 'dakar', 'les', 'réaffirme', 'le', 'été', 'séculaires', 'sénégal', 'saoudite', 'riyad', 'relations', 'renforcer']", 
9,9,FL-2016-000090-SEN,"Reportage Afrique - Niger: dans la région d'Agadez, des inondations lourdes de conséquences - RFI",https://www.rfi.fr/fr/emission/20160810-niger-region-agadez-inondations-lourdes-consequences,,"Wed, 10 Aug 2016 07:00:00 GMT",,"['la', 'pluies', 'dans', 'dagadez', 'ont', 'le', 'des', 'inondations', 'lourdes', 'région', 'conséquences', 'niger']", 
