,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2011-000133-MEX,Siempre habrá riesgo de inundación: Edomex - Vanguardia.com.mx,https://vanguardia.com.mx/siemprehabrariesgodeinundacionedomex-1104285.html,"En la reunión realizada entre secretarios del estado y colonos afectados por el desbordamiento del río Cuautitlán, se dieron a conocer las afectaciones a casas y empresas y las sumas monetarias para reparar los daños","Fri, 23 Sep 2011 07:00:00 GMT",https://vanguardia.com.mx/sites/all/themes/vanguardia/apple-touch-icon-precomposed.png,"['edomex', 'riesgo', 'siempre', 'reparar', 'se', 'del', 'realizada', 'las', 'reunión', 'habrá', 'y', 'río', 'secretarios', 'sumas', 'inundación']", 
1,1,FL-2011-000133-MEX,Desastre en Cuautitlán pega a 2 delegaciones; no tienen agua - El Universal.mx,https://archivo.eluniversal.com.mx/ciudad/107881.html,,"Thu, 08 Sep 2011 07:00:00 GMT",,[], 
2,2,FL-2011-000133-MEX,"La Biblioteca de México, en riesgo de colapso ante un sismo - El Universal.mx",https://archivo.eluniversal.com.mx/cultura/66414.html,,"Mon, 19 Sep 2011 07:00:00 GMT",,[], 
3,3,FL-2011-000133-MEX,Paisaje sumergido + El fin de la abundancia - proceso.com.mx,https://www.proceso.com.mx/281508/paisaje-sumergido-el-fin-de-la-abundancia,,"Thu, 15 Sep 2011 07:00:00 GMT",,[], 
4,4,FL-2011-000133-MEX,Niña muere por lluvias que causan deslaves y cierran vías - El Universo,http://www.eluniverso.com/2011/09/26/1/1447/nina-muere-lluvias-causan-deslaves-cierran-vias.html,"Ante los eventos Tena sería declarada en emergencia. En otras zonas hubo menores problemas.

Una niña muerta y vías cerradas por deslaves, además de inundaciones y apagones fueron algunos de los efectos que causaron las fuertes lluvias que se precipitaron el pasado fin de semana en algunas provincias.

El caso más grave se presentó en Tena, capital de Napo, donde la noche del sábado y madrugada del domingo, el aguacero provocó un deslizamiento de tierra que sepultó a Sehila Chinachi Pasuña, de 7 años, quien falleció, informó la Dirección Provincial de Gestión de Riesgos de Napo.

La institución también reportó que fueron afectadas las principales vías que conducen a esa ciudad. La carretera Baeza-Tena se encuentra cerrada debido a varios deslizamientos en el sector Guacamayos y El Bermejo. La vía Loreto-Tena, por la afectación del puente ubicado en el sector El Tigre. En ambos casos, personal del Ministerio de Transporte y Obras Públicas (MTOP) atiende los daños.

La tempestad también ocasionó inundaciones en barrios bajos de Tena, por la crecida de los ríos. Los lugares afectados son Las Palmas, Tereré, Paushiyacu, Palandacocha y Bellavista Baja. También se registraron daños en el malecón de esa ciudad y en los sectores Las Sogas, Ongota, Puerto Misahuallí y Ahuano. En estos dos últimos lugares no se suspendió el servicio de energía eléctrica.

Publicidad

Al momento, según la información de la Sala Situacional Provincial de Napo, se encuentran seis familias en el albergue del Ministerio de Inclusión Económica y Social (MIES).

Ante la situación, la Secretaría Nacional de Gestión de Riesgos y Comité de Operaciones de Emergencias (COE) Napo, analizan la conveniencia de declarar en emergencia a Tena.

Mientras, en la parroquia Río Negro, del cantón Baños, provincia de Tungurahua, las fuertes lluvias que empezaron a las 16:00 del sábado rebosaron la quebrada cercana al cementerio y a eso de las 23:00 provocó el ingreso de lodo en al menos una decena de viviendas, contó Édgar Zavala, presidente del casco central de la localidad y uno de los afectados.

Los moradores dijeron que desde mayo se ofreció solucionar el problema, pero nada se ha hecho. Ante ello, el alcalde de Baños de Agua Santa, José Luis Freire, mencionó que está dispuesto a reunirse con la Junta Parroquial para terminar con estos inconvenientes. Acotó que esa entidad tiene recursos económicos para esos trabajos, pero que si es necesario canalizará ayuda municipal con maquinaria o personal.

La fuerte lluvia en Tungurahua también produjo un deslave en el sector San Francisco, lo que paralizó la circulación vehicular por la vía Baños-Puyo. Maquinaria del Cuerpo de Bomberos comenzó a limpiar el lodo acumulado, pero hasta ayer en la mañana los escombros en la calzada dificultaban la movilización.

A las 17:00 del sábado, un rayo que cayó en la estación de energía eléctrica en el sector del Instituto Superior Guayaquil, dejó por más de una hora sin el servicio a Las Viñas, Catiglata, La Península, La Victoria, La Concepción, entre otras zonas.

Publicidad

En Babahoyo, Los Ríos, cerca de las 23:00, cayó un intenso aguacero que obligó a los transeúntes a cubrirse bajo los portales y a otros a buscar la manera de llegar a sus casas, lo que se complicó porque a la 01:30 hubo un apagón que duró una hora, al parecer a consecuencia del fuerte aguacero. La Policía y miembros del Ejército dieron resguardo para impedir la acción de la delincuencia.

En Ibarra, provincia de Imbabura, también se reportaron fuertes precipitaciones el sábado, aunque no provocaron mayores inconvenientes.

Napo

En Tena, capital de esta provincia, se registra una víctima mortal debido a un deslizamiento provocado por las fuertes lluvias, además de problemas en varias vías.

Tungurahua

En la parroquia Río Negro se desbordó una quebrada que llevó lodo a algunas casas. Además, un deslave dificultó el paso en la vía Baños-Puyo y otras zonas se quedaron sin energía eléctrica por un rayo.","Mon, 26 Sep 2011 07:00:00 GMT",https://www.eluniverso.com/resizer/ME-ByFAmdaXxeo9akBfS5haKRc4=/456x336/smart/filters:quality(70)/cloudfront-us-east-1.images.arcpublishing.com/eluniverso/P2VPIIKZVFCCPC6JHUOIX3PR24.jpg,"['por', 'el', 'en', 'lluvias', 'deslaves', 'se', 'del', 'las', 'cierran', 'la', 'y', 'muere', 'vías', 'los', 'causan', 'niña', 'que']", 
5,5,FL-2011-000133-MEX,Robo legalizado a cuentahabientes - proceso.com.mx,https://www.proceso.com.mx/reportajes/2011/10/5/robo-legalizado-cuentahabientes-92975.html,"A la muy larga lista de abusos legalizados que el sector bancario del país comete contra los cuentahabientes se sumó otro más, avalado por una ley ventajosa: la confiscación de cuentas de ahorro “inactivas”. Gracias a esa ley, impulsada por el PAN, las cuentas que se encuentran en esa circunstancia y cuyo monto equivalga a 300 días de salario mínimo –es decir, hasta por 17 mil pesos– son transferidas a la “beneficencia”. Pero ahora otra iniciativa panista quiere ir todavía más lejos: que el dinero se entregue a las Fuerzas Armadas. La pregunta es: ¿Dónde están esos fondos robados a los cuentahabientes? Nadie informa, nadie sabe. MÉXICO, D.F. (Proceso).- Para afrontar algún gasto imprevisto, Eduardo González depositó 15 mil pesos en una cuenta que abrió en el banco HSBC. Y ahí mantenía esos ahorros porque ninguna urgencia lo obligaba a sacarlos. Para su sorpresa, en junio pasado el banco le envió una notificación advirtiéndole que le confiscaría ese dinero, ya que en “tres años consecutivos” no había realizado ningún depósito ni retiro en su cuenta de ahorro. Indignado, relata el propio González: “Me molestó muchísimo esa notificación del banco. No podía creer que fueran a quitarme mi dinero de esa manera tan arbitraria. Y sólo porque mi cuenta estaba inactiva. Por fortuna, se me dio un plazo para sacar mis ahorros, cosa que hice inmediatamente.” –¿Esa fue toda la explicación que le dio el banco? –También me informó que los demás bancos están tomando esa medida, de acuerdo con una ley que ordena confiscar las cuentas inactivas que no excedan el equivalente a 300 días de salario mínimo. O sea, le están quitando su dinero a quienes tienen de 17 mil pesos para abajo. –¿Y a dónde se canalizará ese dinero? –Dizque a una cuenta global que supuestamente se destinará a la beneficencia pública. Pero ahora el PAN ya presentó una iniciativa para que el dinero pase a manos de las Fuerzas Armadas. En pocas palabras, para apoyar al Ejército en su guerra contra el narco… Así hasta podrán quitarnos nuestras casas con el pretexto de que no las habitamos las 24 horas del día. En efecto, las 40 instituciones bancarias del país están incautando esas cuentas a los pequeños ahorradores desde febrero de 2008, cuando entró en vigor la reforma al artículo 61 de la Ley de Instituciones de Crédito, que además ordena depositar el dinero confiscado en una “cuenta global” destinada a la “beneficencia pública”. Sin embargo, en julio pasado, el diputado panista Julio Castellanos Ramírez presentó una iniciativa para que esos recursos no vayan a la beneficencia, sino a las Fuerzas Armadas, ya que –asegura su propuesta– es necesario “reconocer a los militares por su invaluable labor a favor de los mexicanos ante situaciones de inseguridad y desastres”. Entrevistado por Proceso, Castellanos recalca: “Las Fuerzas Armadas merecen nuestro respeto y admiración. Los militares siempre están prestos a ayudar a la gente. Me preocupan particularmente los militares en retiro, quienes viven en condiciones deplorables después de haber expuesto muchísimo su vida. Por eso propongo que el dinero incautado a los pequeños ahorradores pase a manos de las Fuerzas Armadas mexicanas, cuyo patriotismo es verdaderamente heroico.” –Su iniciativa se presta a suspicacias... Puede ir encaminada a sufragar la actual lucha del Ejército contra el narcotráfico… –Es una iniciativa polémica, lo reconozco. Pero nada tiene que ver con la etapa actual tan controvertida. Incluso creo que ni el mismo Ejército quiere desempeñar el papel que se le dio en esta lucha contra el narcotráfico. Mi propuesta toma más bien en cuenta el papel del Ejército en desastres naturales, como en los terremotos e inundaciones, donde siempre apoya a la población civil afectada… Pero en fin, mi iniciativa está abierta al debate y a la discusión. Despojo a los más pobres Es en el mismo Congreso donde la iniciativa del PAN está provocando rechazo, sobre todo del senador Ricardo Monreal, del Partido del Trabajo, quien denuncia: “De manera arbitraria y abusiva ya le están quitando sus recursos a los pequeños ahorradores, que es la gente más pobre del país, a quien ni siquiera le dan derecho de audiencia. Simplemente le roban sus ahorros. Y ahora la iniciativa del PAN quiere darle esos recursos a las Fuerzas Armadas para financiar la lucha contra el narcotráfico. ¡Es una injusticia total! –¿Una incautación de guerra? –Es una cooperación forzosa a la que están sometiendo a los más pobres. Yo me pregunto: ¿Por qué no incautan las cuentas bancarias de los ricos? ¿Por qué sólo confiscan las cuentas de ahorro de 17 mil pesos para abajo? Siempre los más pobres deben pagar los platos rotos. En su despacho del Senado, Monreal indica que hay muchísima gente que abre una pequeña cuenta de ahorro para afrontar en el futuro una emergencia, una enfermedad o cualquier gasto imprevisto. La mayoría de esos pequeños ahorradores –dice– son ancianos, subempleados, pensionados, trabajadores del sector informal, empleados mal pagados y sin acceso a la seguridad social… Agrega que también son muy comunes las cuentas abiertas por los connacionales radicados en Estados Unidos, quienes al venir por una temporada a México suelen hacer esos ahorros, de los que luego se desentienden pensando que están a buen resguardo. O bien, dice, es frecuente el caso de pequeños ahorradores que fallecen dejando abierta una cuenta bancaria, en ocasiones sin haberle dicho a su familia. Añade Monreal: “Hay una infinidad de razones por las que la gente abre esas cuentas bancarias, depositando ahí sus ahorros que juntaron con muchísimo esfuerzo. Imagínese que luego lleguen a la ventanilla del banco y les digan: ‘Ya te quitamos tu dinero para dárselo al Ejército’. ¡No se vale! ¡Es una vil injusticia! “Se argumenta que esos ahorros se están incautando porque están en cuentas inactivas en las que ya no se hacen ni depósitos ni retiros. Eso es una falacia, pues para los bancos todo el dinero de sus ahorradores lo invierten o lo prestan con altos intereses, obteniendo un lucro desmedido. Además cobran comisiones.” –Pero sólo están incautando cuentas pequeñas… –Quizá esas sumas de dinero no sean significativas para los ricos o para la Secretaría de Hacienda. Pero sí lo son para el sector más pobre de la población, que es precisamente al que se está afectando con esas confiscaciones. “Ese tipo de leyes y de iniciativas son las que están aprobando por mayoría el PAN y el PRI, y normalmente golpean a la población de menos recursos económicos. Para los legisladores panistas y priistas la gente pobre simplemente no existe, por eso le están exprimiendo al máximo sus pocos recursos.” A Monreal le indigna aún más el hecho de que esos ahorros intenten ser transferidos al rubro de la seguridad, al que se le han canalizado muchos recursos. “El gobierno actual está insistiendo de manera reiterada en el tema de la seguridad. No le interesa ningún otro. Está reforzando los cuerpos de seguridad, destina más recursos para comprar tanques y armamento, para construir cárceles o para tener más jueces. Por eso ahora quiere utilizar los ahorros incautados en ese rubro.” –¿Realmente necesitarán ese dinero las Fuerzas Armadas? –Mire, los recursos más cuantiosos de los últimos años han sido destinados precisamente a las Fuerzas Armadas, lo mismo que a la Secretaría de Seguridad Pública y a la Procuraduría General de la República. Pero los militares y los marinos han sido los sectores más beneficiados económicamente. Efectivamente, con la llegada de Felipe Calderón a la Presidencia de la República –y su declaración de guerra al narcotráfico–, la Secretaría de la Defensa Nacional (Sedena) y la Secretaría de Marina (Semar) prácticamente duplicaron su presupuesto anual de 2006 a 2011. En 2006, la Cámara de Diputados asignó al Ejército y Fuerza Aérea 26 mil 31 millones de pesos. Para este 2011, casi le duplicó la suma al asignarle 50 mil 39 millones de pesos. A la Semar –que también está participando muy activamente en el combate al narcotráfico–, en 2006, le dieron 9 mil 100 millones de pesos. Y para este año le duplicaron esa cantidad al asignarle 18 mil 270 millones de pesos. Además, ambas secretarías han recibido dinero extra al presupuestado, con el que han comprado armamento, vehículos blindados, equipos de radiocomunicación, helicópteros, o bien, destinan esos recursos para pagar “compensaciones” al personal de tropa. Por ejemplo, en 2010 la Sedena recibió un presupuesto de 43 mil 632 millones de pesos. Pero ese año terminó ejerciendo 52 mil 597 millones. Es decir, 8 mil 965 millones extras, que representaron 20% de incremento a los recursos originales, según se desprende del informe de la cuenta pública de 2010 que el Ejecutivo envió al Congreso. Y así, año con año, el Ejecutivo también ha utilizado partidas extras, sin aval del Congreso, para dárselas al Ejército y a la Marina, según información estadística publicada en el diario La Jornada el pasado 6 de septiembre. Recalca el senador Monreal: “Es muy preocupante esa iniciativa que el PAN presentó en la Cámara de Diputados, a través del diputado Julio Castellanos. Con ella, quedan claras las intenciones panistas de darle todavía mucho más recursos al Ejército.” Señala que, en contrapartida, él presentó una iniciativa en el Senado para que se modifique el artículo 61 de la Ley de Instituciones de Crédito y ahí ya no se estipule que esos ahorros incautados vayan a la beneficencia pública, sino que se les devuelvan a los propios ahorradores. “En mi iniciativa, propongo que no se prive de sus ahorros a los titulares de las cuentas bancarias, que se les dé el derecho de retirarlas cuando ellos quieran y disponer de su dinero cuando les plazca”, dice. Monreal extiende el documento de su iniciativa –presentada el pasado 3 de marzo–; ahí se señala que el artículo 61 deja “en indefensión” a un sector de la sociedad que cuenta con pocos recursos. Ya de por sí –agrega– “en la administración del señor Calderón se ha incrementado la tasa de pobreza de 31.7% a 34.8%, generando una brecha mayor de desigualdad social”. –Pero ustedes los legisladores fueron quienes modificaron ese artículo para confiscar los ahorros y dárselos a la beneficencia. –Sí, es cierto. Y fue una legislación aprobada por las dos cámaras. Nadie reparó en sus repercusiones tan graves. Nos pasó de noche esta legislación. No debimos aprobarla. Fue un error del Legislativo. Por eso trato de enmendar el error mediante mi iniciativa. –Pero ya hay dos iniciativas: la del PAN, que quiere darle esos recursos al Ejército, y la de usted, que quiere que regresen a los ahorradores. –Sí, son dos iniciativas totalmente opuestas, van por caminos contrarios. Ya veremos si alguna de las dos se aprueba en el Congreso. No soy ingenuo, es probable que se le entregue ese dinero al Ejército, pues la alianza PAN-PRI es capaz de cometer las peores atrocidades. Por su lado, el diputado Julio Castellanos defiende su propuesta: “Como actualmente está la ley, esos ahorros irán a la beneficencia pública. ¿Pero qué es la beneficencia pública? ¿Un grupo de burócratas de la Lotería Nacional? No lo sabemos. Ignoramos el destino de esos recursos. La beneficencia es un ente muy vago. Por lo menos, los ahorradores deberían saber con certeza a dónde van sus ahorros y qué se va a hacer con ellos. “Por eso, mi iniciativa propone un destino muy focalizado; que esos ahorros prescriban a favor del Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas (ISSFAM). Lo único que pretende es darles un mejor futuro a los soldados en retiro.” Dice textualmente la iniciativa: “Las Fuerzas Armadas mexicanas son un claro ejemplo de valor y coraje, así como de solidaridad y sentido humano cuando el pueblo mexicano lo ha requerido. Hombres y mujeres que todos los días exponen su vida y salud para protegernos requieren ser valorados y recompensados, especialmente cuando se encuentran en edad de retiro, por lo que debemos considerar diversos medios para apoyar a este importante sector que tanto ha dado al pueblo mexicano.” La iniciativa también propone que después de ser incautados los ahorros, éstos pasen al “fondo global”, donde deben permanecer por siete años, en los cuales el ahorrador aún puede reclamarlos. De no ser así, pasarán directamente al ISSFAM. Además, pide que la Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios Financieros (Condusef) lleve un “registro público” de los clientes de la banca que se vean afectados con la medida. En sus oficinas de la Cámara de Diputados, recalca Julio Castellanos: “Actualmente, al ahorrador no se le notifica debidamente de que su cuenta será incautada. Por lo que propongo que le llegue una notificación personalizada a su domicilio y también a través de medios electrónicos. Quiero que se le reconozca ese derecho.” –¿En qué etapa va su iniciativa? –La presenté ante la Comisión Permanente el pasado 6 de julio. Ya se turnó a la Comisión de Hacienda, de la que soy miembro. Veremos qué pasa. Y repito, quiero que se discuta y que haya transparencia, para que nadie se robe el dinero de los ahorradores. Mientras tanto, en la Condusef aún no tienen cifras sobre el número de cuentahabientes afectados. “Todavía no precisamos el volumen de los perjudicados por esa ley”, dice Marco Carrera, vocero del organismo. Sin embargo, señala que en 2010 les llegaron 50 quejas por cuentas incautadas, y en lo que va de este año han recibido nueve. Aclara que son muy pocos los afectados que acuden a la Condusef. Carrera coincide en que los afectados pueden ser ancianos, migrantes y gente de pocos recursos, aunque también incluye a personas pudientes que se olvidaron de que tenían una pequeña cuenta de ahorro. “Es gente que no tiene necesidad de estar cuidando ese dinero, porque tiene varias cuentas bancarias o porque sencillamente lo olvidó. Eso le puede pasar a un Carlos Slim, a quien, por decir algo, entre sus 100 cuentas bancarias se le traspapeló una pequeña cuenta con 17 mil pesos”, dice. –¿Cuántos bancos están incautando esas cuentas? –Aproximadamente 40 instituciones bancarias en todo el país. Desde 2008, todas deben acatar esa disposición de la Ley de Instituciones de Crédito y enviar sus confiscaciones a una cuenta global. –¿Qué cantidad de dinero hay actualmente acumulada en ese fondo global? –¡No lo sabemos!... ¡No lo sabemos!... Esa información no la tenemos, como tampoco sabemos sobre el número de cuentas incautadas. Al respecto, comenta el senador Monreal: “Esa cuenta concentradora está a disposición de la Secretaría de Hacienda. Desde hace tiempo le estoy pidiendo a Hacienda que informe sobre el monto de esos multimillonarios recursos.” –¿Y qué ha pasado? –No he obtenido ninguna respuesta. Ignoramos el monto de los recursos acumulados. Nada sabemos sobre ese dinero que le están quitando al pueblo. Hay mucha opacidad.","Wed, 05 Oct 2011 07:00:00 GMT",https://www.proceso.com.mx/a/plantillas/p/proceso/imgs/logo-facebook.png,"['por', 'el', 'robo', 'en', 'se', 'legalizado', 'para', 'cuentahabientes', 'la', 'y', 'una', 'los', 'que']", 
6,6,FL-2011-000133-MEX,Los Estados - Quitan “protección” a humedales en Veracruz - El Universal.mx,https://archivo.eluniversal.com.mx/estados/82295.html,,"Wed, 28 Sep 2011 07:00:00 GMT",,[], 
7,7,FL-2011-000133-MEX,Decapitan a reportera mexicana - El Nuevo Diario,https://www.elnuevodiario.com.ni/nacionales/114985-decapitan-reportera-mexicana/,"La Policía mexicana encontró el cuerpo decapitado de María Elizabeth Macías, de 39 años, jefa de Redacción del diario Primera Hora, de Nuevo Laredo, quien fue asesinada por denunciar a criminales en las redes sociales, según un mensaje atribuido a un grupo delictivo, informó ayer una fuente oficial.

La Fiscalía General del estado de Tamaulipas, fronterizo con Estados Unidos, informó en un breve comunicado que el cuerpo sin vida de María Elizabeth Macías había sido localizado en un barrio de Nuevo Laredo.

El cuerpo desmembrado fue hallado en el monumento a Cristóbal Colón, ubicado en las principales avenidas de esa ciudad fronteriza, con las piernas y el tronco arrojados en el césped, mientras que la cabeza fue colocada en un macetero, acompañada de un tablero de computadora, ratón, cables, audífonos y bocinas.

Según la Fiscalía, en el mensaje se destacaba que Macías, que firmaba como “La nena de Laredo”, utilizaba las redes sociales para hacer denuncias contra un grupo criminal.

El pasado 13 de septiembre, otros dos jóvenes fueron asesinados y colgados en un puente peatonal en esa ciudad del estado de Tamaulipas, presuntamente por utilizar las redes sociales en internet para comentar situaciones de riesgo tras la lucha que sostiene el gobierno de México con el crimen organizado.","Mon, 26 Sep 2011 07:00:00 GMT",https://assets.cdnelnuevodiario.com/legacy/1317011682_reportera.jpg,"['el', 'en', 'mexicana', 'fue', 'las', 'decapitan', 'la', 'sociales', 'y', 'redes', 'macías', 'reportera', 'que']", 
8,8,FL-2011-000133-MEX,“La gente de Nueva Orleans sigue fielmente la serie y la ve como terapia” - El País.com (España),https://elpais.com/diario/2011/09/27/radiotv/1317074404_850215.html,"Wendell Pierce en 'Treme'.

Al actor Wendell Pierce (1962) le habría encantado dedicarse a la música jazz con la que se crió en Nueva Orleans. A esas melodías y ritmos que son el alma de una ciudad machacada en agosto de 2005 por el huracán Katrina. Casi 2.000 personas murieron y miles tuvieron que ser evacuadas por el paso de la tormenta y las inundaciones causadas por la ruptura de los diques que detienen el agua del mar en la pantanosa desembocadura del Misisipi. El desastre se multiplicó por las deficiencias en la construcción de los diques y por una lenta e inadecuada reacción de las autoridades. Todo esto se ve reflejado en la serie Treme, cuya segunda temporada estrenó el domingo pasado TNT (dial 24 de Digital +), en la que, a través de un mosaico de personajes y de la música, se cuentan los años posteriores al Katrina. Uno de sus protagonistas es Antoine Batiste -interpretado por Pierce- un trombonista que, como la ciudad, tiene que rehacer su vida. ""No se lo deseo ni a mi peor enemigo. Hay que levantarse y seguir adelante"", dice Pierce en conversación telefónica desde Nueva Orleans.

La nueva temporada sucede 14 meses después del 'Katrina'

A Batiste ""vamos a verle luchar por mejorar su vida"", adelanta el actor

Pierce ha participado en más de 70 películas y series de televisión, casi siempre como actor secundario. Ha sido el escritor, periodista y productor David Simon el que le ha lanzado a la primera fila gracias a dos series de HBO: Treme y The wire (continuamente citada por la crítica como una de las mejores de la historia de la televisión). ""Simon es un gran escritor, capaz de encontrar lo extraordinario en lo ordinario. Lo hace con una realidad y autenticidad que la gente aprecia"", alaba el actor. ""Tiene una humanidad muy específica. Y cuanto más específico eres, más universal se convierte la historia que cuentas"".

El actor sufrió el paso del Katrina en primera persona. Se encontraba en Nueva Orleans aquel verano de vacaciones con su familia durante un descanso del rodaje de The wire: ""Dije, aguantemos hasta que sea obligatoria la evacuación. Se convirtió en obligatoria y nos dimos cuenta de que era algo serio. Perdimos todo, la casa donde crecí quedó destruida"". En los meses que vinieron después las compañías de seguros hicieron su agosto. ""Mi padre pagó a su aseguradora durante 50 años y todo lo que consiguió fueron 400 dólares. Estuvimos un año intentado volver hasta que pudimos reconstruir la casa"". Según Pierce, la gente de Nueva Orleans es ""seguidora leal de la serie, que ve como terapia"". ""Parece que Nueva Orleans no tiene suerte"", dice Pierce, que no oculta su veneración por la capital cultural del sur de EE UU. ""Uno tiene que asumir en la vida que van a ocurrir tragedias. El valor está en saber actuar ante la cara del miedo. Mientras todas esas cosas ocurran en Nueva Orleans, que es una gran ciudad y tiene una gran cultura, más importante es reaccionar"".

La segunda temporada de Treme transcurre 14 meses después del desastre, cuando vuelve la gente que quiere luchar por su ciudad. ""Todos los personajes se dan cuenta de que va a ser un camino muy largo, más difícil de lo esperado"". A Batiste ""vamos a verle luchar por mejorar su vida"", adelanta el actor.

Desde su fundación a principios del siglo XVIII, por Nueva Orleans han pasado franceses, españoles, indios nativos y esclavos traídos de África. Una mezcla cultural que ha devenido en el gusto por el buen vivir, la música y la comida, como se aprecia en la serie. Como se ve en Treme, ""es un lugar de celebración de la vida a pesar de todas las penalidades"". La celebración en Nueva Orleans se hace sobre todo a través de la música. Tanto de la vida como de la muerte. El mejor ejemplo es 'la segunda fila' -punto de conexión de los personajes en la serie-, que son desfiles dominicales por los barrios o cortejos fúnebres, con una banda al frente. ""Cuando creces en esta Nueva Orleans conoces la música"", comienza a contar Pierce sobre su pasión y base de la serie. Aunque su personaje es un reconocido trombonista, Pierce nunca había tocado antes música. ""Ha sido difícil para mí aparentar ser un intérprete"". Toda su pasión musical la ha podido canalizar a través de los amigos con los que creció, músicos como Wynton y Branford Marsalis o Terence Blanchard.

Ahora se estrena en España la segunda temporada, aunque todo va encaminado a al menos cinco: ""En EE UU vamos ya hacia el rodaje de la tercera. No sabemos hasta dónde llegaremos. Solo David Simon lo sabe"".","Mon, 26 Sep 2011 07:00:00 GMT",https://imagenes.elpais.com/resizer/ZMJKSSBidwWqhlv6IKpAAZTCzDo=/1200x0/arc-anglerfish-eu-central-1-prod-prisa.s3.amazonaws.com/public/KMNWJPHUCDGSZJ6NMRFOAMNO5E.jpg,"['que', 'por', 'su', 'el', 'serie', 'nueva', 've', 'gente', 'en', 'se', 'orleans', 'la', 'y', 'fielmente', 'una', 'sigue', 'terapia']", 
9,9,FL-2011-000133-MEX,- Hilary mantendr� clima lluvioso en sur y centro - El Universal.mx,https://archivo.eluniversal.com.mx/notas/796000.html,,"Sat, 24 Sep 2011 07:00:00 GMT",,[], 
