,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2012-000039-CHL,Imágenes muestran a Punta Arenas tras su peor inundación en 20 años - Radio Bío-Bío,https://www.biobiochile.cl/noticias/2012/03/14/imagenes-muestran-a-punta-arenas-tras-su-peor-inundacion-en-20-anos.shtml,"El desborde del caudal del río Las Minas causó millonarios daños en la capital de la región de Magallanes, que desde la madrugada del lunes pasado sufrió los efectos de un agresivo sistema frontal.

En los sectores barrio Croata y Playa Norte, los vecinos, locatarios y funcionarios del Estado limpian sus hogares y fuentes de trabajo de la gruesa capa de barro y troncos que dejó el agua.

Imágenes de Daniel Díaz:

[Gallery 1008 not found]","Wed, 14 Mar 2012 07:00:00 GMT",https://media.biobiochile.cl/wp-content/uploads/2012/03/IMG_8669.jpg,"['muestran', 'punta', 'del', 'tras', 'la', 'arenas', 'los', 'su', 'inundación', 'troncos', 'en', 'trabajo', 'y', 'que', 'el', 'imágenes', 'vecinos', 'años', 'sus', 'peor']", 
1,1,FL-2012-000039-CHL,Exigen traslado de más de 2 mil cuerpos que permanecen bajo el agua en un cementerio de Punta Arenas - Radio Bío-Bío,https://www.biobiochile.cl/noticias/2012/03/28/exigen-traslado-de-mas-de-2-mil-cuerpos-que-permanecen-bajo-el-agua-en-un-cementerio-de-punta-arenas.shtml,"Se trata de una situación que data desde febrero de 2011, cuando producto de la exhumación del cuerpo del menor Claudio Monge, se descubrió que su tumba y otras miles de las que fueron enterradas en el Cementerio Parque Cruz Froward estaban cubiertas por agua, la que incluso traspasó los féretros.

Lo anterior debido a una inundación que afecta al subsuelo y que, según familiares, mantiene a cerca de 2700 cuerpos sumergidos. La empresa atribuyó la situación a que parte de las aguas de riego y de lluvia pueden filtrarse a las criptas que se encuentran a más de tres metros de profundidad.

Algunos de los parientes de los difuntos denunciaron que Parque Cruz Frowrad ha retrasado hasta el 2013 los permisos para sacar los restos y trasladarlos a otros recintos, excusándose en que existen problemas técnicos.

Sandra Muñoz, madre de Claudio Monge, manifestó que han tocado las puertas de todas las autoridades sin respuesta alguna, lo que incrementa aún más su dolor.

Otro de los familiares, Jorge Benimelis, denunció que pese a esta situación se les siguen cobrando cuotas y gastos de mantención.

Los familiares cuentan con el respaldo del diputado demócrata cristiano Gabriel Silber, quien informó que la seremi de salud de Magallanes, María Isabel Iduya, será citada a la comisión de salud de la Cámara Baja para explicar la situación del Cementerio Parque Cruz de Froward.

Precisó que la autoridad, en lugar de ayudar a los familiares, ha hecho presentaciones contra los recursos judiciales interpuestos por ellos.

Actualmente rige una orden de no innovar que impide al Cementerio Parque Cruz de Froward seguir realizando innumaciones, esto a la espera de un fallo de la Corte Suprema.

http://www.youtube.com/watch?v=5yzxrNQwfQ8","Wed, 28 Mar 2012 07:00:00 GMT",https://media.biobiochile.cl/wp-content/uploads/2012/03/Exhumacion-21.jpg,"['punta', 'exigen', 'parque', 'del', 'la', 'situación', 'familiares', 'se', 'los', 'mil', 'en', 'traslado', 'más', 'cuerpos', 'y', 'que', 'permanecen', 'el', 'las']", 
2,2,FL-2012-000039-CHL,Empresario habría desviado el agua que secó el Radal Siete Tazas « Diario y Radio U Chile - radio Universidad de Chile,https://radio.uchile.cl/2012/04/12/empresario-habria-desviado-el-agua-que-seco-el-radial-siete-tazas/,"ad6b55929e

276a6695a9

Empresario habría desviado el agua que secó el Radal Siete Tazas Aunque la Fiscalía de Molina se encontraba realizando diligencias para esclarecer la falta de agua que estaba secando el Parque Nacional Radal Las Siete Tazas desde 2011, el regreso del agua recientemente confirmó que se trataba de un desvío desde un fundo colindante. El dueño de El Guanaco había desmentido el hecho, pero organizaciones ambientalistas aseguraron que el delito se cometió para construir una central de paso para electricidad. Daniela Ruiz Jueves 12 de abril 2012 19:57 hrs. Me Gusta Compartir

Desde el año pasado que la Dirección General de Aguas (DGA) y Conaf venía investigando la extraña ausencia de agua en el río Claro que estaba secando el Parque Nacional Radal Siete Tazas, pero no fue hasta ahora que la denuncia sobre un eventual desvío de aguas llegó hasta la Fiscalía de Molina, quedando en manos de María González. La fiscal indicó que se adoptaron una serie de diligencias para aclarar si fue desde el fundo El Guanaco que se intervino el cauce del río en el sector del Parque Inglés, colindante a las Siete Tazas, afectando uno de los afluentes que conduce el agua y dañando seriamente la flora y fauna local. Sin embargo, según Arturo Arroyo del Consejo Comunal Ecológico de Molina, quienes también denunciaron el hecho, el cauce del río recientemente recuperó su caudal normal, por lo que queda en evidencia que el agua estaba siendo desviada. “El dueño del fundo El Guanaco había intervenido el río para desviar las aguas a su propiedad, o sea, ocupada el agua y no la devolvía, eso ocasionó que se secara el río, había solamente agua en algunos pozones donde habían peces moribundos y había un daño ya irreversible”, sostuvo el ambientalista. El propietario del predio, José Iracheta Cartés, quien es dueño de Salmones Colbún y un importante empresario de la zona, había desmentido la denuncia a través de un oficio asegurando que en su propiedad no existía ni se consumía agua del afluente y solo informó la construcción de una zanja para evitar inundaciones. Al respecto, Arturo Arroyo manifestó su extrañeza en que las instituciones a cargo no actuaran antes, considerando el antecedente de que Ichartas había rechazado una inspección de la DGA junto a Carabineros ya noviembre de 2011.

“Para nosotros eso es muy extraño, desde el año pasado que se empezó a investigar y nadie planteó nada, de no ser por la acción ciudadana de la gente de nuestro grupo ambientalista que empezamos a hacer las gestiones y empezaron las autoridades a moverse”, señaló el dirigente. Arroyo acusó que el dueño del fundo El Guanaco habría fabricado un “pretín”, especie de muro de contención de dos metros de profundidad para desviar agua, probablemente con el objeto de instalar una central de paso para producir electricidad. El hecho se encuentra documentado en varias fotografías, por lo que desde el Consejo Comunal Ecológico de Molina señalaron que exigirán todas las sanciones correspondientes para el empresario y las organizaciones que no actuaron a tiempo, ocasionando graves daños en el monumento natural de Las Sietes Tazas. “Queremos que se investigue bien a las personas que debieron tomar las acciones pertinentes oportunamente y no las tomaron, porque se puede repetir en el futuro”, denunciaron. (Foto: Consejo Ecológico Comunal de Molina)

Desde el año pasado que la Dirección General de Aguas (DGA) y Conaf venía investigando la extraña ausencia de agua en el río Claro que estaba secando el Parque Nacional Radal Siete Tazas, pero no fue hasta ahora que la denuncia sobre un eventual desvío de aguas llegó hasta la Fiscalía de Molina, quedando en manos de María González. La fiscal indicó que se adoptaron una serie de diligencias para aclarar si fue desde el fundo El Guanaco que se intervino el cauce del río en el sector del Parque Inglés, colindante a las Siete Tazas, afectando uno de los afluentes que conduce el agua y dañando seriamente la flora y fauna local. Sin embargo, según Arturo Arroyo del Consejo Comunal Ecológico de Molina, quienes también denunciaron el hecho, el cauce del río recientemente recuperó su caudal normal, por lo que queda en evidencia que el agua estaba siendo desviada. “El dueño del fundo El Guanaco había intervenido el río para desviar las aguas a su propiedad, o sea, ocupada el agua y no la devolvía, eso ocasionó que se secara el río, había solamente agua en algunos pozones donde habían peces moribundos y había un daño ya irreversible”, sostuvo el ambientalista. El propietario del predio, José Iracheta Cartés, quien es dueño de Salmones Colbún y un importante empresario de la zona, había desmentido la denuncia a través de un oficio asegurando que en su propiedad no existía ni se consumía agua del afluente y solo informó la construcción de una zanja para evitar inundaciones. Al respecto, Arturo Arroyo manifestó su extrañeza en que las instituciones a cargo no actuaran antes, considerando el antecedente de que Ichartas había rechazado una inspección de la DGA junto a Carabineros ya noviembre de 2011.

“Para nosotros eso es muy extraño, desde el año pasado que se empezó a investigar y nadie planteó nada, de no ser por la acción ciudadana de la gente de nuestro grupo ambientalista que empezamos a hacer las gestiones y empezaron las autoridades a moverse”, señaló el dirigente. Arroyo acusó que el dueño del fundo El Guanaco habría fabricado un “pretín”, especie de muro de contención de dos metros de profundidad para desviar agua, probablemente con el objeto de instalar una central de paso para producir electricidad. El hecho se encuentra documentado en varias fotografías, por lo que desde el Consejo Comunal Ecológico de Molina señalaron que exigirán todas las sanciones correspondientes para el empresario y las organizaciones que no actuaron a tiempo, ocasionando graves daños en el monumento natural de Las Sietes Tazas. “Queremos que se investigue bien a las personas que debieron tomar las acciones pertinentes oportunamente y no las tomaron, porque se puede repetir en el futuro”, denunciaron. (Foto: Consejo Ecológico Comunal de Molina)","Thu, 12 Apr 2012 07:00:00 GMT",https://radio.uchile.cl/wp-content/uploads/2012/04/579028_3465080701746_1112867966_3244392_496525841_n-e1334274964139.jpg,"['agua', 'el', 'en', 'secó', 'se', 'del', 'las', 'para', 'tazas', 'la', 'y', 'radio', 'radal', 'habría', 'empresario', 'que', 'siete']", 
3,3,FL-2012-000039-CHL,Ferreterías de Punta Arenas reconocen falta de stock en algunos productos | ELPINGUINO.COM - El Pingüino,https://elpinguino.com/noticias/122994/Ferreteras-de-Punta-Arenas-reconocen-falta-de-stock-en-algunos-productos,"Luego del impacto que produjo en más de 750 familias el desborde del Río Las Minas, son miles los magallánicos que han trabajado en labores de limpieza para “levantar Punta Arenas”. Con el objetivo de realizar estos trabajos y prepararse para el invierno, los magallánicos han llegado hasta las distintas ferreterías para comprar botas de goma, trajes de agua, palas y otros implementos de limpieza.Al consultar en ferreterías de la comuna, reconocen que han experimentado un aumento sustancial en las ventas, que esperan se mantengan en los próximos días.Al realizar la proyección, los empresarios ferreteros señalaron que a futuro las ventas de productos relacionados con la construcción y reparación aumentarán de la misma manera.María Paz Durán, de la Ferretería El Águila, aseguró que “los productos más vendidos se han visto en cosas para la limpieza: palas, botas, carretillas”. Agregó que se han aumentado las ventas en iluminación, y en maquinaria se vendieron motobombas.Mientras que en relación a la reparación, Durán comentó que “obviamente va a haber una mayor demanda con respecto del tema. El Serviu está manejando ese tema y se van a ver involucradas las ferreterías, pero se está trabajando en un programa para el tema de la reconstrucción”.Por su parte, Francisco Pizarro, de Sodimac, coincidió con Durán y aseguró que en los próximos días deberían aumentar las ventas de materiales de construcción. Pizarro aseguró que “durante los días de la inundación, los sacos para escombros y pala, los vendimos inmediatamente. En el caso de las botas de agua, quedamos quebrados, que es cuando quedamos sin nada”. Agregó que paulatinamente han aumentado las ventas de materiales de construcción y de limpieza.Aclaró que luego de la inundación bajó la venta en general, pero aumentó en productos que eran necesarios.En relación a la cantidad de los productos en stock, Durán manifestó que “estamos con el abastecimiento normal, obviamente van a haber algunas cosas que va a haber que reforzar, pero como va a estar manejado a través de un catastro que es manejado por el Serviu se va a tratar de adelantar y traer los productos que van a tener mayor demanda”. En este sentido, proyectó que la mayor demanda podría darse en maciza y palos, dado que hay muchas viviendas de madera en el sector, revestimiento externos y principalmente recubrimientos de piso.Mientras que en Sodimac, si bien hay algunos productos que se encuentran agotados, ya se han hecho las solicitudes. “No sólo por la inundación, sino porque estamos comenzando el invierno”, dijo. Los pedidos llegan en diez días.Rodolfo Córdova, de Ferretería Las Américas, explicó que las ventas no han aumentado tanto después de la inundación. “Creo que no hemos aumentado fuertemente, porque no estábamos tan abastecidos de los artículos que se necesitaban como muchos de los comerciantes en la zona”.A juicio, de Córdova se requerían palas, botas, trajes de agua, y eso se acabó, pero era poco el stock que teníamos, por lo que no ha incidido mayormente en las ventas.Agregó que se hicieron los pedidos, lo que debería demorar entre 10 y 15 días en llegar a la región. A esa fecha espera que la demanda se haya normalizado, es por esta razón que se pidió la cantidad habitual de productos.","Sat, 17 Mar 2012 07:00:00 GMT",https://elpinguino.com/uploads/imagenes/9b825d7e2f4a9d0094cb931049351f9c.jpg,"['reconocen', 'productos', 'el', 'punta', 'arenas', 'en', 'se', 'falta', 'ferreterías', 'han', 'algunos', 'las', 'la', 'y', 'stock', 'los', 'que']", 
4,4,FL-2012-000039-CHL,Ahora le toco a Huatacondo: Lluvias e inundaciones afectan a 60 pobladores - El MorroCotudo,https://www.elmorrocotudo.cl/noticia/sociedad/ahora-le-toco-huatacondo-lluvias-e-inundaciones-afectan-60-pobladores,,"Tue, 13 Mar 2012 07:00:00 GMT",https://cdn.elmorrocotudo.cl/sites/elmorrocotudo.cl/files/imagecache/opengraph/imagen_noticia/alud_huatacondo.jpg,"['toco', 'inundaciones', 'ahora', '60', 'lluvias', 'pobladores', 'afectan', 'le', 'huatacondo']", 
5,5,FL-2012-000039-CHL,Mayol Vs Salazar: las tesis en pugna para explicar el movimiento estudiantil - El Mostrador,https://m.elmostrador.cl/noticias/pais/2012/04/02/mayol-vs-salazar-las-tesis-en-pugna-para-explicar-el-movimiento-estudiantil/,,"Mon, 02 Apr 2012 07:00:00 GMT",,[], 
6,6,FL-2012-000039-CHL,GASCO Magallanes implementa plan de atención a clientes residenciales afectados por emergencia | ELPINGUINO.COM - El Pingüino,https://elpinguino.com/noticias/123173/GASCO-Magallanes-implementa-plan-de-atencin-a-clientes-residenciales-afectados-por-emergencia,,"Thu, 22 Mar 2012 07:00:00 GMT",https://elpinguino.com/uploads/imagenes/3c781f1eb8f537cb50f7bf9468d33c82.png,"['por', 'gasco', 'atención', 'afectados', 'clientes', 'residenciales', 'emergencia', 'magallanes', 'plan', 'implementa']", 
7,7,FL-2012-000039-CHL,Lluvias causan anegamientos y desborde de pequeños canales en Lebu - Radio Bío-Bío,https://www.biobiochile.cl/noticias/2012/03/19/lluvias-causan-problemas-de-anegamiento-y-desborde-de-pequenos-canales-en-lebu.shtml,"La lluvia caída en la Región del Bío-Bío causó anegamientos en algunas calles de las poblaciones José Miguel Carrera y Esmeralda, en Lebu. También se registró el desborde de dos pequeños canales ubicados en la calle Luis Cruz Martínez y Prolongación Freire, los que produjeron anegamientos en las casas contiguas. Hasta estos sectores se desplegaron los equipos de emergencia del municipio local para prestar apoyo y solucionar los problemas surgidos a raíz del mal tiempo.

Estas primeras lluvias permitieron conocer a los encargados de emergencia, las zonas más sensibles y propensas a causar problemas a raíz de las lluvias.

Por esta razón, se hizo un llamado a los vecinos a cooperar en la mantención de las zanjas, cunetas, canales y colectores de aguas lluvias, a no depositar basuras en estos lugares, ya que muchas veces las inundaciones se producen porque los colectores de aguas lluvias están colapsados por los desechos.

Ante emergencias producidas por los efectos del sistema frontal y para solicitar la ayuda de los equipos de emergencia municipales, deben contactarse en horarios de oficina al numero telefónico 2888763, a los números de emergencia de Carabineros (133) o de Bomberos (132) en todo horario, quienes tienen coordinación directa con los equipos de emergencia municipales.","Mon, 19 Mar 2012 07:00:00 GMT",https://media.biobiochile.cl/wp-content/uploads/2012/03/lluvia1.jpg,"['en', 'lluvias', 'canales', 'se', 'lebu', 'del', 'pequeños', 'las', 'la', 'equipos', 'y', 'desborde', 'emergencia', 'anegamientos', 'los', 'causan']", 
8,8,FL-2012-000039-CHL,"Violencia, movilizaciones y ciudadanía - El Mostrador",https://m.elmostrador.cl/noticias/opinion/2012/03/27/violencia-movilizaciones-y-ciudadania/,,"Tue, 27 Mar 2012 07:00:00 GMT",,[], 
9,9,FL-2012-000039-CHL,Calceta en pánico porque agua de presa la inundaba más de 80 horas - El Universo,https://www.eluniverso.com/2012/03/21/1/1447/calceta-panico-porque-agua-presa-inundaba-mas-80-horas.html/,"Vía que conecta con Portoviejo también está a punto de cortarse, en tramo recién hecho.

El mercado, el parque, los accesos al hospital y el 80% de los domicilios de Calceta, cabecera cantonal de Bolívar, estaban inundados por más de 80 horas, hasta las 18:00 de ayer. El agua provenía de las lluvias y, sobre todo, de la presa La Esperanza, que estaba rebosando al máximo de su capacidad y evacuaba hasta 180 metros cúbicos por segundo hasta la tarde.

La población estaba atemorizada al atardecer, pues se anunciaba que anoche de la represa se iban a aflojar 240 metros cúbicos de agua por segundo, por lo que el nivel de inundación subiría unos 50 cm más, por encima del 1,50 metros que tenían algunos sectores.

A esta situación se sumaba la destrucción de un tramo de carretera recién reconstruida, con hormigón, de la ruta Pimpihuasí-Junín, que comunica a Calceta con Portoviejo, ciudad que también registró una inundación en la salida a Manta. Para completar el cuadro de desastre, que fue constatado por el presidente Rafael Correa ayer en la tarde, el cantón Chone estaba inundado por décima vez en lo que va del año.

Indudable que la desgracia mayor la soportaba Calceta, donde la tarde de ayer empezó a evacuarse a 30 personas de las orillas del río Carrizal, que desciende desde la presa La Esperanza. Por eso, la reacción de los calcetenses fue contra Senagua, entidad del Estado que tiene a cargo el sistema de represas.

Publicidad

Joselo Álava, jefe de una de las familias inundadas, relató que este era el peor fenómeno de las últimas dos décadas. “La situación que estamos viviendo es crítica y eso por falta de planificación de parte de Senagua, que no le da el mantenimiento en la época de verano a la represa. Ahora vivimos las consecuencias, las pérdidas son irreparables y cuantiosas y no hay quién responda”, señaló.

El alcalde Ramón González manifestó que hasta la mañana de ayer salían de la presa 180 metros cúbicos por segundo, por dos compuertas, y la cota estaba en 65,40 metros (la máxima es 66 metros); y que el COE provincial, presidido por la gobernadora Susana Dueñas, resolvió evacuar más agua por las dos compuertas.

Los sectores más afectados eran San Felipe, El Morro, Limón, Arrastradero, Cabello, Barrio Norte, Santa Martha, El Corozo, Sauce y calles centrales como Ovidio Villamar, Bolívar, 13 de Octubre, Chile, Domingo Proaño e incluso llegó hasta el mercado, la plaza cívica y el hospital.

Chone y Portoviejo

La ciudad de Chone sufrió nuevamente por la crecida de los ríos Grande, Mosquito y Garrapata, afluentes del Chone, presentándose entre el lunes y ayer la décima inundación. Mientras, malestar y preocupación provocó un deslizamiento de la vía Pimpihuasí-Junín, que presenta un hundimiento.

Las lluvias también siguieron complicando a Portoviejo. La aparición de la quebrada de río de Oro anegó las ciudadelas San Jorge y San Gregorio.

Afectados narran su realidad

“Cada vez nos inundamos más pero nadie nos ayuda. Pedimos que nos vengan a ayudar a evacuar el agua pero esa respuesta es nula, debemos sobrevivir por nuestra cuenta. Ojalá que nuestros testimonios sirvan de eco en medio de esta inoperancia de autoridades”.

Jessenia Jaramillo,

cdla. La Paz, Portoviejo

Publicidad

“Se ha subido más el pase de agua en la represa (La Esperanza), estaría en unos 150 metros cúbicos, esto originaría que la ciudad en la actualidad se encuentre llena y con probabilidad de que se llene más”.

Jacinto Párraga,

Calceta, Manabí

“Vivimos con los moscos y con el dengue, y si uno busca atención en los subcentros esa respuesta es lenta. Eso quizás sea lo menos tortuoso que pasamos aquí cada vez que tenemos de visita a la estación invernal, pues las obras improvisadas o abandonadas también nos pasan factura”.

Ana Mendoza,

cdla. Florón 1, Portoviejo

“Las lluvias nos causan daño en la salud y aquí la fumigación es nula; los moscos son como vecinos de nosotros y los casos de dengue aumentan. Sencillamente vivimos con el problema pero no nos dan solución. Ya de tanto reclamo nos cansamos; queremos soluciones. Esta vía está completamente llena de lodo, los carros no quieren ni entrar y uno solo ingresa a pie”.

Antonio Carrillo

Los Helechos, Portoviejo

“Cada vez que llueve nos inundamos hasta con aguas servidas, las alcantarillas colapsan y entonces las heces están en las calles. La salud de nuestros vecinos empeora. Queremos ayuda urgente, por Dios. Qué debe pasar para que nos atiendan”.

Maribel Cevallos,

cdla. San Alejo, Portoviejo

“Es lamentable la situación que aquí se vive. De lo que tengo conocimiento, es más crítica que el año del fenómeno El Niño (1998)”.

Filemir Zambrano,

sitio El Ají, Calceta","Wed, 21 Mar 2012 07:00:00 GMT",https://www.eluniverso.com/resizer/MWMUox2HL6ShXzdSDmgsxmHNGi0=/456x336/smart/filters:quality(70)/cloudfront-us-east-1.images.arcpublishing.com/eluniverso/VPRAQNM5LNFFHC6FPOZFXVCTNM.jpg,"['que', 'por', 'agua', 'pánico', 'el', 'en', 'nos', 'más', 'las', 'porque', 'la', 'calceta', 'y', 'los', 'horas', 'presa', 'inundaba']", 
