,ID,event_id,article_title,article_link,article_content,publishing_date,article_image,article_keywords,article_relevance
0,0,FL-2014-000084-ARG,Confirmaron 89 muertos por la inundación del 2 de abril de 2013 en La Plata - Télam,https://www.telam.com.ar/notas/201407/69935-la-plata-justicia-89-muertos-inundacion.html,,"Fri, 04 Jul 2014 07:00:00 GMT",http://www.telam.com.ar/advf/imagenes/2013/04/515c80f67d946_400x266.jpg,"['por', '89', 'en', 'abril', 'del', 'la', 'plata', 'muertos', 'confirmaron', 'inundación']", 
1,1,FL-2014-000084-ARG,"Inundaciones en Paraguay, Brasil y Argentina - El País.com (España)",https://elpais.com/internacional/2014/06/30/album/1404155391_744828.html,"Inundaciones en Paraguay, Brasil y Argentina

Más de 360.000 sudamericanos han tenido que ser evacuados en los últimos días por inundaciones en Paraguay, el sur de Brasil y el noreste de Argentina.","Tue, 01 Jul 2014 07:00:00 GMT",https://ep00.epimg.net/internacional/imagenes/2014/06/30/album/1404155391_744828_1404157202_album_normal.jpg,"['inundaciones', 'el', 'en', 'tenido', 'últimos', 'sudamericanos', 'y', 'paraguay', 'argentina', 'sur', 'brasil', 'fotos']", 
2,2,FL-2014-000084-ARG,"En ocho días, la inundación llegaría a Santa Fe - Clarín.com",https://www.clarin.com/ciudades/santa-fe-parana-crecida-rios-inundacion_0_S1oNuIoqPmx.html,"Los 32,9 metros que hoy registra el nivel del río Iguazú, en Misiones, encendió la alerta en toda la cuenca del río Paraná por lo que el Instituto Nacional del Agua (INA) comunicó que a mediados de julio el nivel del río Paraná en Santa Fe podría alcanzar los seis metros.

La noticia se dio a conocer ayer, luego de que las insistentes lluvias que se registran en la zona sur de Brasil y el este de Paraguay provocaran que el nivel del río en Puerto Iguazú se duplique en una semana y se eleve a los 32,9 metros en el día de ayer. Además, pronostican que las lluvias continurán en esa zona.

Según el informe oficial del INA, por estas precipitaciones en la cuenca alta del Paraná, el nivel del río superaría los 5,85 metros a mediados de julio (alrededor del día 20) en Santa Fe. De concretarse la onda creciente, obligará a la evacuación de las zonas más bajas y sensibles de esta ciudad. En el hidrómetro del Puerto de Santa Fe, el río midió ayer 3,55 metros.

Juan Borus, ingeniero civil y miembro del INA, destacó que ""habrá una propagación relativamente rápida del agua en el tramo argentino del río"".

Desde la represa de Yacyretá, señalaron que ""actualmente se encuentra en pleno desarrollo una importante crecida del río Paraná, cuyo origen han sido las copiosas lluvias que se han registrado en las cuencas de los ríos Iguazú y Paraná superior, con valores acumulados de hasta 300 milímetros durante los últimos días"". En un comunicado, la entidad binacional agregó que ""los embalses de los ríos Paraná e Iguazú se encuentran en el máximo de su capacidad, lo cual no hay posibilidades de atenuación frente a nuevos eventos de precipitaciones"". .

Por su parte, desde la municipalidad santafesina no descartan comenzar con la evacuación de familias en las próximas horas de los barrios La Vuelta del Paraguayo y Colastiné Sur. ""Vamos a tener unos días de trabajo intenso"", reconoció el intendente José Corral.","Sat, 12 Jul 2014 07:00:00 GMT",https://images.clarin.com/2014/07/12/BJydbG3Qg_600x338.jpg,"['paraná', 'días', 'el', 'en', 'se', 'del', 'ocho', 'la', 'los', 'llegaría', 'fe', 'río', 'y', 'santa', 'que', 'inundación']", 
3,3,FL-2014-000084-ARG,Impactantes imágenes de la inundación que azota a Misiones: más de 6 mil personas evacuadas - InfoBAE.com,https://www.infobae.com/2014/06/29/1576885-impactantes-imagenes-la-inundacion-que-azota-misiones-mas-6-mil-personas-evacuadas/,"@joromcas 162

Jorge Castro 162

El gobernador de Misiones se refirió hoy al desastre por la creciente del río Uruguay y los desbordes de arroyos que ya dejaron a miles de personas damnificadas en la provincia mesopotámica.

En comunicación con radios de Posadas desde la localidad de San Javier, uno de los municipios afectados por el desmadre del río, Closs reclamó: ""Si bien declaramos la emergencia económica en la provincia, es necesario un pronunciamiento nacional por la situación de desastre"".

Además Closs adelantó que solicitará a la Nación ""el pago de una doble Asignación Universal por Hijo, además de recursos para el sector agropecuario y las tareas de reconstrucción de las redes

viales, alcantarillas, puentes"".

@RafaMorgenstern 162

El gobernador de Misiones puntualizó que en forma global puede decir que las pérdidas ascienden a unos 500 millones de pesos"", en tanto que ubicó a la cantidad de damnificados está entre 6 mil y 6.500 personas, aunque el dato positivo es que no se registraron víctimas mortales.

Con respecto a una evaluación de tipo técnica que permita un diagnóstico de la situación, Closs dijo que ""por ahora es imposible"" realizarla. ""Evaluamos lo que podemos, ya que hay sectores del territorio provincial al que no pudimos acceder"", explicó.

@joromcas 162

En ese sentido, Closs apuntó: ""Ni siquiera por vía aérea podemos llegar a algunas localidades que está cercadas por el agua, debido al mal tiempo, pero el problema no solamente está en la zona ribereña del río Uruguay, sino en el interior del territorio por el embalsado de los arroyos"".

Además el mandatario provincial destacó las ""muestras de solidaridad del pueblo de Misiones"", que multiplicó las campañas de recolección de ropa, colchones, alimentos y agua para ayudar a los damnificados, y precisó que ""los más necesario ahora es ropa de abrigo, alimentos y colchones"".

@joromcas 162

El gobierno misionero informó a las 7 que en total fueron evacuadas 6.214 personas que conforman 1.267 familias, en tanto que 926 viviendas fueron destruidas por el agua del río Uruguay y arroyos interiores, principalmente en las localidades de El Soberbio, Colonia Aurora, Panambí, San Javier y Alba Posse.","Sun, 29 Jun 2014 07:00:00 GMT",https://www.infobae.com/new-resizer/YnZS3e1e3VMoR7BuVb8i3YTbd68=/1200x628/filters:format(jpg):quality(85)//arc-anglerfish-arc2-prod-infobae.s3.amazonaws.com/public/7YSTYGBAT5GTBNONHSHWA4Q4UI,"['por', 'misiones', 'evacuadas', 'el', 'mil', 'impactantes', 'en', 'personas', 'del', 'más', 'las', 'la', 'y', 'imágenes', 'río', 'los', 'que', 'inundación']", 
4,4,FL-2014-000084-ARG,Formosa: creció el río y la inundación dejó dos muertos - Clarín.com,https://www.clarin.com/sociedad/Formosa-crecio-inundacion-dejo-muertos_0_r1AMqTjcDQg.html,"La inundación de la ciudad de Clorinda que hoy afectó a gran parte de su territorio por la crecida del río Paraguay y luego de intensas lluvias causó al menos dos muertos, mientras la cantidad de evacuados ascendía a alrededor de 4.500.



Los fallecidos como consecuencia de la inundación, que coincidió con un temporal de lluvia durante el que cayeron 120 milímetros de agua, son un hombre de 35 años de nacionalidad paraguaya que navegaba en bote por una zona anegada y un funcionario de la empresa estatal de aguas que realizaba tareas a causa de las dificultades causadas por la situación.



En la zona de la ruta nacional 11, acceso a Puerto Pilcomayo, el sereno de un despachante de Aduanas cayó al agua al ""dar vuelta campana un bote a remo"" que ocupaba con su pareja en una zona anegada ""de unos 3 metros de profundidad"", contaron los testigos. Si bien el hombre fue rápidamente rescatado y auxiliado con maniobras de resucitación por parte de una médica, su vida no pudo ser salvada.



Durante la trágica jornada también falleció un funcionario de la empresa estatal REFSA-Agua, Tomás Ramos, de 49 años, que sufrió un ACV mientras realizaba tareas en medio de la crisis hídrica que soporta Clorinda.

Mientras tanto, el intendente de Clorinda, Manuel Celauro, decretó asueto educativo ""por la grave situación que atraviesa la población"" y se han asignado siete escuelas ""para albergar evacuados"" explicó el jefe comunal. Por el importante caudal de agua que anegó sectores urbanizados de la segunda ciudad de la provincia, ""una de las estaciones de bombeo colapsó y por ello se han dispuesto el despliegue de equipos alternativos"" explicó el ministro de Gobierno provincial, Jorge González. El funcionario estimó además que ""en 48 a 72 horas se estaría normalizando el cuadro de situación"".

Fuente: Télam","Fri, 27 Jun 2014 07:00:00 GMT",https://images.clarin.com/2014/06/27/r17PXOlVg_600x338.jpg,"['por', 'el', 'zona', 'en', 'se', 'dos', 'la', 'y', 'creció', 'río', 'formosa', 'dejó', 'muertos', 'una', 'su', 'que', 'inundación']", 
5,5,FL-2014-000084-ARG,Las imágenes más impactantes de la realidad argentina - Primera Fuente,http://www.primerafuente.com.ar/noticia/599819-las-imagenes-mas-impactantes-de-la-realidad-argentina,"La muestra de Argra se lanzó en Carlos Paz y espera recorrer Tucumán, Mendoza, Río Negro y Neuquén una vez que deje la ciudad de Buenos Aires. Los hechos más relevantes de 2013.

La asociación argentina Argra celebrará la XXV Muestra anual de fotoperiodismo -del 17 de julio al 17 de agosto en el Palais de Glace-, con 280 imágenes tomadas durante el 2013 por reporteros gráficos de todo el país, dando forma a un mapa visual de los hechos periodísticos más relevantes para Argentina en el último año.

La actualidad del mundo de hace un año atrás tomará el palacete porteño, y los visitantes podrán repasarla siguiendo instantáneas políticas, económicas y deportivas, escenas de la vida cotidiana y tomas de las catástrofes ambientales o hechos artísticos más destacados del globo.

El acuartelamiento policial que en diciembre sacudió ciudad de Córdoba con saqueos masivos; llamas devorando un edificio en pleno centro de Rosario o la ciudad de La Plata tapada por el agua, en la inundación que dejó un resultado oficial de 89 muertos, son algunas de las imágenes más impresionantes.

Las fotografías fueron seleccionadas por el comité editor que integraron Alejandro del Bosco, Alfredo Herms, Emiliana Miguelez, Héctor Río y Jorge ""Coco"" Yáñez, entre 3000 envíos de trabajadores de prensa, informaron los organizadores desde la Asociación de Reporteros Gráficos de la República Argentina (ARGRA).

Los enfrentamientos entre civiles y uniformados que marcaron la previa al Mundial de Fútbol que se juega por estos días en Brasil; el Papa Francisco rompiendo el protocolo en Río de Janeiro o el Premio Word Press de Deportes, obra de Emiliano Lasavia, que muestra a un polista debajo de su caballo en plena carrera, son otros de los fotogramas que sorprenderán al espectador.

Un policía apuntando a cámara en la represión contra el desalojo del neuropsiquiátrico Borda; un campo patagónico desolado tras un incendio; o un skater saltando frente a tachos de basura en llamas, durante los reclamos espontáneos contra los cortes de luz el último verano porteño, se suman a las imágenes, algunas inéditas, otras publicadas en radios y revistas del mundo, y otras más que forman parte de distintos ensayos periodísticos.

María Eugenia Cerutti, Dafne Gentinetta, Silvina Salinas, Pisarenko Natacha, Celina Mutti, Lucía Merle, Lorena Lucca, Claudia Conteris, Alejandra Bartoliche, Soledad Aznarez, Lucía Baragli y Amdan Daniela son algunas de las fotoperiodistas que participan de esta edición.

La muestra -que se lanzó en Carlos Paz y espera recorrer Tucumán, Mendoza, Río Negro y Neuquén una vez que deje la ciudad de Buenos Aires-, ""es un rompecabezas de la realidad argentina que lleva como portada la imagen de una anciana frente a una gran mesa, donde está secando las fotografías que salvó de sus familiares tras la inundación en La Plata"", dijo el titular de Argra, Ezequiel Torres.

""No se trata de una competencia -advirtió a Télam-, esta exposición responde a la construcción de memoria a través de la documentación de hechos que dan forma al colectivo nacional, y la foto de tapa, de Leo Vaca, tiene que ver con nuestra subjetividad"", una necesidad de cuidado y recuperación.

En esa línea se inscriben 25 años de trabajo que comenzaron con la primera muestra organizada por Argra en plena dictadura militar: ""Toda la construcción desde el 80 para acá significó una gran ganancia en cuanto a calidad y convocatoria, somos la única entidad de Latinoamérica que representa a los reporteros gráficos de un país"", agregó el fotoperiodista.

Para Torres, ""esto tiene que ver con un trabajo duro en distintos frentes, por un lado una representación gremial que no teníamos prevista pero que fue necesaria ante la flexibilización y falta de protección laboral de los trabajadores y, por el otro, un interés por llegar a todas las provincias para la construcción de la memoria colectiva y la dignificación laboral"".

En este marco es que Argra cuenta con un archivo que contiene cerca de cinco mil imágenes recuperadas de todas las muestras realizadas por la organización, que los interesados pueden consultar en el sitio de Internet www.argra.org.ar. La inauguración se realizará el jueves 17 a las 19 en el edificio de Posadas 1725 y la muestra contará con entrada libre y gratuita, indicaron los organizadores.

Entre los expositores se encuentran Matías Sarlo, Mario Quiroga, Juan Macri, Francisco Guillen, Mariano Espinosa, Martín Dimaggio, Alejandro Amdan, Gianni Bulacio, Marcelo y Daniel Cáceres, Daniel Feldman, Nicolás Galuya, Santiago Hafford, Luis Reynoso, Alejandro Kirchuk, Martín Zabala, Hernán Nersesian, Amílcar Orfali, Julio Pantoja y Leandro Teysseire.

Así como Marcelo Aballay, Gustavo Amarelle, Carlos Brigo, Víctor Caivano, Marcos Carrizo, Daniel Dabove, Cesaro De Luca, Marcos Doña, Pablo Dondero, Alejandro Elías, Hernán España, Emmanuel Fernández, Santiago Filipuzzi, Aníbal Greco, Maximiliano Luna, Gonzalo Mainoldi, Fabián Mattiazzi, Pablo Piovano, Daniel Pessah y Alejandro Santa Cruz.","Wed, 09 Jul 2014 03:47:11 GMT",http://www.primerafuente.com.ar/fotos/notas/antes/30470/200x150_E29B7EDL.jpg,"['realidad', 'por', 'el', 'impactantes', 'en', 'se', 'más', 'las', 'la', 'argentina', 'imágenes', 'y', 'una', 'los', 'que']", 
6,6,FL-2014-000084-ARG,Cinco imágenes trascendentales en la historia reciente de Argentina - notimerica.com,https://www.notimerica.com/sociedad/noticia-cinco-imagenes-trascendentales-historia-reciente-argentina-20140721212138.html,"BUENOS AIRES, 21 Jul. (Notimérica/EP) -

""30 años. Fotoperiodismo en democracia"" es la muestra fotográfica que recoge en el Palacio Nacional de las Artes argentino, también conocido como Palais de Glace, más de 350 fotografías en homenaje a las tres décadas de la democracia en el país latinoamericano, con una edición especial de las imágenes más representativas del 2013.

Los dos pisos de historia fotográfica del Palais de Glace han sido fruto de la colaboración entre el Gobierno argentino y el programa Memoria en Movimiento y recogen las fotografías tomadas por los Reporteros Gráficos de la República Argentina (ARGRA).

ARGRA fue creada en 1942 y cuenta con más de 800 profesionales, referentes del periodismo argentino y latinoamericano, según ha publicado la agencia de noticias argentina Infojus. Algunos de estos fotoperiodistas y sus imágenes se encuentran en la siguiente lista:

1. LEO VACA

En la fotografía, Clementina, de 82 años, seca sus fotografías a pocos días de la inundación en la ciudad de La Plata. El 2 y 3 de abril de 2013, la inundación provocó 89 muertos. Un fallo de la Cámara de Apelación confirmó el número de víctimas, obligando al Gobierno a rectificar la cifra que había dado inicialmente.

Además, el fallo estableció el derecho a la verdad colectiva como forma de reparación social. Durante varios meses del año pasado, la morgue dejó de recibir cadáveres, ya que salieron a la luz irregularidades a partir del recuento de víctimas de la inundación.

2. DANIEL CACERES

Durante diciembre de 2013, la práctica de los saqueos se volvió habitual en las calles de Argentina, después de que la cúpula policial de la ciudad de Córdoba fuese expulsada tras descubrirse sus negocios con los capos del narcotráfico local.

Entonces, la provincia de Córdoba inició un paro para reclamar aumentos que generó el efecto en cadena de otras provincias. Sin la Policía en las calles, los saqueos se reprodujeron durante ese mes.

3. CARLOS CERMELE

""Debemos condenar la extorsión de aquellos que portan armas para defender a la sociedad y no para atacarla"", decía la presidenta argentina, Cristina Fernández de Kirchner, en la Plaza de Mayo el día que se cumplían 30 años de democracia.

Mientras, en La Plata, un grupo de policías organizaba piquetes en reclamo de una mejora salarial y extendía el movimiento a otras provincias.

4. JULIO PANTOJA

""Arsenal Miguel de Azcuénaga"" era una unidad militar ubicada en las afueras de la ciudad de San Miguel de Tucumán en la que existió un centro clandestino de detención que funcionó en 1976.

Era el destino final del circuito represivo de la provincia de Tucumán: el último eslabón de todos los centros clandestinos de la provincia.

En la imagen, dos de 'Las Madres de Plaza de Mayo', junto al Equipo Argentino de Antropología Forense, visitaba por primera vez las fosas comunes donde tiraban los cuerpos. Los crímenes se agruparon en la 'Megacausa Arsenales' en la que hubo 400 declaraciones y más de 200 víctimas.

5. GERMÁN GARCÍA ADRASTI

Una protesta bajo las órdenes de la Unión Ferroviaria acabó en disparos en octubre de 2010. El dirigente de la Federación Universitaria de Buenos Aires (FUBA), Mariano Ferreyra, de 23 años, murió por un disparo.

El crimen de Ferreyra dejó de estar impune el 19 de abril de 2013. En dos años y medio, el caso llegó a juicio oral. El veredicto histórico incluyó a miembros de la protesta y a los policías implicados: un total de 14 condenas y tres absoluciones.

En la fotografía, se puede ver la vigilia en honor a Ferreyra la noche anterior a las condenas.

TE PUEDE INTERESAR...

Más de 3.000 bolsas de plástico se convierten en una escultura gigante: de la basura al arte

Diez grandes novelas que han saltado a la televisión","Mon, 21 Jul 2014 07:00:00 GMT",https://img.europapress.es/fotoweb/fotonoticia_20140721212138_1024.jpg,"['trascendentales', 'el', 'historia', 'en', 'cinco', 'se', 'del', 'las', 'la', 'argentina', 'imágenes', 'y', 'años', 'los', 'que', 'reciente']", 
7,7,FL-2014-000084-ARG,El “cementerio inundado” de Epecuén será resguardado - La Nueva Provincia,https://www.lanueva.com/nota/2014-7-3-0-50-0-el-cementerio-inundado-de-epecuen-sera-resguardado,"El “cementerio inundado” de Epecuén será resguardado. La región. La Nueva. Bahía Blanca

En el marco de las acciones que se vienen llevando adelante para preservar el patrimonio cultural, el intendente David Hirtz promulgó la ordenanza que declara como Cementerio Histórico de la Memoria a la necrópolis de Carhué y Epecuén inundada en 1985.

La iniciativa complementa a otras medidas similares, como la declaración de las ruinas de la villa Epecuén como sitio histórico municipal, o la media sanción que dio el Senado bonaerense al proyecto de ley tendiente a incluirlas en el patrimonio cultural provincial.

A partir de la promulgación de la ordenanza, el municipio deberá resguardar el denominado Cementerio Histórico de la Memoria, lo que implica desde efectuar tareas de limpieza en general y ordenar el predio, hasta delimitar los senderos originales y colocar señalización.

Según determinó el Concejo Deliberante, se deberá realizar “un cerco perimetral (en torno a las sepulturas), habilitándose una sola entrada, estipulando horarios y días específicos de visita, como manera de conservación y control de ingreso”.

Asimismo, el Ejecutivo deberá velar para que se cumpla la prohibición de extraer cualquier elemento que forme parte de las sepulturas, y tendrá la obligación de efectuar un relevamiento de tumbas, a fin de realizar “una futura señalización de los difuntos”.

Recibí los Newsletters de La Nueva sin costo Registrar

El antiguo cementerio de Carhué y Epecuén quedó bajo las aguas durante la inundación de 1985 que arrasó a la villa turística, aunque en los últimos años, debido a la sequía y al retiro de las aguas, fue quedando nuevamente al aire libre.

A partir de entonces, cada vez más gente se acerca a las ruinas y a las lápidas semienterradas, lo que ha provocado que en los últimos años el lugar haya sufrido diversos saqueos y roturas.

Según enfatizó el CD, ahora es tiempo de “dar fin a una etapa de desprotección”.

“Desde el punto de vista patrimonial, el cementerio inundado de Carhué–Epecuén refleja la herencia de los momentos más duros de nuestra historia chica, quizá más duros que los mismos momentos fundacionales”, indicaron los ediles.

“Conservarlo explicará y demostrará a las nuevas generaciones cómo una sociedad cambia, crece y aprende de sus errores”, añadieron en los fundamentos.

Por último, señalaron que la conservación del cementerio no persigue únicamente el objetivo de proteger “las señas de identidad” del pueblo carhuense, sino también de resguardar “bienes que tienen un significado cultural”.","Thu, 03 Jul 2014 07:00:00 GMT",https://px.cdn.lanueva.com/072014/1511529104732.jpg?cw=600&ch=365,"['será', 'el', 'resguardado', 'en', 'se', 'cementerio', 'las', 'la', 'y', 'una', 'epecuén', 'inundado', 'los', 'que']", 
8,8,FL-2014-000084-ARG,Exportan hierro argentino desde Sierra Grande con destino a Estados Unidos - Télam,https://www.telam.com.ar/notas/201407/69812-exportaciones-hierro-mineria-mayoral-sierra-grande-estados-unidos.html,,"Thu, 03 Jul 2014 07:00:00 GMT",http://www.telam.com.ar/advf/imagenes/2014/07/53b5aded46370_400x266.jpg,"['argentino', 'grande', 'exportan', 'hierro', 'destino', 'estados', 'desde', 'sierra', 'unidos']", 
9,9,FL-2014-000084-ARG,"El impacto de las inundaciones en Paraguay refleja el cambio climático, según expertos - EFEverde, el periodismo del medio ambiente",https://www.efeverde.com/noticias/el-impacto-de-inundacion-en-paraguay-refleja-el-cambio-climatico-segun-expertos/,"PARAGUAY INUNDACIONES

Las enormes evacuaciones de población por las inundaciones en Paraguay y en menor medida en Brasil y Argentina son otra muestra de los efectos del cambio climático, que eleva la frecuencia e intensidad de eventos climáticos “extremos”, según dijeron a Efe varios expertos.

Hasta ahora hay 240.125 desplazados en Paraguay por las lluvias de los últimos meses, 50.000 en Brasil y 14.000 en Argentina.

Lo llamativo de la actual emergencia no es que el río Paraguay llegue a 7,27 metros en Asunción, la ciudad más afectada, pues es una cota que está dentro de su variabilidad, sino que durante 15 años el caudal no subió de 5 metros, explicó el director de Meteorología e Hidrología, Julián Báez.

Ese largo período de estiaje hizo que sus márgenes se llenaran progresivamente de construcciones precarias de familias pobres, que ocuparon espacios “que son del río”, indicó.

El agravamiento de las sequías es uno de los efectos del calentamiento del planeta debido a la emisión de gases contaminantes que provocan el efecto invernadero.

Jan Van Wambeke, un experto en tierra y agua de la Organización de la ONU para la Agricultura y la Alimentación (FAO), cita como ejemplo la sequía sufrida en el norte y centro de Chile en los últimos años y en el nordeste de Brasil.

“Las zonas secas se hacen más secas y las húmedas más húmedas”, dijo, quien apuntó que en el Caribe el cambio del clima se manifiesta con unos huracanes más frecuentes y más destructivos.

En Paraguay las inundaciones fueron exacerbadas por cuatro tormentas “extremas” registradas este año, en las cuales cayó en cuestión de horas más del doble de las precipitaciones de todo un mes, según Báez.

Una de ellas destruyó varios centenares de casas el 24 de junio en la localidad de Capiatá, cercana a Asunción, y mató a una persona.

“Lo novedoso es la época en que ocurrió, en invierno”, dijo Báez. El invierno austral es la época seca en Paraguay, durante la cual puede haber lluvias, pero de baja intensidad.

Los efectos del cambio climático se agrandan con factores ambientales locales, como la deforestación.

En Paraguay la expansión de los pastos para ganado y los cultivos, en particular los monocultivos de soja y otros granos, ha reducido los bosques de casi 9 millones de hectáreas en 1950 a 1,5 millones de hectáreas actualmente, según el Fondo Mundial de la Naturaleza (WWF), una organización no gubernamental.

Un área forestada aminora el impacto de la gota de lluvia sobre el suelo y favorece su infiltración, mientras que en zonas degradadas las precipitaciones corren superficialmente hacia los cauces, explicó Van Wambeke.

Emilio Ramírez, Asesor en Desarrollo Sostenible y Salud Ambiental de la Organización Panamericana de la Salud (OPS), alertó del “riesgo altísimo” que acarrean las deforestaciones masivas, pues acaban con los humedales y las fuentes de agua.

Los que más sufren, los pobres

Quienes sufren más son los pobres, como se ha puesto de manifiesto en Paraguay.

Ellos son los que vivían en los barrios engullidos por el río en Asunción, donde ahora solo se distinguen los tejados de las viviendas de ladrillo, mientras que las de materiales precarios son ya invisibles.

Muchos de sus residentes habían emigrado a la capital ante la expansión de los latifundios y la falta de apoyo público a la pequeña agricultura familiar.

Los expertos también prevén que el cambio en los regímenes de lluvias también perjudique a los pobres que siguen en el campo, al dañar sus cultivos.

Por ello la FAO impulsa una transformación de la agricultura tradicional a una agricultura “climáticamente inteligente”, mediante un aumento de la productividad y la reforestación, explicó Van Wambeke. “Hay que construir resistencia para enfrentar los efectos extremos” del calentamiento del planeta, dijo.

Al mismo tiempo, siguen las negociaciones entre gobiernos sobre un acuerdo para reducir las emisiones de gases que sustituya al Protocolo de Kioto, cuya próxima cita será una cumbre en Lima en diciembre.

Báez teme que justo en ese mes Paraguay viva inundaciones similares a las actuales, debido a que si las previsiones son correctas y este año se manifiesta el fenómeno de El Niño, el país recibiría el doble o triple volumen de lluvias que lo normal desde octubre.

Será una llamada de atención para que los gobernantes se tomen en serio el medio ambiente. EFEVerde","Sun, 06 Jul 2014 07:00:00 GMT",https://www.efeverde.com/storage/2014/02/5842284.jpg,"['inundaciones', 'expertos', 'el', 'impacto', 'climático', 'en', 'se', 'del', 'según', 'las', 'refleja', 'la', 'y', 'paraguay', 'los', 'que']", 
