id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,children,keyword
18175346074187164,"ᗩᒪᒪ TᕼIᔕ GOᒪᗪIE Oᑎ 😬
-
#explorepage #explore #smile #grillz #gold #goldteeth #diamonds #flooded #tatted #money #guess #stripes #piru #pirulove #gang #rochesterny #atl #la #model #ehvinchi #style #inspiration 
-
👕 guessusa 
👟 off____white 
🦷 14k GOLD B!*%*
🎧 polo.capalot",0,4,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/200444808_543641263305693_6212426497534410377_n.mp4?_nc_cat=108&vs=17909410171896789_1504042576&_nc_vs=HBksFQAYJEdJaUw4Z3ZkYzJKWWNPNEJBSWtfd3hMOF9EWldia1lMQUFBRhUAAsgBABUAGCRHSDc5X3dzRGV1QUJ6NndBQUQ0cVFBbXhjYmtFYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa%2BoZWm6ZTcPxUCKAJDMywXQB8QYk3S8aoYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=1X9fguQ_HAgAX8MlXU7&_nc_ht=video-sea1-1.cdninstagram.com&oh=986ff793547696078eb9e699075805bf&oe=60C91968&_nc_rid=f5fff25252,https://www.instagram.com/p/CQAD-obhKAd/,2021-06-12T01:09:53+0000,,none
18234683665062652,#werefromthecountryandwelikeitthatway #snowsled #boat #waterinboot #countrygirls wear #cowboyboots #underarmour #shorts #backyard #breezyhillfarm #flooded #rain #thunderandlightning #herringtonlake #bluegrass #kentucky #countryliving #countrykids #countrykidsfun #sunset,0,0,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.31694-16/199885162_121488490062974_2389449280820419994_n.mp4?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=tp_GxCDBriIAX_hHuvX&_nc_ht=video-sea1-1.cdninstagram.com&oh=15e38f9d5ce5d4f9fdf48d1d8d884192&oe=60C877B1,https://www.instagram.com/p/CQADTdBn_5X/,2021-06-12T01:04:25+0000,,none
17993960467351995,"Bit of water around🌧 
#ln106hilux #ln106turbo #flooded",0,7,CAROUSEL_ALBUM,,https://www.instagram.com/p/CP__I4MASW4/,2021-06-12T00:20:15+0000,"{'data': [{'id': '18231482992009789'}, {'id': '17854606382539499'}, {'id': '17915727406761704'}]}",flood
17893387520146288,"I probably should have waited for the floodwaters to recede a bit (a bit of wading was required) but it was nice to be back; I had almost forgotten how much I love the Merri Creek.
#merricreek #melbourne #creek #stream #river #flooded #flood #melbourneweather #nature #merricreektrail #backtonature #trees",0,8,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/200151365_931799200989437_9058163419552103481_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=Eqi2OT9g2xoAX8xbarT&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=887c09456c57809421e11afa2d9ec0c3&oe=60C81058,https://www.instagram.com/p/CP_-tuug8aG/,2021-06-12T00:16:33+0000,,flood
17941126444477050,"Swipe right for a CRAZY VIDEO!!
Be wary of a flat roof with scuppers. Who knows how long this lake of water was just sitting on top of this roof?? Clean those scuppers! 
-
#GutterCleaning #RoofCleaning #WindowCleaning #WashingtonState #PNW #PacificNorthwest #Flooded #Lake #WorkingAtHeights #DirtyJobs",1,6,CAROUSEL_ALBUM,,https://www.instagram.com/p/CP_-YIUJvPE/,2021-06-12T00:13:36+0000,"{'data': [{'id': '17911626484752390'}, {'id': '17852127179563370'}]}",none
17881374419286847,Sick shit made daily! #ice #flooded #rolexxx #dj36 #thediamondfamily,2,18,CAROUSEL_ALBUM,,https://www.instagram.com/p/CP_2mziDjL-/,2021-06-11T23:05:42+0000,"{'data': [{'id': '17911572364765285'}, {'id': '17876420048426274'}]}",none
17884102526232857,"Didn't know we requested a swimming pool! Comment pictures if you have them! Thankfully our area has dried up since this morning 

#storm #rainstorm #thatsenough #flooding #flooded #yqr #supportsmallbusiness #supportlocal #supportlocalyqr",1,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/199673436_529997731784799_1241247914678197562_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=z4YUam5UBEAAX9VwFSL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=123c06dd3529f423d6f18de59987c0ea&oe=60C86365,https://www.instagram.com/p/CP_nIYGHA3j/,2021-06-11T20:50:28+0000,,flood
17927775367563827,"Reposted from livestormchaser INSANE Close range encounter with Todays' Landspout Tornado near #Plattville, #Colorado!🌪

Permission: Jorge Garcia | June 7, 2021 

WeatherBug - Download the weather app today! Free weather alerts and more... #instacool #instagood #instago #storms #pilots #pilot #copilot #copilots #instaweather #instaweatherpro #stormtrackers #swag #storm #pilotslife #insta #instaphoto #tornado #flood #Flooded #earthquake #waterspout #hail #landspout #twister  #skydiveamazing",0,34,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/200520730_2768717703418149_5381998324741038639_n.mp4?_nc_cat=108&vs=18115404457217979_1731623720&_nc_vs=HBkcFQAYJEdCcTA4d3NsRVRKVEl0WUpBQy1pN3hmMnNyQktia1lMQUFBRhUAAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJvSHzZeHkcE%2FFQIoAkMzLBdASm7ZFocrAhgSZGFzaF9iYXNlbGluZV8xX3YxEQB16gcA&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjY0MC5mZWVkIn0%3D&_nc_ohc=NNxXZw855kIAX92R90E&_nc_ht=video-sea1-1.cdninstagram.com&oh=52c633a637186ea16b3284dc178a95b1&oe=60C8DD5E&_nc_rid=c6ca552ae4,https://www.instagram.com/p/CP_kriZh3us/,2021-06-11T20:29:26+0000,,none
17925544843619260,"🥶Flooded Tennis Bracelets🥶 $2499🚨 Solid 14k & 5.20 carats of high clarity baguette and round diamonds. Available in white, tricolor & yellow gold. Measure 6mm wide and 7.5"" long. Get them for only 🚨$2499🚨 (Retail $10995) Lowest prices‼️ Limited quantity so act fast!! Finacing is available with no credit needed. To apply click on the link on the profile page and take it home today. Call or text 646-809-2555 or  212-548-6508
Follow 👉 diamond_rush_nyc 💎 for Supreme Quality & Unbeatable deals💰
. .
. .
..
. .
. .

#cubanchain #cubanbracelet #ankh #lion #hamsa #angel #key #flooded #baguettediamonds #diamondearrings #diamondpieces #diamondring #diamondcross #diamonds #custompiece #cubanchain #viral #trending #trends #upperwestside #harlem #queens #brooklyn #bronx #nyc",3,226,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/201274565_405552677639688_1728665096918739127_n.mp4?_nc_cat=105&vs=17854509284538151_2299555622&_nc_vs=HBksFQAYJEdNVTAtd3NJMWtrWDJYQUJBTGNvZFMyLWMtMFhia1lMQUFBRhUAAsgBABUAGCRHRGt5OGd1TmY4dFFHTkFCQUw1aEhYR1dEQ2RUYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb%2B4cimuO%2B9PxUCKAJDMywXQDS7peNT988YEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=k1dNKBHAJKoAX_xBVqZ&_nc_ht=video-sea1-1.cdninstagram.com&oh=58a9bd9586002ceebd0a6408e42f8ba4&oe=60C937C8&_nc_rid=37de28cda4,https://www.instagram.com/p/CP_eHNpA6LK/,2021-06-11T19:32:02+0000,,none
17894881556134116,When your #wife says #oops I #flooded the #bath and you come to the #rescue #hero #bathwatch #rescue,3,13,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/199531609_1783143901856442_236750876355689347_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=AvCOgTdZ0KYAX8iOb0F&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=3653159330ed8199af9c012b8044612c&oe=60C8F429,https://www.instagram.com/p/CP_d8whjPCP/,2021-06-11T19:30:14+0000,,none
17845335263603525,"Not for fragile ears fyi.. lol  Welp, there goes the nicely manicured lawn... 😫🙄🤣🤣🤣🤣🤣🤣😭😭😭😭😭😭😭 
Merp #Flooded #Flooding #SpringRain gahhhhhdamnit!",4,6,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/10000000_138464988350323_4594061333297624075_n.mp4?_nc_cat=106&vs=17939002216525521_1685921546&_nc_vs=HBksFQAYJEdJQ1dtQUJ6eDNIazduMEFBQXYwanpkeFlzRS1ia1lMQUFBRhUAAsgBABUAGCRHTnA2Mnd2SmNlWGVFaDBGQUFGSVU3RHRSOXRaYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaClrL11qjQPxUCKAJDMywXQDFmZmZmZmYYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=E27vkXoIMUsAX_Ut0rd&_nc_ht=video-sea1-1.cdninstagram.com&oh=c915b68d8bbebeb763e1383185bbcf60&oe=60C9F792&_nc_rid=b0175b686f,https://www.instagram.com/p/CP_biPgJrTk/,2021-06-11T19:09:17+0000,,flood
17865952238492618,Welcome to North Carolina weather where it’s either FEAST or FAMINE!!! Yes sir! It’s either stupid hot and dry or it just won’t STOP falling outta the sky! Lawd have mercy I need some more grass seed! #noahsark #rain #lawn #flooded #lawncare #grassseed,63,719,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/198657103_2994334810797680_3341563409063257595_n.mp4?_nc_cat=105&vs=17996213797344085_1729067247&_nc_vs=HBksFQAYJEdFOUUxd3R3ZHJ6bVZLTUtBUHVscUZjM25sOHVia1lMQUFBRhUAAsgBABUAGCRHRFJmOFFzai1YZzNWSmdBQU9pUlhiSEIwQVFUYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa4u7CFlevOPxUCKAJDMywXQEK3bItDlYEYEmRhc2hfYmFzZWxpbmVfM192MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=6PFVFGCk2qQAX9ovLms&_nc_ht=video-sea1-1.cdninstagram.com&oh=d2cb309737228faf4259d16cf6ca4d74&oe=60C96E0A&_nc_rid=6eb07a462d,https://www.instagram.com/p/CP_P7_0pmHB/,2021-06-11T17:30:45+0000,,flood
17850277931578170,"Friday Flow - something that’s gone well this week! New painting in my Flooded Fields series.
.
Acrylic on paper. 
25cm by 27 cm
It was meant to be a square. My guestimation was obviously a bit out!
See stories for close ups.",3,52,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/201403189_125565533035066_1225250236995344038_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=MM1CHn63xmQAX_caKf9&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=1e4d202010b2d8f0a06cfa4bb3395cba&oe=60C87805,https://www.instagram.com/p/CP_PDpAJ7yu/,2021-06-11T17:20:06+0000,,none
17904520255891004,"🥶XL Bands On Deck $1299🥶 Solid 14k Featuring high clarity all natural diamonds totaling 2.50 carats. Measure 10mm wide & 11 grams . Get them for only 🚨 $1299 🚨 (retail $4998) FREE shipping + FREE diamond tester‼️ Limited quantity, so act fast. Finacing is available with no credit needed. To apply click on the link on the profile page and take it home today. Call or text 212-548-6508
Follow 👉 diamond_rush_nyc 💎 for Supreme Quality & Unbeatable Deals 💰
. .
.
.
. .

#diamondband #14k #14kgold #flooded #diamondpieces #custompiece #cubanchain #viral #trending #trends #upperwestside #harlem #bronx #nj #ct #brooklyn #queens #atlanta #miami #losangeles",8,316,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/199062102_121487160113496_7147860415520131644_n.mp4?_nc_cat=110&vs=17943083065469693_1794669610&_nc_vs=HBksFQAYJEdGWnkzUXRZX1FYdmZXNEFBRHhLSjBzdFRUSmpia1lMQUFBRhUAAsgBABUAGCRHUDliOXd1ekpRNGZZUmdDQUtCYk0zMkpQNzRTYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa%2B0qbOq6jOPxUCKAJDMywXQDpmZmZmZmYYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=ibD3wmn5vjIAX-W1epr&_nc_ht=video-sea1-1.cdninstagram.com&oh=477c6e7d52b2dd649883a26a724fb139&oe=60C84C9C&_nc_rid=ae32e94d74,https://www.instagram.com/p/CP_OrJfgtDv/,2021-06-11T17:17:11+0000,,none
