id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,children,keyword
17913798994731354,"Hat es Dich auch schon erwischt? Das wäre kein Wunder. Rund 3.000-mal am Tag stehen Häuser und Wohnungen in Deutschland unter Wasser. Der Grund: Eine defekte Wasserleitung. Sie war alt, falsch montiert oder nicht dicht. Zum Chaos und Dreck kommen die Kosten von im Schnitt rund 2.900 Euro. Die übernimmt in der Regel eine Versicherung. Welche, hängt vom konkreten Schaden ab. Mehr dazu im Link in meiner Bio.
#werstenversichert  #verkehrsunfall #überschwemmung #wasserschaden #leitungswasser #gutachten #unfall #kfz #berlin #deutschland #schützewasduliebst #wasser #usa #unfallversicherung #toyota #sturmtief #smartphone #selbstliebe #versicherung #rechtsschutz #fehler #news #crashed #entscheidungen #cosmosdirekt #gutachter",0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/198508204_353730609417281_8605738623366160482_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=_TsERy8cHVoAX9F8kNk&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=63b7190c5e9fd0a52c77ffc9bd141cdc&oe=60C59D88,https://www.instagram.com/p/CP6W3_CNwc2/,2021-06-09T19:52:13+0000,,none
17968373659384519,"Endlich sind die Talsperren wieder voller Wasser! 
-
Hat es bei euch auch so extrem geregnet? 🌧⛈
-
Bei uns kamen regelrechte Regenbomben hinunter 😱😱
-
-
-
-
-
-

#aussicht #nature #view #natur #wandern #berge #hiking #landscape #landschaft #mountains #wanderlust #urlaub #naturephotography #sonne #travel #photography #outdoor #talsperre #wasser #überschwemmung #sachsen #thüringen #germany #panorama #ausblick #landscapephotography #deutschland",2,45,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/199211892_635900767330366_4457653543256197220_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=tmF8FWfvo3wAX8h0gSh&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=3366a86366ba87cbf34bc1c90e0c0504&oe=60C522A9,https://www.instagram.com/p/CP6PGWjLfiP/,2021-06-09T18:44:16+0000,,none
18088095802264329,"+++ Einsatz +++

📟 H-06 Wasser im Gebäude
🗓 09.06.2021 - 13:47
📍 Worndorf und Schwandorf

Am Mittwochnachmittag wurden nach einem heftigen Gewitter die Abteilungen Neuhausen, Schwandorf und Worndorf zu einem Unwettereinsatz alarmiert. 
In den Ortsteilen Schwandorf und Worndorf standen mehrere Keller unter Wasser. Insgesamt wurden durch die drei Abteilungen 17 Einsatzstellen abgearbeitet. 
Gegen 18 Uhr konnten auch die letzten Einsatzkräfte wieder einrücken.
Für die Kameraden aus Worndorf war es der erste Einsatz mit ihren beiden neuen Einsatzfahrzeugen.

Eingesetzte Fahrzeuge:

HLF 20/16 (1-44/1)
LF 16 (1-44/2)
TSF (1-47)
MTW (1-19)
LF 8/6 (2-42)
MLF (3-40)
MTW (3-19)

#wirfürneuhausen #freiwilligefeuerwehr #abteilungen #einsatz #unwetter #starkregen #feuerundflamme #mitmachen #hilfeleistungslöschgruppenfahrzeug #wasserimgarten #überschwemmung #einsatzfahrzeug #24stunden #365tage #füreuchda #feuerwehrneuhausenobeck #feuerwehrschwandorf #feuerwehrworndorf",1,66,CAROUSEL_ALBUM,,https://www.instagram.com/p/CP6MxgHh8NU/,2021-06-09T18:23:57+0000,"{'data': [{'id': '18229315900008814'}, {'id': '17887219784248879'}, {'id': '17869902737459603'}, {'id': '18234111220037886'}]}",flood
17909394031802235,#unwetter #hochwasserimkeller #hagel #regen #sturm #überschwemmung #unwetterschäden #regenwetter #regenjacke #gummistiefel #mission #wasser #2021 #ichso #juni2021#bayern #münchen #nürnberg #würzburg,0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/197944473_4463669346999833_8047898893553133518_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=W7Mvx3aT_0wAX-Lke9C&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=eba88c6813d839a39d96d707bf8f8031&oe=60C5D6FD,https://www.instagram.com/p/CP6Ftu7DKZ9/,2021-06-09T17:22:16+0000,,none
17930713393529581,"ACQUASTOP Flutschott - Der mobile Hochwasserschutz schützt Immobilien gegen Hochwasser, Starkregen und Sturmfluten. 
.
Zum schnellen Verschließen von Türen, Fenster, Garagen, Tore und Lichtschächte. 
+ Innerhalb von Sekunden installiert, einfacher und effektiver Klappmechanismus. 
+ Auch geeignet für denkmalgeschützte Gebäude und Löschwasserrückhaltung in Industrie- und Lagerhallen.
.
Weitere Informationen finden Sie auch unter: 
www.TAS-Hochwasserschutz.de
.
#hochwasser #hochwasserschutz #starkregen #flutschutz #mobilerhochwasserschutz #garagentor #versicherung #sturmflut #eingangsbereich #industrietore #überschwemmung #garage #feuerwehr #bautrockner #altstadt #türundfenster #badenwürttemberg #nordrheinwestfalen #wasserschaden #metallbau #tischlerei #handwerker #fassade #bauelemente #spengler #wasserimkeller #handwerk #niedersachsen #bayern #freiwilligefeuerwehr #feuerwehr",0,11,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/198515369_976656819777695_3761284349823513914_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=jQVds8Zm4TMAX-9Kuhb&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c09167df331930a24a84bef1175d4021&oe=60C5AFA7,https://www.instagram.com/p/CP6EtxaBB-H/,2021-06-09T17:13:32+0000,,none
17891143001183486,"Wie idyllisch 🤪

#ettlingen #regen #Überschwemmung #ichbraucheeinboot",2,7,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/199702845_215270286948227_4621034650149820583_n.mp4?_nc_cat=103&vs=17966396326411010_1346444992&_nc_vs=HBksFQAYJEdEMDU1d3VEOS11RXljTUFBS2VZOC1DSE5pRkFia1lMQUFBRhUAAsgBABUAGCRHQmdvNnd2T2t3RS1WUUVFQUFmbnVfWTNGeUpWYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaw14%2F819zSPxUCKAJDMywXQBu7ZFocrAgYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=vTczSp0XYzkAX9DRphO&_nc_ht=video-sea1-1.cdninstagram.com&oh=203207fd582d2a5a8a37aefa8bd495f9&oe=60C6D6FB&_nc_rid=58763fd152,https://www.instagram.com/p/CP6AuvsC10C/,2021-06-09T16:38:54+0000,,flood
17845814069608086,"Elementarversicherung? ⛈🌪🌊

Brauche ich doch nicht…

Das ist keine seltene Reaktion, wenn ich eine Person zum Thema Hausrat/ Wohngebäude berate.
Dabei wird eine Gefahr ganz besonders unterschätzt: #Starkregen.

Nichtmal jedes 2. Haus in Deutschland ist gegen diese Gefahren geschützt, weil viele gar nicht wissen was in einer Elementarabsicherung enthalten ist.

Schreib mir eine Nachricht, wenn du eine individuelle Beratung dazu wünschst!

#unwetter #überschwemmung #sachverständiger #bausachverständiger #gutachter #eigenheim #bau #haus #eigenheimliebe #baustelle #finanziellebildung #dorfleben #finanzwissen #landleben #versicherungswissen #landlebenliebe #elementarversicherung #hausundhof #homesweethome #landliebe #hochwasser #hochwasserschutz #gewitter #hagel #wetter #sachsen #saxony #dresden #leipzig",4,12,CAROUSEL_ALBUM,,https://www.instagram.com/p/CP5_gCEC-sB/,2021-06-09T16:27:58+0000,"{'data': [{'id': '17888718137217114'}, {'id': '17894841665052751'}, {'id': '17881095824351238'}, {'id': '17907556804831436'}, {'id': '17876229692406169'}, {'id': '18120825394215355'}]}",none
17864415704496358,"Gerade in den letzten Tagen ist eine Absicherung gegen elementare Gefahren unabdingbar. ☔️⛈☔️ 
Jetzt informieren und upgraden✅.
#lvm #lvmversicherung #agentur #agency #elementar #versicherung #überschwemmung #hochwasser",0,9,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/198572233_1049743888889300_8286026616011639474_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=b8WgJTY445EAX93AMXI&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=868019d673cd51715022badd3549c9c9&oe=60C66A52,https://www.instagram.com/p/CP58JpoBLHa/,2021-06-09T15:58:42+0000,,flood
17884479914207046,"🏡🏡🏡 In ein Haus, in dem die Freude lebt, zieht auch das Glück gerne ein. 🏡🏡🏡

Um das Glück auch richtig genießen zu können, sicher dein Haus richtig mit unserer Wohngebäudeversicherung ab. 🏚🏠

Versichert ist 🏡:

🔺 Schäden an deinem Wohngebäude, sowie an allen angegebenen Nebengebäude inkl. Gebäudebestandteile und -zubehör
🔺 deine Garagen/Carpots auf und außerhalb des Grundstücks
🔺 Erstattung zum Neubauwert zzgl. Mehrkosten 

⚠️ Prüfe deine Versicherung auf Einschluss von „Elementar“. Unter Elementar versteht man der Schutz bei Schneedruck, Überschwemmung, Rückstau und vieles mehr. ⚠️

Lass dich von uns beraten.

Dein Team der Allianz Nicolle Müller 

#wohngebäudeversicherung #schutzfürdeineigenheim #elementar #schneedruck #überschwemmung #rückstau #vorsorgeistbesseralsnachsorge #versicherung #beratung #business #allianz #nicollemüller #heldrungen #anderschmücke #kyffhäuserkreis #thüringen",0,10,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/198412064_1192884871165158_9011985743272560009_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=xd3d2MOE09oAX8lLAQP&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=ef3e5488d00be05c0616ffb41b1a65dc&oe=60C5AAEA,https://www.instagram.com/p/CP5vNs3HcYD/,2021-06-09T14:05:39+0000,,none
17897196146002905,"HYDRA-Serie - Starke Technik für harte Einsätze!
.
Ausgiebiger Niederschlag und Starkregen führen zu steigenden Wasserpegeln unserer Gewässer und führen letztlich zu Überflutungen. Ist das Wasser ein mal da, muss es schnellstmöglich abgepumpt werden, um größere Schäden zu vermeiden.
.
Eine optimale Feuerwehr-Ausstattung beinhaltet moderne Feuerwehrsauger, die in diesen Notfällen tatkräftig und leistungsstark agieren und das Wasser effizient absaugen und wegpumpen. Auf die Geräte der HYDRA-Serie könnt Ihr Euch stets verlassen!
.
🇬🇧 HYDRA Series - Strong technic for your missions!
.
Extensive precipitation and heavy rainfall lead to rising water levels in our water bodies and ultimately cause flooding. Once the water is there, it must be pumped out as quickly as possible to avoid major damage.
.
Ideal firefighting equipment includes modern FD vacuum cleaners that act powerfully in these emergencies, efficiently sucking up and pumping away the water. You can always rely on the devices of the HYDRA-Series!
.
#roessle #roessleag 
.
#feuerwehrsauger #wassersauger #schlammsauger #katastrophenschutz #überflutung #feuerwehrausrüstung #hydra_series #starkregen #überschwemmung #vollgelaufenerkeller #flooding #heavyrain #rainfall #fd #firedepartment #firefighter #firefightingequipment #hydra #hydra_boy",0,21,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/198050706_256471359588913_771095607219851121_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=s_StL4KYv7QAX_hkCYx&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=2bbee70209c682a882046bc4132fb0fe&oe=60C5CE9A,https://www.instagram.com/p/CP5vG_FHfe9/,2021-06-09T14:04:44+0000,,none
