id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,children,skipped
17914268284768354,"𝚄𝚗𝚝𝚎𝚛 𝚆𝚊𝚜𝚜𝚎𝚛 💜

Da kam sie gestern - die angekündigte Gewitter Front. Und ja wie angekündigt war es heftig... Aber damit hätte niemand gerechnet.

Es hing fest und ging nicht mehr weg. 2 Stunden lang so ein krasser Starkregen, dass keine Regenrinne, Pumpe oder Abwasserrohr mehr nur im Ansatz was hätte halten können.

Jetzt haben wir statt einer Bewegungshalle wohl ein Schwimmbad 🙈 bzw eher ein Matschbad 🤯 Anmeldungen für Hallenbodenmoorbäder werden per DM entgegen genommen. 

Auspumpen ist leider nicht möglich. Das einzige Glück im Unglück ist - wir holen ja momentan Angebote ein für einen neuen Hallenboden. Ein Glück ist der noch nicht drin und es betrifft nur den alten Boden, der ja eh raus soll.

Und die Ponys? Die standen gestern seelenruhig unter dem XXL Dach unserer Heuraufe und sind dann trocken, jedoch erst nach Ablegung des Seepferdchen (denn um aufs Paddock zu gelangen bzw. um von dort wieder zurück in die Box zu kommen, müssen sie ja einmal durch die Halle laufen - jetzt eher schwimmen) in ihre Boxen gelangt.

Wie sich alles entwickelt - dazu werde ich euch natürlich regelmäßig in der Story berichten.

Ich hoffe ihr seid verschont geblieben. Habt ein schönes Wochenende 💜

📸 Beine unserer Hofmitbewohnerin

#herzilein💜 #fürmehrponyrealitätaufinstagram #ungewitter #überflutung #matsch #matschepampe #starkregen #matschepfütze #vonderbewegungshallezumschwimmbad #moorbag #pepapig #reithalle #reithallenboden #überschwemmung #ponyblog #ponyblogger #pferdeblogger #pferdeblog #picoftheday #pictureoftheday #pferdepost_123 #ponyliebe #pferdeliebe #ponylove #ponymädchen #pferdemädchen #reiten #reitennichtmöglich #seepferdchen #ponysamhaus",19,67,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196296839_997086257760670_8985284656966523137_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=vfjY8QYadasAX9x1EXS&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=e61a8adf737268a6bb32f03a34854559&oe=60C0C8B1,https://www.instagram.com/p/CPudn3ApSCq/,2021-06-05T05:00:18+0000,,False
17888518763219861,"Was für ein Wetter . Bei uns ist alles überschwemmt- auch der Sommerstall. 
Aber alle Pferde sind wohlauf und haben sich ruhig verhalten. Die Ausmaße des ganzen werden wir erst morgen sehen. Hauptsache den Pferden geht es gut. 
Wünschen euch eine ruhige Nacht. 

#unwetter #überschwemmung #stallion #pferdeliebe #horselove #sondereinsatz #pferdemädchen",2,12,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/197003775_3134409643497307_8168747027201932363_n.mp4?_nc_cat=104&vs=17928783769601417_2168554978&_nc_vs=HBksFQAYJEdQOEp2Z3RibDJHZHVpSUxBRXM4WmpBa09GMXhia1lMQUFBRhUAAsgBABUAGCRHRXJwcndzX0d4QjdscXdBQUJLMEJPX1JGVUoyYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbEpqz9k%2BDZPxUCKAJDMywXQCohysCDEm8YEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5mZWVkIn0%3D&_nc_ohc=27uKh5WxiYAAX_z-Tqt&_nc_ht=video-sea1-1.cdninstagram.com&oh=37064e8e684469b03446159a4bc6afd7&oe=60BF7ADC&_nc_rid=385ec51a3d,https://www.instagram.com/p/CPtoNtrKj3r/,2021-06-04T21:13:54+0000,,False
17887210817270402,"Aufgrund des Unwetters 🌩und der großen Wassermenge 🌧pro Quadratmeter sind wir leider gezwungen die Golfplätze am Samstag, den 05.06.2021 zu sperren. ❌😢

Sobald das Bespielen wieder möglich ist, halten wir Euch hier auf dem Laufenden.⛳️

Auch die Neusser Open, auf der 9-Loch-Anlage, muss leider ins Wasser fallen. 

#golfanlagehummelbachaue #golfhummelbachaue #golfanlage #golfcourse #glückistgrün #golfausleidenschaft #18lochanlage #9lochanlage #neuss #unwetter #platzgesperrt #überschwemmung",1,21,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPtftUyMtPY/,2021-06-04T19:59:17+0000,"{'data': [{'id': '17899063787056426'}, {'id': '17909682709777380'}]}",False
17876064731493316,#unwetter #moenchengladbach #see #gewitter #überschwemmung,0,6,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPte7OInaQL/,2021-06-04T19:52:26+0000,"{'data': [{'id': '18176374756138066'}, {'id': '18230711254025105'}, {'id': '18114386152237047'}, {'id': '17875186004436951'}, {'id': '17974669789389373'}]}",False
18226977049009206,Packt die Schwimmflügel raus 🏊🚣‍♂️🌊🙉🙈🌧☔️🏄#unwetter#überschwemmung#unwetterwarnung#hochwasser#strassen#gewitter#regen#starkregen☔️☔️☔️☔️⚡️⚡️⚡️⚡️#überflutung#regen#blitz#freitag,0,7,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/196509480_1104910283350221_1937803145041593082_n.mp4?_nc_cat=108&vs=17945790550482843_3806589282&_nc_vs=HBksFQAYJEdDaC10Z3ZOb1BMNDZPd0RBUHJDMW9peGRlUWFia1lMQUFBRhUAAsgBABUAGCRHQW9kekFzN3l5VjBsWHdFQU5IVjhOemNITE1MYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbUhIG8nqXGPxUCKAJDMywXQC3ul41P3zsYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=Zzun33ZSYRgAX-xQfGJ&_nc_ht=video-sea1-1.cdninstagram.com&oh=a4f96fcf3e89fd87a003765641bc9958&oe=60C05C19&_nc_rid=14a31f499a,https://www.instagram.com/p/CPteHP1qS0i/,2021-06-04T19:47:10+0000,,False
17875795940497631,#unwetter #eigenerflussvorderhaustür #river #keinentkommen #hennef #geistingen #überschwemmung,2,7,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/196844302_589679688637137_6743448879576504772_n.mp4?_nc_cat=101&vs=17871607472387925_1260100759&_nc_vs=HBksFQAYJEdBNmJ1d3ZSV2xfQVR4Z0NBTVRaS1JRSGk1VmRia1lMQUFBRhUAAsgBABUAGCRHTkNjdXd1Z0k3ZU1XYjRCQUxhV1NuSkt1RmNTYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbQ86utuPbAPxUCKAJDMywXQC3ul41P3zsYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=2jy3A0ut0H0AX8cB4w7&_nc_ht=video-sea1-1.cdninstagram.com&oh=f98df30ea0a21f18bfeba43f26e3fc8f&oe=60BFA5FB&_nc_rid=527b0c0783,https://www.instagram.com/p/CPtbv8PKwl9/,2021-06-04T19:24:53+0000,,False
17979844735362271,#kanal #überschwemmung #köln #cologne #unwetter,1,18,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196644823_307972524364461_1778964902187782076_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=IabbHnCKYvUAX_ogOeu&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=56c62babf4a091a4d6bcf421fbdc3080&oe=60C05FD1,https://www.instagram.com/p/CPtbWQknbb3/,2021-06-04T19:21:10+0000,,False
17875106921406294,"Mit Video: Schwere Unwetter sind am Freitag über Rheinland-Pfalz hinweggezogen und haben stellenweise für Überschwemmungen, umgestürzte Bäume und vollgelaufene Keller gesorgt.
#überschwemmung #unwetter #rlp #gewitter #sturmwarnung #hunsruecknews #badsobernheim",0,30,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196039937_4006957549373503_1646159074663607778_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=7SVKouCtH_gAX8NPPIZ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c03e559633f32d040377f55a1460358a&oe=60C01695,https://www.instagram.com/p/CPtWtqvnY4O/,2021-06-04T18:40:41+0000,,False
17918563399685158,"Gestern hat es uns mal wieder erwischt...der Abwasserkanal unter der Straße konnte die Wassermengen nicht bewältigen. So kam das Wasser aus den Kanalöffnungen in unsere Halle hoch. 
Ein riesen Dank an die ganzen Helfer heute Morgen, die ohne zu zögern gekommen sind und dafür gesorgt haben, dass Bahn 2 wieder befahrbar wird 🙏🏽 Bahn 1 braucht noch etwas zum trocknen... 
drückt die Daumen, dass wir heute verschont bleiben ✊🏽
#überschwemmung #kartbahnunterwasser #daytonakartbahn",4,102,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPtHQ97tuST/,2021-06-04T16:25:41+0000,"{'data': [{'id': '18000440737334865'}, {'id': '18164342620182023'}, {'id': '18170257204125075'}, {'id': '17876146835494061'}, {'id': '17875190315339401'}]}",False
18089152624264058,"„Oderwiese“ Gatow. Brandenburg. 

#stepfenswanderungen #brandenburg #berlin #wandern #wanderninbrandenburg #wanderlust #wanderliebe #wolkenhimmel #wolkenfotografie #gewitterwolken #cloudsky #cloudsofinstagram #oderbruch #schwedt #oderwiesen #gewitter #thunderclouds #riverlandscape #riveroder #überschwemmung #hochwasser #wiese #baumimwasser #regenwolken #flusslandschaft #fluss #binnenschifffahrt #binnenschiff #frachtschiff #schubverband",2,50,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196332231_227924268833505_4687469298961983572_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=oViImxGtClgAX9zZa8y&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=b0e3d205eaecffdfdbf29c7c09130bee&oe=60BFF5A6,https://www.instagram.com/p/CPtEHNvlen1/,2021-06-04T15:58:09+0000,,False
