id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,children
17877825332478866,"“ I’m rushing to those sales!”😍😍😂

It’s Memorial Day🇺🇸💙 🎉🎉🎉

Last DAY to take advantage! 

15% off all umbrellas-Use code: UMB2021

50% off all boots -Use Code: BOOTS2021

Sale Ends today 5/31 at midnight!

Let’s make room for the NEW arrivals coming soon!

•
•
•

Visit reignchkboutique 

Thank you for your continued support and shopping with Reign Check Boutique

 

 #rainboots #rainbootseason #rain #rainyday
#umbrella #poncho #waterproof #protectivewear #rainbonnet #womenswear #menswear #childrenswear #marrero #gretna #Harvey #westwego #algiers #avondale #metairie #kenner #neworleans #northshore #Covington #mandeville #aprilshowers #flooding #puddles #memorialdayweekend #MemorialDay #MemorialDay2021",0,3,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/193865622_1200495720381440_1238236023583314918_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=wuaeJO6cwPkAX_6G7Dc&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=4379b3da3ff6a86dadd5880b0ca39a10&oe=60BAA6E4,https://www.instagram.com/p/CPi6fnPl9XS/,2021-05-31T17:21:41+0000,
17858325854547505,I’m falling for you 😉🔥💚 #selfieseason #flooding #selfiemuesum #denver #colorado #memorialdayweekend2021 #nike #cool #crazy #classy #duces✌,1,3,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPi46GmFozf/,2021-05-31T17:07:50+0000,"{'data': [{'id': '17911302967837710'}, {'id': '17849665517572893'}, {'id': '17933716231558730'}]}"
17919419620677800,"“ I’m rushing to those sales!”😍😍😂

It’s Memorial Day🇺🇸💙 🎉🎉🎉

Last DAY to take advantage! 

15%off all umbrellas- Use code: UMB2021

50% off all boots- Use code: BOOTS2021

Sale Ends today 5/31 at midnight!

Let’s make room for the NEW arrivals coming soon!

•
•
•

Shop Now reignchkboutique 

Thank you for your continued support and shopping with Reign Check Boutique

 

 #rainboots #rainbootseason #rain #rainyday
#umbrella #poncho #waterproof #protectivewear #rainbonnet #womenswear #menswear #childrenswear #marrero #gretna #Harvey #westwego #algiers #avondale #metairie #kenner #neworleans #northshore #Covington #mandeville #aprilshowers #flooding #puddles #memorialdayweekend #MemorialDay #MemorialDay2021",0,1,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/194733425_177606380958143_8509243830183251721_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=RwO_so1kd9IAX97vS0F&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=22745c4169e82c533ab1dab16830a394&oe=60BA3052,https://www.instagram.com/p/CPi4nQEl0c7/,2021-05-31T17:05:15+0000,
17881119770265713,"Today we are honoring the men and women who died while serving in the U.S. military. To those who lost their lives to protect our freedom, Those who paid the maximum price, honor to whom honor deserves, They will never be forgotten.#memorialday#waterdamage #flooding #waterdamageitigation#restorationservices#restotarioncompaniesinkaty#restorationservicesinkaty#waterdamagerestoration#floodwatercleanup#restotarioncompaniesinhouston#restotarioncompaniesautin",0,0,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.31694-16/194653877_190427939667809_7212622881789472720_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=R0ifPDPIjEwAX-9CNWm&_nc_ht=video-sea1-1.cdninstagram.com&oh=32524a5c3a810c01d804068df4492b9a&oe=60B98F6D,https://www.instagram.com/p/CPi4Mg6gHuX/,2021-05-31T17:01:47+0000,
18161194201149328,"Just two little boys playing in an overflowing creek at dusk... right after heavy storm... while one could be complaining about the flooding and all that rain we have been getting, children naturally see the beauty in every situation! ________________________________________ #nature #flooding #overflowingcreek #sunset #dusk #childhood #childhoodunplugged #beautyafterstorm #quietafterthestorm #water",0,18,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/195073534_144161941099534_1828280908494832153_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=C295TIx-7TYAX_qrh2r&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=4cb4faf30699e90763ba9b341084a81a&oe=60BA0691,https://www.instagram.com/p/CPi2hFhBE_Z/,2021-05-31T16:46:56+0000,
17876728679387227,"R1CH13 800$T™️
#flooding #undergroundhiphop #trapmusic #hustle #hilokalon #richieboost #art #tapecassette #realemcees #m25music #beatmakers #playamade #woldwide #vibes #rarebreed #waterporn #grime #independentartist",0,1,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/195997414_187002636651754_773039607968655898_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=OxQcb8pdN_AAX928Oxn&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=d378282e2af3fd538850f4fb6df79e4f&oe=60B9F34D,https://www.instagram.com/p/CPi2B-NMv4l/,2021-05-31T16:42:41+0000,
17909079349780856,"After all only #together we can #survive during this period.
📌Let's unite and create the world worth living in.
⠀
Report ""On the Problems and Consequences of Global Climate Change on Earth. Effective Ways to Solve These Problems
⠀
Source: https://allatra.tv/en/book/on-the-problems-and-consequences-of-global-climate-change
⠀
What can we do with all of this? Watch in the videos on ALLATRA TV and ALLATRAUNITES:
🔻International conference ""Creative Society. What the Prophets Dreamed of"", March 20th, 2021
https://allatraunites.com/conference-20-03-2021
🔻""Creative Society Unites Everyone""
https://allatra.tv/en/video/creative-society-unites-everyone
🔻International online conference ""CREATIVE SOCIETY. UNITED WE CAN""
https://allatraunites.com/conference-20-12-2020
🔻""Climate Apocalypse: Illusion or Reality?""
https://allatra.tv/en/video/climate-apocalypse-illusion-or-reality
🎥 “Climate change. The beginning of a big disaster""
https://allatra.tv/en/video/climate-change-the-beginning-of-a-big-disaster
📹 “CLIMATE. THE FUTURE IS NOW""
https://allatra.tv/en/video/climate-the-future-is-now
⠀
📌 Join the Creative Society project on 👉allatraunites.com
⠀
#allatra #allatratv #allatraunites #climatechange #globalclimatechange #globalwarming #disasters #naturaldisasters #Earth #nature #forceofnature #science #climatereport #climatescience #flood #flooding #floods #globaldisasters #allatraclimate #warning #wayout #climate #climatecrisis #creativesociety #humanity #refugees #climaterefugees #love",0,20,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.31694-16/195393570_1843056865856408_6764079729382261429_n.mp4?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=Qw906KkbaYAAX8uiUF1&_nc_ht=video-sea1-1.cdninstagram.com&oh=34ff1b2c191cbcb81ab421b1947d6e15&oe=60B91729,https://www.instagram.com/p/CPixbLtgwXo/,2021-05-31T16:04:40+0000,
17951724100436052,"June 1st is the first day of Hurricane Season. Is your home ready?
You can visit www.ready.gov for tips and plans to be prepared this year. #hurricaneseason #flooding  #beprepared #haveaplan",0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/195504373_2626510737648277_322924293465798374_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=kUzlE2x1YYIAX8U7WPC&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8be4d86bf0d9d795d6f5c0a7f371dd89&oe=60BA1D27,https://www.instagram.com/p/CPixYZRA0A3/,2021-05-31T16:02:06+0000,
18226403317024150,"9:40 AM update, 5-31-21: cloudy skies are prevalent in Colorado this morning after a wet and stormy weekend. Showers are impacting northwestern Denver and portions of the central plains, as well as the southern part of the western slope. Temperatures are in the 40s and 50s for the plains, with 30s/40s for the mountains and 50s/60s for the western slope. Showers will increase for south-central Colorado over the next few hours, with some embedded thunderstorms capable of small hail and torrential rainfall. With these showers and thunderstorms comes a burn scar flood risk, and a flash flood watch has been issued for the Sangre de Cristo and Wet mountains until 10 PM tonight. Today will gradually see clearing by the evening hours in most areas, and in general today's forecast is evolving as expected. Have a great day. #cowx #flooding",0,9,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPivC9LJmAm/,2021-05-31T15:41:39+0000,"{'data': [{'id': '18087137545271032'}, {'id': '17879964767351448'}, {'id': '17878927802358696'}, {'id': '17914614139746668'}]}"
18157797844152006,"In the past few months I've been working on 5 illustrations for naturalismuseum working together with Anne Schulp and Jimmy de Rooij to depict the story of the 5 Triceratops the museum is preparing right now. It's a unique fossil bed that includes at least 5 Triceratops horridus of different ages. The animals died and have been buried quickly before a set of crevasse splays shuffled up the bones after which they got fossilized. Keep your eyes peeled for the other 4 pieces, I will be posting them soon!
.
A paper on it will be published in the future, I'll make sure to share it once it has been. 
.
.
.
.
#dinosaur #paleoart #triceratopshorridus #digitalart #dinosaurart #thunder #dinosaurdeaths #dinosaurs #dinoart #triceratops #flood #storm #flooding #cretaceous #hellcreek #hellcreekwyoming #naturalismuseum #naturalisleiden #naturalis",2,29,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/194232778_1032931510574610_5237302849566931414_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=7in2dGcLNdcAX-NJ1zF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=b8c18f03ebc6f1490c7d737edf17280b&oe=60BA8441,https://www.instagram.com/p/CPitEwgqPQU/,2021-05-31T15:24:26+0000,
