Date_range,Day,Region,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
2016-01,1,40:23:00N & 105:29:00W,7.5,51,9.4,30.8,0.7,1.3,56,0.00,0.00,0.00,37.8,12.2,75,11,31.021,30.543,6.9,10.4,37.8
2016-01,2,40:23:00N & 105:29:00W,15.7,49,2.9,30.6,0.6,1.1,3,0.00,0.00,0.00,40.5,4.8,76,15,30.832,30.353,8.1,12.7,40.5
2016-01,3,40:23:00N & 105:29:00W,31.0,41,8.5,30.3,1.8,3.0,350,0.00,0.00,0.00,48.8,17.2,72,20,30.515,30.065,13.8,19.6,48.8
2016-01,4,40:23:00N & 105:29:00W,25.0,57,9.8,30.2,0.9,1.4,275,0.00,0.00,0.00,48.6,11.6,81,19,30.407,29.982,11.5,16.1,48.6
2016-01,5,40:23:00N & 105:29:00W,28.4,53,11.8,29.9,2.2,3.4,334,0.00,0.00,0.00,46.0,13.8,75,24,30.139,29.694,12.7,19.6,46.0
2016-01,6,40:23:00N & 105:29:00W,32.1,48,13.7,29.7,4.2,6.5,331,0.00,0.00,0.00,42.5,20.4,71,27,29.841,29.577,12.7,24.2,42.5
2016-01,7,40:23:00N & 105:29:00W,27.2,77,20.9,29.7,1.3,2.3,58,0.00,0.00,0.00,35.8,21.4,88,62,29.858,29.642,10.4,13.8,35.8
2016-01,8,40:23:00N & 105:29:00W,19.5,83,15.1,29.9,2.3,4.1,81,0.02,0.02,0.01,26.0,7.9,88,76,30.153,29.689,8.1,11.5,26.0
2016-01,9,40:23:00N & 105:29:00W,15.5,60,2.8,30.2,4.2,6.6,322,0.05,0.05,0.01,29.3,1.8,83,36,30.336,30.090,17.3,26.5,29.3
2016-01,10,40:23:00N & 105:29:00W,22.7,32,2.8,30.1,10.1,14.8,317,0.05,0.05,0.00,29.7,18.1,43,22,30.166,30.042,19.6,31.1,29.7
2016-01,11,40:23:00N & 105:29:00W,28.4,24,3.7,30.1,11.7,16.3,303,0.05,0.05,0.00,36.0,21.6,33,17,30.158,29.950,26.5,38.0,36.0
2016-01,12,40:23:00N & 105:29:00W,32.5,23,2.0,30.1,13.1,19.0,298,0.05,0.05,0.00,40.3,27.8,41,14,30.203,29.952,25.3,43.7,40.3
2016-01,13,40:23:00N & 105:29:00W,37.1,26,4.4,29.9,13.5,19.3,294,0.05,0.05,0.00,44.8,29.7,41,16,30.084,29.658,29.9,35.7,44.8
2016-01,14,40:23:00N & 105:29:00W,29.8,37,5.4,29.7,11.2,17.4,311,0.05,0.05,0.00,36.3,23.6,60,18,29.825,29.566,28.8,38.0,36.3
2016-01,15,40:23:00N & 105:29:00W,23.0,54,7.7,29.8,6.8,10.5,301,0.05,0.05,0.00,29.7,12.9,82,33,29.979,29.681,24.2,38.0,29.7
2016-01,16,40:23:00N & 105:29:00W,20.7,48,3.6,30.0,5.5,8.8,268,0.05,0.05,0.00,31.4,6.0,75,28,30.242,29.918,20.7,31.1,31.4
2016-01,17,40:23:00N & 105:29:00W,29.8,47,11.6,30.0,9.5,14.6,291,0.05,0.05,0.00,35.8,25.7,65,34,30.077,29.873,20.7,32.2,35.8
2016-01,18,40:23:00N & 105:29:00W,35.2,42,13.9,29.9,9.7,13.8,284,0.05,0.05,0.00,43.3,29.4,55,29,30.042,29.791,26.5,34.5,43.3
2016-01,19,40:23:00N & 105:29:00W,32.9,49,14.3,30.0,5.2,8.0,302,0.05,0.05,0.00,40.1,24.2,82,27,30.168,29.818,17.3,25.3,40.1
2016-01,20,40:23:00N & 105:29:00W,30.5,42,9.9,29.9,7.6,11.8,300,0.05,0.05,0.00,37.8,24.5,60,30,30.123,29.731,18.4,32.2,37.8
2016-01,21,40:23:00N & 105:29:00W,29.6,35,4.1,30.3,7.0,10.6,293,0.05,0.05,0.00,40.1,23.5,51,16,30.379,30.094,19.6,32.2,40.1
2016-01,22,40:23:00N & 105:29:00W,41.3,36,15.7,30.1,7.2,10.7,293,0.05,0.05,0.00,53.8,23.8,61,21,30.286,29.838,18.4,25.3,53.8
2016-01,23,40:23:00N & 105:29:00W,42.1,22,5.4,29.8,7.0,10.1,327,0.05,0.05,0.00,51.0,31.3,40,14,29.944,29.626,17.3,24.2,51.0
2016-01,24,40:23:00N & 105:29:00W,32.8,41,10.5,29.6,6.2,9.1,321,0.05,0.05,0.00,42.2,21.4,81,23,29.839,29.462,20.7,28.8,42.2
2016-01,25,40:23:00N & 105:29:00W,24.8,40,3.4,30.1,4.9,7.8,336,0.05,0.05,0.00,32.4,13.8,62,27,30.275,29.748,15.0,20.7,32.4
2016-01,26,40:23:00N & 105:29:00W,27.5,31,0.2,30.3,5.3,8.5,311,0.05,0.05,0.00,37.9,13.5,64,20,30.390,30.174,13.8,24.2,37.9
2016-01,27,40:23:00N & 105:29:00W,37.5,39,13.4,30.2,4.5,7.2,347,0.05,0.05,0.00,53.3,24.4,62,22,30.318,30.043,15.0,24.2,53.3
2016-01,28,40:23:00N & 105:29:00W,41.1,35,14.9,30.0,10.6,15.6,308,0.05,0.05,0.00,50.2,33.3,45,25,30.138,29.742,24.2,33.4,50.2
2016-01,29,40:23:00N & 105:29:00W,39.8,30,10.3,29.7,16.4,23.9,292,0.05,0.05,0.00,45.1,33.8,52,18,29.793,29.508,31.1,46.0,45.1
2016-01,30,40:23:00N & 105:29:00W,38.4,60,24.7,29.5,11.0,16.9,287,0.05,0.05,0.00,47.3,25.8,89,35,29.626,29.322,29.9,44.9,47.3
2016-01,31,40:23:00N & 105:29:00W,22.3,65,11.2,29.9,3.7,6.2,244,0.05,0.05,0.00,29.1,17.7,87,33,30.002,29.616,23.0,28.8,29.1
2016-02,1,40:23:00N & 105:29:00W,18.1,82,13.6,29.8,2.1,3.2,97,0.01,0.22,0.01,22.4,14.4,85,78,29.860,29.626,11.5,16.1,22.4
2016-02,2,40:23:00N & 105:29:00W,12.3,77,6.3,30.1,2.0,3.2,112,0.01,0.22,0.00,18.1,2.8,82,66,30.259,29.838,10.4,12.7,18.1
2016-02,3,40:23:00N & 105:29:00W,8.5,50,7.8,30.4,8.1,11.8,267,0.01,0.22,0.00,18.1,4.3,78,28,30.518,30.258,23.0,38.0,18.1
2016-02,4,40:23:00N & 105:29:00W,20.5,40,0.3,30.3,13.6,19.0,271,0.02,0.23,0.01,30.9,10.0,54,28,30.409,30.236,27.6,41.4,30.9
2016-02,5,40:23:00N & 105:29:00W,23.5,35,0.7,30.4,9.5,14.3,290,0.02,0.23,0.00,29.1,16.7,46,26,30.482,30.278,20.7,29.9,29.1
2016-02,6,40:23:00N & 105:29:00W,34.3,32,7.0,30.2,16.6,24.4,307,0.06,0.26,0.01,43.8,25.0,43,21,30.332,29.952,31.1,56.4,43.8
2016-02,7,40:23:00N & 105:29:00W,34.6,31,6.9,30.1,12.6,20.4,326,0.06,0.26,0.00,38.6,30.7,41,21,30.270,29.951,31.1,50.6,38.6
2016-02,8,40:23:00N & 105:29:00W,40.2,33,13.0,30.2,10.5,16.6,306,0.06,0.26,0.00,47.6,34.7,40,23,30.259,30.162,23.0,36.8,47.6
2016-02,9,40:23:00N & 105:29:00W,43.7,22,7.0,30.2,10.5,14.4,312,0.06,0.26,0.00,53.8,36.2,31,14,30.248,30.100,20.7,26.5,53.8
2016-02,10,40:23:00N & 105:29:00W,46.6,16,2.5,30.0,11.0,16.0,347,0.06,0.26,0.00,56.0,40.6,24,7,30.121,29.898,20.7,34.5,56.0
2016-02,11,40:23:00N & 105:29:00W,46.7,24,11.1,30.0,8.9,13.9,349,0.06,0.26,0.00,56.3,38.3,37,17,30.096,29.861,24.2,38.0,56.3
2016-02,12,40:23:00N & 105:29:00W,48.5,31,18.9,30.0,7.9,11.1,309,0.06,0.26,0.00,57.6,40.6,42,23,30.119,29.909,20.7,27.6,57.6
2016-02,13,40:23:00N & 105:29:00W,43.4,21,5.4,29.8,11.9,17.3,360,0.06,0.26,0.00,55.3,19.4,32,12,29.911,29.671,26.5,42.6,55.3
2016-02,14,40:23:00N & 105:29:00W,36.5,37,11.9,29.8,15.9,24.3,325,0.06,0.26,0.00,41.9,31.4,60,20,29.948,29.701,33.4,50.6,41.9
2016-02,15,40:23:00N & 105:29:00W,38.5,50,21.2,29.8,14.5,23.3,299,0.06,0.26,0.00,44.3,32.4,63,40,29.920,29.664,34.5,42.6,44.3
2016-02,16,40:23:00N & 105:29:00W,42.0,36,15.7,29.8,11.3,18.0,320,0.06,0.26,0.00,49.8,37.2,59,22,29.904,29.759,32.2,42.6,49.8
2016-02,17,40:23:00N & 105:29:00W,49.4,17,3.9,29.8,9.9,14.5,332,0.06,0.26,0.00,60.7,38.3,31,8,29.938,29.426,23.0,35.7,60.7
2016-02,18,40:23:00N & 105:29:00W,46.9,34,17.6,29.4,15.4,23.2,355,0.07,0.27,0.01,55.3,30.3,77,14,29.819,29.226,34.5,56.4,55.3
2016-02,19,40:23:00N & 105:29:00W,39.9,25,5.3,29.9,16.3,23.7,355,0.07,0.27,0.00,50.2,29.0,42,10,30.044,29.803,31.1,46.0,50.2
2016-02,20,40:23:00N & 105:29:00W,43.2,29,13.1,29.9,12.6,19.1,354,0.07,0.27,0.00,51.1,36.9,45,19,30.006,29.805,24.2,41.4,51.1
2016-02,21,40:23:00N & 105:29:00W,30.6,52,14.2,30.2,4.2,7.2,82,0.07,0.27,0.00,40.9,19.2,73,35,30.317,29.979,20.7,32.2,40.9
2016-02,22,40:23:00N & 105:29:00W,29.1,60,15.3,30.0,3.8,6.0,43,0.07,0.27,0.00,40.2,18.6,87,27,30.147,29.856,13.8,20.7,40.2
2016-02,23,40:23:00N & 105:29:00W,23.6,64,11.8,30.3,2.3,4.0,65,0.16,0.36,0.01,34.3,11.2,87,30,30.445,30.029,12.7,17.3,34.3
2016-02,24,40:23:00N & 105:29:00W,30.5,27,1.6,30.2,9.6,14.0,308,0.16,0.36,0.00,42.8,11.1,68,14,30.416,30.023,25.3,33.4,42.8
2016-02,25,40:23:00N & 105:29:00W,29.4,47,10.1,30.3,3.7,6.0,53,0.16,0.36,0.00,42.9,10.0,75,28,30.430,30.082,21.9,32.2,42.9
2016-02,26,40:23:00N & 105:29:00W,44.8,25,9.5,30.1,8.9,12.7,354,0.16,0.36,0.00,57.6,35.5,41,11,30.250,29.880,18.4,26.5,57.6
2016-02,27,40:23:00N & 105:29:00W,46.7,22,9.5,29.7,12.0,17.6,65,0.16,0.36,0.00,56.3,36.9,51,15,29.898,29.549,26.5,36.8,56.3
2016-02,28,40:23:00N & 105:29:00W,42.2,25,7.1,29.9,8.7,13.2,58,0.16,0.36,0.00,53.6,31.5,44,11,29.942,29.749,25.3,36.8,53.6
