latitude_dd,longitude_dd,verticalDatumName,siteDescription,stateName,countyName,waterbody,hwm_locationdescription,elev_ft,bank,hwm_notes,flag_date,vdatum_id,vcollect_method_id
41.795726,-93.600858,NAVD88,"U.S. Route 69, South of Alleman",IA,Polk County,Fourmile River,"U.S. Route 69, South of Alleman (1 of 4 US)",937.3812,Left,Base of stake flagged and marked with sharpie located 50' west of other stake in field,7/2/2018 5:00,,
41.79572413,-93.60066246,NAVD88,"U.S. Route 69, South of Alleman",IA,Polk County,Fourmile River,"U.S. Route 69, South of Alleman (2 of 4 US)",938.2769,,Base of stake flagged and marked with sharpie located 140' north of bridge and 5' west of fence.,7/2/2018 5:00,,
41.79539699,-93.59998889,NAVD88,"U.S. Route 69, South of Alleman",IA,Polk County,Fourmile River,"U.S. Route 69, South of Alleman (1 of 4 DS)",938.2781,Left,"Base of stake flagged and marked with sharpie located 75' d/s of wingwall 30' d/s of fence line, 30 North of post",7/2/2018 5:00,,
41.79536224,-93.60007478,NAVD88,"U.S. Route 69, South of Alleman",IA,Polk County,Fourmile River,"U.S. Route 69, South of Alleman (2 of 4 DS)",939.0587,Left,"Nail in wooden fence post marked and flagged located 60' d/s of bridge, 2nd post from stream",7/2/2018 5:00,,
41.795021999999996,-93.59975,NAVD88,"U.S. Route 69, South of Alleman",IA,Polk County,Fourmile River,"U.S. Route 69, South of Alleman (3 of 4 DS)",938.9716,Right,"Nail in wooden fence post marked and flagged located 60' d/s of bridge, 2nd post from stream",7/2/2018 5:00,,
41.79497448,-93.60004082,NAVD88,"U.S. Route 69, South of Alleman",IA,Polk County,Fourmile River,"U.S. Route 69, South of Alleman (4 of 4 DS)",938.7229,Right,Nail in mulberry tree 70' d/s of end of concrete wingwall,7/2/2018 5:00,,
41.794753,-93.601112,NAVD88,"U.S. Route 69, South of Alleman",IA,Polk County,Fourmile River,"U.S. Route 69, South of Alleman (4 of 4 US)",938.3634,Right,Nail in tree located u/s 175' of metal guardrail,7/2/2018 5:00,,
41.77997249,-93.60072955,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (1 of 4 US)",929.0789,Left,Nail in utility pole located 200' North of 1st Pole in ditch by fence line,7/2/2018 5:00,,
41.77944452,-93.60028811,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (1 of 4 DS)",927.4283,Left,Nail in tree located 140' North of bridge and 40' d/s into ditch from shoulder,7/2/2018 5:00,,
41.77941759,-93.60074025,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (2 of 4 US)",928.8687,Left,Nail in utility pole located 126' north of bridge and 32' u/s of guardrail by fence line,7/2/2018 5:00,,
41.77934659,-93.6002837,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (2 of 4 DS)",927.1668,Left,Nail in tree located 105' North of bridge and 40' d/s into ditch from shoulder,7/2/2018 5:00,,
41.77838786,-93.60029166,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (3 of 4 DS)",925.0851,,Base of stake flagged and marked located 45' south of end of guardrail and 35' into ditch from shoulder,7/2/2018 5:00,,
41.778387200000004,-93.60083733,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (3 of 4 upstream)",928.5847,Right,Nail in wooden fence post located in fence line 75' south of end of bridge and 65' u/s in ditch,7/2/2018 5:00,,
41.77835095,-93.60081968,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (4 of 4 US)",928.5868,Right,Nail in wooden sign post located 70' south of end of bridge and 65' u/s in ditch,7/2/2018 5:00,,
41.77830314,-93.60024066,NAVD88,"U.S. Route 69, north of Ankeny",IA,Polk County,Fourmile River,"U.S. Route 69, north of Ankeny (4 of 4 DS)",926.648,Right,Nail in wooden fence post located in fenceline 75' south of guardrail and 55' d/s into ditch,7/2/2018 5:00,,
41.76158775,-93.58962165,NAVD88,"Northeast 36th street, Ankeny",IA,Polk County,Fourmile River,"Northeast 36th street, Ankeny (1 of 4 US)",913.3112,Left,Nail in tree located 200' u/s of road just east and north of decorative fence in girl scout park area,7/2/2018 5:00,,
41.76158205,-93.58948584,NAVD88,"Northeast 36th street, Ankeny",IA,Polk County,Fourmile River,"Northeast 36th street, Ankeny (2 of 4 US)",913.2167,Left,"Nail in tree located 26' east of first tree marked, 60' from east road and 200' u/s of main road NE 36th st.",7/2/2018 5:00,,
41.76144639,-93.59136478,NAVD88,"Northeast 36th street, Ankeny",IA,Polk County,Fourmile River,"Northeast 36th street, Ankeny (3 of 4 US)",912.9027,Right,Nail in tree 200' u/s of bridge and 25' streamward of bike path,7/2/2018 5:00,,
41.760664500000004,-93.59016967,NAVD88,"Northeast 36th street, Ankeny",IA,Polk County,Fourmile River,"Northeast 36th street, Ankeny (1 of 4 DS)",907.6011,Left,Base of stake flagged and marked with sharpie located 40' d/s of bridge just above rip rap,7/2/2018 5:00,,
41.76066367,-93.59000167,NAVD88,"Northeast 36th street, Ankeny",IA,Polk County,Fourmile River,"Northeast 36th street, Ankeny (2 of 4 DS)",908.5631,Left,"Base of stake flagged and marked with sharpie lcoated 40' d/s of very end of bridge, 30' d/s of new little tree 40' east of other stake.",7/2/2018 5:00,,
41.76061365,-93.59066239,NAVD88,"Northeast 36th street, Ankeny",IA,Polk County,Fourmile River,"Northeast 36th street, Ankeny (3 of 4 DS)",907.937,Left,"Base of stake flagged and marked with sharpie located 45' streamward from end of bridge and 60' d/s of bridge, streamward of tee box 30' above rocks",7/2/2018 5:00,,
41.76055592,-93.59060642,NAVD88,"Northeast 36th street, Ankeny",IA,Polk County,Fourmile River,"Northeast 36th street, Ankeny",906.8185,Right,Base of stake flagged and marked with sharpie located 80' d/s of bridge and 55' streamward from end of bridge in long grass behind tee box,7/2/2018 5:00,,
41.74770039999999,-93.57601328,NAVD88,"Interstate 35, Ankeny",IA,Polk County,Fourmile River,"Interstate 35, Ankeny (1 of 3 US)",902.48,Left,Nail in tree located 200' u/s of end of bridge in tree line at Golf Course,7/2/2018 5:00,,
41.74763581,-93.57603871,NAVD88,"Interstate 35, Ankeny",IA,Polk County,Fourmile River,"Interstate 35, Ankeny (2 of 3 US)",902.737,Left,Nail in tree located 15' streamward of 1st marked tree,7/2/2018 5:00,,
41.74757809,-93.57452683,NAVD88,"Interstate 35, Ankeny",IA,Polk County,Fourmile River,"Interstate 35, Ankeny (1 of 1 DS)",898.6123,Left,"Nail in utility pole 65' North of bridge and 95' d/s of I 35 shoulder, both on d/s side of silt fence",7/2/2018 5:00,,
41.746101700000004,-93.57610928,NAVD88,"Interstate 35, Ankeny",IA,Polk County,Fourmile River,"Interstate 35, Ankeny (3 of 3 US)",897.957,Right,Nail and disk in tree located 400' south of bridge and 40' u/s past fenceline from shoulder near end of fence,7/2/2018 5:00,,
41.73297341,-93.57085196,NAVD88,"Enterprise Road, Ankeny",IA,Polk County,Fourmile River,"Enterprise Road, Ankeny  (1 of 5 US)",892.4488,Left,"Nail in tree located back to east corner north 375' of stop sign, just streamward of cable fence in ditch",7/3/2018 5:00,,
41.732822600000006,-93.57068957,NAVD88,"Enterprise Road, Ankeny",IA,Polk County,Fourmile River,"Enterprise Road, Ankeny  (2 of 5 US)",892.2412,Left,"Nail in utility pole located north 325' u/s of 1st street at Utility pole #R9954, 30' streamward of road",7/3/2018 5:00,,
41.73242177,-93.57315091,NAVD88,"Enterprise Road, Ankeny",IA,Polk County,Fourmile River,"Enterprise Road, Ankeny  (3 of 5 US)",890.65,Right,Nail in tree 25' u/s of 1st mark and 10' into wooded area,7/3/2018 5:00,,
41.73234204,-93.57313863,NAVD88,"Enterprise Road, Ankeny",IA,Polk County,Fourmile River,"Enterprise Road, Ankeny (4 of 5 US)",891.4314,Right,Nail in tree 175' u/s NW of end of bridge just in wooded area from frisbee golf course,7/3/2018 5:00,,
41.73200088,-93.57065587,NAVD88,"Enterprise Road, Ankeny",IA,Polk County,Fourmile River,"Enterprise Road, Ankeny (5 of 5 US)",890.185,Left,Nail in main utility pole located 435' east of bridge at junction NE Frisk Dr and 94th Ave,7/3/2018 5:00,,
