event_id,dataset_source,event,date,country,name_adm1,name_adm2,name_adm3,locality
b'uc59Kcgo0NTLVAfPCi5Y',desinventar,FLOOD,2016-01-06,Albania,Lezhë,Lezhës,Zejmen,Qarku Lezhë
b'VnwOOAzhJidBjM-x_Jji',desinventar,FLOOD,2016-01-06,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'tiMgVWj_rEw8hAfQK4aw',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'sFueDHH2UedqZjtACVT3',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Ndroq,Qarku Tiranë
b'dcn4PAAyX01gyL2nnFXV',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'8QaX2XKqSB-aiGWlLmMx',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'VmA3BPOcilEW3CVxeF3g',desinventar,FLOOD,2016-01-07,Albania,Elbasan,Elbasanit,Elbasan,Qarku Elbasan
b'8N3LUmkmOWiN1A5-RsDU',desinventar,FLOOD,2016-01-08,Albania,Durrës,Durrësit,Durrës,Qarku Durrës
b'V0sTPFTrvJjMemh1F5Bd',desinventar,FLOOD,2016-01-08,Albania,Tiranë,Kavajës,Lekaj,Qarku Tiranë
b'Hd_caYJzlePLwhefBAfJ',desinventar,FLOOD,2016-01-08,Albania,Durrës,Krujës,Krujë,Qarku Durrës
b'dumc1rGm4pky2zIyhuGq',desinventar,DROUGHT,2018-10-05,Angola,Cuando Cubango,Mavinga,Luengue,Samayovo
b'baKNws2KZZOZ1zC7gH7N',desinventar,DROUGHT,2020-02-18,Angola,Cuando Cubango,Menongue,Menongue,Cuando Cubango
b'9dRG6vNyXBHjbJ62Sj9y',desinventar,FLOOD,2016-01-31,Angola,Cabinda,Cacongo(ex. Lândana),Cacongo,Cabinda
b'U_DJlk0U5MwMaGDXQ-BT',desinventar,FLOOD,2016-09-01,Angola,Lunda Norte,Lucapa,Lucapa,lucapa
b'A5Iin1jNO0IQ3TV-hIaR',desinventar,FLOOD,2016-10-27,Angola,Bié,Catabola (ex. Nova Sintra),Catabola,"Sede do Município, bairro Londela e Dende"
b'brjHWSHdCCcXxS_bApJj',desinventar,FLOOD,2017-01-31,Angola,Cabinda,Belize,Luali,Cabinda
b'wlFA6DqsIF0SZLwbC7He',desinventar,FLOOD,2017-02-15,Angola,Benguela,Baia Farta,Baia Farta,Baia Farta
b'9qufTAD7VROzwO6RT6dK',desinventar,FLOOD,2019-01-31,Angola,Cabinda,Cabinda,Cabinda,Cabinda
b'kp710E5DVrmZVvkhMwsX',desinventar,FLOOD,2019-03-20,Angola,Benguela,Benguela,Benguela,Benguela
b'zr59GkCHALkTclk9KQAp',desinventar,FLOOD,2020-01-23,Angola,Huíla,Lubango,Lubango,"Lubango, Bairro ferrovia"
b'iMOa_CdiovzX0yVc5Pbf',desinventar,FLOOD,2016-01-26,Angola,Bié,Cuito,Cuito,Bairro Praia
b'qBqbBFi-Ae5qydrRkfGv',desinventar,FLOOD,2016-03-27,Angola,Luanda,Viana,Zango,
b'CqIg8s_zXCtxLECzQagf',desinventar,FLOOD,2016-07-15,Barbados,Saint Michael,,,President Kennedy Drive
b'OvOzMAh1ku76NSmO0a-T',desinventar,FLOOD,2016-09-28,Barbados,Saint Michael,,,Hindsbury Road; Hall Road; Station Hill
b'qfgL9Q2TYKU0e2fa-tvX',desinventar,FLOOD,2016-11-29,Barbados,Saint James,,,5th Avenue Bagatellle
b'D1BWT9TBbIrrAQa7OEeH',desinventar,FLOOD,2016-11-29,Barbados,Saint Michael,,,The Belle; Kensington New Road
